[00:00.000 --> 00:11.000]  There is a lot of controversy around this network about Alex Jones, for example.
[00:11.000 --> 00:26.000]  Alex Jones, the foray conspiracy theorist who was a parent.
[00:26.000 --> 00:33.000]  It's a war that comes to mind.
[00:33.000 --> 00:55.000]  Reputation is amazing. I will not let you down. You will be very, very impressed, I hope.
[00:55.000 --> 01:06.000]  I've got so much incredible news to cover that I've been running around the building the last 10 minutes.
[01:06.000 --> 01:12.000]  I'm literally catching my breath right now.
[01:12.000 --> 01:19.000]  Just when you think the Democrats and the globalists can't get any lower, or more arrogant, they do.
[01:19.000 --> 01:26.000]  And I was going over all these clips and all these news articles and what I want to play today, and I've got to be very judicious to even get to half of it.
[01:26.000 --> 01:30.000]  And it made me think about all the clips I didn't play in the last few days.
[01:30.000 --> 01:36.000]  I've got all this world exclusive stuff to break down. I've got all this other huge news that's breaking.
[01:36.000 --> 01:47.000]  Just every bit of it, more insane than the last. The head of the World Bank appointed by a Democrat has resigned.
[01:47.000 --> 01:54.000]  Major world shakeups on that front, big shakeups, the Federal Reserve coming, as we told you.
[01:54.000 --> 02:01.000]  That's all intertwined. The World Bank is the basic foreign arm of the Federal Reserve.
[02:01.000 --> 02:06.000]  The World Bank's U.S. controlled, the IMF's U.S. and Europe controlled.
[02:06.000 --> 02:10.000]  And the entire globalist order is coming down around us.
[02:10.000 --> 02:24.000]  China is threatening open war. The Chinese dictator has come out and threatened to attack Taiwan, threatened to invade Taiwan, threatened to attack U.S. ships.
[02:24.000 --> 02:31.000]  They had more big threats this morning and the ships entered the South China Sea.
[02:31.000 --> 02:36.000]  And there it has not been disputed for hundreds of years. The Chinese now claim it's theirs. They threaten to attack U.S. destroyer.
[02:36.000 --> 02:42.000]  This is just some of what's going on. The big mega banks are trying to plunge the U.S. economy.
[02:42.000 --> 02:45.000]  America is in a trade war against the globalists fighting for its life.
[02:45.000 --> 03:01.000]  And the average leftist with their talking points has gone into overdrive to create racial and cultural division for a planned civil emergency that we have the documents on from Soros
[03:01.000 --> 03:13.000]  that Info Wars broke last January a year ago and that got no coverage of their plan to incite race riots as the trigger for martial law.
[03:13.000 --> 03:21.000]  You'd think that might be big news. But instead I just have Soros funding lawsuits against me to shut me up. Never going to shut anything up.
[03:21.000 --> 03:29.000]  I can die today. The signal goes on. People understand globalism. They understand the new world order. They understand the attack on free press.
[03:29.000 --> 03:34.000]  They get it. There's no putting the genie back in the bottle.
[03:34.000 --> 03:40.000]  Ruth Bader Ginsburg for the first time in her decades perched on the court trying to deep six the country.
[03:40.000 --> 03:49.000]  She's had lung cancer tumors removed as you know a few weeks ago. Well she didn't show back up for key votes.
[03:49.000 --> 03:58.000]  So it looks like she's getting ready to make the jump into hyperspace and we wish her happy trails beyond the veil.
[03:58.000 --> 04:09.000]  I hope she lives a long time. I don't really wish harm on anybody but I tell you it's like that leaf on the tree in autumn that last brown leaf.
[04:09.000 --> 04:14.000]  One of the last old Democrats up there running this country down.
[04:14.000 --> 04:34.000]  And you know what told Johnny Cash that in that song you can run on for a long time run on for a long time sooner or later going to cut you down sooner or later going to cut you down.
[04:34.000 --> 04:43.000]  We return the battle for human destiny and so much more straight ahead.
[04:43.000 --> 04:55.000]  Oh and by the way hacker group has released with the second tranche of documents proving they have the smoking gun of inside job 9 11 hacker group releases 9 11 papers says future leak will burn down the deep state.
[04:55.000 --> 05:00.000]  Stay with us.
[05:00.000 --> 05:08.000]  Fueling your body is hard work. That's why we've introduced the info wars life daily digestive pack to help you fuel it right.
[05:08.000 --> 05:17.000]  Combine fluorolife everyday maintenance and carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[05:17.000 --> 05:19.000]  There's no better way to power your body.
[05:19.000 --> 05:31.000]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically study probiotic strains when paired with carnivore our incredible enzyme formula that helps you break down nutrients.
[05:31.000 --> 05:37.000]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[05:37.000 --> 05:45.000]  These incredible formulas can help keep your body in tip top shape in the fight against stress age and outside toxins.
[05:45.000 --> 05:51.000]  There's no better time to try fluorolife and carnivore to see how well they can support your body.
[05:51.000 --> 05:55.000]  Don't miss out on the chance to fuel your body and support recovery.
[05:55.000 --> 06:02.000]  Try the info wars life daily digestive pack today.
[06:02.000 --> 06:22.000]  You can run on for a long time, run on for a long time, run on for a long time.
[06:22.000 --> 06:32.000]  Soon our leader got to cut you down, soon our leader got to cut you down.
[06:32.000 --> 06:45.000]  Go tell that long tongue liar, go and tell that midnight writer, tell the rambler, the gambler, the back fighter, tell him that God's gonna cut him down, tell him that God's gonna cut him down.
[06:45.000 --> 06:57.000]  It's Monday, January 7th, 2019. My goodness gracious is the world not in crisis, but let me make the big announcement.
[06:57.000 --> 07:04.000]  I've been sitting back watching Trump very, very carefully to see if he's A for real, which I know he is at a gut level.
[07:04.000 --> 07:09.000]  And I've already seen through his action and B, is he gonna go on the offense, which is the only way out of this?
[07:09.000 --> 07:15.000]  Or is he going to start going on the defense and let me announce to everyone.
[07:15.000 --> 07:18.000]  Donald Trump is big time on the offense.
[07:18.000 --> 07:34.000]  And he's got a list of things like any good executive, any good faithful American would do of what is the top priorities that he's following in that order of prioritization.
[07:34.000 --> 07:42.000]  And his moves against the chai comms that are the number one global threat against this country allied with the criminals inside our government.
[07:42.000 --> 07:46.000]  It's the nexus point, the axis of evil.
[07:46.000 --> 07:52.000]  That combine is being dismantled savagely.
[07:52.000 --> 08:01.000]  And that's why you see the traitors saying kill him, saying murderous family, saying impeach him, that's why you see them freaking out.
[08:01.000 --> 08:07.000]  Because these flat rags know that their time is very, very short.
[08:07.000 --> 08:23.000]  But we're now entering the beginning of the maelstrom, the black squall, the tempest, the tornado, the typhoon, the hurricane.
[08:23.000 --> 08:25.000]  This is it.
[08:25.000 --> 08:35.000]  And I'm just glad America wasn't totally taken over at the end, because we were set up to just be collapsed right into the new world order, right into the EU and the chai comms.
[08:35.000 --> 08:37.000]  And it's just an incredible time.
[08:37.000 --> 08:41.000]  Even the New York Times has the headline.
[08:41.000 --> 08:42.000]  Zero hedge has it.
[08:42.000 --> 08:43.000]  It's up on infowars.com.
[08:43.000 --> 08:49.000]  President Xi orders Chinese army to prepare for war.
[08:49.000 --> 08:55.000]  Chinese ships today when a U.S. destroyer went through for right of navigation, an area that's always been open.
[08:55.000 --> 09:02.000]  The China does no claim on, but they are claiming they have threatened to attack our ships.
[09:02.000 --> 09:06.000]  Told them to turn back or they would be sunk, the destroyer and others.
[09:06.000 --> 09:08.000]  Well, the destroyers didn't turn back.
[09:08.000 --> 09:12.000]  And if the Chinese would have fired on those ships, they would have been sunk.
[09:12.000 --> 09:18.000]  And then we'll see if they want to try to get their ICBMs or cruise missiles off the ground or out of their submarines.
[09:18.000 --> 09:34.000]  But the satellites and the weapons systems, you better believe, and the lurking, fixed-wing platforms lurking around China were being watched at every point and being prepared to be targeted.
[09:34.000 --> 09:44.000]  So when Trump does stuff like this, the full Pentagon has the teeth out, claws out from space, from the ground, through cyber commands with the whole deal ready to take the chai comms out.
[09:44.000 --> 09:48.000]  That's how close we are to World War 4.
[09:48.000 --> 09:53.000]  The Cold War was called World War 3 by Russian and U.S. tacticians accurately.
[09:53.000 --> 10:02.000]  This is World War 4, and if it goes hot, it's the end of the planet, probably.
[10:02.000 --> 10:08.000]  Now, the United States has almost launched preemptive attacks on China before, and I'm hoping that's not what's going to happen.
[10:08.000 --> 10:16.000]  But if there's any evidence that they're going to go hot with any of those submarines or any of those silos, Trump's going to hit China.
[10:16.000 --> 10:23.000]  And that's why they have Mattis and all these other traders up there saying, oh, we made sure to never be out of town so that he wouldn't nuke people.
[10:23.000 --> 10:32.000]  Yeah, that's right, because the U.S. has a policy until Trump got in under Obama to absorb a first strike under the Presidential Decision Directive.
[10:32.000 --> 10:38.000]  Well, guess what? That directive's been rescinded, buckos.
[10:38.000 --> 10:43.000]  We're not just going to sit here and bend over to the chai comms or anybody else.
[10:43.000 --> 10:47.000]  If they try it, there's going to be a nuclear war, they're going to get their ass blown off.
[10:47.000 --> 10:53.000]  And that's why Trump's been trying to be nice with Russia, at least on the surface, so that we don't fight a two-front war that we lose.
[10:53.000 --> 10:59.000]  But believe me, there'll be a nuclear winter, but we can wipe the chai comms out in 20 minutes.
[10:59.000 --> 11:05.000]  20 minutes, there'll be 500 million of them dead in a hammer.
[11:05.000 --> 11:11.000]  Every one of their cities will be vaporized, and that's just the old-fashioned weapons.
[11:11.000 --> 11:14.000]  But don't think the chai comms don't have some dirty stuff.
[11:14.000 --> 11:17.000]  They're going to release bio weapons the minute they get nuked.
[11:17.000 --> 11:24.000]  They've got sleeper cells all over Europe and all over the United States with race-specific bio weapons that kill Anglos.
[11:24.000 --> 11:30.000]  So don't think it's going to be that easy, but don't worry, we've got bio weapons as well.
[11:30.000 --> 11:35.000]  Everybody's going to die if the trigger gets pulled.
[11:35.000 --> 11:42.000]  If I was a selfish person, I'd be in some armored redoubt in Idaho that just looked like a hilltop with my family.
[11:42.000 --> 11:49.000]  But I'm not. I'm here, and I believe in God, and I believe that we pray and we take action that this can all be averted.
[11:49.000 --> 12:02.000]  But America can't just roll over to the dirty proboscis of the New World Order and let it run its stinking tentacle into us.
[12:02.000 --> 12:04.000]  It's not going to happen.
[12:04.000 --> 12:07.000]  So it's a big world, big things happening.
[12:07.000 --> 12:14.000]  Everything Trump's done to the chai comms and their allies has cut their money off, cut their fraud off, cut their intelligence agencies off,
[12:14.000 --> 12:20.000]  arrest the head of their biggest spy network with their 5G control grid coming in.
[12:20.000 --> 12:24.000]  Last year, Trump takes aim at World Bank over China loans.
[12:24.000 --> 12:33.000]  U.S. back money backing Chinese projects in Africa, Latin America, you name it.
[12:33.000 --> 12:39.000]  As I told you, getting loans cheaper than U.S. companies or citizens do.
[12:39.000 --> 12:45.000]  And the private federal reserve says, oh, China can have 10% growth rates. We can't even have a 4.5. That's too fast.
[12:45.000 --> 12:50.000]  So they raise interest rates on us, but not on the chai comms. And Trump's mad about that.
[12:50.000 --> 12:54.000]  So he said it was wrong, and he said, I'll remove you.
[12:54.000 --> 12:59.000]  So he said, OK, I'll resign. That was a year and a half ago.
[12:59.000 --> 13:04.000]  October 2017, Trump made a big deal about that.
[13:04.000 --> 13:10.000]  That's an article out of foreign policy, especially the CFR arm of the Washington Post.
[13:10.000 --> 13:14.000]  So when you read that, that's the establishment talking. And now he's stepped down.
[13:14.000 --> 13:20.000]  Just another big sign. Jim Young Kim resigns as president of the World Bank.
[13:20.000 --> 13:30.000]  He will stand down by February 1 for private sector before expiring of his term in three years.
[13:30.000 --> 13:36.000]  Jim Young Kim is to step down as the head of the World Bank, sending shockwaves through the international aid community.
[13:36.000 --> 13:41.000]  Oh, the aid community. Oh, yes.
[13:41.000 --> 13:45.000]  Aiding the destruction of the sellout of the U.S., the Panama Canal, everything else.
[13:45.000 --> 13:50.000]  And oh, he was appointed, of course, by the Democrats.
[13:50.000 --> 13:54.000]  He was appointed by Barack Hussein Obama.
[13:54.000 --> 14:02.000]  So all the CHICOM officers are being removed out of our country's system.
[14:02.000 --> 14:06.000]  We created the World Bank. We run it. Supposedly to spread aid to the world.
[14:06.000 --> 14:09.000]  It's been spreading globalism and destruction of the third world.
[14:09.000 --> 14:18.000]  And the CHICOMs come in and bankrolling Chinese projects all over the world to exploit populations at levels never seen.
[14:18.000 --> 14:22.000]  It makes the British and the Dutch colonists look like angels.
[14:22.000 --> 14:26.000]  The Chinese leave nothing for anyone.
[14:26.000 --> 14:29.000]  But it's okay.
[14:29.000 --> 14:34.000]  World Bank Kim to resign effective February 1.
[14:34.000 --> 14:41.000]  President Xi orders Chinese army to prepare for war and threatens to invade Taiwan or attack U.S. ships.
[14:41.000 --> 14:45.000]  And today they threatened it.
[14:45.000 --> 14:53.000]  China confronts U.S. with fury as American missile destroyer sails through disputed South China Sea and challenged a Beijing.
[14:53.000 --> 14:58.000]  China officially threatened to attack the ships and warn Washington they may attack.
[14:58.000 --> 15:05.000]  Scrambling warships and aircraft to intercept and make threats upon the ships.
[15:05.000 --> 15:13.000]  In landmark speech, Xi threatens violence against Taiwan, demands peaceful reunification.
[15:13.000 --> 15:18.000]  U.S. destroyer sails through disputed South China Sea as trade talks kick off in Beijing.
[15:18.000 --> 15:23.000]  We urge the United States to immediately cease this kind of provocation.
[15:23.000 --> 15:26.000]  So I think that's some pretty big news, isn't it?
[15:26.000 --> 15:33.000]  And you'd think back home in America, the average American, the average leftist would figure this out and stand with their country.
[15:33.000 --> 15:39.000]  But no, they have been born and bred to hate the nation by the globalists in this long-term plan to bring us down.
[15:39.000 --> 15:45.000]  And they believe Americans standing for sovereignty and the Bill of Rights and Constitution and prosperity and justice
[15:45.000 --> 15:51.000]  and prison reform and pulling out of all these wars to be able to fight the chicoms and defend the border.
[15:51.000 --> 15:59.000]  They believe Trump's the bad guy. They love war. They want to keep blacks in prison longer. The left now loves Jim Crow.
[15:59.000 --> 16:03.000]  Most of you know that heart disease is the number one silent killer in the U.S.
[16:03.000 --> 16:08.000]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[16:08.000 --> 16:13.000]  At Heart and Body Extract. We've been helping thousands of people get back to a healthier heart.
[16:13.000 --> 16:18.000]  Don't just take my word for it. Check out all of the success stories at HBextract.com
[16:18.000 --> 16:29.000]  or to order call 866-295-5305. That's 866-295-5305. HBextract.com. Don't risk it when you can take charge of it.
[16:29.000 --> 16:38.000]  Silver has always been nature's very own antibiotic and only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
