[00:00:08.504 --> 00:00:12.973]  Leading a frontal assault on the lies of the New World Order.
[00:00:12.973 --> 00:00:16.761]  It's Alex Jones on the GCN Radio Network.
[00:00:19.485 --> 00:00:21.507]  Thank you for joining us, my friends.
[00:00:21.507 --> 00:00:26.750]  You're listening to a Sunday, the 29th day of August, 2010 transmission.
[00:00:26.750 --> 00:00:31.394]  We're going to be here for the next two hours.
[00:00:31.394 --> 00:00:40.481]  Congressman Ron Paul is coming up in the next segment on a host of issues, and then later in the hour, we're going to have World Affairs Brief Analyst
[00:00:41.141 --> 00:00:46.466]  An editor, Joel Skousen, joining us with a lot of key information.
[00:00:46.466 --> 00:00:51.710]  And we've also got some other guests lined up towards the end of the second hour today.
[00:00:51.710 --> 00:00:53.072]  But I wanted to point something out.
[00:00:54.201 --> 00:01:05.965]  Out of the gates, Ron Paul, 30 plus years ago, traveled the United States and talked about fractional reserve banking, the fiat money system.
[00:01:05.965 --> 00:01:20.529]  He warned about really proto-derivatives before those even existed, and how this was a form of counterfeiting, and that it was going to destroy our financial infrastructure and create a black hole that was impossible to escape from.
[00:01:21.329 --> 00:01:26.471]  And I wanted to go back to an article that came out earlier last week out of Bloomberg.
[00:01:26.471 --> 00:01:30.733]  Morgan Stanley says government defaults inevitable.
[00:01:30.733 --> 00:01:40.817]  Investors will face defaults on government bonds given the burden of aging populations and the difficulty of securing more tax revenue, according to Morgan Stanley.
[00:01:41.684 --> 00:01:42.965]  Inevitable.
[00:01:42.965 --> 00:01:45.106]  They're saying it's inevitable.
[00:01:45.106 --> 00:01:49.648]  And of course, there's a congressional report coming out saying the exact same thing.
[00:01:49.648 --> 00:01:51.149]  It's impossible.
[00:01:51.149 --> 00:01:56.291]  They have created 1.5 quadrillion, 1,500 trillion in fake derivatives.
[00:01:56.291 --> 00:01:57.212]  The Washington Post says...
[00:01:58.288 --> 00:02:00.191]  Six hundred trillion.
[00:02:00.191 --> 00:02:04.476]  But when you're talking about hundreds of trillions, it really doesn't matter if it's hundreds or thousands of trillions.
[00:02:04.476 --> 00:02:07.019]  The point is, it's a complete fraud.
[00:02:07.019 --> 00:02:08.821]  And that's why they want their world government.
[00:02:08.821 --> 00:02:11.605]  That's why they want these new funding mechanisms.
[00:02:11.605 --> 00:02:16.871]  The IMF has now come out with a new report even naming its new global
[00:02:17.392 --> 00:02:18.613]  Currency that it wants.
[00:02:18.613 --> 00:02:21.014]  It'll be backed up with carbon taxes.
[00:02:21.014 --> 00:02:22.435]  It continues in Bloomberg.
[00:02:22.435 --> 00:02:26.216]  Governments will impose a loss on some of their stakeholders.
[00:02:26.216 --> 00:02:41.164]  Arnaud Mars, an executive director of Morgan Stanley in London, wrote in a research report today, the question is not whether they will renege on their promises, but rather upon which of their promises they will renege on and what form the default will take.
[00:02:41.164 --> 00:02:45.026]  The sovereign debt crisis is global and it's not over, the report said.
[00:02:45.766 --> 00:02:54.177]  And they're talking about raiding Social Security, raising the retirement age, going after state pension funds, public and private.
[00:02:54.177 --> 00:02:57.482]  And there is not enough money in the universe to pay this back.
[00:02:58.684 --> 00:03:10.514]  It would only pay off a fraction of this fraudulent debt if they took all of your bank account money, all of your savings, all, you know, increased your taxes, everything, all of your pensions.
[00:03:10.514 --> 00:03:12.356]  You cannot pay it back.
[00:03:12.356 --> 00:03:23.766]  So, they're going to hold you hostage and say, well, we can fix it and you can still get part of your Social Security and part of your pension if you just let us raise taxes.
