[00:00:01.727 --> 00:00:03.188]  You have the power.
[00:00:03.188 --> 00:00:05.190]  Humanity has the power.
[00:00:05.190 --> 00:00:06.331]  We have the power.
[00:00:06.331 --> 00:00:07.612]  Do you want to fight?
[00:00:07.612 --> 00:00:12.056]  You better believe you got one!
[00:00:12.056 --> 00:00:17.080]  Rallying patriots worldwide in defense of human liberty.
[00:00:17.080 --> 00:00:25.827]  It's Alex Jones.
[00:00:25.827 --> 00:00:29.511]  I got up here to the office about an hour ago and it was a Sunday.
[00:00:30.888 --> 00:00:32.990]  I've been busy taking care of other work most of the day.
[00:00:32.990 --> 00:00:33.930]  I was a bit lethargic.
[00:00:33.930 --> 00:00:34.751]  I was a bit tired.
[00:00:34.751 --> 00:00:40.736]  I shuffled through hundreds of news stories, watched different video clips, and was just exhausted.
[00:00:40.736 --> 00:00:46.240]  But as I got ready to go live on air, I became totally energized.
[00:00:46.240 --> 00:00:48.361]  Because I'm a fighter.
[00:00:48.361 --> 00:00:51.364]  This is not my regular personality to get up here and get upset.
[00:00:52.759 --> 00:01:14.855]  But when I sit here and I look at open-world government being set up by above-the-law megabanks, whose ideology is eugenics and anti-human exterminism, and I realize that my ancestors fought that I would be free and be able to lead my own life today, and I love humanity, past, present, and future.
[00:01:14.855 --> 00:01:17.737]  I inherently, at a genetic and spiritual level,
[00:01:18.507 --> 00:01:23.385]  I want to pay that forward into the future because I am part of the great human experience.
[00:01:23.385 --> 00:01:24.710]  I have true brotherly love.
[00:01:26.067 --> 00:01:30.550]  And by the way, that's really nothing special in any successful culture.
[00:01:30.550 --> 00:01:42.660]  People are good, they love each other on average, they stand up for each other, they're optimistic, they love trailblazers, they love artists, they love honor, they love beauty, they love decency, they love family.
[00:01:42.660 --> 00:01:48.925]  All of that is under attack and being made artificially harder and harder to have so that we're completely empty.
[00:01:49.952 --> 00:01:52.974]  And go along with the system, and go along with the globalists.
[00:01:52.974 --> 00:02:00.520]  And that's why I'm so angry, that's why I'm so focused, that's why I'm so upset, and trying to shake humanity out of this trance.
[00:02:00.520 --> 00:02:03.983]  Now, can we come in in the next segment?
[00:02:03.983 --> 00:02:06.565]  I should have told you guys this before the show.
[00:02:06.565 --> 00:02:09.247]  But I love that intro for those about to rock.
[00:02:09.247 --> 00:02:14.011]  Because I think that intro basically will set the stage for what I'm going to cover.
[00:02:14.011 --> 00:02:18.775]  But all of you who are about to stand against tyranny, I salute you, and I want to make that clear.
[00:02:19.838 --> 00:02:21.119]  We're going to break in a few minutes.
[00:02:21.119 --> 00:02:22.879]  The long segments are coming up.
[00:02:22.879 --> 00:02:28.322]  We're going to be opening the phones up today to ask viewers and listeners, where is too far?
[00:02:28.322 --> 00:02:29.243]  Is there too far?
[00:02:29.243 --> 00:02:40.188]  Is there any line in the sand that the global social engineers can cross where you will stand up to them economically, culturally, in the First Amendment, in free speech, or physically?
[00:02:41.033 --> 00:02:44.516]  Is there any line that isn't too far for them to pass?
[00:02:44.516 --> 00:02:46.357]  Because they're testing us.
[00:02:46.357 --> 00:03:05.852]  And because we have so much entertainment, and a false bubble we live in, and there's still enough food to eat, as all our basic freedoms are being dismantled, as the lights are being turned off, as tyranny spreads worldwide, some people are upset and awake, but many others are in a trance, not aware of it.
[00:03:05.852 --> 00:03:08.915]  So I'm here to try to break people out of their trances.
[00:03:10.216 --> 00:03:11.097]  Or maybe I'm wrong.
[00:03:11.097 --> 00:03:19.828]  Maybe having the RNC and DNC announce they're going to steal the popular vote with the delegates from Donald Trump and Bernie Sanders for the first time ever.
[00:03:19.828 --> 00:03:21.270]  Selling it like it's no big deal.
[00:03:21.270 --> 00:03:24.194]  Selling it like it's acceptable.
[00:03:24.194 --> 00:03:25.195]  That's outrageous.
[00:03:25.195 --> 00:03:26.977]  All the media coverage.
[00:03:26.977 --> 00:03:27.999]  All the incredible hype.
