[00:00.000 --> 00:22.000]  If you are receiving this transmission, you are the resistance.
[00:22.000 --> 00:32.000]  Live from the Infowars.com Studios, it's Alex Jones.
[00:32.000 --> 00:40.000]  I'm kind of having a sick feeling. I'm just going to be honest with you. I just go with my gut. I go with where I really stand. I go with the information.
[00:40.000 --> 00:52.000]  I've been fighting for 23 years so hard that the idea of them shutting me down at a fleshly level, I am just dreaming of it.
[00:52.000 --> 01:00.000]  But at the same time for my children, your children, everybody else, at a spiritual level, I want to fight these people as hard as I can.
[01:00.000 --> 01:08.000]  You know, they say if a tree fell in the forest, but nobody was there to hear it fall, did it make a sound?
[01:08.000 --> 01:14.000]  And so many times I see stuff a year out, two years out, ten years out.
[01:14.000 --> 01:20.000]  Because I'm going off the level of white papers and documents most of the time, so it's not hard. It makes me sound really smart.
[01:20.000 --> 01:26.000]  But a lot of times something right up in my face, like a pit bull biting me, I just don't see.
[01:26.000 --> 01:33.000]  Everybody's looking for your wallet. It's right there on your sink. Everybody's looking for your hat that's on your head.
[01:33.000 --> 01:41.000]  That's happened nothing to all of us. Everybody's looking for your sunglasses and they're hanging on your neck.
[01:41.000 --> 01:48.000]  Two weeks ago Paul Watson called me and Paul's busy. I'm busy. We probably only talk every couple of weeks.
[01:48.000 --> 01:51.000]  We talk on air a couple of times a week, but off air maybe every two weeks.
[01:51.000 --> 01:57.000]  And they said, Alex, have you seen this in the Wall Street Journal? And he said it's the plan to take over the Internet.
[01:57.000 --> 02:03.000]  It says they're going to use us as the test case. And I did an article on it. You didn't cover it. Do you think that's a big deal?
[02:03.000 --> 02:11.000]  And I just said, yeah, that's got to be fake news. I mean, that is just that they admitted all and said we're going to make all this money.
[02:11.000 --> 02:17.000]  And we met with the tech heads and we're going to ban everybody off the web, but about a hundred companies.
[02:17.000 --> 02:22.000]  And they had headlines that were derivatives of it saying, watch out, Alex.
[02:22.000 --> 02:25.000]  YouTube's coming to ban you in the next two weeks.
[02:25.000 --> 02:35.000]  We kind of showed that article and I'm just like, and then CNN on Friday says Alex Jones is bullying children.
[02:35.000 --> 02:40.000]  And we're lobbying YouTube to shut him down and ban him from the platform.
[02:40.000 --> 02:49.000]  I mean, if you know law, corporate law, criminal law, state law, that's so criminal and also so uncivil.
[02:49.000 --> 02:56.000]  So it's criminal and it violates civil issues. It's open and shut. They don't care how big a lawsuit they lose.
[02:56.000 --> 03:00.000]  I mean, these are open and shut lawsuits now because they admit it all.
[03:00.000 --> 03:07.000]  We have the undercover video of them from YouTube, which is Google and the New York Times, Project Veritas.
[03:07.000 --> 03:13.000]  And now they're saying it. They're trying to shut down a competing news organization.
[03:13.000 --> 03:16.000]  And then they're misrepresenting what we say.
[03:16.000 --> 03:20.000]  So the reason this is the top story out of all the big news we've got is it is a top story.
[03:20.000 --> 03:24.000]  Drudge, Friday, Saturday and this morning removed it.
[03:24.000 --> 03:28.000]  That's a long time. Two days atop of Drudge had us top of Drudge.
[03:28.000 --> 03:31.000]  Google YouTube's war on Alex Jones.
[03:31.000 --> 03:35.000]  But listen, it's bigger than that. And Drudge obviously knows that.
[03:35.000 --> 03:39.000]  It's a war on you.
[03:39.000 --> 03:43.000]  And Drudge linked to our analysis of it and the two banned videos.
[03:43.000 --> 03:47.000]  And guess what? No one said they were crisis actors. No one said there wasn't a shooting.
[03:47.000 --> 03:53.000]  The videos they banned were students we had on and local newscast saying the sheriff's department stood down.
[03:53.000 --> 03:57.000]  There were 10 cars lined up for close to 10 minutes doing nothing.
[03:57.000 --> 04:02.000]  And the shooter supposedly was there while gunshots are going off. He didn't have a gun.
[04:02.000 --> 04:06.000]  And there were men in military fatigues running around in the school while the police sat outside.
[04:06.000 --> 04:12.000]  We have five students now on record.
[04:12.000 --> 04:16.000]  That video was just three of them.
[04:16.000 --> 04:24.000]  Now, I'm not even saying there were two shooters. It's on local TV.
[04:24.000 --> 04:28.000]  And it's in other interviews. And then we interview students.
[04:28.000 --> 04:33.000]  And they're like, yeah, everybody said there was other shooters and he didn't have the gun while the guns were going off.
[04:33.000 --> 04:38.000]  And CNN is using a set case working with News Corp.
[04:38.000 --> 04:44.000]  They admittedly are involved. They said they would a week before this happened to shut us down.
[04:44.000 --> 04:53.000]  And then they don't even use a video. And then now there's hundreds of articles talking about another video they banned a week ago that isn't even us saying they might be crisis actors.
[04:53.000 --> 04:56.000]  And now the news says that's my video.
[04:56.000 --> 05:00.000]  I mean, what next level fake news, folks?
[05:27.000 --> 05:35.000]  You can eat protein heavy foods now while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[05:35.000 --> 05:43.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[05:43.000 --> 05:50.000]  Cardivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals.
[05:50.000 --> 05:54.000]  Don't let a meal go to waste. Use carnivore by InfoWarsLife.
[05:54.000 --> 06:01.000]  Head to InfoWarsLife.com and secure your bottle now. That's InfoWarsLife.com.
[06:25.000 --> 06:36.000]  So, they said that Hunter S. Thompson would write these big articles for Rolling Stone all about himself.
[06:36.000 --> 06:50.000]  He would go out and get into these weird situations like being on peyote and LSD, enough to kill a horse at major tassinos in Vegas.
[06:50.000 --> 06:54.000]  And then it got turned into movies and was a big deal.
[06:54.000 --> 06:59.000]  I'm not trying to be Hunter S. Thompson here. This is happening.
[06:59.000 --> 07:03.000]  And believe me, I don't have any enjoyment.
[07:03.000 --> 07:08.000]  Any enjoyment off of the recordtraffictinfowars.com.
[07:08.000 --> 07:12.000]  7 million plus. As of last night, I haven't seen the new report today.
[07:12.000 --> 07:21.000]  People watching two videos, we posted our own servers of banned videos that CNN requested.
[07:21.000 --> 07:26.000]  Google, subdivision, YouTube ban.
[07:26.000 --> 07:32.000]  Because hey, this is great for InfoWars. This is great for Alex Jones. It's great for our bottom line.
[07:32.000 --> 07:37.000]  We've seen, compared to this time last year, record revenue coming in.
[07:37.000 --> 07:47.000]  And we're radically expanding in the face of people like Brian Stelter that openly lobbied yesterday and today on two different shows for us to be shut down publicly.
[07:47.000 --> 07:50.000]  We're going to play those clips.
[07:50.000 --> 08:01.000]  Because that short term, when they set the precedent to shut us down, this is the internet shutdown.
[08:01.000 --> 08:11.000]  And how do I know that? The CEO of Newscore, second largest media organization in the world after Disney.
[08:11.000 --> 08:14.000]  Disney's trying to buy right now.
[08:14.000 --> 08:25.000]  The incoming CEO that's replaced Rupert Murdoch two weeks ago said, we're going to censor everybody.
[08:25.000 --> 08:31.000]  Liberal, conservative, doesn't matter. And we're going to start with InfoWars claiming it's bullying in the next month.
[08:31.000 --> 08:37.000]  You can go to the article, infowars.com, Newscore, CEO admits he wants internet censored, so Newscore can make more money.
[08:37.000 --> 08:42.000]  Then you click on the Wall Street Journal article itself and it says, InfoWars is an example.
[08:42.000 --> 08:50.000]  And you can also pull up the articles that are derivatives of it that say, hold on to your tin full hat, YouTube's coming for Alex Jones.
[08:50.000 --> 08:57.000]  So they use that specifically by name.
[08:57.000 --> 09:03.000]  In the article, How YouTube Drives People to the Internet's Darkest Corners. Okay, let's stop there.
[09:03.000 --> 09:10.000]  And they define you as garbage, as a virus, as a pollution. Brian Stelter does that in a moment.
