[00:00.000 --> 00:29.120]  Infowars, tomorrow's news, today.
[00:29.120 --> 00:35.720]  The question for Mr. Austin, at the Ukrainian President Zelensky called again and again
[00:35.720 --> 00:40.400]  for an off-lie zone over Ukraine at the level of NATO.
[00:40.400 --> 00:47.240]  There were discussions about that at the NATO level, and if yes, what was the conclusion?
[00:47.240 --> 00:55.160]  Well, from a U.S. perspective, our President, President Biden, has been clear that we would
[00:55.160 --> 01:01.760]  not have U.S. forces fighting in Ukraine.
[01:01.760 --> 01:06.600]  Having said that, we'll do everything within our power to support Ukraine and their efforts
[01:06.600 --> 01:08.600]  to defend their territory.
[01:08.600 --> 01:17.760]  We've also stated that enforcing a no-fly zone actually means that you're in combat,
[01:17.760 --> 01:21.720]  you're in a fight with Russia.
[01:21.720 --> 01:27.200]  And that's one of the things that we have said that our President has said that we weren't
[01:27.200 --> 01:30.440]  going to do, getting in a fight with Russia.
[01:30.440 --> 01:34.440]  So what this really means is that in order to control the skies, you have to shut down
[01:34.440 --> 01:41.880]  the air defenses that are on the ground, and some of those air defense systems are in Russia.
[01:41.880 --> 01:47.960]  And so, again, there's no easy or simple way to do this.
[01:47.960 --> 01:50.920]  There's no such thing as a no-fly zone light.
[01:50.920 --> 01:55.760]  A no-fly zone means that you're in a conflict with Russia.
[01:55.760 --> 02:01.120]  So from a U.S. perspective, again, our position remains that we're not going to do that.
[02:01.120 --> 02:10.960]  Now you have Ireland and Great Britain and, you know, the Republic standing together against
[02:10.960 --> 02:17.360]  a murderous dictator, a pure thug who is waging an immoral war against the people of Ukraine.
[02:17.360 --> 02:21.400]  I just want to know what you suggest, because back then, when I was in your position, I
[02:21.400 --> 02:24.400]  was suggesting we bomb Belgrade.
[02:24.400 --> 02:31.080]  I was suggesting that we send American pilots in and blow up all the bridges on the Drina.
[02:31.080 --> 02:33.840]  I was suggesting we take out as oil supplies.
[02:33.840 --> 02:36.440]  I was suggesting very specific action.
[02:36.440 --> 02:38.800]  And it is interesting that we do.
[02:38.800 --> 02:40.320]  SAC, this is Crystal Palace.
[02:40.320 --> 02:48.280]  I think no radders declare DEF CON 3, scramble all alert aircraft, I repeat, scramble all
[02:48.280 --> 02:49.280]  alert aircraft.
[02:49.280 --> 02:52.640]  The Whopper spends all its time thinking about World War II.
[02:52.640 --> 02:53.960]  Target selection complete.
[02:53.960 --> 02:56.080]  Time on target sequence complete.
[02:56.080 --> 03:04.240]  22 Typhoon class submarines departing Petropavlovsk, turning south out of Nordkapp, bearing 095 degrees.
[03:04.240 --> 03:08.840]  Radar reports two unknown tracks are penetrating the Alaska near Defensa.
[03:08.840 --> 03:12.760]  From the front lines of the information war.
[03:12.760 --> 03:18.960]  Flush the bombers, get the subs in launch mode, we are at DEF CON 1.
[03:18.960 --> 03:21.400]  Are you prepared to destroy the enemy?
[03:21.400 --> 03:22.400]  You bet!
[03:22.400 --> 03:26.760]  Defending the Republic from enemies, foreign and domestic.
[03:26.760 --> 03:30.280]  We'll keep control, but we'll keep it here at the top where it belongs.
[03:30.280 --> 03:35.080]  Three, two, one, impact.
[03:35.080 --> 03:37.200]  Shall we play a game?
[03:37.200 --> 03:43.120]  How about global thermal nuclear war?
[03:43.120 --> 03:47.920]  Live from the Infowars.com studios, it's Alex Jones.
[03:47.920 --> 03:51.800]  All units confirm weapons targeted and ready awaiting launch codes.
[03:51.800 --> 03:53.480]  We are in a launch mode.
[03:53.480 --> 03:57.360]  Do you really believe that the enemy would attack without provocation?
[03:57.360 --> 04:01.760]  If you are receiving this transmission, you are the resistance.
[04:01.760 --> 04:02.760]  We're in.
[04:02.760 --> 04:04.760]  Russians are still denying everything, sir.
[04:04.760 --> 04:07.440]  We have a Soviet submarine launch detection.
[04:07.440 --> 04:09.440]  I wish I didn't know all about any of this.
[04:09.440 --> 04:11.440]  I wish I was like everybody else.
[04:11.440 --> 04:27.440]  Things can't be only when it is not to play.
[04:27.440 --> 04:31.280]  Biological attack is imminent, imminent.
[04:31.280 --> 04:32.280]  It's going to happen.
[04:32.280 --> 04:36.040]  It's not a question of when it happens, but when it happens.
[04:36.040 --> 04:40.800]  A bioweapon release could be the thing they'd release to bring in a world government to
[04:40.800 --> 04:45.720]  counter a global problem, and the UN has said that a global pandemic is the only thing
[04:45.720 --> 04:47.760]  that may save their world government.
[04:47.760 --> 05:00.680]  This is a biological warfare agent that had the out of the Wuhan laboratory.
[05:00.680 --> 05:03.440]  It's been noted by many a historian.
[05:03.440 --> 05:10.240]  The first casualty of war is the truth, and the next big casualty isn't even the people
[05:10.240 --> 05:11.240]  that die.
[05:11.240 --> 05:19.000]  No, that invariably follows, but first there is the crackdown on populations, basic liberty
[05:19.000 --> 05:22.120]  and speech and massive censorship.
[05:22.120 --> 05:27.760]  And now across the world, from the United States to Europe, legislation is being introduced
[05:27.760 --> 05:36.240]  that if you amplify any, quote, pro-Russian information, you can be censored.
[05:36.240 --> 05:37.640]  You can be arrested.
[05:37.640 --> 05:38.640]  You can be imprisoned.
[05:38.640 --> 05:44.560]  And of course now Canada is under this legislation that if you have a thought crime and they
[05:44.560 --> 05:50.440]  think you may have the intent to engage in hate speech online, that you will be censored
[05:50.440 --> 05:51.440]  and arrested.
[05:51.440 --> 05:55.720]  Ladies and gentlemen, the authoritarianism is being carried out by the globalists around
[05:55.720 --> 06:02.720]  the world against humanity that makes them fullers.com more important than ever.
[06:25.720 --> 06:46.320]  The
[06:46.320 --> 06:52.480]  first nation to successfully weaponize and mass produce deadly pathogens was Great Britain
[06:52.480 --> 06:55.240]  during the start of World War II.
[06:55.240 --> 07:00.920]  Britain followed by the United States, Germany, France, and Japan.
[07:00.920 --> 07:07.800]  While many nations mass produced them, Japan was notorious for deploying biological weapons,
[07:07.800 --> 07:14.480]  killing almost a half a million Chinese soldiers and civilians in several military campaigns,
[07:14.480 --> 07:21.760]  including the 1940 bombing of Ningbo, China, when Japan's secret bio weapons unit 731
[07:21.760 --> 07:28.280]  dropped ceramic bombs full of living fleas carrying the bubonic plague.
[07:28.280 --> 07:34.480]  German pharmaceutical company IG Farben Bayer conducted fatal human experiments on prisoners
[07:34.480 --> 07:40.880]  and killed over a million people with its cyanide-based Zyclon B.
[07:40.880 --> 07:47.640]  The U.S. established their own bio weapons program at Fort Dietrich, Maryland in 1942.
[07:47.640 --> 07:53.360]  And by the end of the war, brand new facilities were completed for mass production of anthrax
[07:53.360 --> 07:55.560]  and other bio weapons.
[07:55.560 --> 08:00.440]  After the war, the directors of IG Farben were punished at the Nuremberg trials, but
[08:00.440 --> 08:06.840]  the scientists were secretly absorbed into America's bio weapons program.
[08:06.840 --> 08:12.480]  Japan was planning to attack the city of San Diego, California with weaponized plague,
[08:12.480 --> 08:16.360]  but they surrendered three weeks prior to the scheduled attack.
[08:16.360 --> 08:22.520]  And while Japanese researchers arrested by Soviet forces were tried for war crimes, those
[08:22.520 --> 08:28.080]  captured by the United States were secretly given immunity in exchange for working with
[08:28.080 --> 08:31.400]  the U.S. bio weapons team.
[08:31.400 --> 08:37.960]  Long after World War II, the U.S. bio weapons program continued to expand with the help
[08:37.960 --> 08:41.160]  of Japanese and German war criminals.
[08:41.160 --> 08:47.600]  And in 1969, the U.S. government officially terminated their offensive biological weapons
[08:47.600 --> 08:54.200]  program, continuing on with a defensive biological weapons program, which was nothing more than
[08:54.200 --> 09:00.200]  a change of language ahead of the biological weapons convention in 1972.
[09:00.200 --> 09:05.920]  The U.S. would continue to experiment with and produce deadly pathogens, but now under
[09:05.920 --> 09:12.160]  the guise of defense and mostly defense against Russia.
[09:12.160 --> 09:18.240]  Of all the nations involved in bio weapons research, Russia factors in very little.
[09:18.240 --> 09:23.120]  The U.S. government claims that the Soviet Union had the biggest bio weapons program
[09:23.120 --> 09:30.640]  in history, but this is based solely on a mysterious 1979 anthrax leak and the lone testimony
[09:30.640 --> 09:37.120]  of Soviet defector Ken Alebeck, who has also been absorbed into the U.S. bio weapons program
[09:37.120 --> 09:43.800]  and who has helped the U.S. surround Russia with dangerous bio weapons labs.
[09:43.800 --> 09:48.200]  Russia is now releasing confiscated documents of the work that was being conducted in the
[09:48.200 --> 09:52.160]  NATO backed bio labs they have secured in Ukraine.
[09:52.160 --> 09:58.360]  These labs were allegedly developing genetically engineered bio weapons to target specific
[09:58.360 --> 10:05.440]  Slavic people and experimenting with ways of spreading pathogens via bats, ticks, lice,
[10:05.440 --> 10:11.920]  and fleas, like the work Japan's Unit 731 was doing before being secretly brought into
[10:11.920 --> 10:12.920]  the U.S.
[10:12.920 --> 10:19.080]  Meanwhile, Bill Gates is currently allowed to release hundreds of millions of genetically
[10:19.080 --> 10:26.480]  modified mosquitoes within the United States as some sort of disease control experiment.
[10:26.480 --> 10:31.160]  You can say what you want about Vladimir Putin and Russia, but they aren't the ones waging
[10:31.160 --> 10:34.040]  war against the people of the West.
[10:34.040 --> 10:39.520]  That would be the World Economic Forum, the big banks, and their lackeys of the Great Reset
[10:39.520 --> 10:41.280]  Agenda.
[10:41.280 --> 10:47.200]  After the U.S. government sanctioned all the Russian people, Putin responded by only targeting
[10:47.200 --> 10:53.640]  a few known criminals of the Great Reset Cabal, as if sending a message to the Americans that
[10:53.640 --> 10:56.520]  we share the same enemies.
[10:56.520 --> 11:03.560]  Whereas the global elites are working towards destroying the nation states, Russia is reinventing
[11:03.560 --> 11:05.520]  the nation state.
[11:05.520 --> 11:11.840]  Russia hopes to be the world's biggest producer of organic farming, while the globalists are
[11:11.840 --> 11:17.800]  pushing for genetically modified foods, bugs, and synthetic meat.
[11:17.800 --> 11:23.400]  The globalists are actively destroying the family down to the mother's womb.
[11:23.400 --> 11:29.400]  While Russia seeks to build a society based on family and Christian values, the Russian
[11:29.400 --> 11:35.200]  government provides fallout shelters for the civilian population to potentially survive
[11:35.200 --> 11:41.720]  a nuclear war, and the U.S. government has absolutely nothing for the people.
[11:41.720 --> 11:48.360]  We are on our own, but FEMA reminds us to remain socially distanced, while our government
[11:48.360 --> 11:53.360]  robs us blind and starts a nuclear war.
[11:53.360 --> 12:22.640]  Waiting for InfoWars, this is Greg Rees.
[12:23.680 --> 12:27.600]  Well, he trended number one on the Internet yesterday with tens of millions of views on
[12:27.600 --> 12:28.600]  Twitter alone.
[12:28.600 --> 12:34.440]  It's got to be 50 million views, just from the links I saw on Instagram and YouTube.
[12:34.440 --> 12:37.520]  It's flooding the zone, as they say.
[12:37.520 --> 12:43.480]  Alex Stein is a Texas-based comedian, and he likes to go rap at city councils.
[12:43.480 --> 12:46.160]  And I don't think this is even his best one.
[12:46.160 --> 12:47.160]  It's excellent, by the way.
[12:47.160 --> 12:48.160]  It's hilarious.
[12:48.160 --> 12:52.600]  A little bit of mic problems, but his last one, I think, was the best.
[12:52.600 --> 12:54.560]  He's joining us.
[12:54.560 --> 12:55.560]  He's a big friend of the show.
[12:55.560 --> 12:56.840]  He's never been on my show.
[12:56.840 --> 12:57.840]  I play clips of him.
[12:57.840 --> 12:58.840]  He's been on Owens.
[12:58.840 --> 13:03.080]  And, of course, he's been on the American Journal.
[13:03.080 --> 13:05.040]  And so Alex Stein's going to be joining us next segment.
[13:05.040 --> 13:09.840]  We have a little bit of fun here during the absurdity, because, folks, I'm not even playing
[13:09.840 --> 13:12.400]  these clips of Biden and Pelosi.
[13:12.400 --> 13:18.000]  I mean, I guess I might play some, but talk about flooding the zone.
[13:18.000 --> 13:25.040]  Every day, there's like two, three minute long times when nothing Pelosi says makes
[13:25.040 --> 13:26.040]  sense.
[13:26.040 --> 13:31.040]  And anyone that's been around somebody with full-on Alzheimer's who's 90 years old,
[13:31.040 --> 13:36.680]  my grandmother, the week she died at 92, here in Austin a few years ago, was talking
[13:36.680 --> 13:37.680]  like that.
[13:37.680 --> 13:40.400]  But, I mean, she died a couple days later.
[13:40.400 --> 13:43.400]  We were like, oh, gosh, Grandma's going to die.
[13:43.400 --> 13:47.560]  She doesn't know who she is, and it's gibbering, and that's what it's like.
[13:47.560 --> 13:56.120]  And instead, this is a person clearly with serious dementia on TV, and Biden's almost
[13:56.120 --> 13:57.120]  as bad.
[13:57.120 --> 14:03.800]  I mean, we're a cursed country, folks, and we have a psychotic Bill Gates who, in not
[14:03.800 --> 14:10.080]  just Florida and California, he tested them in Texas, these GMO mosquitoes that they released
[14:10.080 --> 14:15.640]  in South America that caused a bunch of mutations and are linked to actually creating Zika.
[14:15.640 --> 14:20.080]  And Gates separately says he's going to create vaccines that are delivered through food you
[14:20.080 --> 14:22.840]  eat, through the air, and, of course, through mosquitoes.
[14:22.840 --> 14:26.800]  So we're all being biologically and chemically tested on.
[14:26.800 --> 14:28.440]  We're being tested on with nanotech.
[14:28.440 --> 14:30.160]  What do you think COVID-19 is?
[14:30.160 --> 14:31.680]  What do you think the spike protein is?
[14:31.680 --> 14:33.000]  And it's just outrageous.
[14:33.000 --> 14:34.000]  We're being assaulted.
[14:34.000 --> 14:37.600]  So when that criminal group is telling us the Russians are bad and the Russians are
[14:37.600 --> 14:41.400]  evil and the Russians have to be destroyed, you've got to take it with a grain of salt.
[14:41.400 --> 14:45.040]  Doesn't mean you think the Russians are perfect or agree with them invading their neighbor.
[14:45.040 --> 14:49.600]  It just means you're like, OK, but the criminals want to start a larger war, and they were
[14:49.600 --> 14:54.400]  running biolabs there, and then lying doesn't say they aren't, even though it's in thousands
[14:54.400 --> 14:58.960]  of news articles previously, the U.S. government bragging about the labs, maybe like saying
[14:58.960 --> 15:00.560]  the Dallas Cowboys never existed.
[15:00.560 --> 15:05.360]  You're like, well, I've got thousands of articles that they've existed since the 1940s
[15:05.360 --> 15:12.000]  or 50s or whatever they got started, and Roger Stalback and all those people, and I went
[15:12.000 --> 15:16.440]  and saw Dallas Cowboys games, and they're like, nope, they never existed.
[15:16.440 --> 15:20.600]  Yeah, they got baby blue and silver uniforms with a navy blue star.
[15:20.600 --> 15:21.600]  No, they don't.
[15:21.600 --> 15:23.680]  Yeah, Tom Landry was their founding coach.
[15:23.680 --> 15:24.680]  No.
[15:24.680 --> 15:27.640]  Well, my grandfather was almost best friends with them, probably best friends.
[15:27.640 --> 15:31.080]  They prayed multiple times a week and went to college together with the Army Air Corps.
[15:31.080 --> 15:33.560]  Nope, Tom Landry didn't exist either.
[15:33.560 --> 15:34.560]  No one exists.
[15:34.560 --> 15:35.560]  Nothing exists.
[15:35.560 --> 15:36.560]  We tell you.
[15:36.560 --> 15:37.560]  I mean, it's ridiculous.
[15:37.560 --> 15:38.560]  It's freaking crazy town.
[15:38.560 --> 15:43.840]  And men can be women and women can be men and pedophilias all over the news is a good
[15:43.840 --> 15:44.840]  thing now.
[15:44.840 --> 15:50.760]  I mean, these people are out of control and we are letting them do this.
[15:50.760 --> 15:51.760]  Or did we really?
[15:51.760 --> 15:53.600]  No, they stole that election.
[15:53.600 --> 15:54.600]  Obviously they did.
[15:54.600 --> 15:55.600]  We have all the evidence.
[15:55.600 --> 15:56.600]  Big show today.
[15:56.600 --> 15:57.600]  Stay with us.
[15:57.600 --> 16:06.520]  Taking advantage of one of nature's most nutrient dense ingredients, Vaso Beats will be your
[16:06.520 --> 16:11.240]  new favorite infowars life formula.
[16:11.240 --> 16:16.000]  Using only water and beetroot, Vaso Beats is the most concentrated liquid extracts
[16:16.000 --> 16:18.600]  of meat on the market.
[16:18.600 --> 16:25.960]  With concentrated beet extract, you can get the high levels of betaine, nitrates and antioxidants
[16:25.960 --> 16:32.560]  you want to help support a healthy liver, athletic performance, blood vessels and more.
[16:32.560 --> 16:36.840]  Don't overlook the power of beetroot.
[16:36.840 --> 16:44.000]  Get your naturally occurring potassium, folate, vitamin C, iron, selenium, zinc, vitamin K
[16:44.000 --> 17:00.400]  and more with one of nature's greatest treasures in Vaso Beats from infowars life today.
[17:00.400 --> 17:05.520]  It's the next level in high powered energy neutropics with our latest brain force offering,
[17:05.520 --> 17:06.520]  brain force ultra.
[17:06.520 --> 17:11.440]  Now it is easier than ever to take in the new liquid form with eight beneficial super
[17:11.440 --> 17:12.440]  ingredients.
[17:12.440 --> 17:16.440]  Brain force ultra is the result of years of enhanced formulation.
[17:16.440 --> 17:22.160]  Three of toxic additives each ingredient is specifically selected for its many key properties.
[17:22.160 --> 17:27.720]  Some of the proprietary super ingredients behind brain force ultra include a rana seed which
[17:27.720 --> 17:33.080]  is loaded with energy compounds and antioxidants that have been used by Amazonian tribes for
[17:33.080 --> 17:39.080]  centuries, alpha GPC, a natural compound found in the brain that delivers an essential nutrient
[17:39.080 --> 17:44.440]  Koli and Ginkoli which is also known for its exceptional antioxidant content.
[17:44.440 --> 17:48.520]  This product is more than twice the servings of our brain force plus as well so you know
[17:48.520 --> 17:50.960]  it's packed full of the good stuff.
