[00:00.000 --> 00:10.580]  xbox test
[00:30.000 --> 00:44.320]  Ladies and gentlemen, it is September 4, 2019 on this Wednesday live edition, and it's
[00:44.320 --> 00:52.640]  with heavy heart that I have to tell you that I am now having to think about ways to trigger
[00:52.640 --> 00:57.760]  an initiative to begin the impeachment of Donald John Trump, the 45th President of the
[00:57.760 --> 01:04.320]  United States. It's a very, very grave situation, and when I woke up at 5 a.m. this morning and
[01:04.320 --> 01:09.000]  saw the article on infowaters.com and went to the Washington Post and read it, and then
[01:09.000 --> 01:16.720]  I did two plus hours of research, and I knew what I had to do. I had to come on air today
[01:16.720 --> 01:25.800]  and throw down the gauntlet to President Trump and just lay it out that we are not going
[01:25.800 --> 01:33.080]  to go quietly into that dark night of technocracy. Now I want to be clear, President Trump may
[01:33.080 --> 01:39.960]  not actually be supporting what I'm about to announce, that they say he is supporting.
[01:39.960 --> 01:48.320]  But regardless, he's got people in his administration that are supporting it, and if they are not
[01:48.320 --> 02:03.240]  healed in, then it's clear the President is playing a double game. Now, all yesterday
[02:03.240 --> 02:10.080]  I talked about, does President Trump know when he releases the Pentagon and DARPA against
[02:10.080 --> 02:18.040]  quote, memes that that's mainly his supporters? And they're even calling Mitch McConnell in
[02:18.040 --> 02:23.200]  the DARPA statements, Moscow Mitch. I mean, this is the outside globalist group destroyed
[02:23.200 --> 02:28.840]  the country, and Trump's doing nothing to block the funding of this. In fact, he's got
[02:28.840 --> 02:33.240]  some people in his administration running around cheerleading it, but that's not where
[02:33.240 --> 02:45.800]  we're going today. That's in the same wheelhouse. Now, I've done massive preparation for this
[02:45.800 --> 02:51.200]  broadcast. Let me show folks an overhead shot, please. I'm going to show folks. Yeah, pull
[02:51.200 --> 02:54.800]  back for him. I want a wide overhead shot. A wide overhead shot is kind of with my head
[02:54.800 --> 02:58.840]  right here, and you can see all the articles. Yeah, that's what I want when I ask for that.
[02:58.840 --> 03:09.920]  Now, when I come back, I'm going to tell you what Trump's done. And what's being proposed.
[03:09.920 --> 03:15.760]  The headline is live on info wars.com and news wars.com. And we're going to add the
[03:15.760 --> 03:22.520]  live feed of the show into the article covering this that's linked up on drugs report.com.
[03:22.520 --> 03:33.080]  But when I come back, we're going to cover it. Now, Paul Watson's article strong, but
[03:33.080 --> 03:42.760]  it's not strong enough. He'll be joining us at 15 after Trump administration considering
[03:42.760 --> 03:48.400]  social credit score systems determined who can buy a gun. Now, when you actually read
[03:48.400 --> 03:55.760]  the proposal, it's so many times worse than that, that it's staggering. It's not just
[03:55.760 --> 04:03.960]  the end of the process and a digital red flag. It is a consortium of psychologists and psychiatrists
[04:03.960 --> 04:13.560]  in DARPA with a new agency they're setting up called Harpa, where all of your smart devices
[04:13.560 --> 04:18.840]  listen to you in live time, which they're already doing, but they admit it in the paper and
[04:18.840 --> 04:28.560]  report back to big tech that runs it for the shadow government. All they did was basically
[04:28.560 --> 04:35.240]  get everybody to opt in the last 20 years to social media into the NSA to waive your
[04:35.240 --> 04:42.400]  rights. And now they're dropping the hammer on us. And Trump is reportedly set to push
[04:42.400 --> 04:46.320]  this. So this is their coming out. Now that you know they're listening to you, think of
[04:46.320 --> 04:51.880]  that scandal. Now this is their coming out, where they're just going to say, yeah, that's
[04:51.880 --> 04:56.160]  right. By the way, your social score gets downgraded if you don't carry a smartphone
[04:56.160 --> 05:00.720]  so they can listen to you. That means they can't trust you. It's been a year since
[05:00.720 --> 05:05.760]  info wars and our other channels were completely banned off of YouTube. We had over 5 billion
[05:05.760 --> 05:09.720]  views when we got banned and we're credited with getting Donald Trump elected because
[05:09.720 --> 05:14.320]  we were able to punch through and reach the grassroots. Now as we enter the 2020 election
[05:14.320 --> 05:19.080]  cycle, it's more important than ever that there be a place where the censors are unable
[05:19.080 --> 05:26.360]  to block the signal. And it's now here. Banned.video. Banned.video is the answer for libertarians,
[05:26.360 --> 05:33.640]  conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform
[05:33.640 --> 05:38.600]  where videos banned by YouTube, Facebook and Twitter are still available. Watch your favorite
[05:38.600 --> 05:43.240]  content for media personalities banned by big tech. Works on every device. Take your
[05:43.240 --> 05:49.040]  shows on the go with banned.video. Watch live shows on demand content and join in on the
[05:49.040 --> 05:54.320]  conversation from anywhere with banned.video. Share videos with your friends via Facebook,
[05:54.320 --> 06:21.080]  Twitter, SMS, email and more. Banned.video.
[06:21.080 --> 06:26.720]  So I'm sure all of you have noticed in the last six months, there have been thousands
[06:26.720 --> 06:37.360]  of articles in TV news programs saying, hey, it's true. Over 40 different home assistants,
[06:37.360 --> 06:42.480]  including smart speakers in your boat or your car or your RV or your home, are listening
[06:42.480 --> 06:50.040]  to you. And in many cases, there's now cameras on these devices. They're watching you and
[06:50.040 --> 06:56.320]  they're reporting it all back to big tech and to AI and to whole teams of people that
[06:56.320 --> 07:01.720]  are specifically going into the recordings and listening to key parts of it because keyword
[07:01.720 --> 07:09.280]  is all recorded and put into a text file that's then searchable. Now, that's beyond 1984.
[07:09.280 --> 07:12.840]  And we've had all these big tech heads come out in the last week and say, you know, it's
[07:12.840 --> 07:20.920]  really not a big deal. We need to just accept that you're being listened to and you're
[07:20.920 --> 07:27.200]  being watched and there's no such thing as privacy. And they're coming out saying, and
[07:27.200 --> 07:32.040]  yes, you're smart TVs listening to you and watching you. And yes, all the new speakers
[07:32.040 --> 07:37.160]  you buy and your dishwashers, just everything has a microphone in it. Just like the head
[07:37.160 --> 07:42.160]  of the CIA said a decade ago, we'll watch you via your dishwasher. None of this stops
[07:42.160 --> 07:48.600]  crime. None of this stops terrorist. This is all used to spy and control the population
[07:48.600 --> 07:54.160]  and put into giant algorithms to then track populations and be able to manipulate populations
[07:54.160 --> 08:01.560]  and be able with a global social credit score to control your every movement. Already tens
[08:01.560 --> 08:05.480]  of millions of flights canceled. Two and a half million people not allowed to ride on
[08:05.480 --> 08:09.340]  a train or a bus. The Chinese government said this year you won't be able to move two feet
[08:09.340 --> 08:15.120]  outside your door if you haven't submitted. And then of course you submit and it's always
[08:15.120 --> 08:20.440]  more and more and more they want. So why? Why am I so upset? Why am I so concerned?
[08:20.440 --> 08:27.000]  The story's up on infowars.com and newswars.com. It's also at prisonplanet.com. But the easiest
[08:27.000 --> 08:33.680]  place to find it is drudgereport.com. We've also added the live feed to this broadcast.
[08:33.680 --> 08:38.160]  Paul Joseph Watson joins us in the next segment. We're going to be laying all of this out,
[08:38.160 --> 08:42.280]  but you need to share this so we have a chain reaction and resist because here's what I'm
[08:42.280 --> 08:49.280]  getting in. We have a right and a duty to know we're being listened to and being watched.
[08:49.280 --> 08:53.120]  We need to know these big predatory companies have lied to Congress, lied to us, lied to
[08:53.120 --> 09:01.400]  everyone and are doing it because, and I'm going to show you the proof, this is an admitted
[09:01.400 --> 09:13.800]  DARPA program adopted as U.S. policy in 1962. And they laid out the social media system,
[09:13.800 --> 09:20.160]  how they would launch it by 2000, how they would have a Facebook. I'm going to show
[09:20.160 --> 09:26.640]  you all the public documents and how finally they would make all these systems so addictive
[09:26.640 --> 09:30.640]  that you will give up on your family, give up on your neighbors and become completely
[09:30.640 --> 09:40.360]  habitualized to a, quote, symbiosis with computers and a merger with machines. Remember
[09:40.360 --> 09:46.680]  NBC News a week and a half ago. Cyborgs will replace humans and remake the world. James
[09:46.680 --> 09:54.960]  Lovelock says humans will be obsolete by this generation and will be extinct. That's the
[09:54.960 --> 10:01.840]  first paragraph. So understand, those building this architecture are building all of this
[10:01.840 --> 10:06.680]  to lower your IQ, to make you lonely, to make you alone, to make you not have an attention
[10:06.680 --> 10:13.120]  span and to cause you to have basically narcoleptic style brain disorders that are exploding more
[10:13.120 --> 10:19.360]  than 50,000% last number I saw. The public is in a trans-zombie state. Stand around at
[10:19.360 --> 10:24.000]  the mall or grocery store, look at most people. They look like dead zombies. Go to a rodeo
[10:24.000 --> 10:28.720]  or some right wing event. People's eyes are on fire and they're awake and they're alive.
[10:28.720 --> 10:33.240]  This whole leftist culture is about domestication and spiritual death. Now let me give you the
[10:33.240 --> 10:40.320]  big news. I don't go after Trump to get brownie points with people. I don't hedge my bets
[10:40.320 --> 10:43.640]  to get the left off my back. They're going to come after me regardless because I'm against
