[00:00:00.896 --> 00:00:03.176]  Victimizers, beware!
[00:00:03.176 --> 00:00:06.117]  The racist and biggest, greatest nightmare!
[00:00:06.117 --> 00:00:08.897]  Social Justice Warriors!
[00:00:08.897 --> 00:00:10.738]  Get Triggered!
[00:00:10.738 --> 00:00:12.978]  It's the Bias Response Team!
[00:00:12.978 --> 00:00:15.739]  If you've been offended, your feelings must be defended!
[00:00:15.739 --> 00:00:16.979]  What do you want me?
[00:00:16.979 --> 00:00:18.459]  Go!
[00:00:18.459 --> 00:00:22.300]  The freedom of expression is a microaggression!
[00:00:22.300 --> 00:00:24.320]  Here comes Angela Frey!
[00:00:24.320 --> 00:00:26.741]  He's always ready to fight fascism!
[00:00:26.741 --> 00:00:27.601]  With fascism!
[00:00:28.626 --> 00:00:31.288]  Starbucks windows don't stand a chance!
[00:00:31.288 --> 00:00:33.309]  Ethic enhancer!
[00:00:33.309 --> 00:00:35.711]  He's a systematic racism finder!
[00:00:35.711 --> 00:00:45.378]  Using the powers of screaming and shame, they win every debate by calling your name!
[00:00:45.378 --> 00:00:48.360]  They're heroes who think that they're victims!
[00:00:48.360 --> 00:00:54.404]  Black and Justice Warriors!
[00:00:58.763 --> 00:01:02.805]  It's July 10th on this live Friday transmission.
[00:01:02.805 --> 00:01:04.486]  I'm your host, Alex Jones.
[00:01:04.486 --> 00:01:07.288]  We're 115 days out from the election.
[00:01:07.288 --> 00:01:22.656]  Out of all these stacks of incredibly important news, this article is a continuation of what Foreign Affairs of the CFR put out a few weeks ago, and of what Joe Biden has been saying.
[00:01:22.656 --> 00:01:24.677]  In fact, reprint me these, please.
[00:01:26.425 --> 00:01:42.212]  That Trump is a dictator already, illegitimate, and he's going to try to stay in office, and that anyone that aids him when they announce that he loses the election will be removed forcibly and will be put in prison.
[00:01:42.212 --> 00:01:47.474]  Now, this is coming out of the Council on Foreign Relations and out of the Atlantic Council.
[00:01:50.083 --> 00:01:53.085]  And now it's in the Stanford Advocate newspaper.
[00:01:53.085 --> 00:01:56.927]  They are beating this drum long and hard.
[00:01:56.927 --> 00:01:59.529]  Now, Goldman Sachs came out two days ago.
[00:01:59.529 --> 00:02:01.730]  In fact, pull that from the stack if you can.
[00:02:01.730 --> 00:02:07.394]  And they said, well, there's a good chance the election is going to be contested like in 2000.
[00:02:07.394 --> 00:02:16.440]  But this time, if the Republican contested, they're saying we're going to use the military to come in and take you all out.
[00:02:17.557 --> 00:02:24.142]  So what I'm going to do is I'm going to get the Biden clips where he said a month ago, we'll use the military to take Trump out.
[00:02:24.142 --> 00:02:36.212]  And I'm going to get the foreign affairs CFR statements, the Atlantic Council statements, and some of the other preparations and the signals we're getting from the US military brass that they're not going to support
[00:02:37.270 --> 00:02:37.710]  President.
[00:02:37.710 --> 00:02:46.776]  Now the general military will, but the actual brash have all been selected by the establishment through the years to be absolute sellouts.
[00:02:46.776 --> 00:02:50.439]  These four-star generals are just almost all of them to complete trash.
[00:02:50.439 --> 00:02:56.063]  And I was warned about this by one-star generals and colonels and majors and stuff 30 years ago.
[00:02:56.063 --> 00:02:57.684]  Don't put your faith in the military.
[00:02:57.684 --> 00:02:59.965]  They've selected really bad people at the top.
[00:02:59.965 --> 00:03:00.826]  Here's the new headline.
[00:03:02.366 --> 00:03:09.989]  Trump could lose and not leave, but cabinet members who try to help face prison.
[00:03:09.989 --> 00:03:20.114]  So they're going to say 25th Amendment, if Trump challenges any of the mail-in ballots or any fraud, and there's any fighting that goes on that's totally constitutional, then he'll be removed.
[00:03:20.114 --> 00:03:23.876]  So that's what they're trying to set up.
[00:03:23.876 --> 00:03:26.477]  And they want the economy so bad and riots going on,
[00:03:28.286 --> 00:03:31.968]  All because of the COVID hoax that they can point at Trump and say it's his fault.
[00:03:31.968 --> 00:03:34.790]  Remember what Bill Maher said on HBO?
[00:03:34.790 --> 00:03:41.234]  Remember what the Democrats said on CNN, MSNBC before the COVID thing got launched in November?
[00:03:41.234 --> 00:03:44.076]  We heard about it by January.
[00:03:44.076 --> 00:03:56.483]  We got to make things so bad and then harass Trump supporters so much and ruin their lives so bad and create a depression, a stock market crash that's worth it to drive Trump from office so the globalists get back in control.
[00:03:59.172 --> 00:04:05.177]  They're launching what they were always planning to launch when Hillary got in too, but they're just accelerating it.
[00:04:05.177 --> 00:04:06.858]  And I think we've done a great job.
[00:04:06.858 --> 00:04:08.860]  This is really blowing up in their face.
[00:04:08.860 --> 00:04:12.063]  They can't help themselves.
[00:04:12.063 --> 00:04:17.467]  And so now you've got all these tyrants saying, purge Trump supporters, imprison us.
[00:04:17.467 --> 00:04:23.412]  Hey, this isn't Russia or China where one half a percent are armed, dumbass.
[00:04:24.551 --> 00:04:28.115]  You're not going to have your Bolshevik way with us just so easily.
[00:04:28.115 --> 00:04:33.843]  So you better pray to your mommy every night and day that you're not successful in starting a hot war.
[00:04:33.843 --> 00:04:41.212]  Because you start it, you're globalists aren't going to be able to hide out in some armored redoubt in Kauai or in Tasmania.
[00:04:42.389 --> 00:04:46.494]  Or in the bush of Australia, or in New Zealand, or in Switzerland.
[00:04:46.494 --> 00:04:48.236]  Everyone knows where you are.
[00:04:48.236 --> 00:04:51.039]  So I would advise you to stop now.
