[00:00.000 --> 00:08.940]  big brother mainstream media government cover-ups you want answers well so does
[00:08.940 --> 00:16.460]  he he's alex jones on the GCN radio network and now live from austin texas
[00:16.460 --> 00:40.960]  alex jones
[00:40.960 --> 01:01.540]  well I won't back down no I won't back down you can stand me up at the gates of hell
[01:01.540 --> 01:14.940]  but I won't back down no I'll stand my ground won't be turned around and I'll
[01:14.940 --> 01:24.980]  keep this world from dragging me down gonna stand my ground and I won't back
[01:24.980 --> 01:45.740]  down I won't back down hey baby there ain't no easy way I'll stand my ground and I won't back
[01:45.740 --> 02:00.380]  down well I know what's right I got just one line in a world that keeps on pushing me around
[02:00.380 --> 02:28.700]  but I'll stand my ground and I won't back down hey baby there ain't no easy way I'll stand my ground and I won't back down
[02:28.700 --> 02:57.700]  hey baby there ain't no easy way I'll stand my ground and I won't back down
[02:57.700 --> 03:26.700]  hey I won't back down hey baby there ain't no easy way I'll stand my ground and I won't back down
[03:26.700 --> 03:47.700]  I won't back down I won't back down
[03:47.700 --> 04:16.700]  hey baby there ain't no easy way I'll stand my ground and I won't back down hey baby there ain't no easy way
[04:16.700 --> 04:41.700]  I'll stand my ground and I won't back down hey baby there ain't no easy way I'll stand my ground and I won't back down
[04:41.700 --> 04:46.700]  when it comes to heroes renegade your mind
[05:11.700 --> 05:37.700]  a cola blue is a state of the art atmospheric water generator producing purified drinking water from the humidity in the air using reverse osmosis and a five stage carbon and UV light filtration system which produces great tasting water at an unbeatable price finally drinking water that you control I use one every day say goodbye to expensive water delivery services and storing five gallon bottles of water in your home
[05:37.700 --> 05:56.700]  the a cola blue 28 is shipped right to your home ready to make close to seven gallons a day right out of the box they have a 30 day money back guarantee call a cola blue right now at 866-585-4044 that's 866-585-4044 or visit a cola blue at ECOLOBLUE.com today
[05:56.700 --> 06:07.700]  may I have everybody's attention please I've come with a message of information 9-11 was an inside job do you like being a puppet sir do you like being a puppet from the new world order
[06:07.700 --> 06:14.700]  I'll do the American people know that 9-11 was a stage was engineered by you David Rockefeller the fallout or permission to see afar
[06:14.700 --> 06:23.700]  the day that we stop asking questions is the day that we have allowed the seeds of despotism to grow at our own door
[06:23.700 --> 06:29.700]  seven years after the attacks of September 11th a global awakening has taken place
[06:29.700 --> 06:33.700]  an inside job how dare you
[06:33.700 --> 06:39.700]  if you know that there's treason going on you can be held accountable for treason yourself
[06:39.700 --> 06:42.700]  all hell is breaking loose on 6th avenue
[06:42.700 --> 06:48.700]  and if the government has not told the truth in five years we will be here on the 10th anniversary of life
[06:48.700 --> 06:53.700]  now that the election is over and the shock is beginning to wear off
[06:53.700 --> 07:07.700]  ready reserve foods in an effort to get as many Americans prepared for the promise changes of the new administration and to help you and your families
[07:07.700 --> 07:09.700]  survive the global economic crash
[07:09.700 --> 07:12.700]  ready reserve is offering the pre inauguration special
[07:12.700 --> 07:19.700]  between now and January 20th 2009 all food units you one through you seven are being offered at wholesale prices
[07:19.700 --> 07:25.700]  that's a 33% savings a year supply of meals starts as low as 73 cents per meal
[07:25.700 --> 07:32.700]  ready reserve food offers only the highest quality to hydrated food packed and doubly namled cans in an inert nitrogen atmosphere
[07:32.700 --> 07:35.700]  allowing a 15 plus year shelf life
[07:35.700 --> 07:41.700]  ready reserve has been manufacturing since 1972 giving them the freedom to offer you amazing savings
[07:41.700 --> 07:48.700]  great tasting ready reserve foods at wholesale prices order now at readyreservefoods.com or call today
[07:48.700 --> 07:51.700]  1-800-453-2202
[07:51.700 --> 07:55.700]  that's 1-800-453-2202
[07:58.700 --> 08:04.700]  from his central Texas command center deep behind enemy lines the information war continues
[08:04.700 --> 08:11.700]  it's Alex Jones and the GCN radio network
[08:11.700 --> 08:18.700]  Alex Jones on the GCN radio network and now live from Austin, Texas
[08:18.700 --> 08:22.700]  Alex Jones
[08:22.700 --> 08:34.700]  leading from Wikipedia General Hamid Gould served as director general Pakistan's inner service intelligence ISI during 87-89 mainly in the time when
[08:34.700 --> 08:41.700]  minister Budo was prime minister of Pakistan he was instrumental in the anti-Soviet support of the Mujahideen and the Afghan war
[08:41.700 --> 08:50.700]  79-89 a pivotal time during the Cold War and the step and it goes on and we have him online with us we of course yesterday played the CNN
[08:50.700 --> 08:58.700]  TV interview he did it was heavily edited this is live and is not edited going back to him in Pakistan we've tried three different lines
[08:58.700 --> 09:06.700]  this is the best one we have we apologize our audio was not loud to him is not very audible and obviously his audio back to us is very
[09:06.700 --> 09:10.700]  very broken up but we nevertheless have him joining us we're very thankful
[09:10.700 --> 09:20.700]  sir continuing on the CNN program at least what they edited you to say you talked about 9-11 the evidence being that 9-11 was an inside job
[09:20.700 --> 09:30.700]  and the attacks in Bombay now Mumbai a few weeks ago that the evidence was it was an inside job can you go over the evidence that you believe that
[09:30.700 --> 09:35.700]  these are false flag events sir and why these false flag events are being staged
[09:35.700 --> 09:44.700]  are you talking about 9-11 yes sir well I have my own reason you know Rod Norland was the senior reporter here
[09:44.700 --> 09:55.700]  I think he was based in Islam was at that time and he came to me immediately after 9-11 and his version that that I put out
[09:55.700 --> 10:04.700]  it was given to the Newsweek and unfortunately it was blocked but it appeared on the internet on the website of the Newsweek
[10:04.700 --> 10:13.700]  and you can see it I think it is dated 16th or 17th of September 2001 and in that I had said the same thing
[10:13.700 --> 10:25.700]  and I still maintain that that's my position I have following reasons for it a that 9-11 took place on the American soil
[10:25.700 --> 10:35.700]  not a single person has been caught inside America even though for doing such a job I think a huge amount of logistic support is required in the area
[10:35.700 --> 10:46.700]  where such operation is carried out secondly the air traffic control when they saw that 4 air transports were changing direction
[10:46.700 --> 10:53.700]  going from east coast to west coast where they were headed they started traveling in different directions
[10:53.700 --> 11:01.700]  and it is quite amazing that for a very long period of time the air traffic control did not report this
[11:01.700 --> 11:11.700]  nor did the US Air Force act in time if one were to calculate from the first flight when it took off from Logan
[11:11.700 --> 11:25.700]  until the first aircraft and the solitary aircraft that took off was an F-16 which took off from Langley which is CIO's headquarter instead of one of the operational bases
[11:25.700 --> 11:35.700]  so many of them are available in that area and then a single aircraft never takes off because we have been told that whenever the aircraft trembled
[11:35.700 --> 11:47.700]  they trembled in two and the time that it took was enormous it was 112 minutes so 112 minutes is a very long time in which to act
[11:47.700 --> 11:53.700]  was the US Air Force sleeping and if it was sleeping which heads were rolled
[11:53.700 --> 12:04.700]  second it was a huge intelligence failure and no heads have been rolled nobody has been taken to task not a single person has resigned for this
[12:04.700 --> 12:13.700]  thirdly the air traffic control should have been rehashed they should have been turned inside out but nothing of the sort happened
[12:13.700 --> 12:26.700]  and finally how come this is a coincidence that four transponders did not work and it is not possible the direction is changed and it is not noted
[12:26.700 --> 12:35.700]  secondly the US Air Force has the ability because in the past whenever a plane has been hijacked
[12:35.700 --> 12:46.700]  the record is that within seven minutes the US aircraft has been on the wing of the hijacked aircraft in this case it did not happen
[12:46.700 --> 12:58.700]  the US alert system is so high and it is so sophisticated that if a missile was to take off from Moscow and was to head towards New York
[12:58.700 --> 13:08.700]  it takes about 18 minutes and the US Air Force and the missile system is supposed to intercept it within nine minutes
[13:08.700 --> 13:14.700]  that means on the Atlantic or on the Pacific it must stop that missile from coming in
[13:14.700 --> 13:20.700]  the system is in place but it did not work and nobody tried to question this
[13:20.700 --> 13:30.700]  lastly no inquiry has so far been held formally into the incident and the whole world has been turned upside down so many people have been killed
[13:30.700 --> 13:40.700]  American economy is going into a meltdown and everything has gone wrong with the world and yet no formal inquiry has been ordered by the US government
[13:40.700 --> 13:45.700]  so I really don't know there are so many questions which hang in the balance
[13:45.700 --> 13:54.700]  and then to stop it all they say that Adam Muhammad who took training on a light aircraft in Miami for six months
[13:54.700 --> 14:04.700]  he could have maneuvered a jumbo 74757 from a height where it was travelling
[14:04.700 --> 14:12.700]  the height was 9000 and it came within seconds to a height of 1000 and then went straight into its target
[14:12.700 --> 14:20.700]  now this is not possible for a person who has been trained on a light aircraft to be able to do this
[14:20.700 --> 14:26.700]  and there is no mention of the second aircraft so there are number of things which remain unanswered
[14:26.700 --> 14:34.700]  yes whenever the journalists come and visit me here and I ask them these questions that why haven't you taken the answers about this
[14:34.700 --> 14:40.700]  they say that patriotic act comes in the way and we are not supposed to ask such questions
[14:40.700 --> 14:48.700]  general we are talking to general Hamed Gould the former head of Pakistani ISI during the key period fighting the Russians
[14:48.700 --> 14:56.700]  he was also before he was the head of ISI one of the chiefs according to our media running operations against the Russians
[14:56.700 --> 15:01.700]  and of course working with the United States closely as well as the Saudi Arabians and the British
[15:01.700 --> 15:10.700]  and that's incorrect correct me general Gould what are the motives we have PNAC with Dick Cheney saying they need a Pearl Harbor event
[15:10.700 --> 15:19.700]  we have 44,000 US troops massing into Jikistan and Uzbekistan in the days before 9-11 we have Bush on September 10th
[15:19.700 --> 15:27.700]  Newsweek reported ordering the launch of attacks the next week we have of course the buildings being blown up with explosives
[15:27.700 --> 15:35.700]  and all of the witnesses to that now the government admits that building 7 did fall in free fall was not hit by a plane
[15:35.700 --> 15:41.700]  specifically sir motives why would the military industrial complex controlling the United States
[15:41.700 --> 15:45.700]  why would they stage a 9-11 attack
[15:45.700 --> 15:57.700]  well I think after the Cold War when the economic was known as the inflation was very high and the domestic issues had to be addressed
[15:57.700 --> 16:06.700]  but Bill Clinton 2-10 years they really amassed a lot of money American economy went booming and he left a lot of money
[16:06.700 --> 16:13.700]  and the hard-boiled Cold Warriors when they came in they found that the situation was ready
[16:13.700 --> 16:23.700]  they had money and they had resources and they looked upon now the conquest of the world for which there was an opportunity window
[16:23.700 --> 16:30.700]  the Muslim world was lying cross-state Russia was not still picking up from its foreign position
[16:30.700 --> 16:37.700]  China was not ready yet and therefore they looked upon it as an opportunity to go and do the following
[16:37.700 --> 16:45.700]  and in this I am a soldier and I know that there has to be a single aim but they mixed up the aims and they have bought up everything
[16:45.700 --> 16:56.700]  first they said that they would go into such strategic areas where there was no US presence before such as the western Asia and south Asia
[16:56.700 --> 17:01.700]  where there was no American physical presence and they wanted it there
[17:01.700 --> 17:06.700]  they had to keep the Chinese off from getting into the Middle East
[17:06.700 --> 17:12.700]  they had to lay their hand on the energy tap of the world which presently lies in the Middle East
[17:12.700 --> 17:18.700]  but in future it will be in Central Asia and so Afghanistan is the gateway to Central Asia
[17:18.700 --> 17:25.700]  and finally to suppress any resistance particularly which could threaten the state of Israel
[17:25.700 --> 17:32.700]  now that is where they instead of pursuing the American objective they started pursuing the Israeli objective
[17:32.700 --> 17:39.700]  and that is where they went wrong you have to pick up a single aim this is the first principle of war
[17:39.700 --> 17:46.700]  and I don't know why the generals and the politicians of America they could be so naive and so ignorant
[17:46.700 --> 17:57.700]  that they started mixing aims and they went into this war without wisdom, without particular preparation
[17:57.700 --> 18:05.700]  and without the American support behind them because if they had gone to vote and asked for support from the American people
[18:05.700 --> 18:12.700]  they would have never given this support so they had to create a pretext and this was the pretext that they created
[18:12.700 --> 18:17.700]  General we are going to break in a moment and come back with a final segment perhaps I can get you to stay a little bit longer
[18:17.700 --> 18:22.700]  because I want you to be able to speak unedited to the American people and the people of the world
[18:22.700 --> 18:26.700]  I want to shift gears into Mumbai what happened in India
[18:26.700 --> 18:37.700]  clearly the evidence of even the Indian intelligence chief as you know was saying that the Indian government was staging terror attacks on the train
[18:37.700 --> 18:45.700]  an army captain was caught doing that and arrested the chief of anti-terror was threatened he was killed that day when it started in Mumbai
[18:45.700 --> 18:53.700]  now they have caught a anti-terror police officer giving cell phones to the supposed terrorists that they are saying came from Pakistan
[18:53.700 --> 19:00.700]  we know the west is deeply in bed with some of the blocks of the former Mujahideen
[19:00.700 --> 19:02.700]  can you speak to that?
[19:06.700 --> 19:07.700]  General?
[19:07.700 --> 19:11.700]  Can you hear me? I can't hear you properly but can you hear me alright?
[19:11.700 --> 19:18.700]  Yes sir I can hear you when we come back we will speak to what happened in India did you hear that?
[19:18.700 --> 19:19.700]  Yes yes yes yes
[19:19.700 --> 19:26.700]  good why they are staging terror attacks there the evidence of false flag inside job in India
[19:26.700 --> 19:31.700]  so when we return after this quick break with the former head of Pakistani intelligence
[19:31.700 --> 19:41.700]  General Hamid Ghul joining us from Pakistan I am coming to you from Austin, Texas hence the phone troubles will work on those sir
[19:41.700 --> 19:44.700]  during the break we will be right back my websites of course
[19:44.700 --> 19:52.700]  our info wars.com and prisonplanet.com stay with us we will be right back with this exclusive interview
[19:57.700 --> 20:04.700]  the holidays are right around the corner the crowds the countless hours in traffic finding a parking spot
[20:04.700 --> 20:07.700]  just to buy a gift you are worried they might not like anyway
[20:07.700 --> 20:12.700]  how about surprising your loved ones with a gift they can use every day of the year
[20:12.700 --> 20:16.700]  give the gift of safety with security products from Pepperspray.com
[20:16.700 --> 20:23.700]  Pepperspray.com carries the largest assortment of Pepperspray and other personal safety devices on the web
[20:23.700 --> 20:26.700]  for your spouse, your children, your coworkers and more
[20:26.700 --> 20:34.700]  when you purchase the perfect gift from Pepperspray.com you will receive 10% off just by using the coupon code GCN
[20:34.700 --> 20:41.700]  what better way to say Merry Christmas than giving the priceless gift of safety and security from Pepperspray.com
[20:41.700 --> 20:51.700]  shop now at Pepperspray.com or call 1-800-908-9988 that's 1-800-908-9988
[20:51.700 --> 20:56.700]  Pepperspray.com wishes you and yours a safe and happy holiday season
[20:56.700 --> 21:03.700]  the day unlike any other in the long course of American history a terrorist act of war against this country
[21:03.700 --> 21:07.700]  the enemy struck America on September 11th but who is the enemy?
[21:07.700 --> 21:12.700]  bin Laden we have to look to the Middle East we have to look to Osama bin Laden
[21:12.700 --> 21:20.700]  fabled enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States
[21:20.700 --> 21:26.700]  some US investigators believe that there are Israelis again very much engaged in spying in and on the US
[21:26.700 --> 21:30.700]  I'm aware that some Israeli citizens have been detained
[21:30.700 --> 21:36.700]  bin Laden's connections to the CIA, the hijackers ties to the FBI, the Saudi Arabian connection
[21:36.700 --> 21:41.700]  the Israeli intelligence network, warnings and war games, the shadow government and much much more
[21:41.700 --> 21:50.700]  fabled enemies get the DVD at infowars.com or see it in super high quality along with hundreds of other titles at prisonplanet.tv
[21:50.700 --> 21:56.700]  either you are with us or you are with the terrorists
[21:56.700 --> 22:06.700]  Hi this is Ted Anderson have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[22:06.700 --> 22:14.700]  that's right gold has been available to be placed in IRA since 1986 yet still the financial industry refuses to recognize
[22:14.700 --> 22:17.700]  the value of real hard assets for your retirement
[22:17.700 --> 22:23.700]  the truth be told gold and silver is outperformed paper investments like stocks, bonds and CDs
[22:23.700 --> 22:30.700]  yet no word about IRAs perhaps the financial institutions want to maintain control of your assets by keeping you in paper
