[00:00:00.689 --> 00:00:02.990]  Ohhhhhhhhhh
[00:00:49.261 --> 00:00:53.983]  Ladies and gentlemen, it is Sunday, the 22nd day of December 2019.
[00:00:53.983 --> 00:00:55.584]  And I am going to try my best today to be very serene,
[00:01:18.103 --> 00:01:24.728]  Calm and genteel and measured for as long as I can.
[00:01:24.728 --> 00:01:34.435]  So that I can note to the audience that we are in very serious times.
[00:01:34.435 --> 00:01:41.560]  And that yes, it's good to be loud and it's good to shout to get people's attention sometimes.
[00:01:41.560 --> 00:01:43.622]  Sometimes it's important to whisper.
[00:01:47.810 --> 00:01:57.975]  And that's something that I don't do enough of here on air.
[00:01:57.975 --> 00:02:09.781]  But that I'm going to be doing today to just slow down and make sure I cover everything.
[00:02:09.781 --> 00:02:12.763]  Because you think you speed up and
[00:02:14.656 --> 00:02:23.879]  You get to everything, but sometimes you do miss the forest for the trees.
[00:02:23.879 --> 00:02:32.221]  And so today I'm going to lay out the news and information as best I can.
[00:02:32.221 --> 00:02:39.303]  This morning I was going over the breaking developments that are so incredible around our world, not just in the United States.
[00:02:39.303 --> 00:02:43.844]  And I thought, man, I've got to really go on air and really drive it home to people.
[00:02:45.427 --> 00:02:49.030]  And I've got to really shake them out of their trance.
[00:02:49.030 --> 00:02:59.138]  Not our general audience, but create a broadcast, create a record that can be given to others to really hopefully get them out of their trance.
[00:02:59.138 --> 00:03:01.019]  And sometimes yelling at people is the way to do it.
[00:03:01.019 --> 00:03:03.981]  Sometimes hitting them side of the head politically with a 2x4.
[00:03:03.981 --> 00:03:09.846]  But other times, to get somebody out of a trance, you've got to whisper to them.
[00:03:11.707 --> 00:03:17.929]  So we're going to go to break here in a few minutes and I'm not even going to tell you what the news is yet until we come back.
[00:03:17.929 --> 00:03:36.855]  But if you go to InfoHorse.com and you see the live feed of the show today, the Sunday live feed and what it's titled, you'll see how incredibly important this show is.
[00:03:36.855 --> 00:03:39.076]  And not just what was said by the Attorney General,
[00:03:40.444 --> 00:03:52.334]  But what was said by others in the administration and the movement that we've seen, we have a very clear direction of where Trump's going.
[00:03:52.334 --> 00:04:00.981]  And he understands with only 320 days left until the historic election, he can't wait because they're going to try to steal the election.
[00:04:00.981 --> 00:04:02.462]  Yes, America's waking up.
[00:04:02.462 --> 00:04:03.783]  Yes, Trump's winning.
[00:04:03.783 --> 00:04:06.085]  Yes, a lot of what the globalists are trying to do is failing.
[00:04:08.356 --> 00:04:22.901]  They're cheating and engaged in so much criminal activity that we can't stand by and watch them do that.
[00:04:22.901 --> 00:04:27.083]  So the Attorney General has called out George Soros.
[00:04:27.083 --> 00:04:31.504]  When we come back from break, I'm going to just break down why that's so important and play the clip.
[00:04:31.504 --> 00:04:36.546]  And then the globalist plan to try to trigger civil unrest and martial law in this country that's now official.
[00:04:37.751 --> 00:04:41.696]  It's all coming up today.
[00:04:41.696 --> 00:04:48.764]  InfoWars.com, sportslashshow, and band.video.
[00:04:48.764 --> 00:04:52.569]  It's all coming up right now.
[00:04:52.569 --> 00:04:53.730]  Please help us spread the word.
[00:04:53.730 --> 00:04:56.794]  You're the only way we reach new people that desperately need to be warned.
[00:05:02.603 --> 00:05:04.264]  Owl Killer in New Jersey.
[00:05:04.264 --> 00:05:04.844]  You're on the air.
[00:05:04.844 --> 00:05:05.424]  Go ahead.
[00:05:05.424 --> 00:05:08.186]  Alex, hey, I just want to say it's great to be back once again.
[00:05:08.186 --> 00:05:11.267]  And I've never gotten to do this, but I'm going to give you a shout out for your product.
[00:05:11.267 --> 00:05:16.550]  So that's Super Blue Fluoride Free Toothpaste and that Super Blue Whitening Toothpaste is on another level.
[00:05:16.550 --> 00:05:21.712]  I use the one I use the Super Blue in the morning and then the whitening at night and it absorbs into your gum.
[00:05:21.712 --> 00:05:24.514]  It is by far the best product I've ever used in my life.
[00:05:24.514 --> 00:05:27.175]  I literally just took turbo force on my way to the gym right now.
[00:05:27.375 --> 00:05:35.460]  I've had four shoulder surgeries and a back surgery, and that body has made me feel better than any type of physical therapy or anything that I've ever done in my life.
[00:05:35.460 --> 00:05:36.801]  So I just want to get that out of the way.
[00:05:36.801 --> 00:05:37.782]  Support this man.
[00:05:37.782 --> 00:05:39.223]  Everything that he exposed.
[00:05:39.223 --> 00:05:40.644]  Nobody knew about Bohemian Grove.
[00:05:40.644 --> 00:05:41.764]  Nobody knew about Epstein.
[00:05:41.764 --> 00:05:43.065]  Nobody knew about Bilderberg.
[00:05:43.065 --> 00:05:45.907]  Nobody called 9-11 before it happened in July 2001.
[00:05:45.907 --> 00:05:47.568]  Don't look it up yourself.
[00:05:47.568 --> 00:05:48.729]  Well, we try our best, sir.
[00:05:48.729 --> 00:05:49.950]  They definitely want us off the air.
[00:05:49.950 --> 00:05:50.850]  Without you, we're not here.
[00:05:50.850 --> 00:05:52.751]  But yeah, these are all great products, so thank you, sir.
[00:06:31.533 --> 00:06:36.895]  We are live on this Sunday, December 22nd, 2019.
[00:06:36.895 --> 00:06:44.079]  Worldwide broadcast.
[00:06:44.079 --> 00:06:51.522]  I'm your host, Alex Jones.
[00:06:51.522 --> 00:06:55.624]  The United States was done for.
[00:06:55.624 --> 00:06:57.085]  Was captured.
[00:07:00.242 --> 00:07:09.567]  The decision had been made to make Communist China and its authoritarian command and control system the model of the world.
[00:07:09.567 --> 00:07:24.956]  The United Nations has adopted Communist China and their social credit score and a biometric face scan code key as the world currency officially last week.
[00:07:27.878 --> 00:07:29.939]  That's right, of pieces of paper.
[00:07:29.939 --> 00:07:32.080]  With ink on them could be the money.
[00:07:32.080 --> 00:07:34.222]  Can't your face scan be the money?
[00:07:34.222 --> 00:07:39.145]  And the digital numbers attached to you?
[00:07:39.145 --> 00:07:40.866]  That's not some Bible study.
[00:07:40.866 --> 00:07:45.989]  That's some evangelical church in the 1960s.
[00:07:45.989 --> 00:07:48.550]  Though they were saying that was coming.
[00:07:48.550 --> 00:07:51.472]  That's the waning twilight hours.
[00:07:54.508 --> 00:07:55.268]  Of 2019.
