[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:12.000]  It's Alex Jones and the GCN Radio Network.
[00:18.000 --> 00:25.000]  While most of the United States is busy watching the playoff games that are taking place today,
[00:25.000 --> 00:32.000]  the mainstream media is calling it historical and playing up just how important this is to the country.
[00:32.000 --> 00:37.000]  We are here live and we're going to be discussing what really is threatening this nation.
[00:37.000 --> 00:47.000]  The offshore banking takeover that is allied with the venomous murderous Communist Chinese dictatorship
[00:47.000 --> 00:55.000]  that is basically taking this country over. An incredible report up on infowars.com and prismpana.com.
[00:55.000 --> 01:03.000]  It's also linked up on the dredgerport.com. Chinese pianist plays propaganda tune at the White House.
[01:03.000 --> 01:08.000]  This is from the Epoch Times published in major cities all over the world.
[01:08.000 --> 01:14.000]  And I follow the Communist Chinese closely and this article is stunningly accurate.
[01:14.000 --> 01:18.000]  It's a 11-page article and we're going to be going over some of it.
[01:18.000 --> 01:25.000]  At a White House dinner, the Chinese pianist basically chosen by the Chinese government to play
[01:25.000 --> 01:31.000]  and the Chinese media was reporting on this at least an hour before he played because it was aired in China
[01:31.000 --> 01:35.000]  that they were going to play what is known as the Motherland Song,
[01:35.000 --> 01:40.000]  the most popular song in the Communist Party since Korea.
[01:40.000 --> 01:45.000]  The song is about murdering American troops and killing the jackals dead.
[01:45.000 --> 01:52.000]  And then the pianist, who's a popular artist in China, in English told Phoenix TV,
[01:52.000 --> 01:59.000]  that's the international television network, that this was played especially to let the Americans know that China is the boss.
[01:59.000 --> 02:02.000]  And I have all of the incredible quotes here.
[02:02.000 --> 02:07.000]  So when I told you in the last few weeks that Hu Jintao was trying to rub our noses in it,
[02:07.000 --> 02:11.000]  there's no doubt about this, but oh, our government's not worried about China.
[02:11.000 --> 02:14.000]  Oh, I ran with their prehistoric military.
[02:14.000 --> 02:17.000]  Oh, there they need to be demonized. They need to be dealt with.
[02:17.000 --> 02:19.000]  Oh, yes, sir.
[02:19.000 --> 02:23.000]  Meanwhile, China's been given our missile systems, our fighter systems.
[02:23.000 --> 02:28.000]  They didn't steal any of it because the banks running America for decades
[02:28.000 --> 02:33.000]  have bragged that the 21st century is the Chinese century and they made a deal with them
[02:33.000 --> 02:38.000]  to be the muscle, both economic and military, to bring the United States down.
[02:38.000 --> 02:45.000]  China wouldn't be a threat if we didn't have traders running our country that are in league with China.
[02:45.000 --> 02:48.000]  And I'm going to cover that today. We also have the report here.
[02:48.000 --> 02:52.000]  China Bank moves to buy U.S. branches.
[02:52.000 --> 02:56.000]  Chinese stealth fighter jet may use U.S. technology.
[02:56.000 --> 03:00.000]  Give me a break. They claim they found it under a toadstool in Serbia.
[03:00.000 --> 03:04.000]  It was all given to them. We reported on it 12 years ago at the time.
[03:04.000 --> 03:09.000]  Incredible announcement from Google dealing with massive Internet censorship.
[03:09.000 --> 03:14.000]  It is now here. You notice suddenly we hear all the announcements of let's have the fairness doctrine.
[03:14.000 --> 03:19.000]  Let's restrict bloggers. Let's shut down free speech. Let's do it all.
[03:19.000 --> 03:24.000]  They're moving right now because the global implosion by design is now happening.
[03:24.000 --> 03:29.000]  We'll also talk about the State of the Union coming up later in the week with Barack H. Obama.
[03:29.000 --> 03:33.000]  And what he's going to be pushing there.
[03:33.000 --> 03:37.000]  Briefly later in the next hour, we're going to get into the V for Victory campaign we've launched.
[03:37.000 --> 03:43.000]  And a listener made this variant that we just posted up on infowars.com.
[03:43.000 --> 03:49.000]  It's the top story there if you want to get it. It says New V for Victory Posters.
[03:49.000 --> 03:57.000]  And you click on that and it's got this new listener variant that you can copy and print off and post around your town or city.
[03:57.000 --> 04:03.000]  And then under it it's got a link to our Facebook where there's got to be at least 30, 40 incredible
[04:03.000 --> 04:09.000]  New V for Victory Posters that listeners have made and posted there. We have a link under it.
[04:09.000 --> 04:16.000]  But this one is incredible. It says it all. You know, I had this idea Thursday night and Phil and I stayed up here about an hour late
[04:16.000 --> 04:23.000]  just to create a V and then a message at the bottom with infowars.com saying we are all in danger.
[04:23.000 --> 04:28.000]  V State Control Grid is being established in the United States. Now is the time for all lovers of liberty to stand together
[04:28.000 --> 04:31.000]  and to speak out against the growing tyranny destroying our republic.
[04:31.000 --> 04:38.000]  We will be victorious against the New World Order. Post this V for Victory Flyer to warn others and show your peaceful resistance.
[04:38.000 --> 04:44.000]  Learn more at infowars.com. Well, the listener added, we are Legion. We are not alone. You are not alone.
[04:44.000 --> 04:48.000]  United we stand victory. And I think it really makes it perfect.
[04:48.000 --> 04:55.000]  So they really improved upon the design I came up with. Get that copy, that version, get it up everywhere.
[04:55.000 --> 05:20.000]  A lot of feedback. These things are going up nationwide and worldwide.
[05:26.000 --> 05:33.000]  They both make fabulous investments. Food is our greatest dependency and we know it will be more precious than any financial resource.
[05:33.000 --> 05:39.000]  You and your family need food to survive a crisis and you can't eat paper, stocks or metals.
[05:39.000 --> 05:44.000]  Alex has been urging you to invest in delicious easy fix meals to enjoy now or save for long term.
[05:44.000 --> 05:47.000]  This will freeze the cost to your food while you can still afford it.
[05:47.000 --> 05:58.000]  Visit efoodsdirect.com on the internet or call 800-409-5633. That's efoodsdirect.com or 800-409-5633.
[06:18.000 --> 06:22.000]  We're going to be here live for the next two hours as we are every Sunday.
[06:22.000 --> 06:29.000]  I'm on the air six days a week. We come back, of course, Monday through Friday from 11 a.m. to 2 p.m. Central Standard Time.
[06:29.000 --> 06:38.000]  And no, I'm not at home getting drunk watching the NFL playoffs between the four teams.
[06:38.000 --> 06:44.000]  I'm not busy at the gas station buying my case of beer.
[06:44.000 --> 06:56.000]  I am here warning and sounding the alarm for people about the nature of the tyrannical world government that is being established by the globalist.
[06:56.000 --> 07:07.000]  The private banking cartels, they make Bernie Madoff look like a saint, elite banking cartels and families that have created Ponzi schemes after Ponzi schemes
[07:07.000 --> 07:18.000]  and are now destroying the world economy by design to bring in a world government that is militarily and economically backed up by the Communist Chinese.
[07:18.000 --> 07:23.000]  How do I know that? Why the Trilateral Commission told me so treasonously.
[07:23.000 --> 07:29.000]  David Rockefeller's written books, including an autobiography he wrote five years ago bragging about it.
[07:29.000 --> 07:34.000]  I have made many films covering their own white papers and admissions.
[07:34.000 --> 07:41.000]  I have read the Council on Foreign Relations going back at least three decades saying the 21st century would be the Chinese century.
[07:41.000 --> 07:53.000]  We could deal with the rise of China if we didn't have global corporate criminals that had hijacked our nation who were working from within to destroy our economy
[07:53.000 --> 07:56.000]  and turn us into a third world police state.
[07:56.000 --> 08:04.000]  America is slated to be financially crippled and destroyed and is fading into history right now.
[08:04.000 --> 08:08.000]  It is all designed and we're going to be discussing that today.
[08:08.000 --> 08:12.000]  Also later, there is a huge push.
[08:12.000 --> 08:16.000]  Political correctness was first used in the 1930s in the Soviet Union.
