[00:00:08.192 --> 00:00:10.593]  Wow, Friday.
[00:00:10.593 --> 00:00:13.275]  Waging war on corruption.
[00:00:13.275 --> 00:00:19.958]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:19.958 --> 00:00:21.519]  Well, here we are, ladies and gentlemen.
[00:00:21.519 --> 00:00:26.002]  Hard to believe it's already Friday, the 23rd day of June, 2017, and all hell is breaking loose.
[00:00:30.902 --> 00:00:34.424]  The Democrats have lost a fourth consecutive special election.
[00:00:34.424 --> 00:00:57.718]  They consecutively broke all previous records in each one of the four failed special elections since President Trump was sworn in on January 20th, 2017, the day the power began to transfer from Washington and from globalist combines offshore back to we, the people.
[00:00:58.672 --> 00:01:03.157]  And he's been delivering in royal spades.
[00:01:03.157 --> 00:01:18.352]  And the globalists who've hijacked our country, hijacked Europe, hijacked Latin America, hijacked Africa, hijacked Eastern Europe, hijacked Russia, hijacked the Middle East, are in total, complete, absolute freak-out mode.
[00:01:19.977 --> 00:01:27.382]  They burned through 35 million on the special elections, and that was just the party, not just their PACs.
[00:01:27.382 --> 00:01:29.543]  Unbelievable.
[00:01:29.543 --> 00:01:41.031]  And so how do they respond, being spoiled brat, wannabe elitist, who are part of a cult of power, who believe that they're sitting on top of the bitter clingers, and that they control the Christians and the Patriots, and I guess they do.
[00:01:41.031 --> 00:01:42.832]  They have our children in their clutches.
[00:01:42.832 --> 00:01:44.173]  They brainwash them.
[00:01:44.173 --> 00:01:45.694]  They force-inoculate them.
[00:01:45.694 --> 00:01:49.597]  But the sleeping giant is awakening to what they're doing, so they're trying to
[00:01:50.278 --> 00:01:51.584]  Cling on to the host.
[00:01:51.584 --> 00:01:55.140]  The parasites are in a desperate, insane panic.
[00:01:57.469 --> 00:01:58.309]  Do they back off?
[00:01:58.309 --> 00:01:58.670]  No.
[00:01:58.670 --> 00:02:05.893]  Johnny Depp, a meth head, $600 million that he made in the last 20 years, lost it all.
[00:02:05.893 --> 00:02:13.016]  Looks like, again, some meth mouth guy, some kind of homeless person you see on the side of the street.
[00:02:13.016 --> 00:02:15.638]  He comes out like he's a big, tough man.
[00:02:15.638 --> 00:02:18.579]  He can hardly stand up with some other waterhead.
[00:02:18.579 --> 00:02:24.022]  And they stand up there and talk about how they dream about killing the president.
[00:02:25.100 --> 00:02:31.582]  Oh, how original by another spoiled rotten piece of filth that if you don't like America, you should move to North Korea.
[00:02:31.582 --> 00:02:33.762]  In fact, Paul Watson has a video we're going to play coming up.
[00:02:33.762 --> 00:02:36.223]  The dubbest liberal ever.
[00:02:36.223 --> 00:02:38.304]  And the woman says she wants more Muslims.
[00:02:38.304 --> 00:02:39.264]  They're not a threat.
[00:02:39.264 --> 00:02:41.264]  She says white men are.
[00:02:41.264 --> 00:02:51.787]  Some addled, spoiled, pension fund, government funded, college paid for, scholarship whining idiot.
[00:02:51.787 --> 00:02:53.848]  I am going to offer this moron
[00:02:54.864 --> 00:02:57.445]  First class tickets.
[00:02:57.445 --> 00:03:06.569]  First class tickets and 20,000 pounds to move for one year to Libya or to Syria.
[00:03:06.569 --> 00:03:10.531]  I'm sorry, those are total war zones thanks to you people helping put the radical jihadis in.
[00:03:10.531 --> 00:03:11.591]  How about Saudi Arabia?
[00:03:11.591 --> 00:03:13.852]  I'm offering you 20,000 pounds.
[00:03:13.852 --> 00:03:15.053]  That's $35,000.
[00:03:15.053 --> 00:03:15.253]  $30,000.
[00:03:15.253 --> 00:03:21.856]  And I'm offering you first class one-way tickets to Riyadh, Saudi Arabia, baby.
[00:03:23.001 --> 00:03:30.085]  You go there, you run your mouth, you show your face in public, they'll cane you, and next they'll kill you.
[00:03:30.085 --> 00:03:33.747]  The headline will be, Jones wishes Muslims could kill a poor woman.
[00:03:33.747 --> 00:03:34.848]  That's how they spent it in jail.
[00:03:34.848 --> 00:03:37.389]  I was like, bring in more Muslims!
[00:03:37.389 --> 00:03:39.931]  Or, you know, any of these globalist minions.
[00:03:39.931 --> 00:03:42.212]  And I go, hey, why don't you go move there then?
[00:03:42.212 --> 00:03:44.133]  Oh!
[00:03:44.133 --> 00:03:45.154]  Oh no, we're not going to do that!
[00:03:45.896 --> 00:03:49.197]  The media spends, I hope they go to the Middle East and get raped.
[00:03:49.197 --> 00:03:56.760]  No, I hope you don't bring that here because I've got three daughters and a son and I don't like it.
[00:03:56.760 --> 00:03:58.480]  I don't want to bring North Korea here.
[00:03:58.480 --> 00:04:03.522]  Hell, they're trying to transplant whole Syrian towns of invaders that came in and took over.
[00:04:04.708 --> 00:04:05.949]  into Germany right now.
[00:04:05.949 --> 00:04:07.951]  They've already brought 10 million in.
[00:04:07.951 --> 00:04:12.675]  I'm sorry, I kept seeing 5 million the last couple years and 7 million total the last 8 years.
[00:04:12.675 --> 00:04:17.519]  No, it's 10 m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-
[00:04:26.658 --> 00:04:28.800]  And I'm in my InfoWars uniform today.
[00:04:28.800 --> 00:04:36.067]  I'm not wearing the sports jacket and the button-up shirt, because I need to be able to get wound up proper here today.
[00:04:36.067 --> 00:04:40.611]  Oh, Tuck Buckford's wound up today, everybody.
[00:04:40.611 --> 00:04:43.774]  So get ready, because this is the InfoWar.
[00:04:43.774 --> 00:04:45.675]  We're going in through
[00:04:46.716 --> 00:04:47.858]  And beyond.
[00:04:47.858 --> 00:04:52.663]  Spread the word, spread the links, the live feeds on Facebook, Twitter, YouTube, your local station.
[00:04:52.663 --> 00:04:53.504]  Spread the word.
[00:04:53.504 --> 00:04:58.571]  It's an act of resistance against the dirtbag globalists that know they're hanging on by their fingernails.
[00:05:00.268 --> 00:05:04.111]  Wow, you're going to love the latest idea out of the EU.
[00:05:04.111 --> 00:05:14.678]  Scott Keller, a German member of the European Parliament and of the Green Party, said we should transplant entire villages from Syria to Germany and that would encourage more migrants to enter Germany.
[00:05:14.678 --> 00:05:15.959]  Listen to these quotes.
[00:05:15.959 --> 00:05:23.785]  The idea of Syrian villages is only one possibility we can use, for example, if refugees don't want to go to a country alone that has no other refugees.
[00:05:24.025 --> 00:05:29.506]  People would rather go where compatriots already live, which makes integration and acceptance easier.
[00:05:29.506 --> 00:05:31.507]  Let's look at these three compatriots.
[00:05:31.507 --> 00:05:32.767]  From Paul Joseph Watson.
[00:05:32.767 --> 00:05:33.167]  Sweden.
[00:05:33.167 --> 00:05:36.128]  Migrants viciously beat disabled men while calling him racist.
[00:05:36.128 --> 00:05:42.329]  Three compatriot refugees attempted to steal a homeless man's wallet in a train station during an incident which took place last month.
[00:05:42.329 --> 00:05:49.351]  The handicapped man was kicked and punched and received a vicious uppercut as one of the migrants lectured him about war on Muslims and how all Swedes were racist.
[00:05:49.651 --> 00:05:51.572]  Now how's that for acceptance?
[00:05:51.572 --> 00:05:54.833]  You can read both articles now on InfoWars.com.
[00:05:54.833 --> 00:05:59.315]  Roger reporting for InfoWars.com and InfoWars Nightly News.
[00:05:59.315 --> 00:06:04.738]  After being sold out for months, our best-selling Super Blue fluoride toothpaste is now back in stock at InfoWarsStore.com.
[00:06:04.738 --> 00:06:07.579]  The first shipment of Super Blue sold out in one week.
[00:06:07.579 --> 00:06:09.420]  I thought it would be a six-month supply for listeners.
[00:06:09.560 --> 00:06:14.566]  And since then, people are beating down our doors, wanting to be able to resupply their Super Blue.
[00:06:14.566 --> 00:06:16.669]  Research across the board is clear.
[00:06:16.669 --> 00:06:17.950]  In fact, it's certified.
[00:06:17.950 --> 00:06:23.077]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[00:06:23.077 --> 00:06:26.441]  That's why the last Surgeon General's report on oral health warrants.
[00:06:26.581 --> 00:06:29.943]  That your oral health can have a serious impact on your entire body.
[00:06:29.943 --> 00:06:32.944]  Super Blue Fluoride Free Toothpaste is a groundbreaking new formula.
[00:06:32.944 --> 00:06:36.646]  It's loaded with good halogen iodide instead of the bad halogen fluoride.
[00:06:36.646 --> 00:06:43.550]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[00:06:43.550 --> 00:06:51.053]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver, and more.
[00:06:51.053 --> 00:06:53.955]  Learn more about InfoWars Life Super Blue Toothpaste.
[00:06:55.036 --> 00:07:13.428]  I've spent seven years off and on trying to get a big national brand that's already trusted to let us private label an entire line of personal care products that's organic high quality.
[00:07:13.428 --> 00:07:19.192]  This is one of the top three selling organic brands in the country that puts out
[00:07:19.352 --> 00:07:22.556]  High quality organic shampoo, mouthwash, you name it.
[00:07:22.556 --> 00:07:27.201]  And they're such patriots, they have let us basically keep their well-known packaging.
[00:07:27.201 --> 00:07:34.328]  It is an answer to prayer, and because we're cutting out the middleman, 20% off retail, sign up for auto-ship, an additional 25% off.
[00:07:34.328 --> 00:07:35.490]  It's all there.
[00:07:35.490 --> 00:07:39.374]  The body wash, the shampoo, the deodorant, the mouthwash, all of it!
[00:07:39.554 --> 00:07:40.895]  It's truly game-changing.
[00:07:40.895 --> 00:07:43.918]  It is the exact same product, just the name is different.
[00:07:43.918 --> 00:07:48.843]  Emrix Essentials, and it's on average 20% off what it would be in stores.
[00:07:48.843 --> 00:07:51.625]  Buying it directly from InfoWarsTore.com.
[00:07:51.625 --> 00:07:54.248]  Help us win the Info War while getting products everybody needs.
[00:07:54.248 --> 00:07:58.312]  InfoWarsLife.com, where you'll find the entire line of Emrix Essentials.
[00:08:02.921 --> 00:08:05.603]  Waging war on corruption.
[00:08:05.603 --> 00:08:12.188]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:08:12.188 --> 00:08:17.633]  Ladies and gentlemen, it's Friday, the 23rd day of June 2017.
[00:08:17.633 --> 00:08:26.379]  And everybody knows, I don't put a good face on things unless really good things are happening.
[00:08:26.379 --> 00:08:28.061]  And that is happening right now.
[00:08:29.116 --> 00:08:34.540]  The air is electrical with political change across the globe, not just here but the United States.
[00:08:34.540 --> 00:08:50.670]  We've seen four special elections with the Democrats spending more money than they've ever spent in any other elections, and they lost despite the mainstream media demonization, the dirty tricks, the illegals voting, people voting under dead people's identities.
[00:08:50.670 --> 00:08:52.551]  It's all been confirmed.
