[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:30.000 --> 00:49.000]  It's Sunday, the 6th day of May 2012. I'm Alex Jones, your host, and we're going to be live here for the next two hours.
[00:49.000 --> 01:02.000]  And I shall return, Lord willing, tomorrow at 11 a.m. Central Standard Time, 12 noon, Eastern with the weekday transmission.
[01:02.000 --> 01:11.000]  Big shake-ups in Europe as the people try to get out of the grasp of the banksters, but I'm afraid that's not going to be the case.
[01:11.000 --> 01:20.000]  But it's a step in the right direction. At least they're struggling. They're fighting back. Sarkozy's out. Merkel has slid more in parliament.
[01:20.000 --> 01:29.000]  Part of the government's out in Greece. The establishment is calling everyone extremist who doesn't bow down to the foreign banks running their countries.
[01:29.000 --> 01:40.000]  All of that is coming up today. Also, UN expert calls for U.S. return of native lands. Boy, that is certainly rich.
[01:40.000 --> 01:54.000]  The UN, and we have these articles, and it's even in the New York Times, but they say it's a good thing they're doing it, is in Latin America and in Africa, in areas of Asia, mowing people down for the UN to take people's property.
[01:54.000 --> 02:10.000]  And the UN is a colonial modern force, and the only reason they're stirring up the Southwest, and it belongs to Mexico, and the only reason the UN's stirring up native groups in this country is to have Balkanization.
[02:10.000 --> 02:17.000]  I will assure those groups the UN's never going to come give you anything. It's run by the very big banks that want to break this country up.
[02:17.000 --> 02:29.000]  They want to create a super state, the North American Union, on record while fragmenting the subregions. That's the great game, divide and conquer.
[02:29.000 --> 02:39.000]  Also, Senator says Fukushima fuel pond is a national security issue for America. No kidding. It will be 85 Chernobyl's if reactor four completely melts down.
[02:39.000 --> 02:49.000]  There's already been partial meltdowns at five to six, already much bigger than Chernobyl. They have to make conservatively ten times massive radiation increases here in the U.S.
[02:49.000 --> 02:56.000]  We're right across the Pacific, but it blows right in. FDA EPA just says raise the level, save the radiation safe.
[02:56.000 --> 03:20.000]  Hey, we can't use DU up until 2000 and up until 1991. Well, just say it's safe. Wave a magic wand. In fact, I had some friends in studio the other day who'd never been in studio and they had never, I guess they missed the one show where I waved the magic Al Gore wand on air.
[03:20.000 --> 03:30.000]  And they reached out to the table and they said, what is this? I was quick to say, no, no, a listener melded it. Look, look right here. It has a tag on it.
[03:30.000 --> 03:40.000]  I'm not secretly, you know, dressing up like a showgirl here behind the scenes or anything. It was so funny. This looks crazy for a guy, especially to have under the counter.
[03:40.000 --> 03:52.000]  Like I have magic powers. I'm Gandalf or something. Gandalf meets Governor Rick Perry. Man bear pig Al Gore's magic wand. Wave it a couple of times and you save the earth.
[03:52.000 --> 04:04.000]  CO2 problem. So anyways, side issue. Hey, here's something else. My daughter, age seven does these wild drawings. She used to this one before I left the house.
[04:04.000 --> 04:12.000]  They, she does much more elaborate and better than this one. And we frame them up. I love them. But she said, Oh, will you show it on air today?
[04:12.000 --> 04:20.000]  So I don't think this is one of her best. Still interesting, but I'll show it as I told her I would. Like I ought to bring some in and show you her really good stuff.
[04:20.000 --> 04:26.000]  The black and white ones when she does, it was amazing. Okay, you tuned in to get news and information. Plus most people are listening on the radio.
[04:26.000 --> 04:44.000]  They're saying nice magic wand. You just told us about fruitcake and a nice drawing by your daughter. Hey, you know what? We're going to be back in 60 seconds after this break where some stations join us and I'm plunging in.
[04:44.000 --> 05:00.000]  And it's a big broadcast and we have an in studio guest coming up. Tell you about that.
[05:00.000 --> 05:14.000]  If you want an American company with American products made by Americans, here is the cow Ben soap company. Alex and his staff have used these pure soap products for years.
[05:14.000 --> 05:30.000]  All natural soaps are made from the highest quality vegetable and coconut oils that are earth friendly and safe. See them on the web at five stars soap dot com or call 800-340-7091 for a free catalog.
[05:30.000 --> 05:40.000]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now or save big with a one to two year supply of soaps for all your cleaning needs.
[05:40.000 --> 06:00.000]  This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel. See them on the web at five stars soap dot com or call 800-340-7091 for a free catalog.
[06:00.000 --> 06:21.000]  You are listening to an info wars dot com frontline report. If you are receiving this transmission, you are the resistance.
[06:21.000 --> 06:31.000]  From deep in the heart of FEMA region six, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:31.000 --> 06:51.000]  We are transmitting worldwide blasting out on the MNFM dial, simulcasting at info wars dot com and prison planet dot tv with the free audio streams and podcast, WWCR globals for a wave and weekdays, noon to three eastern, we're also of course on XM channel 166, they're not picking up the Sunday show.
[06:51.000 --> 07:10.000]  We don't need to get around to lobbying them to do that. Again, thank you so much for joining us. We have a special in studio guest, Chris Imrim, who's an investigative journalist, researcher, co-producer and narrator of a nobel lie in studio of the last 45 minutes of the second hour.
[07:10.000 --> 07:29.000]  We have a man named Michael Berg, who was one of the grand jurors that blew the whistle on government sponsored terror in the first, you know, more modern stage terror attack, Oklahoma City, 1995, that was used to bring in what we now know as the modern police state.
[07:29.000 --> 07:51.000]  We died last week after a long battle with cancer, and I conducted what I know of is the last interview with Hoppe and we reared that on info wars nightly news Friday, by the way, info wars nightly news is Monday through Friday, seven o'clock central, eight o'clock eastern at prison planet dot tv and info wars news dot com.
[07:51.000 --> 08:10.000]  Okay, where to start? We're seeing show trials of Khalid Sheikh Mohammed and the media keeps saying the man who did 9-11 is having his trial. The man who did 9-11 is having his trial.
[08:10.000 --> 08:23.000]  That'd be like if they arrested me for something and said, well, Alex shows gonna have a trial for what he did now. What's wrong with this picture? Are there Muslim extremists? Are there terrorists that want to attack Western targets? Yes, there are.
[08:23.000 --> 08:38.000]  Are there some real terror attacks, most assuredly? Should we give up all of our rights and roll around the ground in fear and have the TSA grope our one year old daughters and sons and molest old ladies and put us in microwave ovens because of it?
[08:38.000 --> 08:56.000]  No. Has the system used terror, manufactured and real, to take our basic liberties instead of a police state? Yes. Has America been hijacked by foreign banks? Yes. Are people starting to wake up to this in the U.S. and worldwide? Yes.
[08:56.000 --> 09:16.000]  Is the system striking back with a total attack on free speech, private property, the family, the liberty movement? Yes. There is a war going on. But I'm gonna get into 9-11 defendants, ignore judge at Guantanamo hearing and start basically trying to say that it's all staged.
[09:16.000 --> 09:38.000]  Do you want to kill us? Get us out of here. We're not pleading guilty. Ladies and gentlemen, Khalid Sheikh Mohammed was in custody for six plus years before he admitted to carrying out 9-11 and they had him grow the big beard and get all scary and put a turban on his head for TV cameras.
[09:38.000 --> 09:58.000]  For six years and they bragged in the U.S. and European media, you can look it up, that they tortured him for six years and he would not say he did 9-11 and sign on to all these fake email statements that have been put out in his name until they brought his son in and said we're going to torture him and then he said I'll say whatever you want.
[09:58.000 --> 10:22.000]  He confessed to bombing a building that wasn't built until four years after he was in custody. My point is you can't have a secret military tribunal with evidence obtained through torture. I mean they can grab anybody and torture you and have you come out and say that you did these things.
[10:22.000 --> 10:44.000]  I mean when our soldiers got shot down over Vietnam, our Air Force men and others, Navy aviators got shot down. There's the famous cases of them blinking on the televised newscast that the North Vietnamese put out that they were tortured.
[10:44.000 --> 11:07.000]  You cannot torture someone and then use that information in court. I mean how many cases? I see cases every day where it's admitted that people are on death row who were totally innocent and the police and prosecutors knew it and could care less and are on record bragging that it was just all about making themselves look good for reelection.
[11:07.000 --> 11:21.000]  I mean we've got these cases right here in Central Texas. So you better know that there are a lot of cases of people being set up and that you cannot trust this system.
[11:21.000 --> 11:38.000]  And then you look at the case of 9-11, you have not one but two passports being found that day that survived the supposed aircraft fireballs and were found on the ground in six feet of dust and hundreds of millions of papers and documents.
