[00:00.000 --> 00:05.480]  8 to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[00:05.480 --> 00:15.360]  Shop now at Pepperspray.com or call 1-800-908-9988, that's 1-800-908-9988.
[00:15.360 --> 00:20.360]  Pepperspray.com wishes you and yours a safe and happy holiday season.
[00:20.360 --> 00:30.520]  The plan will fill the pain from cutbacks. Detail them. You're listening to GCN. It will be J. Austin, Texas.
[00:33.800 --> 00:41.520]  Hi, RNUSA Radio News. I'm Jody Jordan. British Prime Minister Gordon Brown has been meeting with leaders of Pakistan and India today.
[00:41.520 --> 00:46.800]  He's been pledging more support in the war on terrorism and funding in the wake of the deadly attacks in India.
[00:46.800 --> 00:57.280]  We will act specifically to develop Pakistani bomb disposal capability, to provide scanning equipment, particularly to help detect car bombs,
[00:57.280 --> 01:03.640]  to finance and help with the extremism centers, and to help with legislation where necessary against terrorism.
[01:03.640 --> 01:11.640]  Also today, India's Prime Minister is calling for normalized relations with Pakistan amid rising tensions between the neighbors.
[01:11.640 --> 01:12.840]  Here's Sam Dolnick.
[01:12.840 --> 01:20.840]  The attachment has always been kind of...
[01:20.840 --> 01:29.480]  Sometimes when you need him to relax and behave, while daily alleviates long-term symptoms of stress, like compulsive barking, chewing,
[01:29.480 --> 01:36.320]  digging, jumping, aggression, and other undesirable behavior. And because poise is all natural, they're safe and non-addictive.
[01:36.320 --> 01:42.320]  For us, it's simple. A calmer dog is a happier dog. And because he's happier, we're happier.
[01:42.320 --> 01:51.320]  Call right now for your 30-day risk-free trial of poise. Call 1-800-733-0904. That's 1-800-733-0904.
[01:51.320 --> 01:59.320]  Veterinarian developed and recommended. Call 1-800-733-0904. That's 1-800-733-0904.
[01:59.320 --> 02:08.320]  Northeast utility officials are trying to recover from a devastating ice storm. Hundreds of thousands of customers remain without power.
[02:08.320 --> 02:14.320]  President Bush has declared a state of emergency in nine Massachusetts counties in all of New Hampshire.
[02:14.320 --> 02:20.320]  This kiddery main resident says she and her husband have been without power and running water since early Friday.
[02:20.320 --> 02:26.320]  There was no power. I heard crashes out here, so we know it wasn't going to be pretty.
[02:26.320 --> 02:32.320]  In the White House is weighing its options on ways to prevent a collapse of the troubled auto industry.
[02:32.320 --> 02:42.320]  Financial experts say White House officials could help the auto industry by tapping into the 700 billion bailout fund or using part of the bailout for emergency loans.
[02:42.320 --> 02:43.320]  Here's Deb Rieckman.
[02:43.320 --> 02:49.320]  The White House and the Treasury officials this weekend are weighing the pros and cons of a range of bailout actions.
[02:49.320 --> 02:54.320]  They are not saying a whole lot, but a few ideas are bumbling to the top of the debate.
[02:54.320 --> 02:59.320]  For more news and analysis, log on to IRNNews.com.
[02:59.320 --> 03:07.320]  Do you suffer from cold sores? Relief one day cold sore symptom treatment is out to prove how fast it really works.
[03:07.320 --> 03:15.320]  If you suffer from those nasty sores, try relief and find out for yourself if relief works really fast for you.
[03:15.320 --> 03:21.320]  Relief is spelled R-E-L-E-E-V. It's easy to find and is in all major drug stores.
[03:21.320 --> 03:28.320]  So if you get cold sores, remember to get relief now and keep it ready to use the moment a cold sore attacks.
[03:28.320 --> 03:34.320]  The Upper Midwest is joining the Northeast with winter weather problems.
[03:34.320 --> 03:40.320]  National Weather Service meteorologist Sam Walker says the snow and severe cold are keeping people inside.
[03:40.320 --> 03:45.320]  With very strong winds, blowing snow and creates blizzard conditions in the outlying areas,
[03:45.320 --> 03:49.320]  which in that case means that the visibility is dropped down to zero.
[03:49.320 --> 03:53.320]  You get drifting across the highways, which tends to block them.
[03:53.320 --> 03:58.320]  And usually about the only people that can get out in some areas are people who have four-wheel-drive vehicles.
[03:58.320 --> 04:06.320]  The wave of youth violence in Greece is continuing. Scores of young people attack the police station, stores and banks on Saturday.
[04:06.320 --> 04:10.320]  More riots broke out last night. Here's Demetrius Nellis.
[04:10.320 --> 04:19.320]  Last night's riots erupted after a candlelight vigil commemorating the one week since the teenager was shot by a policeman.
[04:19.320 --> 04:23.320]  President George W. Bush is making an unannounced visit to Iraq.
[04:23.320 --> 04:31.320]  The President is having a rapid fire series of meetings with top Iraqi officials there, as well as with U.S. commanders.
[04:31.320 --> 04:37.320]  Bush and Prime Minister Nouri al-Maliki are celebrating the recent security agreement between the two nations.
[04:37.320 --> 04:44.320]  And Iraq's Defense Ministry says some American troops may remain in urban areas beyond a summer deadline to pull back,
[04:44.320 --> 04:46.320]  but only with the government's permission.
[04:46.320 --> 04:55.320]  The comments come a day after the top U.S. general announced troops might continue working with Iraq's security forces in the cities, even after the deadline.
[04:55.320 --> 05:17.320]  I'm Jody Jordan for IRNUSA Radio News.
[05:26.320 --> 05:35.320]  A few days after the war, the United States has announced that the U.S. military will be able to supply the entire country with the help of the U.S. military.
[05:35.320 --> 05:45.320]  The U.S. military will be able to supply the entire country with the help of the U.S. military.
[05:45.320 --> 06:00.320]  The U.S. military will be able to supply the entire country with the help of the U.S. military.
[06:00.320 --> 06:20.320]  The U.S. military will be able to supply the entire country with the help of the U.S. military.
[06:20.320 --> 06:42.320]  The U.S. military will be able to supply the entire country with the help of the U.S. military.
[06:42.320 --> 07:04.320]  Okay, folks, we are live, and it is December 14, 2008, we're getting into genetically modified foods, melamine in the milk, lead in other toxic poisons, and heavy metals in one-third of U.S. toys, according to CNN, coming up in about 40 minutes.
[07:04.320 --> 07:20.320]  In the meantime, I want to talk about the state of the economy and the militarization of police in the long, continual march in the classical despotism that this country is headed into, and is now deeply, deeply into.
[07:20.320 --> 07:29.320]  A lot of people in different cities across the country have been listening to my radio show for more than 10, 11 years.
[07:29.320 --> 07:36.320]  Folks in Austin now, I've been on the air for 13 years, you've heard me constantly talk about they want to put troops on the streets.
[07:36.320 --> 07:50.320]  They want to confiscate your guns. They're militarizing the police. They're training them that it's an us against them mentality and that the citizens are civilians and the police are paramilitary.
[07:50.320 --> 07:56.320]  What does all of this mean? Why is it important?
[07:56.320 --> 08:18.320]  Well, throughout history in other nations and in modern times, when you have troops on the streets, when you have militarized police, that always accompanies not having jury trials, not having due process, having secret arrest, having a very tiny corrupt elite that is feeding on the population.
[08:18.320 --> 08:30.320]  It's anti-American, anti-liberty, anti-freedom. There's a reason this nation has always had laws against the military being used against the people because the military attacks an enemy.
[08:30.320 --> 08:50.320]  The military kills people and breaks things. And I discovered back in the mid and late 1990s that there were covert operations going on all over the United States with the Marine Corps and the Army, regular Marines, regular Army, the regulars.
[08:50.320 --> 09:08.320]  Secretly dressing up in police uniforms, SWAT teaming gun dealers, going after drug dealers. And then by the late 90s, there were all sorts of bizarre military checkpoints with the Army, National Guard, Marine Corps out illegally searching citizens' vehicles.
[09:08.320 --> 09:16.320]  And whenever we would show up or the media would show up, even mainstream media, they'd say, oh, okay, it was just a drill, but they would be there actually arresting people.
[09:16.320 --> 09:24.320]  So there's been this huge secret operation. Now, none of it is now secret because it's about to go completely mainstream.
[09:24.320 --> 09:33.320]  And a lot of people hoped, well, that was just George Bush. You know, he was a tyrant, a right-winger, and it's all going to go away once Obama gets into office.
[09:33.320 --> 09:56.320]  Well, it doesn't matter whether it's Jimmy Carter or Ronald Reagan or George Bush Sr., Bush 41 or Bill Clinton or Bush 43 or Barack H. Obama, they are literally ceremonial frontmen for the foreign banks, the foreign corporations that did a hostile takeover of our federal government and of the states decades ago.
[09:56.320 --> 10:05.320]  And they've now orchestrated the collapse of our economy by design. We have their own documents. We've written about it and posted them on infowars.com and prisonplanet.com.
[10:05.320 --> 10:22.320]  And so the troops on the streets, that's really a stopgap measure from the legitimate government and the people, the citizens, ever regaining control of the government and punishing the corporate thieves that have stolen, according to Bloomberg and the San Francisco Chronicle,
[10:22.320 --> 10:37.320]  $8.5 trillion as of a week and a half ago. That's the last time we got numbers on this. And this week it came out that Bloomberg six weeks ago, Bloomberg Financial, had sued to find out where the trillions had gone.
[10:37.320 --> 10:50.320]  And this week the federal government said, well, the Federal Reserve is private and we have a secret contract with them and so we can't tell you where the $8.5 trillion has gone.
[10:50.320 --> 11:03.320]  So we're being robbed right now. And in third world countries, hundreds of times this century, hundreds and hundreds of times last century, but there's already been hundreds of takeovers the last eight years in the 21st century.
[11:03.320 --> 11:10.320]  It's the same thing in Nigeria or the same thing in Argentina or it's the same thing right now in Iceland, the first world nation.
[11:10.320 --> 11:21.320]  When the foreign banks, the same group doing the takeover here, implode economy by design so they can consolidate it with the foreign currency they issue themselves.
[11:21.320 --> 11:32.320]  The people can't resist and the people are forced by the gunboat diplomacy, as it's called in the encyclopedia, look that up, to go along with the oppression.
[11:32.320 --> 11:40.320]  So it's neocolonialism or imperialism, just by a little bit more stealth.
[11:40.320 --> 11:50.320]  Now, we've all seen troops at sports stadiums, college events, high school events, the Super Bowl, NFL events, the Kentucky Derby, any high profile event.
[11:50.320 --> 11:58.320]  And I've told you in the government admits now that that was to condition the public and acclimate the public to accept troops on the streets of the United States.
[11:58.320 --> 12:15.320]  And now Barack Obama, signaling the expansion of this, put out an order this week, well now last week, saying that for any special event or any security event or for environmental reasons or for DWI checkpoints,
[12:15.320 --> 12:21.320]  not just the police will be out violating the Fourth Amendment, but the army and the marines will be with them.
[12:21.320 --> 12:24.320]  The National Guard is abolished and federalized.
[12:24.320 --> 12:34.320]  The governors have no authority as well, and that's been the Washington Post that's been on CNN, CBS, they've all reported it, but said it's a good thing and it's to keep you safe.
[12:34.320 --> 12:40.320]  When you actually read Secretary of Defense Gates' program, he says it's already been in place for years.
[12:40.320 --> 12:48.320]  They're just now announcing it and that the main mission is suppressing the American people during civil insurrection or rioting.
[12:48.320 --> 12:54.320]  And they know that's coming, they've been setting it up for decades because now the Ponzi scheme they engineered is coming to an end.
[12:54.320 --> 13:06.320]  And they're going to take your pension funds, they're going to take your 401ks, they're going to take everything you've got, they're going to federalize it and give you about a third of what you're owed and put a tax on the rest of it.
[13:06.320 --> 13:08.320]  And that's all on record.
[13:08.320 --> 13:14.320]  It's all posted at infowars.com and prisonplanet.com right now.
[13:14.320 --> 13:25.320]  It's all right there for anybody and everybody that wishes to look at it, for anybody and everybody that wishes to go check that out for themselves.
[13:25.320 --> 13:28.320]  Why do I bring this up now?
[13:28.320 --> 13:44.320]  Well, in San Bernardino, California, outside 29 Palms Marine Corps Base, and I saw this in their local news and I called today and confirmed it, and Kurt Nemo at infowars.com is doing a report on it.
[13:44.320 --> 13:56.320]  The 29 Palms Marines are starting two days ago, starting on Friday, just indefinitely now, will be out on the highways running checkpoints for DWIs.
[13:56.320 --> 13:58.320]  Now again, stop the drunks.
[13:58.320 --> 14:00.320]  Yeah, let's use the Army.
[14:00.320 --> 14:04.320]  Again, this is for PR purposes to prepare you to have regular checkpoints.
[14:04.320 --> 14:12.320]  Remember Rick Perry announced in Texas a month ago warrantless random checkpoints to check driver's license and insurance, but the illegal aliens are going to be exempt from it.
[14:12.320 --> 14:15.320]  And that even came out in the Houston Chronicle.
[14:15.320 --> 14:17.320]  They said, don't worry, we're not going to deport illegals.
[14:17.320 --> 14:18.320]  This is for everybody.
[14:18.320 --> 14:36.320]  These are domestic, internal Soviet or Nazi style, 180 degrees, the opposite of what this country has been founded on, what this nation is all about.
[14:36.320 --> 14:55.320]  So we have that report up on infowars.com, and we have other links to stories showing the military at high school and college football games, searching small children, the children learning that men in uniforms stop you and search your little bag.
[14:55.320 --> 14:58.320]  Now, a lot of people say, so what, let troops be on the streets.
[14:58.320 --> 15:07.320]  Well, again, historically and currently, that's being done so they can have an economic consolidation and vertical integration.
[15:07.320 --> 15:16.320]  And this will target everyone in the financial interest now in control of our nation, our anti-American.
[15:16.320 --> 15:18.320]  They do not like the United States.
[15:18.320 --> 15:20.320]  They want to get rid of it.
[15:20.320 --> 15:22.320]  They want to abolish it.
[15:22.320 --> 15:36.320]  And when the Marines were interviewed by the local news talk station, we have links to that, 107 FM, when they were interviewed by the local station, they said, yeah, we don't know if it's legal, but we've been ordered to do it.
[15:36.320 --> 15:38.320]  So we are doing it.
[15:38.320 --> 15:40.320]  Of course, it's 29 palms.
[15:40.320 --> 15:41.320]  We're back in the 90s.
[15:41.320 --> 15:44.320]  The Marines were asked, will you confiscate Americans' guns?
[15:44.320 --> 15:46.320]  Will you fire on them?
[15:46.320 --> 15:52.320]  And so it's been a slow twisting to the dark side, a slow mutation of the police and military.
[15:52.320 --> 15:55.320]  Oh, by the way, the police and the Marines will be together.
[15:55.320 --> 16:04.320]  So this is the military being turned against the American people, classical tyranny from Rome to Nazi Germany to now the U.S.
[16:04.320 --> 16:16.320]  With food prices soaring to all time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[16:16.320 --> 16:17.320]  Garden in a can.
[16:17.320 --> 16:20.320]  Garden in a can is your source for premium long-term storable seeds.
[16:20.320 --> 16:22.320]  Garden in a can is ready when you are.
[16:22.320 --> 16:25.320]  Plant them now or store them for when you really need them.
[16:25.320 --> 16:34.320]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term production.
[16:34.320 --> 16:36.320]  Garden in a can.
[16:36.320 --> 16:39.320]  It's that simple, fresh, healthy, easy.
[16:39.320 --> 16:45.320]  Only $69.95 for over a half acre of safe fresh vegetables ready when you are.
[16:45.320 --> 16:49.320]  Stop procrastinating and start preparing with Garden in a Can.
[16:49.320 --> 16:53.320]  For more details, visit Gardeninacan.com today.
[16:53.320 --> 17:03.320]  That's Gardeninacan.com or call 866-598-7396-866-598-7396.
[17:03.320 --> 17:06.320]  Hi, John Huebner from Midas Resources.
[17:06.320 --> 17:09.320]  Are you tired of watching your hard-earned assets dwindle away?
[17:09.320 --> 17:17.320]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of Stockbroker's gambling away your hard-earned money?
[17:17.320 --> 17:21.320]  Is this market a setup for a crash greater than 1987?
[17:21.320 --> 17:25.320]  Too many of today's policies resemble those that led to the collapse of 1929.
[17:25.320 --> 17:27.320]  How much are you willing to lose?
[17:27.320 --> 17:28.320]  Take action now.
[17:28.320 --> 17:33.320]  Call me at 1-800-686-2237, extension 129.
[17:33.320 --> 17:37.320]  I believe that we are facing a financial catastrophe of biblical proportion.
