[00:00:01.536 --> 00:00:08.164]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:08.164 --> 00:00:11.148]  It's Alex Jones and the GCN Radio Network.
[00:00:14.164 --> 00:00:17.727]  Good afternoon, good evening ladies and gentlemen.
[00:00:17.727 --> 00:00:23.091]  Info Warriors, resistance fighters out on the battlefield of ideas.
[00:00:23.091 --> 00:00:27.154]  This is the Alex Jones Show and I'm Paul Joseph Watson.
[00:00:27.154 --> 00:00:42.845]  Alex is out sick today so I'll be sitting in for the first hour, probably taking some of your calls later and hopefully Alex will be back in the hot seat tomorrow and the second hour of today's show will be a rebroadcast of recent interviews.
[00:00:44.375 --> 00:01:02.601]  Firstly, we're going to update you on the latest situation with what's happening in the oil-rich country of Libya, over which the United States, the UK and the United Nations have suddenly developed collective consciences for, quote, humanitarian suffering.
[00:01:02.601 --> 00:01:08.924]  And, as I wrote last week in an article entitled, US Special Forces Arrive in Libya,
[00:01:10.279 --> 00:01:16.945]  In which it was also detailed how British Special Forces had arrived in Benghazi.
[00:01:16.945 --> 00:01:23.811]  The stage for a coup d'etat on Gaddafi is now being carefully set.
[00:01:23.811 --> 00:01:26.313]  And we've got this story out of Sky News today.
[00:01:27.114 --> 00:01:30.879]  Eight SAS soldiers held by rebels.
[00:01:30.879 --> 00:01:37.468]  Eight SAS soldiers have been detained by rebels in Libya, according to Sky News sources.
[00:01:37.468 --> 00:01:42.494]  Rebel sources told Sky that the group are being held in Libya's second city in Benghazi.
[00:01:43.215 --> 00:01:49.159]  According to the sources, a British diplomat who was with the unit is now negotiating for their release.
[00:01:49.159 --> 00:01:54.063]  The rebels say the soldiers are being well treated and the issue will soon be resolved.
[00:01:54.063 --> 00:02:00.007]  The Ministry of Defence and the Foreign Office have neither confirmed or denied the reports.
[00:02:00.007 --> 00:02:00.487]  Now of course...
[00:02:01.448 --> 00:02:27.299]  Last week we had one of the rebel leaders saying that foreign intervention would not be welcome but then a day later calling for the aid of UN-led humanitarian airstrikes and it appears that the capture of these SAS soldiers is about the rebels interim council attempting to achieve some kind of diplomatic recognition which would
[00:02:27.960 --> 00:02:35.859]  Aid them, of course, in overthrowing Gaddafi and increasing pressure on the UN to impose sanctions on his regime.
[00:02:37.113 --> 00:03:03.168]  But this SAS intervention, which we picked up on after it had been reported by the Pakistani Observer that Special Forces had indeed landed on February 22nd and 23rd last month, has stoked anger amongst some of the rebels because they fear that Gaddafi will use it as propaganda to cite Western foreign military involvement.
[00:03:05.287 --> 00:03:10.196]  You know, as a propaganda tool with which to rally patriotic fervour, and certainly
[00:03:11.420 --> 00:03:30.914]  If we look at the attempted Iranian revolution last year, one of the primary reasons behind its failure was Ahmadinejad's ability to point to the fact that the US government had used the MEK and Jundullah, which of course, as our readers will know, is an al-Qaeda-linked terror group.
[00:03:30.914 --> 00:03:35.858]  That's right, the CIA has been graciously bankrolling them to overthrow the Iranians.
[00:03:37.759 --> 00:03:42.981]  To destabilise Iran in preparation for these student protests which happened last year.
[00:03:42.981 --> 00:03:58.809]  And by citing Western intervention, Ahmadinejad was able to rally the poorer segments of the population around this patriotic fervour and thereby derail the momentum of the younger revolutionaries.
[00:03:58.809 --> 00:04:03.091]  So you could certainly see similar consequences unfolding in Libya.
[00:04:04.980 --> 00:04:08.684]  But the fact is our report from last week is now confirmed.
[00:04:08.684 --> 00:04:25.980]  British SAS soldiers, of course famous for their shenanigans and joyriding around Iraqi tribal areas with fake wigs and Arab headdress, guns and explosives as they were caught doing, have now been identified and caught
[00:04:26.641 --> 00:04:34.065]  And they're there on the ground in Libya trying to support the rebels, whether the rebels want that support or not.
[00:04:34.065 --> 00:04:45.652]  Of course, just like in America for the past week or more, in the UK there's been a phony debate about whether we should get behind sending in troops for quote, you know, humanitarian assistance.
[00:04:46.172 --> 00:04:50.733]  Nothing, of course, to do with the fact that Libya holds the largest oil reserves in the whole of Africa!
[00:04:50.733 --> 00:04:52.934]  Pure coincidence.
[00:04:52.934 --> 00:04:58.416]  But the SAS, the Special Forces, are now going in for humanitarian aid.
[00:04:58.416 --> 00:04:59.736]  We'll be back.
[00:04:59.736 --> 00:05:14.161]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:05:15.188 --> 00:05:19.890]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:05:19.890 --> 00:05:32.656]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:05:32.656 --> 00:05:39.920]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:05:40.600 --> 00:05:50.989]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:05:50.989 --> 00:05:54.913]  As well, we are always ready to answer any questions you may have.
[00:05:54.913 --> 00:05:59.817]  That's www.SilverLungs.com.
[00:05:59.817 --> 00:06:05.222]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:06:05.222 --> 00:06:07.424]  Because there's a war on for your mind.
[00:06:10.990 --> 00:06:13.912]  We're back on the Alex Jones Show Sunday edition.
[00:06:13.912 --> 00:06:19.274]  So we've got confirmation that British SAS troops are now in Libya.
[00:06:19.274 --> 00:06:25.517]  We've had some kind of phony debate in Britain over the past two weeks about whether we should send in troops.
[00:06:25.517 --> 00:06:28.259]  They've already been there for two weeks.
[00:06:28.259 --> 00:06:38.924]  And of course, if British SAS troops are there, then you know it's virtually guaranteed that American special forces are also on the ground.
[00:06:38.924 --> 00:06:39.425]  And of course,
[00:06:40.359 --> 00:06:49.122]  There'll be no time for a real debate or, God forbid, a Congressional authorisation when that is indeed confirmed.
[00:06:49.122 --> 00:07:03.967]  And of course, we'll all be along for the ride as this humanitarian war is sold to us by public relations firms using emotional drivel and heart-rending propaganda, just like the
[00:07:04.947 --> 00:07:22.563]  Contrived Balkans War was sold under Bill Clinton with the aid of fake concentration camps and just like the first Gulf War was sold under Bush Senior with the aid of a manufactured story about Iraqis throwing Q80 babies out of incubators.
[00:07:24.130 --> 00:07:47.971]  And just watch as the so-called Liberals vehemently get in line to parrot the teleprompter reading Barry Satoro, the man who campaigned on change and peace, yet now has more troops deployed than at any time under Bush, the man who aggressively expanded the Predator drone strikes that continue to kill scores of innocent people every month.
[00:07:49.372 --> 00:08:04.897]  So, just sit by and watch as the likes of Media Matters and Think Progress, the two premier neoliberal propaganda whores for the Obama White House, keep it well and truly zipped.
[00:08:04.897 --> 00:08:14.480]  And that segues into our second topic that I wanted to cover today, which is new media versus old media.
[00:08:14.480 --> 00:08:14.760]  Because
[00:08:16.690 --> 00:08:29.118]  Habitually, Media Matters and Think Progress, you know, put out five-page articles listing the statements made on this show, as if that alone somehow discredits us.
[00:08:29.118 --> 00:08:42.267]  They don't even try to point out why what we're saying is wrong, because they still live under the delusion that they're fooling anyone other than their own sycophantic neoliberal audience.
[00:08:42.267 --> 00:08:42.828]  And there's another
[00:08:43.448 --> 00:09:01.719]  Media Matters hit piece out today relating to the Bill O'Reilly clip which we'll go on to discuss shortly if the studio could queue up Bill O'Reilly and basically Media Matters has jumped on this as a bandwagon to attack both Fox News and Alex Jones.
[00:09:03.420 --> 00:09:11.227]  Habitually, as I said, they put out five-page smears listing statements made on this show as if merely repeating them alone.
[00:09:11.227 --> 00:09:13.869]  It somehow debunks them.
[00:09:13.869 --> 00:09:23.798]  And of course, Media Matters will fail to list the statements that directly prove that they're nothing more than a water carrier for the Obama White House.
[00:09:28.160 --> 00:09:47.519]  Media Matters is funded by the billionaire globalist George Soros, the same man who just this week incited the next US military-industrial complex overthrow of a sovereign government by targeting Iran for, quote, the bloodiest of revolutions.
[00:09:48.618 --> 00:09:55.803]  George Soros, the man who funds Media Matters, targeting Iran for the bloodiest of revolutions.
[00:09:55.803 --> 00:10:13.675]  And of course Media Matters is behind the Progressive Media Campaign, which was launched in 2008, the goal of which, in their own words, is to become a, quote, war room for promoting the foreign and domestic policies of Barack Obama.
[00:10:14.983 --> 00:10:18.989]  And these are the same people who claim they are non-partisan.
[00:10:18.989 --> 00:10:22.073]  They claim they're a legitimate media organisation.
[00:10:23.763 --> 00:10:30.325]  Of course, Media Matters was started by John Podesta and the Center for American Progress.
[00:10:30.325 --> 00:10:42.329]  The Center for American Progress, its own director Jennifer Palmieri admits, is about, quote, driving the White House's message and agenda.
[00:10:42.329 --> 00:10:43.309]  Oh!
[00:10:43.309 --> 00:10:51.132]  Again, let's see Media Matters include those statements in their next hit piece, seeing as they're so obsessed
[00:10:51.926 --> 00:10:54.347]  With virulently attacking us.
[00:10:54.347 --> 00:11:16.615]  I think perhaps it might be something to do with the fact that PrisonPlanet.com alone gets twice the amount of traffic compared to MediaMatters.org according to Alexa.com and indeed InfoWars.com gets around four times the amount of visitors compared to MediaMatters.org.
[00:11:18.854 --> 00:11:22.155]  But you won't see them including that statement in their next hit piece.
[00:11:22.155 --> 00:11:38.742]  The fact that in total we get about six times more traffic than them because we actually try to go after the truth rather than, admittingly, being water carriers for the Obama White House.
[00:11:38.742 --> 00:11:44.324]  The very organisation that started Media Matters and their own campaign.
[00:11:46.534 --> 00:11:54.005]  The 2008 progressive media campaign is admittedly about driving the White House's message and agenda.
[00:11:54.005 --> 00:12:01.976]  And they've got the nerve to tell their readers that they're non-partisan while George Soros quietly slips them another million dollars.
[00:12:03.086 --> 00:12:07.689]  How about you include that statement in your next hit piece, Media Matters?
[00:12:07.689 --> 00:12:14.072]  And you can say what you like about Alex Jones or Infowars, but at least we're funded by our own listeners.
[00:12:14.072 --> 00:12:20.856]  You know, there's no billionaire globalist buttering our bread.
