whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20170409_Sun_Alex.wav' (113116056 samples, 7069.8 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:06.780]   Reuters is reporting military activity by the United States and NATO exceeds that of
[00:00:06.780 --> 00:00:08.400]   any time during the Cold War.
[00:00:08.400 --> 00:00:10.280]   We're live, it's a Sunday broadcast.
[00:00:10.280 --> 00:00:13.640]   When we come back in the next segment, I'm going to kick off one of the most important
[00:00:13.640 --> 00:00:15.560]   transmissions in my 22-year history.
[00:00:15.560 --> 00:00:16.560]   I'm Alex Jones.
[00:00:16.560 --> 00:00:17.560]   This is the InfoWars.
[00:00:17.560 --> 00:00:19.440]   InfoWars.com is the website.
[00:00:19.440 --> 00:00:20.440]   Spread that link.
[00:00:20.440 --> 00:00:21.440]   You are fake news.
[00:00:21.440 --> 00:00:22.440]   Sir, can you...
[00:00:22.440 --> 00:00:27.440]   CNN and its co-conspirators have backed themselves into a corner.
[00:00:27.440 --> 00:00:29.840]   I'm changing it from fake news, though.
[00:00:29.840 --> 00:00:30.840]   I'm that under...
[00:00:30.840 --> 00:00:31.840]   Very fake news.
[00:00:31.840 --> 00:00:33.560]   I know, but aren't you...
[00:00:33.560 --> 00:00:39.200]   In the court of public opinion, the entire sycophantic, abominized media has decided
[00:00:39.200 --> 00:00:44.240]   to continue to lie in the filthy bed they made for themselves after they cozied up to
[00:00:44.240 --> 00:00:50.200]   the ever so charming, constitution-subverting former President Barack Obama.
[00:00:50.200 --> 00:00:55.920]   With a 35% approval rating, according to Quinnipiac, that's lower than Obama's worst approval rating.
[00:00:55.920 --> 00:01:01.280]   I'm sick and tired of this White House, as I was sick and tired of the campaign.
[00:01:01.280 --> 00:01:06.360]   I am tired of difference being disrespected and mistreated by this White House.
[00:01:06.360 --> 00:01:10.780]   There is no evidence whatsoever that the Trump team was spied on illegally.
[00:01:10.780 --> 00:01:13.960]   There is no evidence that backs up the President's original claim.
[00:01:13.960 --> 00:01:18.480]   And on this program tonight, we will not insult your intelligence by pretending otherwise,
[00:01:18.480 --> 00:01:23.260]   nor will we aid and abet the people who are trying to misinform you, the American people,
[00:01:23.260 --> 00:01:25.640]   by creating a diversion.
