[00:00:14.918 --> 00:00:17.880]  InfoWars, tomorrow's news, today.
[00:00:17.880 --> 00:00:26.805]  Consider a ship like the USS Theodore Roosevelt hobbled last year when 1,271 crew members tested positive for the coronavirus.
[00:00:27.575 --> 00:00:34.715]  What if everyone on board had their health monitored with this subdermal implant now in late stage testing?
[00:00:35.436 --> 00:00:45.183]  It's not some dreaded government microchip to track your every move, but a tissue like gel engineered to continuously test your blood.
[00:00:45.183 --> 00:00:46.644]  It's a sensor.
[00:00:46.644 --> 00:00:48.365]  This tiny green thing in there?
[00:00:48.365 --> 00:01:02.294]  That tiny green thing in there, you put it underneath your skin, and what that tells you is that there are chemical reactions going on inside the body, and that signal means you're going to have symptoms tomorrow.
[00:01:02.294 --> 00:01:02.734]  Wow.
[00:01:02.734 --> 00:01:04.996]  Everything is coming into crystal clear focus now.
[00:01:05.857 --> 00:01:12.422]  The New World Order's designs for us, their long-planned war, has now gone hot.
[00:01:12.422 --> 00:01:19.348]  But like every science fiction comic book movie you see, how do people become superheroes?
[00:01:19.348 --> 00:01:28.036]  Well, they fall in toxic waste, or they get bit by a spider that's radioactive, or they get a deadly vaccine, and they mutate and turn into a superhuman.
[00:01:28.036 --> 00:01:30.218]  Most people won't turn into superhumans, they'll die.
[00:01:31.303 --> 00:01:44.988]  But out of this mass manipulation, this mass mutation program, they know that they get some really bizarre mutations in cows, in pigs, in rats, in guinea pigs, in sheep.
[00:01:44.988 --> 00:01:46.728]  And they've also now done it in China to humans.
[00:01:46.728 --> 00:01:58.652]  And so this is a mass experiment on us to cause mass mutations that can then be studied by the globalists to get life extension technologies, to find the Lazarus gene, to find the immortal cell lines.
[00:01:58.652 --> 00:02:00.113]  Those are all real things I just mentioned.
[00:02:00.962 --> 00:02:04.525]  Chinese scientists create GMO super dogs.
[00:02:04.525 --> 00:02:13.394]  A group of Chinese scientists say they are the first researchers to have used a breakthrough gene editing technology to successfully double the muscle mass of dogs.
[00:02:13.394 --> 00:02:22.362]  For this new research, the scientists use 65 beagle dog embryos, focusing in on genes encoded for myelstatin, a protein that inhibits muscle growth.
[00:02:22.922 --> 00:02:30.865]  By injecting the enzyme complex CRISPR-Cas9 into the embryos, the objective was to knock out the myelostatin genes in the dog's DNA.
[00:02:30.865 --> 00:02:35.367]  With myelostatin out of the way, the beagle's muscles can grow to new extremes.
[00:02:35.367 --> 00:02:43.651]  In 2018, Hei Jianghui announced the birth of the world's first CRISPR-modified babies, twin girls known only as Lulu and Nana.
[00:02:43.651 --> 00:02:50.694]  I understand my work will be controversial, but I believe families need this technology.
[00:02:52.122 --> 00:02:53.683]  There was outrage.
[00:02:53.683 --> 00:02:55.964]  In a chilling op-ed, the U.S.
[00:02:55.964 --> 00:03:01.886]  Intel chief has warned that China could be breeding genetically modified soldiers.
[00:03:01.886 --> 00:03:12.770]  And the fact that they're trying to use gene editing tools to change the nature of human beings is not surprising.
[00:03:13.388 --> 00:03:15.249]  Because this is who they really are.
[00:03:15.249 --> 00:03:18.992]  And we had that similar experience, did we not?
[00:03:18.992 --> 00:03:26.196]  With Nazism and that authoritarian regime trying to conduct human experiments to do the very same thing.
[00:03:26.196 --> 00:03:32.100]  This globalist runaway, breakaway civilization, the sign of a takeover, has been beta testing for decades.
[00:03:32.100 --> 00:03:34.321]  Now they've gone live.
[00:03:34.321 --> 00:03:35.662]  And this is definitely the big one.
[00:03:37.046 --> 00:03:46.151]  I knew they had some plans to release bioweapons to scare us, lock us down for a while, and then incrementally release bioweapons that were more deadly to slowly call our numbers.
[00:03:46.151 --> 00:03:52.214]  They've decided to just go all the way with this, with delayed kill operations.
[00:03:52.214 --> 00:03:59.158]  And now, again, the former chief scientist at Pfizer, head of vaccines, head of allergy development,
[00:04:00.040 --> 00:04:22.178]  They said, I'm sorry, I was always a mainline guy, but I've reverse engineered this, and this is a poisonous gene therapy that is going to start shutting everybody's livers down within six months to one year, and it's also going to cause brain plaques, and it's also going to attack the babies in utero, and it's the end of humanity.
[00:04:22.178 --> 00:04:24.660]  That's the former chief, chief scientist.
[00:04:25.535 --> 00:04:30.757]  Former Pfizer VP, your government is lying to you in a way that could lead to your death.
[00:04:30.757 --> 00:04:32.658]  That's a quote.
[00:04:32.658 --> 00:04:38.180]  And Woodargen, he wrote a big letter on December 1st, begging Europe not to approve any of the vaccines.
[00:04:38.180 --> 00:04:40.701]  Not the virus vectors, not the Pfizer, not any of it.
[00:04:40.701 --> 00:04:43.843]  Because they all do the same thing.
[00:04:43.843 --> 00:04:45.963]  And it got almost no attention.
[00:04:45.963 --> 00:04:47.504]  And they filed an injunction.
[00:04:47.504 --> 00:04:50.085]  And the EU just brushed it aside.
[00:04:50.085 --> 00:04:54.527]  But now what he said in that report in December, here we are, four months later,
