[00:00.000 --> 00:08.000]  Big Brother. Mainstream media. Government cover-ups. You want answers? Well, so does he.
[00:08.000 --> 00:22.000]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:22.000 --> 00:29.000]  The Info Wars Media Operation was the first organization, if you go back more than a decade ago, to detail,
[00:29.000 --> 00:38.000]  the Globalist Plan to bring in a world financial meltdown based in and around derivatives
[00:38.000 --> 00:47.000]  and a coming currency war on the backs of which they would then sell a rescue plan
[00:47.000 --> 00:54.000]  that would cement a global government. And that is now the point that we are reaching
[00:54.000 --> 01:02.000]  as a society, as a culture, as a world. Just yesterday, we reared a piece I did about a month and a half ago,
[01:02.000 --> 01:09.000]  headline Total Emergency Alert, Elites Evacuating Western Countries.
[01:09.000 --> 01:21.000]  And then I went over mainstream news articles saying that. But still we hear, oh, Alex Jones is a fear porn dealer.
[01:21.000 --> 01:31.000]  Alex Jones is a scaremonger. You know, I wish I was, and I wish I was wrong about all this.
[01:31.000 --> 01:39.000]  Because when the derivatives bubble goes belly up, when the currency devaluation bubble goes belly up,
[01:39.000 --> 01:47.000]  when the deflationary spiral starts sandwiched in with currency devaluation,
[01:47.000 --> 01:54.000]  we're going to have the perfect storm of the money being worthless,
[01:54.000 --> 01:59.000]  and they're not being jobs or an economy.
[01:59.000 --> 02:05.000]  And you're not supposed to be able to have that economically under free market systems,
[02:05.000 --> 02:12.000]  but when you have rigged systems and mega banks that charge you to keep money in the bank and charge you for transactions,
[02:12.000 --> 02:17.000]  while they push a cashless society to force you into their system,
[02:17.000 --> 02:24.000]  and then they themselves get free money at zero or negative interest, but then charge us interest,
[02:24.000 --> 02:28.000]  that is a rigged playing field.
[02:28.000 --> 02:37.000]  Microcosm of that is more than 10,000 nonprofit statuses issued in the last six and a half years by Obama
[02:37.000 --> 02:42.000]  to Democrats, Socialists, Communists, Nambla, you name it.
[02:42.000 --> 02:48.000]  In the last three years, one conservative group has been given a tax exemption.
[02:48.000 --> 02:51.000]  You say, what's it have to do with the economy?
[02:51.000 --> 02:57.000]  It's how everything is. Libor, the currency markets, the interest rates, the stock market.
[02:57.000 --> 03:04.000]  There is rigged as the dirtiest Atlantic City casino.
[03:04.000 --> 03:14.000]  In fact, I mean this when I say it, you got better odds making money in a Las Vegas or Atlantic City casino
[03:14.000 --> 03:21.000]  than you've got long term in this system.
[03:21.000 --> 03:27.000]  And they only gave us all this free money to get us addicted like heroin dealers or cocaine dealers
[03:27.000 --> 03:33.000]  handing out free samples to 12 year olds or 10 year olds at the local park.
[03:33.000 --> 03:38.000]  Now there's a reason crack dealers will give your 14 year old daughter some free crack
[03:38.000 --> 03:44.000]  because in a month they're going to have her on the street in another city working for them turning 10 tricks a day.
[03:44.000 --> 03:53.000]  And that's now the cycle where America is going from getting the free crack to being put out on the street.
[03:53.000 --> 04:03.000]  It is a pimp game, a fascinating world to quote Idiocracy and Mike Judge.
[04:03.000 --> 04:09.000]  So when we return, China royals markets for second day as Yon tumbles with stocks.
[04:09.000 --> 04:17.000]  Gold and silver surge is dollar dumps. 12 signs of an imminent global financial crash has become even more likely.
[04:17.000 --> 04:22.000]  These are mainstream headlines. People are like, wait, I've heard this before somewhere.
[04:22.000 --> 04:29.000]  You heard it here. You think I want to go up against these people? You think I want all this to happen?
[04:29.000 --> 04:35.000]  I'm doubled down, folks. I own a house. I'm invested here. I got roots here.
[04:35.000 --> 04:43.000]  I'm trying to stop this from happening. I'm trying to stop this from happening.
[04:43.000 --> 04:47.000]  But the only way to stop it is admitting what's coming before it gets here.
[04:47.000 --> 04:54.000]  They don't want people to know till the hammers drop so they can come out with their fake solution and pose like they're the saviors.
[04:54.000 --> 05:01.000]  Well, the EPA has done it again. Over the weekend, the group that secretly experimented on people by making them breathe diesel exhausts
[05:01.000 --> 05:06.000]  and the group that is finding people all over the country for the amount of smoke that leaves their chimneys spilt
[05:06.000 --> 05:10.000]  an estimated one million gallons of hazardous wastewater into the Animas River.
[05:10.000 --> 05:17.000]  According to the EPA, the spill occurred when one of its teams was using heavy equipment to enter the Gold King Mine, a suspended mine near Durango.
[05:17.000 --> 05:22.000]  Instead of entering the mine and beginning the process of pumping and treating the contaminated water inside his plan,
[05:22.000 --> 05:26.000]  the team accidentally caused it to flow into the nearby Animas River.
[05:26.000 --> 05:32.000]  Officials said they believe the spill carried heavy metals, mainly iron, zinc, and copper from the mine into the creek that feeds into the Animas River.
[05:32.000 --> 05:36.000]  You can see pictures all over the internet of orange water throughout the river.
[05:36.000 --> 05:41.000]  And local residents are concerned that fish and plants near the river are going to be dying en masse.
[05:41.000 --> 05:46.000]  The EPA also wants to cut out coal power burning plants which provide cheap power for the United States.
[05:46.000 --> 06:07.000]  Thanks, EPA, for all that you do. Rob Dew reporting for Infowars.com and Infowars Nightly News.
[06:16.000 --> 06:23.000]  Make sure your DNA force today at InfowarsLife.com or call toll-free 888-253-3139.
[06:46.000 --> 06:50.000]  Allege Jones here with a very important news alert for Infowars listeners.
[06:50.000 --> 06:56.000]  We've confirmed through our major suppliers attempting to resupply Survival Shield X-2 Deep Earth Crystals
[06:56.000 --> 07:00.000]  that elite corporations are buying up the supplies all over the world.
[07:00.000 --> 07:03.000]  So prices are going up and it's very hard to secure it.
[07:03.000 --> 07:08.000]  We have been able to secure a limited supply of the pure Deep Earth Crystals.
[07:08.000 --> 07:17.000]  And have now been able to produce more Survival Shield Nacin iodine X-2.
[07:17.000 --> 07:22.000]  This is the good halogen. This is the opposite of the bad halogens like fluoride.
[07:22.000 --> 07:31.000]  Now we at InfowarsLife.com are bringing you the only source of clean pure 99.99 ultra pure Deep Earth Crystals
[07:31.000 --> 07:34.000]  from more than 7000 feet below the Earth's surface.
[07:34.000 --> 07:42.000]  Watch the informational videos at InfowarsLife.com. Discover how transformational pure iodine can be for you and your family.
[07:42.000 --> 08:06.000]  Folks, this hidden hype. Read the reviews for yourself at InfowarsLife.com or call 888-253-3139.
[08:06.000 --> 08:13.000]  And so move it on over. Move it on over. Move it on over. Move it on over.
[08:13.000 --> 08:16.000]  Little dog calls the big dogs moving in.
[08:16.000 --> 08:25.000]  The answer to 1984 is 1776. You're listening to the Alex Jones show.
[08:25.000 --> 08:36.000]  Move it on over. Scoot it on over. Move it on over. Move over skinny dog calls the fat dogs moving in.
[08:36.000 --> 08:44.000]  This dog house here is mighty small, but it's better than the old house that also eats it on over. Move it on over.
[08:44.000 --> 08:51.000]  Drag it on over. Move it on over. Move over old dog calls our new dogs moving in.
[08:51.000 --> 08:58.000]  And to build a world government run by private corporate interests that are above the law, they've got to bring down the old system.
[08:58.000 --> 09:07.000]  But while they do that, they max out the credit, they run the old system in the ground, and they blame the collapse on what made the old system great.
[09:07.000 --> 09:15.000]  Capitalism. When what we have today is engineered corporate crony fascism.
[09:15.000 --> 09:23.000]  Congressman Walter Jones will be joining us. He's spearheading, of course, the declassification of the 28 pages, but he's read it.
