[00:00.000 --> 00:04.000]  You can feel it
[00:04.000 --> 00:08.000]  You can taste it
[00:08.000 --> 00:12.000]  You can see it
[00:12.000 --> 00:16.000]  You can grace it
[00:16.000 --> 00:20.000]  You can hear it
[00:20.000 --> 00:24.000]  You're getting near it
[00:24.000 --> 00:28.000]  You wanna make it
[00:28.000 --> 00:32.000]  You wanna make it
[00:32.000 --> 00:36.000]  Cause you can taste it
[00:36.000 --> 00:40.000]  You're getting near it
[00:40.000 --> 00:44.000]  You're getting near it
[00:44.000 --> 00:48.000]  You're getting near it
[00:48.000 --> 00:52.000]  You're getting near it
[00:52.000 --> 00:56.000]  You're getting near it
[00:56.000 --> 01:00.000]  You're getting near it
[01:00.000 --> 01:04.000]  You're getting near it
[01:04.000 --> 01:08.000]  You're getting near it
[01:08.000 --> 01:12.000]  You're getting near it
[01:12.000 --> 01:16.000]  You're getting near it
[01:16.000 --> 01:20.000]  You're getting near it
[01:20.000 --> 01:24.000]  You're getting near it
[01:24.000 --> 01:33.760]  was out eight months ago, just earth shaking, shattering info, and when I was driving into
[01:33.760 --> 01:38.400]  work today, just a few hours ago, I almost had to pull off the side of the road, and
[01:38.400 --> 01:47.400]  I'm serious because I was feeling intense guilt and intense drive of every cell in
[01:47.400 --> 01:57.600]  my body and God's spirit telling me to stop them, and I know you feel it as well.
[01:57.600 --> 02:00.040]  You're a TV viewer, you don't want to look at this, but I don't want to look at it either,
[02:00.040 --> 02:01.040]  but we have to look at it.
[02:01.040 --> 02:02.040]  That's how we stop it.
[02:02.040 --> 02:03.540]  We face it.
[02:03.540 --> 02:07.520]  Mom double jabbed and third trimester gives birth to a baby who died after suffering heart
[02:07.520 --> 02:13.920]  failure and blood clots, and it's happening everywhere with the Pfizer, Moderna, and J&J
[02:13.920 --> 02:14.920]  shots.
[02:14.920 --> 02:19.360]  Everything they make the body create a deadly spike protein that's highly poisonous and
[02:19.360 --> 02:22.720]  causes blood clots by eating holes in capillaries.
[02:22.720 --> 02:27.640]  It just eats those little babies up, just like the hot salts they spray in to burn
[02:27.640 --> 02:33.040]  off their skin and cause an abortion, or when they go in and chop them up inside the
[02:33.040 --> 02:37.480]  uterus and pull them out piece by piece, or when they pull them out and suck their brains
[02:37.480 --> 02:39.760]  out there on the table.
[02:39.760 --> 02:41.880]  That's the reality of what's going on.
[02:41.880 --> 02:46.040]  Mom double jabbed and third trimester gives birth to a baby who died after suffering heart
[02:46.040 --> 02:48.240]  failure and blood clots.
[02:48.240 --> 02:50.680]  It's just absolutely horrific, ladies and gentlemen.
[02:50.680 --> 02:54.840]  We've got all the details here, and we've got the VAERS database report on it.
[02:54.840 --> 02:58.600]  Of course, we know the FDA fought to not release any documents.
[02:58.600 --> 03:02.800]  It'll take 75 years now to rate the court order and release them before they're released.
[03:02.800 --> 03:06.560]  The first 30 pages came out three weeks ago.
[03:06.560 --> 03:12.080]  First set to come out in just a few days, and those few pages admitted thousands of
[03:12.080 --> 03:17.880]  deaths, thousands of miscarriages at just the start of the poison injection program.
[03:17.880 --> 03:25.000]  They are murdering us out of the open, and the people running it are all death cult eugenicists
[03:25.000 --> 03:30.640]  that have run bioattacks on the world before with HIV, that have called for global depopulation
[03:30.640 --> 03:32.880]  who are part of eugenic societies.
[03:32.880 --> 03:35.800]  I'm talking about Bill Gates.
[03:35.800 --> 03:42.680]  I'm talking about that cohort of criminals around him, Fauci is, Field Marshal, who by
[03:42.680 --> 03:46.720]  the way is announced massacre forever and lockdowns are forever.
[03:46.720 --> 03:50.080]  They're now announcing all over the world, hey, first is New Zealand and Australia a
[03:50.080 --> 03:56.040]  few weeks ago, they laughed on TV, both prime ministers and said, this is never going to
[03:56.040 --> 03:57.040]  stop.
[03:57.040 --> 04:03.960]  You'll never wait until everybody gets seven shots a year.
[04:03.960 --> 04:09.680]  Because it's so funny, they're making a real criminal move on you, and you're used to tanks
[04:09.680 --> 04:13.560]  and people guns to fight back, if they did that, you'd fight them.
[04:13.560 --> 04:19.800]  Because it's lab coats and TV and Don Lemon and HBO and all the comedy shows telling you
