[00:00:00.049 --> 00:00:01.757]  A Russian member of parliament says U.S.
[00:00:01.757 --> 00:00:03.806]  to attack Iran late March.
[00:00:03.806 --> 00:00:04.710]  Muslim riots.
[00:00:05.882 --> 00:00:06.282]  A U.S.
[00:00:06.282 --> 00:00:08.824]  PSYOP aimed at getting EU support for war.
[00:00:08.824 --> 00:00:11.686]  That's our analysis we've been putting out in the last few days.
[00:00:11.686 --> 00:00:13.387]  There's so much evidence showing it.
[00:00:13.387 --> 00:00:20.772]  A top Russian parliamentary leader has told national Russian radio station that an attack on Iran is inevitable and that it will occur on March 28th.
[00:00:20.772 --> 00:00:24.054]  I'm not saying that's going to happen, folks, but certainly they're getting ready for it.
[00:00:24.054 --> 00:00:26.495]  The juggernaut is rolling, as one headline said.
[00:00:26.495 --> 00:00:33.480]  The leader of the Liberal Democrats, Vladimir Zarovsky, who they love to attack, also believes that the Muslim riots were orchestrated by U.S.
[00:00:34.060 --> 00:00:38.122]  I would say elements of our government, to garner European backing for the military strike.
[00:00:38.122 --> 00:00:48.508]  Rhetoric has heated significantly in the past week, with Donald Rumsfeld yesterday warning that a military option was on the table, echoing the comments of Senate Majority Leader Bill Frist, who said the U.S.
[00:00:48.508 --> 00:00:50.289]  was prepared to take military action.
[00:00:50.289 --> 00:01:02.516]  Also, Israeli Acting Prime Minister Ehud Olmert stated that Iran would, quote, pay a very high price if the Islamic Republic defiantly resumes full-scale uranium enrichment to build nuclear weapons.
[00:01:03.056 --> 00:01:16.999]  Uh, Zharovosky told the Russian radio station that the war is inevitable because the Americans want this war, that is our elite, and any country claiming that leading a position in the world will need to wage wars, otherwise it will simply not be able to retain its leading position.
[00:01:17.748 --> 00:01:19.569]  The date of the strike is already known.
[00:01:19.569 --> 00:01:21.430]  It is the election day in Israel, March 28th.
[00:01:21.430 --> 00:01:25.632]  It is also known how much the war will cost, he said.
[00:01:25.632 --> 00:01:26.513]  And it goes on.
[00:01:26.513 --> 00:01:36.878]  Commenting on the Muslim riots sweeping the Middle East and Europe, Zarevosky said that the publication of the offensive cartoons was a planned psyop on the part of the U.S.
[00:01:36.878 --> 00:01:39.900]  aimed at provoking a fight between Europe and the Islamic world.
[00:01:40.220 --> 00:01:47.762]  It will end with the European countries thanking the United States and paying and giving soldiers for the war, he continued.
[00:01:47.762 --> 00:01:51.923]  Folks, the flags being served up, when it's a real protest, it's hand-painted flags.
[00:01:51.923 --> 00:02:01.105]  Out in these little dirt villages all over the place, there's all these same-sized, brand-new, shipped-in flags for the day after the protest starts.
[00:02:01.105 --> 00:02:05.306]  And these Imams mail it out with cartoons that weren't even in there.
[00:02:06.309 --> 00:02:07.210]  Made up stuff.
[00:02:07.210 --> 00:02:21.658]  It's all these neocom papers that kept running it and saying we're... saying that we're going to defiantly get in your face and defiantly do all of this.
[00:02:21.658 --> 00:02:22.858]  You know, starting a fight.
[00:02:22.858 --> 00:02:24.279]  Hey, let's have a fight!
[00:02:24.279 --> 00:02:33.124]  And there's clear evidence, takes an hour to go into it, we're about to go to Michael Rivero, that the stuff in France that then spread back in November, that was clearly provocateur and it snowballs.
[00:02:33.664 --> 00:02:37.567]  The intelligence agency started going and then it gets bigger and bigger.
[00:02:37.567 --> 00:02:39.568]  It's a landslide, it's like a mockingbird.
[00:02:39.568 --> 00:02:41.869]  They start it, then other people parrot it.
[00:02:41.869 --> 00:02:47.513]  So of course there are Muslims running around screaming and burning things.
[00:02:47.513 --> 00:02:49.854]  So that's real, and they're playing into the trap.
[00:02:50.294 --> 00:02:53.796]  But it's clear that it was started by intelligence agencies.
