[00:00.000 --> 00:02.000]  You've got it
[00:07.360 --> 00:09.360]  Waging war on corruption
[00:11.360 --> 00:17.440]  It's Alex Jones coming to you live from the front lines of the info war
[00:21.440 --> 00:23.440]  We are broadcasting worldwide
[00:23.440 --> 00:29.600]  It is the fourth day of march
[00:30.560 --> 00:35.920]  2012 we're going to be here for the next two hours and Dr. Jerome Corsi
[00:35.920 --> 00:38.240]  You can only pop in with us for about 15 minutes
[00:38.720 --> 00:39.520]  Friday
[00:39.520 --> 00:46.160]  We'll be joining us for a full hour via video skype for prismplanet.tv viewers and better audio for radio listeners
[00:46.800 --> 00:50.960]  And i'm going to cover the economy with dr. Corsi. I'm going to cover the iran situation
[00:50.960 --> 00:57.520]  Of course, he was part of sheriff arpaio's big investigation confirming that the birth certificate is a forgery
[00:58.000 --> 01:01.440]  And a fraud we're going to look at that and cover the waterfront
[01:01.920 --> 01:08.880]  With a very informed guest who has a lot of big inside connections and can tell us where the attack on iran is going
[01:09.520 --> 01:12.640]  And again, there's a lot of things iran does that i don't like
[01:13.120 --> 01:16.080]  A lot of things china does i don't like it doesn't mean we're going to have war with them
[01:16.240 --> 01:18.560]  You know china has nuclear weapons. We're going to have a war with them
[01:18.560 --> 01:21.520]  I ran as far away from getting a nuclear weapon
[01:21.680 --> 01:26.960]  I don't want this war because the globalists are going to use it to take liberties at home
[01:28.240 --> 01:30.240]  That doesn't mean that
[01:33.680 --> 01:34.800]  I
[01:34.800 --> 01:41.040]  Want to live under the mulas or something it it means that our country has been turned into an engine of empire
[01:41.440 --> 01:45.120]  And the empire sells all these invasions and wars on spreading freedom
[01:45.120 --> 01:52.720]  They're not spreading freedom. They've put actual al-qaeda in command of libya on record. That's not debated. That's NBC news la times
[01:53.360 --> 01:55.360]  They're using them to attack
[01:55.760 --> 01:59.920]  Syria to get rid of Assad but something worse in they're taking more rights
[02:00.480 --> 02:02.480]  under the western backed
[02:02.480 --> 02:05.920]  revolution in egypt and and the program is wrecked these countries
[02:07.680 --> 02:11.200]  And I want the iranians to have good lives. I want americans to have good lives
[02:11.200 --> 02:17.040]  I want the egyptians the russians the chinese mexicans resilience south africans
[02:17.680 --> 02:20.080]  I just want humanity to have a fair shake
[02:21.920 --> 02:23.920]  And
[02:24.000 --> 02:26.720]  Undoubtedly there have been corrupt evil engines before
[02:27.600 --> 02:31.600]  Communism under the soviets, but you go research you find out the big megabanks
[02:32.480 --> 02:35.200]  The people that created the fellow reserve the folks that control england
[02:35.200 --> 02:41.840]  They openly funded the communist and and and then use that threat
[02:43.600 --> 02:46.240]  That real threat to take our liberties here
[02:46.960 --> 02:52.400]  And to have giant government contracts given to their defense and intelligence complex
[02:53.280 --> 03:00.000]  And so they basically sell weapons and technology and and systems of surveillance and media control to all sides
[03:01.200 --> 03:04.000]  It's it's so elementary that a lot of people
[03:04.000 --> 03:07.600]  People just can't understand it because it's in plain view
[03:09.200 --> 03:11.200]  And it's that simple
[03:12.960 --> 03:14.720]  Now
[03:14.720 --> 03:18.480]  When I come back from break i'm just going to mention the stacks of news here. They're all very important
[03:19.520 --> 03:21.520]  And uh, it also made big news
[03:22.720 --> 03:27.680]  A month ago when davis staying out of context was uh, everybody said he endorsed santorum
[03:27.680 --> 03:29.360]  He did not endorse santorum
[03:29.360 --> 03:30.800]  It became a big national story
[03:30.800 --> 03:34.800]  And when he pointed out that he did not endorse rick santorum just that he doesn't like romney
[03:36.160 --> 03:37.520]  Um
[03:37.520 --> 03:39.520]  They didn't really cover that
[03:39.520 --> 03:41.520]  um
[03:42.400 --> 03:48.000]  Dave is here in town played in austin and he's staying with me for a few days emin is a wonderful wife pam
[03:48.640 --> 03:53.120]  And uh, it probably won't be a live interview because i want to do it really good in studio tomorrow
[03:54.000 --> 03:56.000]  Uh after the radio show
[03:56.640 --> 04:00.320]  For the nightly news in a few days because i want to cut the music in and part of the concert
[04:00.320 --> 04:04.160]  Make it real good, but that's going to be a powerful interview. We haven't shot yet
[04:04.640 --> 04:06.880]  I want you know, we've done some in person before as well
[04:07.280 --> 04:12.320]  Uh with dav interesting story last night if i have time today, I'll tell it just because it's it's interesting
[04:12.800 --> 04:16.240]  I'm getting to where I don't even know what week it is anymore because there's so much happening
[04:16.960 --> 04:19.360]  And coast to coast i am one of me on last night
[04:20.560 --> 04:22.560]  and uh
[04:22.800 --> 04:27.440]  So the concert ends at about 10 15, but he played like five extra songs and then was saying bye because it was
[04:27.440 --> 04:32.960]  End of the tour to the rest of the man, so I'm speeding to get home to go on coast to coast to him with Dave
[04:33.040 --> 04:35.920]  Mustang and his wife and the cop pulls me over
[04:36.560 --> 04:41.920]  And and he probably it was like a 50 mile an hour because he had construction, but he let me off was a nice officer
[04:41.920 --> 04:43.600]  I could tell he was a listener
[04:43.600 --> 04:45.600]  uh, but uh
[04:47.200 --> 04:53.440]  More and more I almost missed a ron paul interview a few months ago and got here the minute the show started with ron paul
[04:53.440 --> 04:58.000]  I mean, I have just got this budget and more time. I'm doing too much big news coming up
[04:59.600 --> 05:05.040]  When you're out on the road the last place you want to be is on the road
[05:06.240 --> 05:13.360]  But if the unfortunate happens you'll be glad you were wearing diamond gussets. There's a place down in Tennessee
[05:15.440 --> 05:18.240]  Well, they make blue diamond gusset jeans
[05:18.240 --> 05:22.240]  It's they so pride in every stage
[05:24.240 --> 05:26.720]  Guarantee you love the way they fit
[05:28.480 --> 05:32.480]  And put a diamond gusset in the crotch where you need it most
[05:33.200 --> 05:36.080]  Blue diamond gussets got it
[05:37.040 --> 05:44.800]  Others don't we turn jeans inside out diamond gusset jeans made in the usa with unparalleled quality
[05:44.800 --> 05:51.360]  Our defender motorcycle jeans combine gusset comfort with kevlar protection so you can ride all day with confidence
[05:51.600 --> 05:57.600]  Order yours at gusset.com diamond gusset jeans got it others don't
[06:03.120 --> 06:07.200]  You are listening to an info wars dot com frontline report
[06:07.200 --> 06:13.760]  If you are receiving this transmission you are the resistance
[06:21.280 --> 06:29.840]  From deep in the heart of fema region six austin texas transmitting worldwide it's alex jones
[06:29.840 --> 06:38.480]  Well, we've got more off the chart insane news and information for you today
[06:39.440 --> 06:41.760]  That's why i'm the hardest working man in top radio
[06:43.040 --> 06:46.720]  Six days a week monday through friday 11 a.m. To 2 p.m. Central back
[06:47.920 --> 06:55.040]  Here every sunday 4 to 6 p.m. A lot of great affiliates out there picking up the sunday show xm is not yet
[06:55.040 --> 07:02.480]  Picked up the sunday show they pick up the weekday show live working on that and i have got a lot to talk about
[07:03.840 --> 07:07.600]  Today we have dr. Jerome corcy joining us
[07:08.720 --> 07:10.720]  here on this
[07:11.200 --> 07:20.160]  March 4th 2012 sunday edition to talk about the economy his inside sources on the upcoming iran war can that be averted can that be stopped
[07:20.160 --> 07:25.200]  He's the main guy doing helping do research with the forensic experts worldwide with dr. Jerome
[07:25.760 --> 07:27.760]  Of course he out there working with
[07:27.920 --> 07:34.400]  Sheriff harpio out in phoenix and of course coming out last week in the press conference last thursday and saying it is a forgery
[07:34.400 --> 07:37.360]  It is a fraud that's probable cause to begin an investigation
[07:39.200 --> 07:42.320]  Because that fraud is being perpetrated against the people of arizona in that county
[07:42.320 --> 07:48.000]  You see you can have the bottom attack the top. That's why we have the states while we have the counties the real authority is in the states
[07:48.000 --> 07:51.840]  So that is coming up and we'll be able to take your calls as well for dr. Corsi
[07:52.400 --> 07:55.600]  I'm not giving the number out yet. Now. Now. Now. Here's the incredible news
[07:56.800 --> 08:02.960]  Death toll from twisters rises to 37 in four states a baby was taken two miles up
[08:03.680 --> 08:06.560]  And thrown into a field like something out of
[08:07.600 --> 08:12.400]  The wizard of Oz but the baby didn't get set softly down like uh dorthy
[08:12.400 --> 08:19.600]  Now more like the house got dropped on it, but it's in critical condition and you know, my point is I had the guys pull the numbers up from the
[08:19.840 --> 08:23.520]  No, uh and and and on average there's more than 200
[08:24.320 --> 08:26.320]  deaths from tornadoes every year
[08:26.800 --> 08:28.800]  200 this is uh
[08:29.040 --> 08:30.240]  37
[08:30.240 --> 08:32.240]  Just in one day boom
[08:33.360 --> 08:38.640]  They don't even tell you have storm shelters anymore. I mean all timers didn't need to be told to have a storm cellar
[08:38.640 --> 08:43.120]  They didn't need to be told to store food. They didn't need to be told. They need a shotgun in case a prowler comes around
[08:44.000 --> 08:47.360]  They didn't need to be told to not walk in traffic or tie their shoelaces
[08:47.920 --> 08:52.480]  I saw an article when I was out in Orlando and I'm actually I kept it, but I don't know where it is
[08:52.720 --> 08:56.080]  It's on the cover of the paper about pedestrian accidents are way up
[08:56.560 --> 09:01.600]  Well, yeah, people just walk right out in front of you people on bikes get on highways now bicycles just get in front of you
[09:02.000 --> 09:05.520]  You've seen the videos people walking in malls and they walk right into somebody's house
[09:05.520 --> 09:09.600]  You've seen the videos people walking in malls and they walk right into somebody or walk right into the
[09:10.160 --> 09:12.880]  You know the the fountain because they're on their smartphones
[09:13.200 --> 09:17.120]  I mean people are just in a trance and I was looking at the statistics in the article
[09:17.200 --> 09:21.840]  I mean it's several hundred percentage point increase that was giving nationwide statistics
[09:21.840 --> 09:26.000]  We're talking about how bad Orlando was because that's folks on vacation. They're really not paying attention
[09:26.320 --> 09:28.400]  Just walking out in front of cars just
[09:28.400 --> 09:35.040]  Again people are getting more and more unconscious the the language is becoming restricted
[09:35.920 --> 09:38.240]  And you've got two different camps. You've got those that are awake
[09:39.040 --> 09:43.760]  And that's a growing group and you've got the others that are kind of asleep who are getting into a deeper trance
[09:44.080 --> 09:45.200]  And I guess there's a third group
[09:45.200 --> 09:50.480]  There's there's globalists that are awake but decide to use the facts of the general public is sleepwalking literally
[09:50.960 --> 09:56.320]  I mean brainwaves have lowered the last 50 years since television became popularized video games lower brainwaves
[09:56.320 --> 10:02.640]  Most people are in a mere sleep-like state. They're there the and you talk to them their eyes are glazed over
[10:03.520 --> 10:09.680]  They are literally in a mesmerized state. That's what television does to you if it's not interactive
[10:10.320 --> 10:17.600]  Uh, reading is the best listening is second best computers are not very good because the flicker rate and things at least you're interactive
[10:17.600 --> 10:20.160]  That tends to keep you somewhat more conscious
[10:20.720 --> 10:22.720]  Uh, reading is the best you've got an image it
[10:22.720 --> 10:27.200]  Uh, so is radio all the studies show that because you're having the image in your mind
[10:27.920 --> 10:29.920]  When I say Andrew Breitbart
[10:30.400 --> 10:37.280]  That you the synapses of your brain of that electrochemical computer goes out and pulls up an image of Andrew Breitbart
[10:38.320 --> 10:44.320]  And the coroner is looking at murder. Uh, that's in the Los Angeles Times. Oh, I'm the evil conspiracy theorist
[10:44.640 --> 10:46.640]  You'd be a fool
[10:46.640 --> 10:52.640]  With this guy bringing down Akron upwards of eight billion dollars a year to all these big city machines
[10:52.720 --> 10:56.320]  You know these mafia types and and and and and saying i'm gonna get you
[10:56.400 --> 11:01.680]  I'm releasing footage march 1st of you at communist meetings and he dies in the early morning hours of march 1st
[11:02.000 --> 11:06.320]  While he's at a table at a bar drinking two glasses of wine with dozens of people talking to him and sitting around him
