[00:00.000 --> 00:26.000]  Infowars, tomorrow's news, today.
[00:26.000 --> 00:42.000]  History is happening now. Across the world, populations by the millions have continued to peacefully protest and engage in peaceful civil disobedience against the UN corporate combined biomedical tyranny now being put forth across the planet.
[00:42.000 --> 00:46.000]  This is the beginning of the end if they get this system in place.
[00:46.000 --> 01:02.000]  Not just a worldwide casual society, not just a worldwide planetary social score and a biomedical ID, but the means for cutting off the resources to the population, the earth to carry out forced starvation and depopulation.
[01:02.000 --> 01:18.000]  Justin Trudeau openly and publicly admires the dictatorship and communist China of G.G.P. and who said two years ago he wishes to turn Canada into a dictatorship is now saying that it's unacceptable to not want forced inoculations.
[01:18.000 --> 01:26.000]  It's unacceptable to not discriminate against the uninjected. It's not acceptable to point out that the vaccine isn't a vaccine that doesn't work.
[01:26.000 --> 01:39.000]  But as we speak, it's now hundreds of thousands of truckers, was 50,000 just a few days ago, over 150,000 truckers it's now being estimated are beginning to descend on the capital of Canada, Ottawa.
[01:39.000 --> 01:54.000]  And on top of that, millions have pledged to go to the capital of the now captured state, the now captured nation of Canada and peacefully occupy the capital area until the globalist siege has been lifted.
[01:54.000 --> 01:58.000]  And that's what this is. That's what the great reset is. And remember, we'll play it next segment.
[01:58.000 --> 02:07.000]  Justin Trudeau said just last year that they are engaging in the great reset to build back better working with Klaus Schwab.
[02:07.000 --> 02:20.000]  And yesterday I played the clip of Klaus Schwab from the Kennedy Center last year admitting to the world on C-SPAN that they have, quote, penetrated the governments and have up to half of the cabinets under all control.
[02:20.000 --> 02:26.000]  God was Wikipedia page. He brags about getting rid of democracy, getting rid of people actually running their own countries.
[02:26.000 --> 02:35.000]  And they call it stakeholder systems where only the big corporations and the quote leaders of so-called ethnic groups have any speech.
[02:35.000 --> 02:46.000]  That's why they're saying we have no individual rights and putting us into group collective rights, which are not rights at all. All rights spring from the individual.
[02:46.000 --> 02:54.000]  So the individuals under attack, local governments under attack, state government, national governments under attack by infiltration and by control.
[02:54.000 --> 03:02.000]  And remember, the private central banks make Bernie Madoff look like a choir boy when it comes to fiat currency and Ponzi schemes.
[03:02.000 --> 03:08.000]  And they're leveraging quadrillions of fake currency they've created to take over the planet.
[03:08.000 --> 03:19.000]  This is economic warfare, but it's illegitimate and it's a fraud. And if we all peacefully rise up and do not comply and do not submit, we will win.
[03:19.000 --> 03:25.000]  The Supreme Court has struck down the unconstitutional forced injection mandate for businesses.
[03:25.000 --> 03:29.000]  So many other victories are happening across the world.
[03:29.000 --> 03:39.000]  Top scientists are coming out and pointing out that the mass don't work and the shots don't work. And so now the paid for big pharma Bill Gates Pimp, the so-called Surgeon General,
[03:39.000 --> 03:48.000]  and his little Star Trek outfit is up there on TV saying silence talk radio, silence podcast, silence everyone because they're not with the science.
[03:48.000 --> 03:54.000]  This is the same guy that said just last year that there's no such thing as natural immunity.
[03:54.000 --> 04:01.000]  These people are gaslighting us and they will fail if we hold the line and understand that this is an information war.
[04:01.000 --> 04:06.000]  So just because you're already awake, you have to understand something other people aren't, but they're looking for the truth now.
[04:06.000 --> 04:15.000]  And that's why at this critical juncture, you must take the live feed of this show and you must take the archive of this analysis and you must share it like your life depends on it.
