[00:00.000 --> 00:01.000]  Kinsley
[00:01.000 --> 00:06.900]  Free, over a $70 value delivered without a prescription, right to your house.
[00:06.900 --> 00:13.600]  Call now while free supplies last, at 1-800-654-0103, nothing to risk and everything to gain.
[00:13.600 --> 00:21.080]  Call Epiclear, at 1-800-654-0103, that was 1-800-654-0103, limit one order per household
[00:21.080 --> 00:22.080]  please.
[00:22.080 --> 00:30.080]  Kinsley, at 1-800-654-0103, shipping and handling, not included.
[00:30.080 --> 00:40.080]  Thank you for listening to GCN.
[00:40.080 --> 00:45.080]  Big Brother, mainstream media, government cover-ups.
[00:45.080 --> 00:47.080]  You want answers?
[00:47.080 --> 00:56.080]  So does he, he's Alex Jones on the GCN Radio Network and now live from Austin, Texas, Alex
[00:56.080 --> 00:57.080]  Jones.
[00:57.080 --> 01:09.160]  Two of my crew are arriving as we speak north of Austin, Texas in Taylor, where a demonstration
[01:09.160 --> 01:15.360]  was scheduled to be kicked off today, I should have plugged it yesterday, wasn't aware of
[01:15.360 --> 01:24.760]  it, at a FEMA camp that holds entire families, remember early last year in 2006, the Houston
[01:24.760 --> 01:30.760]  Chronicle reported they would keep illegal aliens and US citizens at new FEMA camps built
[01:30.760 --> 01:31.760]  around the country.
[01:31.760 --> 01:37.600]  Well, they've got one up in Taylor, where they split up the men, women and children.
[01:37.600 --> 01:43.000]  Of course, these are other than Mexicans that are held at these facilities.
[01:43.000 --> 01:47.680]  While Chertoff runs around and arrests a few thousand here, a few thousand there of Mexican
[01:47.680 --> 01:52.600]  workers while there's 30 million inside the country, it's all smoke and mirrors to set
[01:52.600 --> 01:58.640]  the precedent, to arrest people without due process, and to set the precedent to basically
[01:58.640 --> 02:07.560]  sell the public on immigration control that is non-existent, but to create that illusion.
[02:07.560 --> 02:11.560]  So coming up in about 30 minutes, we'll get a report from on the ground via one of their
[02:11.560 --> 02:23.400]  cell phones up there at the facility, we'll tell you more about that in the meantime.
[02:23.400 --> 02:30.400]  In the meantime, here are some of the other news we have today, Social Security Agreement
[02:30.400 --> 02:40.560]  with Mexico released after three and a half year Freedom of Information Act battle.
[02:40.560 --> 02:47.920]  And that dovetails with the report we've been covering since Friday out of the Boston Globe,
[02:47.920 --> 02:52.720]  how they're going to expand the number of illegal aliens that are instantly legalized
[02:52.720 --> 02:57.160]  in our armed forces, our foreign mercenary army.
[02:57.160 --> 03:00.000]  That journey is almost complete.
[03:00.000 --> 03:07.680]  They're talking about making 50% of infantry forces being illegal alien, and they're also
[03:07.680 --> 03:11.520]  hiring them that are convicted, aggravated felons.
[03:11.520 --> 03:13.040]  You can't make this type stuff up.
[03:13.040 --> 03:17.760]  I mean, who would imagine that in the land of the free, home of the brave?
