whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20081012_Sun_Alex.wav' (115110139 samples, 7194.4 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:05.600]   Thank you for listening to GCA.
[00:00:05.600 --> 00:00:06.600]   It's four o'clock.
[00:00:06.600 --> 00:00:17.660]   I am Pete LeValley with global markets closed for the weekend.
[00:00:17.660 --> 00:00:22.160]   It gives international leaders time to talk before taking more action on the worldwide
[00:00:22.160 --> 00:00:23.500]   financial crisis.
[00:00:23.500 --> 00:00:29.000]   As for any Americans considering protecting just our own, Treasury Secretary Henry Paulson
[00:00:29.000 --> 00:00:33.600]   says isolationism and protectionism are not the way to contain the damage.
[00:00:33.600 --> 00:00:38.040]   Correspondent Tim McGuire is covering the World Bank meeting in Washington.
[00:00:38.040 --> 00:00:42.700]   Politicians and economists want to avoid at all costs the go-it-alone protectionist approach
[00:00:42.700 --> 00:00:46.240]   that made things so much worse during the Great Depression.
[00:00:46.240 --> 00:00:49.760]   The World Bank's policy board is meeting today in Washington.
[00:00:49.760 --> 00:00:54.160]   The group has already issued a warning that the global economic crisis is a greater threat
[00:00:54.160 --> 00:00:56.040]   to the poorest nations.
[00:00:56.040 --> 00:01:00.440]   That's because they're already wracked by growing food and fuel costs, and bigger countries
[00:01:00.440 --> 00:01:03.280]   may not be able to help them survive.
[00:01:03.280 --> 00:01:04.880]   Tim McGuire, Washington.
[00:01:04.880 --> 00:01:08.800]   This is IRN, USA Radio News.
[00:01:08.800 --> 00:01:15.480]   As a parent, are you worried about what kind of society your children will live in?
[00:01:15.480 --> 00:01:20.840]   No matter how you structure your future, all is at risk.
[00:01:20.840 --> 00:01:22.520]   Money won't protect you.
[00:01:22.520 --> 00:01:24.800]   Position won't save you.
[00:01:24.800 --> 00:01:28.080]   Your children's future is nil.
[00:01:28.080 --> 00:01:31.120]   Our nation must change its direction.
[00:01:31.120 --> 00:01:34.080]   But what is stopping it?
[00:01:34.080 --> 00:01:35.080]   You are.
[00:01:35.080 --> 00:01:37.360]   It all depends on you.
[00:01:37.360 --> 00:01:42.480]   If you wonder how that can be, you won't after reading "Look What Happened While You Were
