[00:00:06.750 --> 00:00:08.491]  Dragon Energy activates!
[00:00:08.491 --> 00:00:13.354]  Broadcasting live from the UN Stronghold, Austin, Texas.
[00:00:13.354 --> 00:00:20.799]  You're listening to the Alex Jones Show, and now your host, Owen Troyer.
[00:00:20.799 --> 00:00:25.281]  Let's wind the clocks back five years.
[00:00:25.281 --> 00:00:32.706]  Regardless of your political affiliation, your political beliefs, anyone that you would have talked to,
[00:00:34.147 --> 00:00:44.770]  Would have said that the United States government is corrupt, there is a shadow government, and they don't like it, they'd like to do something about it.
[00:00:44.770 --> 00:00:48.651]  People have known this for years.
[00:00:48.651 --> 00:00:55.654]  A lot of people thought they voted for Obama to end such a state.
[00:00:55.654 --> 00:00:59.415]  Wasn't the case.
[00:00:59.415 --> 00:01:00.315]  And so imagine
[00:01:03.470 --> 00:01:12.837]  A deep state, shadow government, corruption at the FBI, corruption at the CIA.
[00:01:12.837 --> 00:01:21.443]  Five years ago, you could have asked just about anyone, and they would have probably said, yep, CIA, FBI, don't trust them.
[00:01:21.443 --> 00:01:22.604]  Washington D.C.
[00:01:22.604 --> 00:01:27.928]  is deeply corrupt.
[00:01:27.928 --> 00:01:29.750]  Now, what do you think it would look like
[00:01:30.879 --> 00:01:41.848]  If someone actually decided to fight back against it, what do you think it would look like if we the people actually decided to do something about it?
[00:01:41.848 --> 00:01:47.172]  What do you think that would look like?
[00:01:47.172 --> 00:01:51.855]  It looks like everything that you're seeing today.
[00:01:51.855 --> 00:01:55.398]  That's where we are.
[00:01:55.398 --> 00:01:59.001]  And it's just amazing to me that people can't see it yet.
[00:02:03.596 --> 00:02:04.937]  Russian collusion?
[00:02:04.937 --> 00:02:09.621]  I mean, really?
[00:02:09.621 --> 00:02:14.905]  Obama having a hot mic conversation that he didn't think would get aired?
[00:02:14.905 --> 00:02:17.607]  Talking about, oh, when I get re-elected, we'll meet with Putin.
[00:02:17.607 --> 00:02:19.428]  We'll get, you know, we'll get the things done.
[00:02:19.428 --> 00:02:20.709]  Oh yeah.
[00:02:20.709 --> 00:02:22.170]  Nobody cared.
[00:02:22.170 --> 00:02:28.315]  Hillary Clinton receives $140 million from Russian donations to her foundation.
[00:02:28.315 --> 00:02:30.317]  Bill Clinton gets half a million dollars for a speech.
[00:02:32.622 --> 00:02:37.443]  Hillary Clinton makes the Uranium One deal with Robert Mueller?
[00:02:37.443 --> 00:02:38.744]  Nothing.
[00:02:38.744 --> 00:02:48.526]  No Russian collusion, no complaints, no media outrage, no Democrat outrage, radio silence.
[00:02:48.526 --> 00:02:54.428]  Oh, but there's a picture of Jeff Sessions and Lavrov.
[00:02:55.485 --> 00:02:58.046]  Oh, Trump's colluding.
[00:02:58.046 --> 00:03:00.766]  Oh, Trump had a meeting, a one-on-one meeting with Putin.
[00:03:00.766 --> 00:03:05.587]  He's putting Russia ahead of the United States.
[00:03:05.587 --> 00:03:12.429]  And this is what people are saying, this is what people believe, and it couldn't be farther from the truth.
[00:03:12.429 --> 00:03:18.430]  So everything you're seeing is what pushback looks like.
[00:03:18.430 --> 00:03:21.691]  Everything you're seeing is what it looks like
[00:03:23.092 --> 00:03:27.033]  When you actually try to take on the corrupt government.
[00:03:27.033 --> 00:03:31.974]  That's what you're seeing right now.
[00:03:31.974 --> 00:03:48.297]  And you've got a news cycle that's so tight that yesterday's congressional hearings on social media censorship is like old news.
[00:03:48.297 --> 00:03:48.497]  I mean,
[00:03:50.404 --> 00:03:52.425]  Because that's how fast things are moving now.
[00:03:52.425 --> 00:03:57.407]  And Trump today has just been just savage on Twitter.
[00:03:57.407 --> 00:04:00.068]  Just absolutely savage on Twitter.
[00:04:00.068 --> 00:04:05.050]  In fact, maybe I should just read Trump's tweets at some segment today, but in the next segment,
[00:04:06.167 --> 00:04:10.349]  And in the first hour, we're going to be hearing from Alex Jones.
[00:04:10.349 --> 00:04:22.434]  He's going to give you the latest breaking news on what happened yesterday with the Drudge Report getting shut down and the Breitbart story highlighting how, or excuse me, the Gateway Pundit story highlighting how Breitbart was also shut down.
[00:04:22.434 --> 00:04:30.178]  Alex is going to be breaking down why the Democrats are in such a panic, but again, you have to understand.
[00:04:31.465 --> 00:04:38.789]  None of the media people cared about Obama or Hillary or anyone talking to Russians, quote-unquote, colluding.
[00:04:38.789 --> 00:04:40.450]  There is no collusion.
[00:04:40.450 --> 00:04:43.092]  Until Trump did it.
[00:04:43.092 --> 00:04:51.017]  Trump has mostly said what every other politician has said at some point, except he's actually doing it.
[00:04:51.017 --> 00:04:54.359]  This is what the American Revolution looks like.
[00:04:54.359 --> 00:04:56.400]  This is what taking down the deep state looks like.
[00:04:56.400 --> 00:04:57.641]  Alex Jones on the other side.
[00:05:00.362 --> 00:05:04.305]  Living in volcano may sound more dramatic than it really is.
[00:05:04.305 --> 00:05:07.088]  The real drama can be found here in Leilani Estates.
[00:05:07.088 --> 00:05:13.873]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[00:05:13.873 --> 00:05:16.636]  Volcanic ash may contain heavy metal particles.
[00:05:17.376 --> 00:05:21.201]  An acid rain could lower the pH of the water to unhealthy levels.
[00:05:21.201 --> 00:05:27.668]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:05:27.668 --> 00:05:32.633]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:05:33.374 --> 00:05:37.296]  Next, we tested the water from our Alexa Pure gravity filter.
[00:05:37.296 --> 00:05:44.501]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:05:44.501 --> 00:05:49.724]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:05:49.724 --> 00:05:55.407]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:05:55.407 --> 00:05:59.390]  But more importantly, a good water filtration system will purify it.
[00:06:01.499 --> 00:06:09.522]  From the front lines of the information war, it's Alex Jones.
[00:06:09.522 --> 00:06:23.048]  It is Wednesday, July 18, 2018, and I come to you with the most dire of news.
[00:06:23.048 --> 00:06:26.190]  Our republic is hanging by a thread.
[00:06:27.591 --> 00:06:42.641]  Multinational globalist forces allied with and funded by communist authoritarian China have hacked all of our government computers, all our government secrets, all the government asset codes, their assets.
[00:06:42.641 --> 00:06:45.283]  We have been set up for a fall.
[00:06:45.283 --> 00:06:53.349]  In the 11th hour, patriots in our country and in our intelligence agencies and in our corporations rallied to get President Trump elected.
[00:06:55.791 --> 00:07:00.334]  Right when the deep state was planning to finish America off in 2017 and 18.
[00:07:00.334 --> 00:07:05.757]  It's in all the WikiLeaks.
[00:07:05.757 --> 00:07:11.641]  They have now been for over a year and a half trying to foment insurrection and civil war in this country.
[00:07:11.641 --> 00:07:15.684]  And they've been trying to push the narrative that President Trump is somehow a Russian agent.
[00:07:17.981 --> 00:07:28.526]  They have intensified their calls for him to be killed or for him to be removed under the 25th Amendment or under a military coup on MSNBC, CNN and every other major channel.
[00:07:28.526 --> 00:07:37.690]  Traitors at Fox News have all weighed in except for Tucker Carlson and Sean Hannity and viciously lied about the president and stabbed him in the back.
[00:07:37.690 --> 00:07:39.010]  I am afraid for my nation.
[00:07:39.010 --> 00:07:40.051]  I'm afraid for my family.
[00:07:40.051 --> 00:07:43.172]  I personally am not afraid myself.
[00:07:43.172 --> 00:07:47.394]  I am afraid for the society that doesn't deserve President Trump.
[00:07:49.653 --> 00:08:01.903]  Trump has put himself in the center of unprecedented attacks in history, unprecedented lies, unprecedented deception, and they are now launching the ignition phase.
[00:08:01.903 --> 00:08:03.003]  You can smell it.
[00:08:03.003 --> 00:08:03.864]  You can see it.
[00:08:03.864 --> 00:08:10.249]  They're admitting it to remove President Trump by this fall.
[00:08:10.249 --> 00:08:14.552]  Now, Clapper and Brennan said at the Aspen Institute with Will Blitzer last year,
[00:08:15.606 --> 00:08:19.549]  They would remove him by the Christmas break.
[00:08:19.549 --> 00:08:21.311]  They tried that coup, it failed.
[00:08:21.311 --> 00:08:27.916]  They are now back on television, not just at policy forums, but on mainline TV saying, overthrow him U.S.
[00:08:27.916 --> 00:08:30.879]  military.
[00:08:30.879 --> 00:08:41.768]  They have all of their Democrat operatives, Alexandria, Cortez and others, we'll play this in a moment, saying, occupy federal buildings, occupy ICE, occupy the border, blow off the doors of the castle.
[00:08:43.012 --> 00:08:48.574]  Which was an old communist Chinese weatherman plot that was discovered in the 70s.
[00:08:48.574 --> 00:08:49.755]  People went to prison for it.
[00:08:49.755 --> 00:08:53.016]  She is executing the weatherman plot.
[00:08:53.016 --> 00:08:58.418]  Soros and the UN are down in Nicaragua, El Salvador, Guatemala, massing hundreds of thousands to flood
[00:08:59.178 --> 00:09:00.598]  Which will then open up for millions.
[00:09:00.598 --> 00:09:18.184]  This is the takedown plan just like you've seen in Europe with 10 million military-age men the last five years and the implosion there and the UN setting up bases now to quote deal with the crisis they created inside Spain and other areas where the EU has ordered them to let in millions more and millions more are on the way.
[00:09:18.184 --> 00:09:22.285]  Eastern Europe is valiantly fighting back as hordes descend upon them.
[00:09:23.899 --> 00:09:29.338]  The globalists have collapsed the third world and are now using it as a massive battering ram to take down the West.
[00:09:30.691 --> 00:09:38.516]  Now, on record, Communist China received the Office of Personnel Management files on 21.4 million U.S.
[00:09:38.516 --> 00:09:44.139]  government employees, their families, their assets, CIA, NSA, and 14 other intelligence agencies.
[00:09:44.139 --> 00:09:45.900]  We have been sold out.
[00:09:45.900 --> 00:09:51.483]  The Panama Canal, all deepwater ports, all rare earth minerals have been given to China.
[00:09:51.483 --> 00:09:52.624]  It is off limits for U.S.
[00:09:52.624 --> 00:09:53.284]  companies.
[00:09:53.284 --> 00:09:59.328]  They will be indicted under Bush and then Obama if they even try to engage in it.
[00:10:00.760 --> 00:10:04.023]  Only multinational corporations are allowed to be tax exempt.
[00:10:04.023 --> 00:10:12.330]  Apple has officially moved to China and given the code keys to everyone's iPhones and iCloud and bank accounts to the Chinese government officially.
[00:10:12.330 --> 00:10:14.993]  Emojis of Taiwan are not allowed to be sent.
[00:10:14.993 --> 00:10:16.614]  They're having by U.S.
[00:10:16.614 --> 00:10:18.876]  citizens.
[00:10:18.876 --> 00:10:20.818]  Until it got lifted a few days ago, it was a little too obvious.
[00:10:22.133 --> 00:10:30.095]  Congress just had hearings in the Judiciary Committee lying about Infowars, Diamond and Silk, and others calling for a complete ban of conservatives online.
[00:10:30.095 --> 00:10:30.895]  It's already happened.
[00:10:30.895 --> 00:10:37.616]  They've already governed it back, regulated it back, over 90%.
[00:10:37.616 --> 00:10:41.917]  They are making their move, ladies and gentlemen, right now.
[00:10:41.917 --> 00:10:45.738]  And we've never been in a more critical position historically.
[00:10:47.489 --> 00:11:02.523]  Trump has proven himself by going in and removing some of the barriers the globalists had put to shut down our economy, to bankrupt Americans and force us onto welfare and food stamps, the admitted Cloward and Piven plan in WikiLeaks to make us poor and dependent.
[00:11:02.523 --> 00:11:04.185]  Read Hillary's own statements.
[00:11:04.185 --> 00:11:08.189]  But they've changed the subject onto who hacked the emails.
[00:11:08.189 --> 00:11:10.231]  Nice magician's misdirection, isn't it?
[00:11:10.970 --> 00:11:25.064]  They've changed the subject about why she had an illegal Dropbox server, why she received $3 billion, mainly from foreign governments, to put super secrets on that server daily, just like you do putting it under a park bench or behind the bushes in the old days if you were a spy.
[00:11:25.064 --> 00:11:26.065]  She's not a spy.
[00:11:26.065 --> 00:11:29.788]  She's a mercenary.
[00:11:29.788 --> 00:11:33.312]  She's a demolition expert bringing down this country.
[00:11:33.312 --> 00:11:34.353]  And on our deathbed,
[00:11:35.802 --> 00:11:55.471]  As America was being prepared for race war and societal disintegration and women being turned against the men and complete collapse, Donald Trump was recruited by patriots two years before he even announced his run when the military did a soft coup on Obama and said we're not going to back Al Qaeda in Syria.
[00:11:55.471 --> 00:11:57.532]  He was recruited.
[00:11:57.532 --> 00:11:59.653]  And we are here trying to save the country.
[00:11:59.653 --> 00:12:01.273]  We are Americans.
[00:12:01.273 --> 00:12:02.174]  We are patriots.
[00:12:03.387 --> 00:12:08.989]  We are not the wicked CNN that supports China's sale of human organs of Christians and Buddhists.
[00:12:08.989 --> 00:12:14.170]  We do not support all of this sickening behavior and anti-American behavior by the big universities in Hollywood.
[00:12:14.170 --> 00:12:20.472]  We are fighting with everything we've got.
[00:12:20.472 --> 00:12:28.614]  And it makes me so sad to see so many Americans hit the talking point that was sent out that Trump was a traitor for even meeting with Putin in private, which U.S.
[00:12:28.614 --> 00:12:30.534]  presidents have done for decades.
[00:12:30.534 --> 00:12:32.215]  Held back to World War II with Russian leaders.
[00:12:32.981 --> 00:12:34.683]  That's the president's prerogative.
[00:12:34.683 --> 00:12:37.226]  And Congress wants to subpoena the interpreter.
[00:12:37.226 --> 00:12:41.750]  And they're acting like it's all criminal and saying he's the traitor when they're the globalist.
[00:12:41.750 --> 00:12:44.173]  They're the people that openly hate the country.
