[00:00.000 --> 00:10.000]  Waging War on Corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:30.000 --> 00:44.000]  It is Wednesday, November 20th, 2019. I'm your host Alex Jones and we are going to be busy here on the broadcast today.
[00:44.000 --> 00:54.000]  President Trump is, as we speak, taking off from Washington D.C. on Air Force One and beginning the trip, the three-hour trip to Austin, Texas,
[00:54.000 --> 01:02.000]  where he's going to be with Tim Cook, one of our favorite people. I know I'm one of his favorite people, Mr. Crazy Eyes,
[01:02.000 --> 01:10.000]  the head of Apple that has the worst slave factories in the world and has moved its code keys and control of its company to communist China.
[01:10.000 --> 01:17.000]  He's going to be here in Austin at one of the few Apple factories left in the United States in North Austin,
[01:17.000 --> 01:23.000]  and I am intending to go up there right towards the end of the show and leave a little bit early.
[01:23.000 --> 01:29.000]  Tom Papert's going to be taking over for me. And then right into the fourth hour, Mike Adams is going to be hosting.
[01:29.000 --> 01:38.000]  We'll be up there giving you live coverage of that. And I do intend to deliver a message to the president via loudspeakers, via megaphone,
[01:38.000 --> 01:46.000]  that, okay, great, we'd like to have some factories here that don't have suicide nets around them and things. That's good.
[01:46.000 --> 01:54.000]  But we'd also like you, even though Ivanka and Jared are in a lip lock with Crazy Eyes,
[01:54.000 --> 01:57.000]  and go to dinner with them all the time, and that's admitted.
[01:57.000 --> 02:03.000]  I first heard that from Roger Stone like three years ago, and it was confirmed a couple years later, they're going to be here in Austin.
[02:03.000 --> 02:14.000]  And it would just be nice to not have first Tim Cook ban yours truly in Info Wars and lead the rest of Silicon Valley doing it.
[02:14.000 --> 02:24.000]  And then it would be nice to have that decried or spoken out against, because now they're doing it to pro-life sites.
[02:24.000 --> 02:30.000]  Now they're erasing Christmas holidays and things off the Google calendar, not the Apple calendar.
[02:30.000 --> 02:34.000]  That's actually in my stack of news today. It's up on InfoWars.com.
[02:34.000 --> 02:44.000]  Towns all over the U.S. and England are removing Christmas trees, because now they're saying that's a religious symbol.
[02:44.000 --> 02:48.000]  It actually is an ancient, druidic, Germanic symbol that was adopted by Christians.
[02:48.000 --> 02:59.000]  It's a heart of winter ritual with the evergreen tree hoping that the sun comes back when you're freezing in your hut,
[02:59.000 --> 03:05.000]  in your little cabin or your cave or your redoubt.
[03:05.000 --> 03:15.000]  But they want that removed as well. New Hampshire Town removes Christmas from Christmas ceremony after two people complain about being offended.
[03:15.000 --> 03:21.000]  Well, I'm offended by them. I'm offended by them harassing Chick-fil-A and harassing us.
[03:21.000 --> 03:26.000]  I mean, I really, at the end of the day, as a libertarian, do not judge people what they do in their bedrooms.
[03:26.000 --> 03:32.000]  But I do judge it when you use that to make it your identity and try to get access to our children and our culture
[03:32.000 --> 03:39.000]  and then demand all traditionalism be thrown on the fire of your petty will.
[03:39.000 --> 03:44.000]  And so, yes, this whole globalist leftist strategy is evil.
[03:44.000 --> 03:50.000]  And at the heart of it really is pedophilia and the destruction of innocence and the destruction of the future.
[03:50.000 --> 04:05.000]  And so today we're going to go deeply into that fetid rabbit hole and we're going to break down really some nightmarish information here
[04:05.000 --> 04:15.000]  with a very, very credible report and shocking audio of a man who was abused in satanic rituals by Bill Clinton and others.
[04:15.000 --> 04:22.000]  He was a child. The FBI thought this was very credible and then the FBI agent investigating it was killed.
[04:22.000 --> 04:29.000]  And then some of the other people involved were all murdered in D.C. and in New York.
[04:29.000 --> 04:33.000]  So now the original interview has been released to true pundit.
[04:33.000 --> 04:36.000]  We're going to be airing large excerpts of that.
[04:36.000 --> 04:43.000]  FBI interviews alleged boy rape victim of Bill Clinton chilling details of sex abuse rituals and more.
[04:43.000 --> 04:48.000]  And that ties into, of course, Adam Schiff and Ed Buck and the rituals going on there.
[04:48.000 --> 04:50.000]  It's all coming up.
[04:50.000 --> 04:54.000]  The religion is tyranny. The religion is predatory behavior.
[04:54.000 --> 04:59.000]  And we need to stop being sheep and laying down to it.
[04:59.000 --> 05:05.000]  Beto Roark came out dozens of times and said we're going to confiscate all your semi-automatic rifles.
