whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20140205_Wed_Alex.wav' (177605068 samples, 11100.3 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:05.000]   (music)
[00:00:05.000 --> 00:00:09.000]   Big Brother, mainstream media, government cover-ups.
[00:00:09.000 --> 00:00:12.000]   You want answers? Well, so does he.
[00:00:12.000 --> 00:00:16.000]   He's Alex Jones on the GCN Radio Network.
[00:00:16.000 --> 00:00:21.000]   And now, live from Austin, Texas, Alex Jones.
[00:00:21.000 --> 00:00:39.000]   (music)
[00:00:39.000 --> 00:00:43.000]   Well, ladies and gentlemen, thank you so much for tuning in yet again.
[00:00:43.000 --> 00:00:50.000]   Another powerful transmission of truth with no compromise, lined up here in the next three hours.
[00:00:50.000 --> 00:00:56.000]   It is already Wednesday, the fifth day of February 2014.
[00:00:56.000 --> 00:01:00.000]   We are scheduled to be here for the next three hours live.
[00:01:00.000 --> 00:01:03.000]   Man, where to begin?
[00:01:03.000 --> 00:01:09.000]   The horror stories of cancer patients being turned away, little kids being kicked off their insurance,
[00:01:09.000 --> 00:01:14.000]   pre-existing conditions not being covered, workers getting their hours cut,
[00:01:14.000 --> 00:01:20.000]   people losing their jobs over Obamacare, Obama blaming it on the states.
[00:01:20.000 --> 00:01:27.000]   I've got a big stack of the ongoing chronicle that is Obamacare we're going to be breaking down.
[00:01:27.000 --> 00:01:34.000]   And the fact that the very same scammers that run the Democratic Party and control much of the Republican leadership
[00:01:34.000 --> 00:01:40.000]   are still acting like it's a great deal and it's weird to not like Obamacare
[00:01:40.000 --> 00:01:44.000]   and are trying to sell us the amnesty plan.
[00:01:44.000 --> 00:01:53.000]   That if you like what Obamacare is doing, you are going to L-O-V-E, love, love, love.
[00:01:53.000 --> 00:01:58.000]   It's not just legalizing the illegals that are here.
[00:01:58.000 --> 00:02:02.000]   I'm not demonizing individually. On average, they're hardworking, good people.
[00:02:02.000 --> 00:02:05.000]   In my experience, on average.
[00:02:05.000 --> 00:02:10.000]   There's also a large criminal element because everybody from Latin America mainly that's running from "justice"
[00:02:10.000 --> 00:02:12.000]   comes up here as well, so there's that big problem.
