[00:00.000 --> 00:11.000]  Big Brother, mainstream media, government cover-ups.
[00:11.000 --> 00:12.000]  You want answers?
[00:12.000 --> 00:14.000]  Well, so does he.
[00:14.000 --> 00:34.000]  He's Alex Jones on the GCN Radio Network, and now, live from Austin, Texas, Alex Jones.
[00:34.000 --> 00:42.000]  Well, this is going to be an extremely fast moving Tuesday, the 30th day of September, 2014.
[00:42.000 --> 00:46.000]  I am your host, Alex Jones. We're going to be here for the next three hours.
[00:46.000 --> 00:52.000]  Dr. Ron Paul, former congressman, will be joining us to cover the waterfront.
[00:52.000 --> 01:00.000]  From ISIS being backed by the West to the 28, 9-11 pages that clearly show our government stood down bare minimum
[01:00.000 --> 01:10.000]  to his son, Ron Paul, the GOP frontrunner for the Republican nomination in 2016.
[01:10.000 --> 01:12.000]  That and a lot more is coming up.
[01:12.000 --> 01:16.000]  Former Minnesota Governor Jesse Ventura will shift gears out of the lawsuit he won
[01:16.000 --> 01:20.000]  and get into geopolitical issues, domestic issues, immigration issues,
[01:20.000 --> 01:24.000]  and take your phone calls coming up in the third hour.
[01:24.000 --> 01:31.000]  And I've got Dr. Ed Group joining us to talk about very serious developments on the Ebola front at the bottom of the hour.
[01:31.000 --> 01:34.000]  Again, I'm your host, Alex Jones. Thank you for joining us.
[01:34.000 --> 01:42.000]  North Texas Hospital evaluating patient for potential Ebola exposure, CBS Local, out of DFW.
[01:42.000 --> 01:46.000]  There's another headline out of nine news in Dallas.
[01:46.000 --> 01:49.000]  Dallas Hospital isolates possible Ebola patient.
[01:49.000 --> 01:53.000]  Ebola outbreak, thousands of orphans shunned, BBC.
[01:53.000 --> 01:56.000]  Ebola's trick and line barriers are sending an economic hell.
[01:56.000 --> 02:00.000]  The Washington Post, five reasons why we may never know Ebola's true impact.
[02:00.000 --> 02:06.000]  That's out of time magazine. We're going to break it down. And then, of course, this article up at infowars.com.
[02:06.000 --> 02:08.000]  I'm Max Flavo.
[02:08.000 --> 02:12.000]  Ebola Alert, US Patient Zero, suspected in Dallas.
[02:12.000 --> 02:16.000]  Travel history and symptoms suggest infection.
[02:16.000 --> 02:19.000]  That's coming up right after the break.
[02:19.000 --> 02:22.000]  We're going to get into that first.
[02:22.000 --> 02:24.000]  Continuing.
[02:24.000 --> 02:29.000]  New documents show legal basis for NSA surveillance program.
[02:29.000 --> 02:32.000]  The NSA made its own documents.
[02:32.000 --> 02:37.000]  Kind of like a get out of jail free card you make up on your home computer and put in your wallet.
[02:37.000 --> 02:42.000]  And they say that's how they spy on everyone illegally without warrants and why they lied to us.
[02:42.000 --> 02:45.000]  Gee, they're being honest. They promise. I mean, it's okay.
[02:45.000 --> 02:50.000]  They had a note, even though they forged it. It wasn't from the doctor or from mommy.
[02:50.000 --> 02:54.000]  It was from Bathomet. So we're going to be breaking that down.
[02:54.000 --> 03:04.000]  Also, you know that we don't criticize police themselves individually and demonize police for what other bad police do.
[03:04.000 --> 03:11.000]  That only feeds into the us against them paradigm, the divide and conquer balkanization that the globalists want.
[03:11.000 --> 03:15.000]  We are against federalization of the police. We are against them violating the Bill of Rights of Constitution.
[03:15.000 --> 03:20.000]  But the police are a reflection of the government.
[03:20.000 --> 03:28.000]  And you know what rolls downhill. So just demonizing them doesn't do anything plays into the larger plan.
[03:28.000 --> 03:40.000]  But we do have to show what federal training and federal directives have turned the police into what we fear in Mexico, what we fear in Nigeria, what we fear in North Korea.
[03:40.000 --> 03:45.000]  These are mainstream news articles I have, ladies and gentlemen.
[03:45.000 --> 03:54.000]  I'm going to shoot him in the bleepest in the male genitals says cop before executing camper.
[03:54.000 --> 04:00.000]  They pull up and say, we're going to kill him. And the other police go, you mean non lethal.
[04:00.000 --> 04:06.000]  And the guy starts giggling. Of course, even after he's been shot repeatedly on the ground, they keep shooting.
[04:06.000 --> 04:14.000]  Let the dog bite him. It's an example of the stuff you see with gang members attacking an old lady or something.
[04:14.000 --> 04:22.000]  The very same giggling, the jibbering, the, I don't like hardcore convicts that are abusers of innocence.
[04:22.000 --> 04:26.000]  I don't like gang members. Thug types will try to intimidate you at the gas station.
[04:26.000 --> 04:32.000]  I'm not looking for trouble, but I just start really getting ready to go crazy, you know, clobber.
[04:32.000 --> 04:39.000]  And it's, I get the same feeling when I see a group of thug cops. Most cops don't act like that, but you can see it when you've got a group of gangbanger cops.
[04:39.000 --> 04:44.000]  It's like the gangbangers have infiltrated the military. And it is disgusting. And that's what they are.
[04:44.000 --> 04:49.000]  They're gangbangers with badges. And there's, there's nothing I think more disgusting.
[04:49.000 --> 04:54.000]  And then it goes on. Florida woman arrested for possession of spaghettios. Can't make that up.
[04:54.000 --> 05:00.000]  Cop sees his car when told to get a warrant. Tells owner that what he gets for exercising his rights.
[05:00.000 --> 05:04.000]  The government's Department of Homeland Security is buying up loads of ammo.
[05:04.000 --> 05:10.000]  At the same time, the restricting civilians' rights to own and purchase firearms. Can you put two and two together?
[05:10.000 --> 05:18.000]  Infidel Body Armor can stop every round, including hollow points and 308 sniper rounds, is reasonably priced and fully legal.
[05:18.000 --> 05:26.000]  But for how long? Go to infidelbodyarmor.com, spelled I-N-F-I-D-E-L body armor dot com.
[05:26.000 --> 05:30.000]  Infidel Body Armor just won't quit.
[05:30.000 --> 05:34.000]  DNA Force. When cells become toxic, they die early and aging sets in.
[05:34.000 --> 05:43.000]  DNA Force. No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[05:43.000 --> 05:48.000]  Just one of the key compounds. BiopQQ is backed by major clinical studies.
[05:48.000 --> 05:58.000]  DNA Force. We now have the synergistic solution. Secure your DNA Force today at infowarslife.com or call toll-free 888-253-3139.
[05:58.000 --> 06:00.000]  DNA Force.
[06:00.000 --> 06:05.000]  Open your eyes. It's time to give your eyes a powerful nutritional boost.
[06:05.000 --> 06:12.000]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
[06:12.000 --> 06:20.000]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[06:20.000 --> 06:28.000]  Open your eyes. Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts, and more.
[06:28.000 --> 06:37.000]  Occupower by Infowars Life is a new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[06:37.000 --> 06:45.000]  Optimize the natural power of your eyes with the latest addition to the super high quality Infowars Life Formulations, Occupower.
[06:45.000 --> 06:54.000]  Go to infowarslife.com or infowarsstore.com to order Occupower or call 1-888-253-3139.
[06:54.000 --> 07:19.000]  Occupower. Open your eyes.
[07:24.000 --> 07:43.000]  It's time to give your eyes a powerful nutritional boost.
[07:43.000 --> 08:12.000]  It's time to give your eyes a powerful nutritional boost.
[08:12.000 --> 08:38.000]  It's time to give your eyes a powerful nutritional boost.
[08:38.000 --> 08:48.000]  Ladies and gentlemen, we are live on this Tuesday, the 30th day of September 2014.
[08:48.000 --> 09:01.000]  I am your host, Alex Jones. Paul Watson just posted an article to infowars.com that I'm going to pull up right now.
[09:01.000 --> 09:19.000]  That is huge, huge news. CDC warns funeral homes in U.S. to prepare for Ebola victims, recommends caution workers not to embalm corpses.
[09:19.000 --> 09:42.000]  This ties into an article that we put out four years ago when we received secret documents out of Indiana that confirmed them in New York state as well as Texas and Arizona that they are preparing for millions dead per popular state like Illinois and Texas and Indiana and New York, hundreds of thousands in states like New Mexico and others.
[09:42.000 --> 10:00.000]  I have asked Watson, who just showed me the article five minutes ago before it went live, to add the old article about the larger preparations during an airborne Ebola release or mouse pox or something along those lines.
[10:00.000 --> 10:20.000]  Now, they have brought more than 15 Ebola patients to the United States. That's never been done before. They're now estimating at the U.N. 1.4 million people will have it by December. Some top German virologist in Build magazine were quoted three weeks ago as saying 5 million, 5 million.
[10:20.000 --> 10:38.000]  Now, I don't know if any of this is going to be that bad, but this is not infowars.com saying this. We were covering it months ago saying it could be projected out to that point, but it's getting serious because they could use the fear to roll out this Monsanto,
[10:38.000 --> 10:53.000]  Billa Melinda Gates vaccine and heaven knows what will be in that. My grandmother got the polio vaccine and a month later got paralyzed and almost had to be put an iron lung and about half her muscles, the nerves got eaten, got killed.
[10:53.000 --> 11:10.000]  And she's 89 years old today on crutches and in a wheelchair. 1955, she was as happy as pie and beautiful and had two children and was, you know, married to my grandfather.
[11:10.000 --> 11:25.000]  And she went out and got that vaccine and she got it. And by the way, it was a scandal then how many people got polio from it. They were just hyping it up and it wasn't that big of an issue until the vaccine came in. And it was a victory of propaganda that they could do that.
[11:25.000 --> 11:41.000]  And still in India, in Pakistan, every couple of weeks you hear about 500 kids, 1,000 kids, 64,000 children in the last year. These are real headlines. Have paralysis after polio vaccine. They don't call it polio. They just, it's the same thing.
[11:41.000 --> 11:59.000]  Something eats your nerves and a lot of kids die and it's just a number. Oh, 63, 64,000. 64,000. Big deal. Oh, there was some more kids just died in Columbia last week getting vaccines. They were getting the HPV Gardasil.
[11:59.000 --> 12:14.000]  Oh, there's more dead kids in Afghanistan. The UN came out yesterday and admitted what the Telegraph said two weeks ago. Yeah, you know what? It's true. We had a vaccine mix up to kill a bunch of kids 15 and one town alone.
[12:14.000 --> 12:21.000]  And you know, they always under report, but it's just like a big deal. That's just part of getting your shots as you die.
[12:21.000 --> 12:34.000]  And they go, what are you against science? You get shots? I don't trust this world government caught doing countless secret tests on everybody and their mother doing this kind of stuff. I mean, you'd be crazy too.
[12:34.000 --> 12:55.000]  Our government kept shooting black people up with live syphilis and then not giving them treatment and watching their excruciating deaths as they spread it through the black and white population for 47 years, 47 years.
[12:55.000 --> 13:08.000]  And they oversaw Lyme's disease that is tick-borne syphilis that was produced at Plum Island. Look that up. You can't make this stuff up. And I'm just giving you well-known stuff that everybody knows.
[13:08.000 --> 13:24.000]  I'm not mentioning the literal hundreds of other admitted domestic tests that I could rattle off right now. Hundreds of them, hundreds, thousands of total studies, hundreds that were lethal.
[13:24.000 --> 13:39.000]  And giving the pregnant wives of GIs from 1943 until the 80s when they, quote, quit the program, vitamin bottles, mislabeled vitamins that were uranium and plutonium pills so they could, quote, see what it did to them.
[13:39.000 --> 13:51.000]  They weren't seeing what it did to them. It was a human sacrifice of the baby, a power of the state to corrupt the medical corps and to see how far they could go.
[13:51.000 --> 14:03.000]  It was a corruption. It was a twisting. So that's why this Ebola is so serious is because we can't trust the people involved over seeing it.
[14:03.000 --> 14:11.000]  What are they doing putting thousands of U.S. troops and others into the Ebola hot zones? You would never do that.
[14:11.000 --> 14:17.000]  What are they doing letting them come back? What are they doing bringing more than 15 of these patients into the U.S.? What are they doing?
[14:17.000 --> 14:24.000]  Look at this headline. Just went up on infowars.com and prisonplanet.com. We're tweeting it right now at Real Alex Jones on Twitter.
[14:24.000 --> 14:33.000]  CDC warns funeral homes in U.S. to prepare for Ebola victims. This is breaking at infowars.com.
[14:33.000 --> 14:45.000]  The Centers for Disease Control is advising funeral homes in the United States on how to handle the remains of Ebola victims, although officials are keen to stress the development is not cause for alarm.
[14:45.000 --> 14:58.000]  All three pages list of recommendations instructs funeral workers to wear protective gear while handling Ebola victims as well as warning them not to carry out autopsies are in bomb corpses.
[14:58.000 --> 15:01.000]  You think they need to be told? Don't touch it. I guess they probably do.
[15:01.000 --> 15:09.000]  If the outbreak of the potentially deadly virus in West Africa, why are funeral homes in America being given guidelines?
[15:09.000 --> 15:23.000]  Ask WFSB. Last night it was revealed that the Dallas hospital is holding a potential Ebola victim in stringent isolation after the patient was admitted based on symptoms and recent travel history.
