[00:00:03.342 --> 00:00:08.186]  Big Brother, Mainstream Media, Government Cover Ups.
[00:00:08.186 --> 00:00:09.767]  You want answers?
[00:00:09.767 --> 00:00:10.687]  Well, so does he.
[00:00:10.687 --> 00:00:15.511]  He's Alex Jones on the GCN Radio Network.
[00:00:15.511 --> 00:00:23.416]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.416 --> 00:00:24.677]  Welcome, ladies and gentlemen.
[00:00:24.677 --> 00:00:26.559]  Welcome and thank you for joining us.
[00:00:26.559 --> 00:00:28.220]  I am in my new studios.
[00:00:28.220 --> 00:00:31.502]  This is our official maiden voyage today.
[00:00:33.002 --> 00:00:39.606]  We are going to be live on this Tuesday edition for the next four hours.
[00:00:39.606 --> 00:00:40.967]  Again, thank you for joining us.
[00:00:40.967 --> 00:00:43.609]  It is December 16, 2008.
[00:00:43.609 --> 00:00:47.111]  And let me tell you about some of the guests we have coming up.
[00:00:47.111 --> 00:00:52.675]  We have the blogger, Ben Holstrom, who first reported on the Marines to be involved at checkpoints.
[00:00:54.184 --> 00:01:21.805]  in violation of posse commentatus and every can of a free society uh... out in san bernardino california outside twenty nine palms it was then picked up by the local news talk station and i have the press releases put out by the california highway patrol where they said the marines will be taking part uh... in hundreds of square miles of uh... different uh... checkpoints and they did indeed carry out those checkpoints then they lied to the public and said no marines were involved
[00:01:22.225 --> 00:01:33.233]  But the local news talk station, we had the news director on yesterday, was able to send his people out there to witness the Marines aiding in the checkpoint.
[00:01:33.233 --> 00:01:38.658]  And here is the sobriety driver's license, East German checkpoint.
[00:01:38.658 --> 00:01:43.741]  It says the sobriety driver's license checkpoint will be operated from 9pm to 2.30am.
[00:01:43.741 --> 00:01:46.684]  The media may contact Barstow Dispatch Center.
[00:01:47.424 --> 00:01:48.084]  We're good to go.
[00:02:04.639 --> 00:02:11.787]  Morongo Basin Office of the California Highway Patrol ship in conjunction with the San Bernardino County Sheriff's Department and the U.S.
[00:02:11.787 --> 00:02:17.153]  Marine Corps Military Police will conduct a joint sobriety drivers checkpoint on Friday, December 12th.
[00:02:17.153 --> 00:02:22.018]  So that happened and checkpoints throughout the weekend and are continued and are ongoing.
[00:02:22.819 --> 00:02:25.381]  Every single night out there on the highways.
[00:02:25.381 --> 00:02:34.148]  They then put out another press release a day later saying, oh no, there's no Marines involved and then the media went out there and there were Marines.
[00:02:34.148 --> 00:02:43.054]  Now the public is on my message boards and on the InfoWars.com and PrisonPlanet.com comment pages saying that there are no Marines, it isn't true, it isn't happening or
[00:02:44.415 --> 00:02:48.357]  The same people that were saying that we were lying about this are now saying, so what?
[00:02:48.357 --> 00:02:49.277]  It's good.
[00:02:49.277 --> 00:02:51.918]  It's okay to have Marines on the streets of America.
[00:02:51.918 --> 00:02:54.719]  It doesn't violate posse comitatus.
[00:02:54.719 --> 00:02:59.200]  So, you talk about total double-think and denial going on.
[00:02:59.200 --> 00:03:02.942]  It is happening, and we have Gunnery Sergeant Cox, or
[00:03:04.085 --> 00:03:13.489]  Humbertson, they tell us one of the two, will be coming on the show from the California Marines MCA GCC Public Affairs.
[00:03:13.489 --> 00:03:16.710]  That is coming up in the next hour.
[00:03:16.710 --> 00:03:21.632]  So we'll be going over all of that for you today.
[00:03:21.632 --> 00:03:25.974]  My thanks to the local news station
[00:03:27.646 --> 00:03:36.801]  KCDZFM for getting me these two press releases that the Marines and the chips are denying even exist right now.
[00:03:36.801 --> 00:03:42.610]  So you can walk up to the Marines and touch them at the checkpoints, but they will tell you to your face, we do not exist.
[00:03:43.010 --> 00:03:56.226]  Just like at Waco when the Delta Force was smashing into the building and setting it on fire, they were broadcasting, this is not an assault, this is not an assault, this is not an assault, and as the Davidians ran out the back they were gunned down and they kept saying, not an assault, not an assault, not an assault.
[00:03:56.226 --> 00:04:00.431]  Basic military psych warfare being used against the American people.
[00:04:00.851 --> 00:04:06.035]  So again, it doesn't matter how many videos of Marines at checkpoints we have, how many videos of Marines arresting U.S.
[00:04:06.035 --> 00:04:21.327]  citizens we have, going back to the late 1990s, no matter how many videos we have of the Army coming up with the FBI and telling us to turn our cameras off in Central Texas, no matter what we have on tape, no matter what is admitted, no matter if the Washington Post and CB...
[00:04:22.268 --> 00:04:27.974]  CNN and everybody else announcing that they will use troops in America and even foreign troops in the United States.
[00:04:27.974 --> 00:04:36.083]  The public has been trained for decades that this did not exist and so they are saying no, no, no, no, no.
[00:04:36.083 --> 00:04:37.144]  It doesn't exist.
[00:04:37.975 --> 00:04:40.596]  This is mass mind control, ladies and gentlemen.
[00:04:40.596 --> 00:04:45.518]  Then we have Wayne Madsen of the Wayne Madsen Report joining us in the fourth hour today.
[00:04:45.518 --> 00:04:52.080]  I have got so much news on the economy, the police state, the up-and-coming Constitutional Convention.
[00:04:52.080 --> 00:04:55.922]  We will cover it all right here on the maiden voyage out of the new studio.
[00:04:55.922 --> 00:04:56.762]  Thank you for joining us.
[00:04:59.915 --> 00:05:02.217]  Hello, I'm Steve Schenck.
[00:05:02.217 --> 00:05:05.720]  We're entering a holiday season never before seen in America.
[00:05:05.720 --> 00:05:14.546]  We're thankful for the warning given by members of Mr. Obama's campaign team of the coming international incident which will force unpopular decisions.
[00:05:14.546 --> 00:05:24.734]  Without this warning, many of us who still have money available would have unknowingly wasted it on Christmas gifts that will be useless when the only food available is in a government breadline.
[00:05:24.734 --> 00:05:28.477]  When the President is faced with the expected national security incident,
[00:05:28.897 --> 00:05:33.580]  The in-place Patriot legislation will control transport and distribution of food.
[00:05:33.580 --> 00:05:37.903]  Those of us who are able to take care of ourselves must put in supplies of food.
[00:05:37.903 --> 00:05:44.026]  This will free up the relief organizations to give food to those unable or not smart enough to prepare.
[00:05:44.026 --> 00:05:47.188]  The greatest gift this Christmas is life itself.
[00:05:47.188 --> 00:05:49.530]  Food for these unknown times.
[00:05:49.530 --> 00:05:49.830]  Call 800-409-5633.
[00:05:49.830 --> 00:05:50.931]  On the web, efoodsdirect.com.
[00:05:50.931 --> 00:05:50.971]  800-409-5633.
[00:05:59.179 --> 00:06:04.881]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:06:04.881 --> 00:06:06.222]  And we knew what to do.
[00:06:06.222 --> 00:06:08.202]  Or at least we thought we did.
[00:06:08.202 --> 00:06:15.245]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:06:15.245 --> 00:06:20.407]  Whitman, EPA director on the 18th, made a statement.
[00:06:21.380 --> 00:06:24.143]  That the air was safe to breathe.
[00:06:24.143 --> 00:06:31.231]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:06:31.231 --> 00:06:34.414]  He had his hand over the radio while he was getting a countdown.
[00:06:34.414 --> 00:06:39.520]  He takes his hand off and you hear 3, 2, 1, and it was boom, boom, boom, boom, boom!
[00:06:40.180 --> 00:06:43.263]  This is an emergency transmission worldwide.
[00:06:43.263 --> 00:06:49.309]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:06:49.309 --> 00:06:52.232]  Or order the DVD at Infowars.com.
[00:06:52.232 --> 00:06:57.177]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:06:58.717 --> 00:07:09.293]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:07:09.293 --> 00:07:10.715]  Garden in a Can.
[00:07:10.715 --> 00:07:14.280]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:07:14.841 --> 00:07:16.842]  Garden in a Can is ready when you are.
[00:07:16.842 --> 00:07:19.623]  Plant them now or store them for when you really need them.
[00:07:19.623 --> 00:07:29.307]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:07:29.307 --> 00:07:30.727]  Garden in a Can.
[00:07:30.727 --> 00:07:31.928]  It's that simple.
[00:07:31.928 --> 00:07:32.628]  Fresh.
[00:07:32.628 --> 00:07:33.488]  Healthy.
[00:07:33.488 --> 00:07:34.328]  Easy.
[00:07:34.328 --> 00:07:38.250]  Only $69.95 for over a half acre of safe, fresh vegetables.
[00:07:38.650 --> 00:07:40.232]  Ready when you are.
[00:07:40.232 --> 00:07:44.316]  Stop procrastinating and start preparing with Garden In A Can.
[00:07:44.316 --> 00:07:47.800]  For more details visit GardenInACan.com today.
[00:07:47.800 --> 00:07:50.342]  That's GardenInACan.com or call 866-598-7396.
[00:07:50.342 --> 00:07:50.382]  866-598-7396.
[00:08:03.652 --> 00:08:08.496]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:08.496 --> 00:08:10.057]  You want answers?
