[00:00:00.650 --> 00:00:02.392]  Government cover-ups.
[00:00:02.392 --> 00:00:03.994]  You want answers?
[00:00:03.994 --> 00:00:05.536]  Well, so does he.
[00:00:05.536 --> 00:00:09.741]  He's Alex Jones on the GCN Radio Network.
[00:00:09.741 --> 00:00:13.786]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.926 --> 00:00:34.346]  Big broadcast lined up for you today.
[00:00:34.346 --> 00:00:44.849]  There have been some serious developments in the ongoing unfolding story of cameras and microphones built standard on almost every new computer system being sold.
[00:00:44.849 --> 00:00:48.009]  I say almost everything I've seen has them.
[00:00:48.009 --> 00:00:51.550]  Listening to you, watching you, tracking you.
[00:00:51.550 --> 00:00:57.391]  Comcast coming out and saying at a conference that this was their holy grail.
[00:00:58.448 --> 00:01:05.674]  They came out today and said, well, that story's not accurate, but then went on to admit that they're indeed doing it.
[00:01:05.674 --> 00:01:12.981]  Kind of like with the FBI a month ago with InfraGard, 23,000 executives, they have got prepared to shoot to kill orders at U.S.
[00:01:12.981 --> 00:01:16.103]  citizens during martial law.
[00:01:16.103 --> 00:01:25.051]  They said the story is totally false in their press release, and then went on to say, yes, they're shoot to kill, and yes, they work for us, but everyone has that power.
[00:01:25.051 --> 00:01:26.072]  So they just spun it.
[00:01:26.624 --> 00:01:27.705]  And that's their corporate tactic.
[00:01:27.705 --> 00:01:31.008]  They say completely false, and then they state it.
[00:01:31.008 --> 00:01:36.393]  Kind of like FEMA said two years ago, completely false, we're not training preachers secretly for martial law.
[00:01:36.393 --> 00:01:42.778]  And then, well actually we are, but it's completely false.
[00:01:42.778 --> 00:01:47.302]  Their government psychiatrists have come up with that as, I mean, everything they do is crafted.
[00:01:47.302 --> 00:01:49.344]  And I meant to play this Friday.
[00:01:49.344 --> 00:01:51.546]  I did play it on the Sunday show, but we will play it today.
[00:01:52.826 --> 00:02:22.186]  uh... big company and has been consulting with the government wants to make you wear everyone wear a taser bracelet uh... when you enter the airport so everyone can be guilty until proven innocent to keep us safe they can just taser us at will to save us from evil al-qaeda hijackers that are hiding under every bed and cupboard so we'll get into that too also fifteen mile per hour speed plan for eco towns total micromanagement of your entire life
[00:02:23.261 --> 00:02:27.305]  Coming up, Iran behind green zone attacks.
[00:02:27.305 --> 00:02:33.469]  More lies, just like they claimed Iran tried to attack the missile cruisers with motorboats.
[00:02:33.469 --> 00:02:35.271]  Turned out that was a total lie.
[00:02:35.271 --> 00:02:39.494]  Pentagon report finds no evidence of Saddam's attempt to assassinate Bush.
[00:02:39.494 --> 00:02:45.519]  Remember they said Saddam was working with Al Qaeda, the opposite group.
[00:02:45.519 --> 00:02:46.800]  He was a secular government.
[00:02:47.825 --> 00:02:50.546]  In fact, the CIA tried to use... It doesn't matter.
[00:02:50.546 --> 00:02:52.686]  The facts don't matter.
[00:02:52.686 --> 00:02:56.727]  Pentagon report finds no evidence of Saddam's attempt to assassinate Bush.
[00:02:56.727 --> 00:03:01.188]  Also, police ask residents to submit to voluntary gun searches.
[00:03:01.188 --> 00:03:02.508]  No, this isn't Boston.
[00:03:02.508 --> 00:03:03.288]  This is D.C.
[00:03:03.288 --> 00:03:14.191]  We're going to play a clip to analyze the news propaganda and then go through that huge Second Amendment news as the attack goes into warp drive against your
[00:03:14.998 --> 00:03:16.519]  Second Amendment ownership.
[00:03:16.519 --> 00:03:19.742]  While they announce, don't run, we are your friends.
[00:03:19.742 --> 00:03:21.003]  Ever seen Mars Attacks?
[00:03:21.003 --> 00:03:23.104]  Years ago we'd play that clip on there.
[00:03:23.104 --> 00:03:25.266]  Don't run, we are your friends!
[00:03:25.266 --> 00:03:31.431]  They'd have loudspeakers, the aliens playing that as they ran around zapping everyone with ray guns.
[00:03:31.431 --> 00:03:35.234]  And some people believe it and stop and then they laugh and shoot you.
[00:03:35.234 --> 00:03:36.915]  It's literally, don't run, we are your friends.
[00:03:36.915 --> 00:03:38.496]  Don't run, we're the government.
[00:03:38.496 --> 00:03:39.337]  We're here to help you.
[00:03:40.379 --> 00:03:48.025]  Just like they were smashing tanks into the Waco church saying this is not an assault, as Delta Force machine gun the Davidians trying to flee the back.
[00:03:48.025 --> 00:03:49.306]  All on video.
[00:03:49.306 --> 00:03:56.311]  Government shows you video of troops shooting people and says, though that looks like they're shooting them, that's not what that is.
[00:03:56.311 --> 00:04:08.941]  Men in infantry stance behind the Bradley vehicles, opening fire and people running out in fleer and falling on the ground flailing and then the tanks run over them with extreme wanton enjoyment.
[00:04:10.092 --> 00:04:13.114]  EU may boycott Beijing Olympics.
[00:04:13.114 --> 00:04:15.275]  Speaking of running over people with tanks.
[00:04:15.275 --> 00:04:20.558]  EU may boycott Beijing Olympics over cultural genocide in Tibet.
[00:04:20.558 --> 00:04:22.279]  Dollar falls on speculation.
[00:04:22.279 --> 00:04:22.499]  U.S.
[00:04:22.499 --> 00:04:24.040]  consumer confidence is waning.
[00:04:24.040 --> 00:04:27.081]  Gold spikes upwards.
[00:04:27.081 --> 00:04:34.085]  Torture architect John Yoo hypocritically blasts Democratic Party for violating Constitution's intent.
[00:04:34.085 --> 00:04:37.607]  Comcast try to cover up move to watch consumers via televisions.
[00:04:38.564 --> 00:04:39.905]  It's all coming up.
[00:04:39.905 --> 00:04:42.027]  Ultramassive transmission.
[00:04:42.027 --> 00:04:43.888]  And yes, a lot of your phone calls.
[00:04:43.888 --> 00:04:47.290]  And we're working on some news-related guests.
[00:04:47.290 --> 00:04:49.312]  Right now, feverishly.
[00:04:49.312 --> 00:04:53.675]  Stay with us.
[00:04:53.675 --> 00:04:56.176]  It is a big idea.
[00:04:56.176 --> 00:04:57.918]  A new world order.
[00:04:57.918 --> 00:05:02.821]  In the near future, Earth is dominated by a powerful world government.
[00:05:02.821 --> 00:05:05.643]  It's known as the Bilderberg Group.
[00:05:05.643 --> 00:05:07.825]  Put their objective being world domination.
[00:05:08.424 --> 00:05:11.611]  For thousands of years, their dark order grew.
[00:05:11.611 --> 00:05:18.927]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:21.963 --> 00:05:27.407]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:27.407 --> 00:05:31.269]  You will learn the secret that drives the entire New World Order agenda.
[00:05:31.269 --> 00:05:33.831]  Build America is making great progress toward a world government.
[00:05:33.831 --> 00:05:35.012]  Most people have no idea.
[00:05:35.012 --> 00:05:35.792]  They're not after money.
[00:05:35.792 --> 00:05:37.053]  They have all the money they need.
[00:05:37.053 --> 00:05:38.034]  They're after power.
[00:05:38.034 --> 00:05:39.195]  That's their aphrodisiac.
