[00:00.000 --> 00:02.000]  the media.
[00:02.000 --> 00:03.000]  Government cover-ups.
[00:03.000 --> 00:04.000]  Do you want answers?
[00:04.000 --> 00:06.000]  Well, so does he.
[00:06.000 --> 00:10.000]  He's Alex Jones on the GCN Radio Network.
[00:10.000 --> 00:15.000]  And now live from Austin, Texas, Alex Jones.
[00:17.000 --> 00:19.000]  Welcome, ladies and gentlemen, welcome.
[00:19.000 --> 00:21.000]  I am not Alex Jones, I'm Jason Bermont.
[00:21.000 --> 00:23.000]  I was studying in the rest of the week.
[00:23.000 --> 00:26.000]  Alex, however, has huge breakthroughs
[00:26.000 --> 00:28.000]  from the Builderburg Conference.
[00:28.000 --> 00:30.000]  He will be calling in the first hour.
[00:30.000 --> 00:31.000]  I can't wait.
[00:31.000 --> 00:33.000]  I talked to him briefly this morning.
[00:33.000 --> 00:36.000]  And a lot of stuff coming up.
[00:36.000 --> 00:38.000]  He's being hustled out of that hotel right now.
[00:38.000 --> 00:40.000]  They're preparing for the elite to come in
[00:40.000 --> 00:42.000]  to their annual meeting,
[00:42.000 --> 00:45.000]  where they will discuss geopolitics
[00:45.000 --> 00:47.000]  and decide what's good for you and me.
[00:47.000 --> 00:50.000]  And it doesn't necessarily have to be good, folks.
[00:50.000 --> 00:53.000]  We're also going to have a few guests on the show today,
[00:53.000 --> 00:57.000]  of course, this Wednesday, June 4th, 2008.
[00:57.000 --> 01:01.000]  We're going to have Adam Cunnington of Kentucky We Are Changed.
[01:01.000 --> 01:04.000]  Jonathan Elanoff of We Are Changed Colorado.
[01:04.000 --> 01:12.000]  Daniel Estalon, of course, the author of a book we carry over at infowars.com
[01:12.000 --> 01:14.000]  on the Builderburg Group.
[01:14.000 --> 01:16.000]  And of course, he's an end game with Jim Tucker.
[01:16.000 --> 01:18.000]  We had Jim Tucker on yesterday.
[01:18.000 --> 01:22.000]  And Alex will be joining us for the full third hour, I believe.
[01:22.000 --> 01:25.000]  So hopefully Alex is going to call in in the first hour.
[01:25.000 --> 01:27.000]  We're going to take calls in the first hour as well.
[01:27.000 --> 01:32.000]  And I might even give a call to Blair Gadsby after the break.
[01:32.000 --> 01:40.000]  Blair is the man who is basically on a hunger strike right now
[01:40.000 --> 01:42.000]  to talk to John McCain.
[01:42.000 --> 01:44.000]  Now, I am no fan of John McCain.
[01:44.000 --> 01:48.000]  John McCain, of course, wrote the forward to popular mechanics book,
[01:48.000 --> 01:50.000]  Debunking 9-11 Myths.
[01:50.000 --> 01:52.000]  And we're going to read an excerpt out of that.
[01:52.000 --> 01:58.000]  But the Arizona Central is, I'm sorry, the Arizona Republic newspaper out there
[01:58.000 --> 02:02.000]  is finally reporting on this on a pretty non slanted manner.
