[00:00:03.107 --> 00:00:04.067]  Altercation in St.
[00:00:04.067 --> 00:00:09.949]  Clair Shores, where 33-year-old Kristen Hoff was told to leave Nino Sauvagio's for failing to wear a mask.
[00:00:09.949 --> 00:00:13.149]  She allegedly assaulted a clerk and spit on officers.
[00:00:13.149 --> 00:00:23.972]  Over in Holly, 68-year-old Rex Gaumont has been charged with misdemeanor assault and battery for wiping his nose and face on a store clerk after being told he had to wear a mask.
[00:00:24.372 --> 00:00:29.276]  A man enraged inside a San Antonio store and refusing to wear one.
[00:00:29.276 --> 00:00:32.479]  The situation escalates with shoving and screaming.
[00:00:32.479 --> 00:00:35.841]  The fight was over one man not wearing a mask.
[00:00:35.841 --> 00:00:40.105]  That man pulled out a knife and stabbed a 77-year-old before taking off.
[00:00:40.385 --> 00:00:41.926]  There have been shootings.
[00:00:41.926 --> 00:00:50.108]  Munderland, a security guard at a Family Dollar in Flint, was shot in the back of the head for refusing service to a woman who didn't want to wear a mask.
[00:00:50.108 --> 00:00:54.750]  A group of men pull up and try to enter without face masks, which is not allowed.
[00:00:54.750 --> 00:00:59.251]  The group argues with security and masked customers before heading back to the parking lot.
[00:00:59.671 --> 00:01:03.875]  Minutes later, the masked and unmasked groups are seen arguing and fighting.
[00:01:03.875 --> 00:01:05.736]  Both sides pull guns.
[00:01:05.736 --> 00:01:07.078]  Charles Jackson Jr.
[00:01:07.078 --> 00:01:10.941]  in the black ball cap and other security guards try to break up the fight.
[00:01:10.941 --> 00:01:14.084]  Jackson is then shot twice and falls to the ground.
[00:01:14.084 --> 00:01:19.508]  The unmasked party speeds off, the suspected shooter taking off in this white Mercedes SUV.
[00:01:19.508 --> 00:01:23.632]  Jackson, a Marine veteran and family man, remains in critical condition tonight.
[00:01:23.792 --> 00:01:29.735]  There have been totalitarian warnings from the petty tyrants grasping for the ring of power.
[00:01:29.735 --> 00:01:38.080]  Almost 50% of Republicans are refusing to get the vaccine, so we won't reach herd immunity because of those particular groups.
[00:01:38.080 --> 00:01:46.025]  So I say we need to shun those that refuse to get vaccinated, just like now in certain states, many states, I know in New York,
[00:01:47.046 --> 00:01:52.990]  There are signs on storefronts, on businesses, all across the state.
[00:01:52.990 --> 00:01:54.451]  No mask, no entry.
[00:01:54.451 --> 00:01:57.893]  I think if you have not been vaccinated, no entry.
[00:01:57.893 --> 00:01:59.234]  You want to get on a plane?
[00:01:59.234 --> 00:02:00.375]  You got to be vaccinated.
[00:02:00.375 --> 00:02:01.776]  Show proof of vaccination.
[00:02:01.776 --> 00:02:05.018]  And those people that don't want to get vaccinated, then that's fine.
[00:02:05.018 --> 00:02:06.179]  That's fine for you.
[00:02:06.179 --> 00:02:07.200]  But then you can't
[00:02:07.760 --> 00:02:11.544]  Spread it to other people that are vaccinated.
[00:02:11.544 --> 00:02:16.108]  You can't spread it to other people that are also not vaccinated.
[00:02:16.108 --> 00:02:21.854]  Then you don't get those other liberties that come with immunity.
[00:02:21.854 --> 00:02:23.235]  Something has to break.
[00:02:23.235 --> 00:02:32.764]  If that's your personal choice not to get vaccinated, you don't then get to infringe on the rights of those who have chosen to protect their fellow citizens.
[00:02:33.244 --> 00:02:38.027]  There's also the stick, which could be wielded by government and the private sector.
[00:02:38.027 --> 00:02:51.415]  Businesses have particular leverage as they can require employees to get vaccinations and restrict public access to private spaces like airlines, mass transit, most sporting and cultural venues, restaurants and movie theaters.
[00:02:51.415 --> 00:03:00.540]  Writing in USA Today, Michael Stern, a former federal prosecutor, said this, Businesses should make vaccination a requirement for employment.
[00:03:01.155 --> 00:03:14.865]  A COVID outbreak can shut down a business and be financially devastating, and failure to enforce basic health and safety measures is not fair to employees who have to work in offices, factories, and stores where close contact is required.
[00:03:14.865 --> 00:03:26.954]  The great American mask panic has even gripped the fragile mind of Joe Biden as he clumsily attempts to wield the power of the symbolism of the mask over the masses.
[00:03:26.954 --> 00:03:28.095]  Looking for my mask.
[00:03:28.095 --> 00:03:28.836]  I'm in trouble.
[00:03:32.074 --> 00:03:35.737]  The mask itself has been exposed as a fraud.
[00:03:35.737 --> 00:03:38.079]  Wearing masks like that is wasting a mask.
[00:03:38.079 --> 00:03:40.841]  That's a mask that won't be available when it's actually needed.
[00:03:40.841 --> 00:03:45.986]  The state government's advice on wearing face masks is in line with the World Health Organization.
[00:03:45.986 --> 00:03:57.795]  Under its guidelines, masks should only be worn if you have a cough, fever and difficulty breathing, or if you are healthy and taking care of someone with these symptoms and or someone with a confirmed case of COVID-19.
[00:03:58.656 --> 00:04:03.159]  If you do not have these symptoms, you do not have to wear masks.
[00:04:03.159 --> 00:04:07.802]  Because there is no evidence that they protect people who are not sick.
[00:04:07.802 --> 00:04:21.811]  Once a mask gets wet, maybe from our exhalation, it really begins to decrement in effectiveness in filtering any sort of respiratory particulate matter.
[00:04:21.811 --> 00:04:23.772]  It's the safety video going viral.
[00:04:26.276 --> 00:04:33.501]  An Argentinian firefighter with a deodorant can, simulating a sneeze or cough.
[00:04:33.501 --> 00:04:38.064]  Right now in the United States, people should not be walking around with masks.
[00:04:38.064 --> 00:04:40.606]  There's no reason to be walking around with a mask.
[00:04:40.606 --> 00:04:53.034]  The tyranny will only end when the COVID fables are fully exposed and those in power are voted out for aiding and abetting the dangerous United Nations deception known as the Great Reset.
[00:04:53.034 --> 00:04:54.135]  John Bowne reporting.
[00:04:58.564 --> 00:05:01.069]  Alex Jones here with some really good news.
[00:05:01.069 --> 00:05:04.555]  Four of our best selling products are back in stock.
[00:05:04.555 --> 00:05:09.344]  Four of these bad boys that will enrich your life and of course fund the InfoWar.
[00:05:09.344 --> 00:05:11.128]  Body's Ultimate Turmeric Formula.
[00:05:12.000 --> 00:05:14.463]  Alpha Power for your stamina, libido, energy.
[00:05:14.463 --> 00:05:19.550]  Prostagard, with the salt palmetto and a bunch of key vitamins and minerals for your immune system.
[00:05:19.550 --> 00:05:28.602]  And of course, Bazo Beets, concentrated beet extract, create nitrous oxide in your blood that's essential for your heart and for your lungs and especially for your liver.
[00:05:29.182 --> 00:05:33.306]  And this is great, because with all the shutdowns and the lockdowns, it's been hard to get these products in.
[00:05:33.306 --> 00:05:36.209]  They're finally back in, and they're critical to funding our operation.
[00:05:36.209 --> 00:05:37.030]  Plus, they're great products.
[00:05:37.030 --> 00:05:38.411]  I want to thank you all for your support.
[00:05:38.411 --> 00:05:44.037]  Go to InfoWarsStore.com today and get your InfoWars Live products while you still can.
[00:05:44.037 --> 00:05:50.584]  Fazzo Beats, Prostagard, Alpha Power, and, of course, bodies, all back in stock now at InfoWarsStore.com.
[00:06:01.152 --> 00:06:01.834]  Oh, yeah.
[00:06:14.258 --> 00:06:17.439]  InfoWars, tomorrow's news, today.
[00:06:17.439 --> 00:06:22.100]  From the front lines of the information war, it's Alex Jones.
[00:06:22.100 --> 00:06:23.540]  It's Tuesday, May 4th.
[00:06:41.614 --> 00:06:43.394]  The year is 2021.
[00:06:43.394 --> 00:06:55.237]  I am your host, Alex Jones, from the embattled Infowars News Headquarters, deep in the heart of Texas, Austin, transmitting worldwide.
[00:06:55.237 --> 00:07:01.158]  Well, I've said this many times, but it becomes more and more true each and every hour, each and every day, each and every minute.
[00:07:01.158 --> 00:07:04.218]  The quickening is here.
[00:07:04.218 --> 00:07:06.919]  And all that has been hidden is basically being revealed.
[00:07:07.959 --> 00:07:22.386]  Evil is attempting to bring in total worldwide martial law under the guise of medical tyranny, but it's much bigger than just medical tyranny, to be able to suppress the human population.
[00:07:22.386 --> 00:07:26.809]  Let me just give you a boil-down of what is in front of us today.
[00:07:26.809 --> 00:07:29.490]  Here's CBS News reporting on what we knew was coming.
[00:07:31.286 --> 00:07:35.508]  That the, quote, booster shots, OC, wasn't just two COVID shots you had to get.
[00:07:35.508 --> 00:07:38.889]  It was another one, and another one, and some other treatments.
[00:07:38.889 --> 00:07:39.890]  Bill Gates told you last year.
[00:07:39.890 --> 00:07:43.311]  He's not going to tell you right now, but we knew what they were out of MIT.
[00:07:43.311 --> 00:07:44.492]  He funded it.
[00:07:44.492 --> 00:07:54.196]  It's a patch you put on your arm that worms little pieces of glass into your body that have little microscopic tracker chips in them, because things are so miniaturized now.
[00:07:54.196 --> 00:08:00.579]  So they can even track you from the air with a helicopter or with a, quote, smartphone or other sensors.
[00:08:01.255 --> 00:08:02.596]  That's CBS News.
[00:08:02.596 --> 00:08:03.797]  Oh, good news!
[00:08:03.797 --> 00:08:06.398]  The boosters are going to be patches.
[00:08:06.398 --> 00:08:11.641]  Your COVID vaccine will be a patch or a pill that will track you.
[00:08:11.641 --> 00:08:17.905]  Oh, it also might come in your flu shot.
[00:08:17.905 --> 00:08:18.566]  Isn't that nice?
[00:08:18.566 --> 00:08:19.926]  They've got this all planned out.
[00:08:19.926 --> 00:08:22.568]  They've got this all actuaried out.
[00:08:22.568 --> 00:08:28.912]  That's why they had Mrs. Bill Gates, Mrs. French, Melinda Gates,
[00:08:30.212 --> 00:08:32.754]  On John Oliver that they shot last week.
[00:08:32.754 --> 00:08:36.876]  But oh, the divorce, the split got announced yesterday.
[00:08:36.876 --> 00:08:39.037]  And it's a very real split.
[00:08:39.037 --> 00:08:43.619]  You can see who he's hired and the fight that's set up and going on.
[00:08:43.619 --> 00:08:47.542]  She's another fellow traveler, eugenicist, exterminist like he is.
[00:08:47.542 --> 00:08:49.563]  We'll be breaking down all the details of that today.
[00:08:49.563 --> 00:08:55.886]  But let me lay out really the biggest news here.
[00:08:55.886 --> 00:08:59.368]  It's not that John Oliver attacked Tucker Carlson and called him a baboon and
[00:09:00.037 --> 00:09:07.960]  Called me a neon football and said that I fly a jetpack spraying human feces on people.
[00:09:07.960 --> 00:09:13.343]  Even had a guy in a cicada suit trying to sell that vaccines are safe.
[00:09:13.343 --> 00:09:19.946]  It's that he's paid, and HBO's paid, by the Bill and Melinda Gates Foundation, that's on record, to push that propaganda.
[00:09:19.946 --> 00:09:27.289]  So CNN, ABC News, and thousands of other publications and TV shows, you name it, around the world.
[00:09:28.354 --> 00:09:32.976]  I remember when they had a show a few years ago called The Good Doctor, attacking Alex Jones.
[00:09:32.976 --> 00:09:34.637]  They admitted the program was attacking me.
