[00:00:00.369 --> 00:00:02.011]  Thanks for watching!
[00:00:10.243 --> 00:00:15.064]  Big Brother, mainstream media, government cover-ups.
[00:00:15.064 --> 00:00:16.765]  You want to stop tyranny?
[00:00:16.765 --> 00:00:18.425]  Well, so does he.
[00:00:18.425 --> 00:00:23.726]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:23.726 --> 00:00:26.287]  And we're launching the show now, ladies and gentlemen.
[00:00:26.287 --> 00:00:33.008]  Never fear, we're live on this September 1st, 2019 global transmission.
[00:00:33.008 --> 00:00:35.309]  We're going to cover the waterfront right now.
[00:00:36.889 --> 00:00:39.692]  This is Paul Johnson with Summit.News and Action 7 News.
[00:00:39.692 --> 00:00:40.774]  We're here in Hong Kong.
[00:00:40.774 --> 00:00:43.277]  This is Savannah Hernandez for InfoWars.com.
[00:00:43.277 --> 00:00:47.281]  I'm reporting to you from Hong Kong where I'm joined by reporter Greg Rees for the next week.
[00:00:47.281 --> 00:00:50.105]  This is Greg Rees for InfoWars.com in Hong Kong.
[00:00:50.105 --> 00:00:54.029]  Our recent trip to Hong Kong was a new achievement for InfoWars.com.
[00:00:54.970 --> 00:01:03.011]  Despite being the most banned broadcast in the free world, we continue to win because of our great, strong, loyal audience.
[00:01:03.011 --> 00:01:19.534]  We have Dan Lyman covering InfoWars Europe, Paul Joseph Watson in the UK, Millie Weaver and Caitlin Bennett in the American heartland, and from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[00:01:19.534 --> 00:01:23.115]  We are not done winning, and with your support, we will keep winning.
[00:01:23.695 --> 00:01:24.676]  We have to keep winning!
[00:01:24.676 --> 00:01:26.118]  We have to win more!
[00:01:26.118 --> 00:01:28.501]  Go to InfoWarStore.com.
[00:01:28.501 --> 00:01:36.630]  You have gone to InfoWarStore.com and gotten books and films, supplements, t-shirts, and water filtration, air filtration, and things you need!
[00:01:44.429 --> 00:01:47.652]  Let me tell you, we're having some fun tonight.
[00:01:47.652 --> 00:01:51.095]  We are kicking September off just right.
[00:01:51.095 --> 00:01:52.337]  It's September 1st, 2019.
[00:01:52.337 --> 00:01:55.780]  I'm your host Alex Jones.
[00:01:55.780 --> 00:02:02.007]  And normally we kick the show off live on Sundays or on Mondays or Wednesdays or Thursdays or Fridays.
[00:02:02.007 --> 00:02:02.527]  Today,
[00:02:04.112 --> 00:02:27.823]  I chalk it up to gremlins because last week the big fancy expensive audio board just broke right before the show just burned out and died and then today it was the big video switcher died in the other studio and then folks had been playing tiddlywinks in this studio on Friday and didn't put any of it back so it took us 30 minutes to get up and running but that's okay because guess what happened I'm coming in tomorrow now
[00:02:28.996 --> 00:02:34.118]  In fact, I'm doing all four juicy hours live.
[00:02:34.118 --> 00:02:37.259]  And then, I'm doing The War Room.
[00:02:37.259 --> 00:02:38.619]  That's right.
[00:02:38.619 --> 00:02:43.500]  I'm gonna do seven hours of live shows tomorrow.
[00:02:43.500 --> 00:02:49.222]  Because we're hitting the quickening right now, and it's gotta be done, and I gotta lead by example.
[00:02:49.222 --> 00:02:50.082]  So I'm gonna be here.
[00:02:50.082 --> 00:02:54.784]  In fact, I'm gonna broadcast next Sunday for 10 hours, probably.
[00:02:55.563 --> 00:02:57.764]  Because that's what's going to happen.
[00:02:57.764 --> 00:03:00.726]  We're going to intensify our attacks on the globalists.
[00:03:00.726 --> 00:03:01.647]  And we're not going to stop.
[00:03:01.647 --> 00:03:03.868]  We're not going to back down ever.
[00:03:03.868 --> 00:03:08.331]  Well, I did about, oh, five hours of preparation yesterday.
[00:03:08.331 --> 00:03:11.994]  And I did about five hours of preparation today at home.
[00:03:13.211 --> 00:03:17.674]  And I've got this whole incredibly important transmission lined up for you.
[00:03:17.674 --> 00:03:26.600]  And I respect the listeners and I respect the viewers very, very deeply for jumping through all the hoops over the years to keep us on air and to tune in.
[00:03:26.600 --> 00:03:35.686]  And I really appreciate all of our AM and FM affiliates, our TV affiliates, and WWCR, the Global Shortwave, and the satellite folks that put us out, and everybody in this crew.
[00:03:35.686 --> 00:03:40.169]  And we've been going through growing pains as we've used my show for training.
[00:03:41.175 --> 00:03:46.621]  And so we are training on my show to launch some new shows that will be announced in just the next week and a half or so.
[00:03:46.621 --> 00:03:49.884]  So a lot of exciting things going on here.
[00:03:49.884 --> 00:03:52.307]  And there's no teleprompters here.
[00:03:52.307 --> 00:03:54.589]  I'm not a robot, you know, being told what to say and do.
[00:03:54.589 --> 00:03:56.631]  This is a real system.
[00:03:56.631 --> 00:03:58.934]  This is a real organic resistance out of Texas.
[00:03:58.934 --> 00:04:02.357]  We're not in fancy Los Angeles or fancy pants New York City.
[00:04:03.291 --> 00:04:05.432]  We're just right here in Texas.
