[00:00.000 --> 00:01.600]  We've got it, Dada.
[00:01.600 --> 00:03.600]  The Newspaper's coming down.
[00:07.200 --> 00:09.600]  Waging war on corruption.
[00:09.600 --> 00:11.600]  Oh, thank you, I'm sorry.
[00:11.600 --> 00:17.600]  It's Alex Jones coming to you live from the front lines of the Info War.
[00:21.600 --> 00:25.200]  Alright, folks, we've got a key transmission coming up for you.
[00:25.200 --> 00:31.600]  Here today, it is, of course, Monday, November 7th, 2011.
[00:33.600 --> 00:39.600]  So much is happening that just makes my mind spin because we knew it was coming and then you watch it happen.
[00:39.600 --> 00:43.600]  Italy, too big to fail, too big to save.
[00:46.600 --> 00:53.600]  And it just goes through the fact here at CNBC that if you think a hundred billion was bad with Greece,
[00:53.600 --> 00:57.200]  we're talking about close to a trillion bucks in Italy.
[00:57.200 --> 01:02.400]  Most of it derivatives the public signed on to and now they want Americans to pay for part of it.
[01:02.400 --> 01:04.400]  Your taxes will go up.
[01:04.400 --> 01:09.200]  You'll be lectured by a bunch of college people that can't get jobs that you need to pay them more money.
[01:09.200 --> 01:15.200]  And the general public, again, just doesn't have the basic facts down on what we're dealing with here.
[01:15.200 --> 01:20.200]  As a society, they're now talking about Berlusoni stepping down.
[01:20.200 --> 01:24.600]  It's caused all sorts of problems so far in the market today. We'll continue to track that.
[01:26.600 --> 01:30.400]  Italian government borrowing rates hit Euro error high.
[01:30.400 --> 01:34.000]  Now these countries have been basically maneuvered into bankruptcy.
[01:34.000 --> 01:37.200]  Now they pay more for the future debts.
[01:37.200 --> 01:41.600]  But it's set up under fractional reserve banking where you always pay more.
[01:44.000 --> 01:47.600]  It debt is created just for money to be created.
[01:47.600 --> 01:51.000]  And then in the final equation, they've convinced you to go into more and more debt.
[01:51.000 --> 01:56.000]  And guess what? The debt's going to cost more. It's going to take even more money to pay off that.
[01:58.000 --> 02:01.000]  And the taxes go up enough. The society falls apart.
[02:01.000 --> 02:07.000]  Meanwhile, the average American is being distracted today with a sexual harassment story.
[02:07.000 --> 02:10.000]  All these women wouldn't go public about Herman King.
[02:10.000 --> 02:14.000]  Well, now Gloria Allred has obviously gotten some woman hyped up enough to do it.
[02:14.000 --> 02:19.000]  And I mean, I don't know the truth, but at the end of the day, there's people being killed all over the planet.
[02:19.000 --> 02:25.000]  Our cancer rates are doubling and tripling and we're having bioweapons put in our food and water.
[02:25.000 --> 02:30.000]  And the globalists are admittingly doing this to us and we're busy worrying about Herman Cain.
[02:30.000 --> 02:36.000]  And all the reported escapades that he might have been involved in.
[02:38.000 --> 02:42.000]  It's incredible. Cain accused her from Chicago.
[02:42.000 --> 02:45.000]  She speaks. Allred sought his help with an employment issue.
[02:45.000 --> 02:49.000]  Instead offered his idea of a stimulus package.
[02:51.000 --> 02:56.000]  And then meanwhile, we've got jury reaches verdict in Jacko trial.
[02:57.000 --> 03:02.000]  And again, I understand folks hear about these stories. They follow them and then it comes out.
[03:02.000 --> 03:05.000]  But now we see, now we see the accuser.
[03:05.000 --> 03:11.000]  A reported looker from Chicago.
[03:11.000 --> 03:18.000]  I was very, very surprised and shocked, she said in recounting the detail of the aggressive sexual overtures 14 years ago.
[03:18.000 --> 03:21.000]  Mr. Cain, I implore you, make this right.
[03:21.000 --> 03:30.000]  Politico first reported last week that the National Restaurant Association settled sexual harassment claims brought by Cain by two women in the 90s.
[03:30.000 --> 03:35.000]  A third woman told the Associated Press last week she considered filing a similar complaint.
[03:35.000 --> 03:44.000]  Tonight on the nightly news, I'm going to get into the fact that Mill Clinton settled lawsuits for raping women.
[03:44.000 --> 03:46.000]  And then the feminists were defending it.
[03:46.000 --> 03:52.000]  Look, all of this is just, just society crumbling.
[03:52.000 --> 03:58.000]  So it's a big political distraction and it'll actually make him look like he wrote a lot of conservatives that are sick of this stuff.
[03:58.000 --> 04:02.000]  When we should be looking at Ron Paul, who you notice has none of these problems.
[04:02.000 --> 04:04.000]  Because he's not involved in this kind of stuff.
[04:04.000 --> 04:06.000]  All right.
[04:06.000 --> 04:09.000]  I also just want to thank all the folks that gave at the Money Bomb.
[04:09.000 --> 04:12.000]  You can still donate if you'd like, infowarsmoneybomb.com until tomorrow.
[04:12.000 --> 04:17.000]  Sometime in the afternoon, we're going to keep streaming the 27 hours straight if you missed any of the incredible interviews.
[04:17.000 --> 04:22.000]  And they're also posted up there in sections and parts at infowarsmoneybomb.com.
[04:22.000 --> 04:24.000]  But we couldn't have done all this without you.
[04:24.000 --> 04:26.000]  And I want to thank all of you that did give.
[04:26.000 --> 04:33.000]  If you are people of means, that's who should be giving to the number one alternative media outlet confronting the globalist, defending the Republic.
[04:33.000 --> 04:37.000]  I don't want little old ladies and people on fixed budgets to give me a red cent.
[04:37.000 --> 04:39.000]  You're listening and spreading the word is so much.
[04:39.000 --> 04:40.000]  I love you.
[04:40.000 --> 04:41.000]  I appreciate you.
[04:41.000 --> 04:45.000]  But if you do have means, you really should give at infowarsmoneybomb.com.
[04:45.000 --> 04:47.000]  I mean, who else is working this hard?
[04:47.000 --> 04:49.000]  Great job of the crew, by the way.
[04:49.000 --> 04:54.000]  And of course, coming up after the show today, we'll see you tonight at 7 o'clock central.
[04:54.000 --> 04:56.000]  infowarsnews.com.
[05:24.000 --> 05:34.000]  It also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[05:34.000 --> 05:42.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[05:42.000 --> 05:53.000]  Be sure to watch our new 7 minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[05:53.000 --> 05:57.000]  As well, we are always ready to answer any questions you may have.
[05:57.000 --> 06:26.000]  That's www.silverlungs.com.
[06:27.000 --> 06:56.000]  That's www.silverlungs.com.
[06:57.000 --> 07:00.000]  You can vet your life on eFoodsDirect.
[07:27.000 --> 07:46.000]  We turned jeans inside out, Diamond Gusset Jeans, made in the USA with unparalleled quality.
[07:46.000 --> 07:53.000]  Our Defender Motorcycle Jeans combine Gusset Comfort with Kevlar Protection, so you can ride all day with confidence.
[07:53.000 --> 08:00.000]  Order yours at gusset.com. Diamond Gusset Jeans got it. Others don't.
[08:23.000 --> 08:34.000]  Ladies and gentlemen, we are live. Thank you so much for joining us.
[08:34.000 --> 08:43.000]  It is Monday, the 7th day of November, 2011, and we're going to be here for the next three hours.
[08:43.000 --> 08:54.000]  Dan Kofall, who is a popular host up in Dallas and has a great financial analysis, will be joining us coming up at the bottom of the next hour.
[08:54.000 --> 08:58.000]  We will have open phones throughout the full three hours as well.
[08:58.000 --> 09:12.000]  He's a talk show host up on 11.90 a.m. in the Dallas-Fort Worth area, so he'll be joining us right at the waypoint or middle point of the broadcast today.
[09:12.000 --> 09:17.000]  And we're going to have open phones, as I said, on any news item, any issue.
[09:17.000 --> 09:23.000]  Normally, I say I'm going to go to the news first before I give out the number.
[09:23.000 --> 09:28.000]  But I just want to hear what you think is most important happening in the world today.
[09:28.000 --> 09:31.000]  Is the Herman Cain thing a distraction?
[09:31.000 --> 09:33.000]  Yes, I think it is overall.
[09:33.000 --> 09:38.000]  From looming war with Iran, global financial meltdown by design,
[09:38.000 --> 09:42.000]  government just raising fines and fees at every level.
[09:42.000 --> 09:44.000]  I think it's a distraction.
[09:44.000 --> 09:48.000]  I mean, look, I'm more than happy to see Herman Cain in political trouble,
[09:48.000 --> 09:55.000]  because he's the former head of the Federal Reserve in Kansas City and a globalist who wants to bring in new taxes.
[09:55.000 --> 09:58.000]  And somebody who's been caught lying about Ron Paul saying,
[09:58.000 --> 10:03.000]  I never said you people that want to audit the Fed or Ron Paul supporters are stupid.
[10:03.000 --> 10:07.000]  And I don't appreciate you making that up, Ron Paul.
[10:07.000 --> 10:09.000]  Not everything you see on the Internet is true.
[10:09.000 --> 10:12.000]  And everybody laughs when we played the clips of him saying it.
[10:12.000 --> 10:14.000]  And it's in his book.
[10:14.000 --> 10:15.000]  So I don't like Herman Cain.
[10:15.000 --> 10:16.000]  Let's get that straight.
[10:16.000 --> 10:18.000]  I mean, as a person, he's funny.
[10:18.000 --> 10:20.000]  He's likable.
[10:20.000 --> 10:21.000]  But they say Ted Bundy was likable.
[10:21.000 --> 10:24.000]  He knew how to trick girls to get in his yellow Volkswagen.
[10:24.000 --> 10:26.000]  They say Hitler was likable.
[10:26.000 --> 10:27.000]  Obama is likable.
[10:27.000 --> 10:30.000]  They say George W. Bush in person was likable.
[10:30.000 --> 10:32.000]  Bill Clinton is likable.
[10:32.000 --> 10:34.000]  Richard Nixon was likable.
[10:34.000 --> 10:36.000]  They say Mao Zedong was likable.
[10:36.000 --> 10:40.000]  They say Jack the Ripper was probably likable if it was the Prince like a lot of them thought.
[10:40.000 --> 10:43.000]  The point is that doesn't matter.
[10:43.000 --> 10:46.000]  It's not about a beauty contest or a likability contest.
[10:46.000 --> 10:48.000]  It's about what do you actually stand for?
[10:48.000 --> 10:51.000]  And the person is Ron Paul.
[10:51.000 --> 10:57.000]  By the way, Ron Paul has a shock win in Illinois straw poll.
[10:57.000 --> 11:01.000]  But Mitt Romney is just behind the Daily Mail reports.
[11:01.000 --> 11:02.000]  Here's another one.
[11:02.000 --> 11:06.000]  Ron Paul wins Illinois straw poll.
[11:06.000 --> 11:08.000]  Well, why is that a shock?
[11:08.000 --> 11:10.000]  I mean, he's won almost all of them.
[11:10.000 --> 11:16.000]  But when he does get second place, they'll mention first and third and fourth and fifth on Fox singing and they all do it.
[11:16.000 --> 11:21.000]  Or when he wins first most of the time on TV, they just cover two, three and four.
[11:21.000 --> 11:23.000]  And it's the entire establishment.
[11:23.000 --> 11:26.000]  It's mainline Republicans on talk radio.
[11:26.000 --> 11:27.000]  You've heard them.
[11:27.000 --> 11:29.000]  It's mainline Democrats.
[11:29.000 --> 11:31.000]  They're scared of Ron Paul.
[11:31.000 --> 11:33.000]  Because he doesn't like the status quo.
[11:33.000 --> 11:37.000]  We'll be we'll be talking more about that coming up today.
[11:37.000 --> 11:42.000]  Obviously, the top news is the economy and the Iran situation.
[11:42.000 --> 11:47.000]  Of course, we have the headline this morning up at info wars.com.
[11:47.000 --> 11:52.000]  It's all over the news that Israel is now saying.
[11:52.000 --> 12:01.000]  This is now reporting and others are that the Israeli members of the cabinet who were against the Iran strike are now saying that they're for it.
[12:01.000 --> 12:15.000]  And that Benjamin Netanyahu has now more of the connection lining up behind this preemptive strike on Iran ahead of all of this of the strike.
[12:15.000 --> 12:19.000]  We're seeing reports now coming out.
[12:19.000 --> 12:32.000]  I'm going to go over some of those that, of course, the new UN IAEA report is going to come out and claim that they can have a nuclear weapon within weeks or the fissile material for some type of atomic weapon at least in weeks.
[12:32.000 --> 12:36.000]  And so that is the pretext to now strike Iran.
[12:36.000 --> 12:44.000]  I mean, is the argument we should hit North Korea because they got nukes or how about Pakistan or our gallon ally were told or how about Russia?
[12:44.000 --> 12:54.000]  You know, we had a 50 year cold war with them and they had 10,000 20,000 by the peak 30,000 same thing with the United States, even more than 30,000 nuclear warheads.
[12:54.000 --> 12:58.000]  Does that mean we should have just have all blown each other into oblivion?
[12:58.000 --> 13:18.000]  And I also saw an ABC News report, people are protesting a barbecue joint that had a photo that said, let's play cowboys and Iranians and continuing along that line with the cowboys and Iranians statement.
[13:18.000 --> 13:33.000]  It shows a bunch of people in cowboy outfits around a person in a turbine or Middle Eastern headdress who has been hung, been lynched.
[13:33.000 --> 13:36.000]  And it looks like a famous lynching photo.
[13:36.000 --> 13:44.000]  I've seen I haven't had time to track it down or it's a black person, but they've they've they've put a Iranian up there.
[13:44.000 --> 13:51.000]  This is very offensive for a lot of reasons. Number one, most the good old boys who aren't bad people at the end of the day really think Iran ran 911.
[13:51.000 --> 13:53.000]  They think Iraq ran 911.
[13:53.000 --> 13:56.000]  You could say that your grandma did it.
[13:56.000 --> 13:59.000]  You could say a Baptist preacher did 911 and they'd be for lynching them.
[13:59.000 --> 14:01.000]  You know, it's very tribal.
[14:01.000 --> 14:02.000]  It's very primitive.
[14:02.000 --> 14:13.000]  You know, the outside enemy that struck us and the globalists can put that label on anybody, but most of the different sociological analyses that have been done and a lot of the major polls.
[14:13.000 --> 14:22.000]  You can just search vast majority of Iranians support the West, vast majority of Iranians, Persians do not like the Mullahs.
[14:22.000 --> 14:25.000]  It's around 70%.
[14:25.000 --> 14:34.000]  So we're talking about saying let's kill all the Iranians when 70% of them like America.
[14:34.000 --> 14:43.000]  It was a pro-Western country run by Mohammed Mosaddek, who was pretty much a secular poet and was also anti-Soviet.
[14:43.000 --> 14:45.000]  But that wasn't enough in 53.
