[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[00:29.000 --> 00:34.000]  It's the Black Friday Live InfoWars Special.
[00:34.000 --> 00:41.000]  I'll be with you here filling in for Alex Jones in the InfoWars World Headquarters in Austin, Texas.
[00:41.000 --> 00:45.000]  We'll be hearing from Alex in the next segment and throughout the day,
[00:45.000 --> 00:49.000]  and then I'll be back hosting the War Room 3-6pm.
[00:49.000 --> 00:56.000]  It's our Veterans Call-In Special, so I'm very much looking forward to a busy day here at InfoWars,
[00:56.000 --> 01:07.000]  but we are live, and the President went live during the hearing in Pennsylvania
[01:07.000 --> 01:19.000]  discussing the outright fraud, theft, chicanery, shenanigans, criminal behavior that happened in Philadelphia
[01:19.000 --> 01:26.000]  on election night and beyond, and it's just the beginning.
[01:26.000 --> 01:34.000]  Not only do you have lawsuits ongoing in four states, more could be coming.
[01:34.000 --> 01:46.000]  Not only do you have hundreds of witnesses, hundreds of sworn affidavits of election fraud, of rigged voting machines,
[01:46.000 --> 01:53.000]  but the President is now coming out and has made multiple statements claiming that he won.
[01:53.000 --> 01:58.000]  Now, you would think that'd be big news.
[01:58.000 --> 02:07.000]  And so it's the funniest thing where InfoWars gets the exclusive every time President Trump won the election.
[02:07.000 --> 02:16.000]  Very few people will report it. Very few people, if anyone, will even report when the President announces it.
[02:16.000 --> 02:19.000]  This was a statement from the President today.
[02:19.000 --> 02:25.000]  The 2020 election was a total scam we won by a lot.
[02:25.000 --> 02:28.000]  You think that'd be mainstream news.
[02:28.000 --> 02:36.000]  Number one story says he'll be in Georgia on Saturday to fight the steal there.
[02:36.000 --> 02:39.000]  There's no way Biden got 80 million votes.
[02:39.000 --> 02:41.000]  100% rigged election.
[02:41.000 --> 02:48.000]  These are statements from the President of the United States, but see the media is all in the tank for Biden as they always were.
[02:48.000 --> 02:52.000]  So they went along with the fake election.
[02:52.000 --> 02:54.000]  In fact, they faked it.
[02:54.000 --> 02:58.000]  They indeed faked the election victory for Joe Biden.
[02:58.000 --> 03:15.000]  On CNN, MSNBC, Fox News, Associated Press, NBC News, ABC News, CBS News, all of them faked an election result for Joe Biden.
[03:15.000 --> 03:26.000]  And they've been faking the President-elect with that propaganda and his fake cabinet, all of it, all propaganda, all to ceremoniously enshrine his fake election.
[03:26.000 --> 03:37.000]  But here, we have President Trump fighting back and exposing perhaps the biggest crime against the democratic system of our constitutional republic, our elections.
[03:37.000 --> 03:39.000]  Trump has totally exposed it.
[03:39.000 --> 03:45.000]  He called in to the Pennsylvania hearing yesterday, or excuse me, when that happened two days ago, and it sounded like this.
[03:45.000 --> 04:01.000]  We had to say it. This election was rigged and we can't let that happen. We can't let it happen for our country. And this election has to be turned around because we won Pennsylvania by a lot and we won all of these swing states by a lot.
