[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[00:00:18.354 --> 00:00:20.976]  It's Thursday, October 11th, 2018.
[00:00:20.976 --> 00:00:28.823]  We are now just 26 days out from what, to this point historically, is the most important election ever.
[00:00:28.823 --> 00:00:30.645]  The entire world is watching.
[00:00:30.645 --> 00:00:32.586]  Now what was the theme of the broadcast on Monday?
[00:00:32.586 --> 00:00:34.788]  What was the theme of the broadcast on Tuesday?
[00:00:34.788 --> 00:00:36.710]  What was the theme of the broadcast on Wednesday?
[00:00:37.898 --> 00:00:43.883]  That the left is escalating into outright terror acts ahead of the election.
[00:00:43.883 --> 00:00:46.745]  And they're going to launch terror attacks ahead of the election.
[00:00:46.745 --> 00:00:49.127]  They're going to launch terror attacks after the election.
[00:00:49.127 --> 00:00:55.031]  They are going to escalate because it's part of a continuum.
[00:00:55.031 --> 00:00:56.672]  It's part of a program.
[00:00:56.672 --> 00:00:58.374]  It's part of an operation.
[00:00:58.374 --> 00:01:00.275]  It's part of a shake and bake.
[00:01:00.275 --> 00:01:03.998]  Just like you go to the store and get some pancake batter.
[00:01:03.998 --> 00:01:04.819]  All you do is add milk.
[00:01:06.371 --> 00:01:14.657]  It's a program that the globalists have carried out in hundreds of countries in the last 150 years.
[00:01:14.657 --> 00:01:26.306]  And so right on time, we're going to cover this when we come back from break, man who planned DC suicide bombing wanted to stop Republicans suspending electoral process.
[00:01:26.306 --> 00:01:35.192]  Domestic terrorist was angry about the country's direction, cooking a giant bomb reportedly at the end of his lonely cul-de-sac in the basement.
[00:01:36.373 --> 00:01:37.795]  Complete whacked out leftist.
[00:01:37.795 --> 00:01:46.662]  If you go look at all of his posts, the media is trying to cover this up, but he said that he was angry about the Enlightenment and Christianity and the Renaissance.
[00:01:46.662 --> 00:01:55.289]  It's Christians 500 years ago that created the Renaissance and the medicine and the technology and the end of slavery and everything.
[00:01:55.289 --> 00:02:02.835]  And if you actually read what this guy's into, it's a very nihilistic system that I would closely resemble to the Jacobins.
[00:02:02.835 --> 00:02:04.737]  And again, why are the Jacobins so critical?
[00:02:05.297 --> 00:02:22.106]  If you talk to any historian of long-term human development, any historian of the span of human development, you will discover that they all know that the term leftist did not exist until the Jacobins.
[00:02:22.106 --> 00:02:23.747]  Previous to that, you had the
[00:02:26.048 --> 00:02:30.370]  Right-hand path and the left-hand path, meaning the path of God, the path of the devil.
[00:02:30.370 --> 00:02:33.832]  Sinister being the left, right being the hand of God.
[00:02:33.832 --> 00:02:37.474]  And it was also associated with the feminine and things like that.
[00:02:37.474 --> 00:02:40.415]  And you had cults and groups that worshipped the left-hand path.
[00:02:40.415 --> 00:02:44.978]  That's why you've got Baphomet famously with the left hand and the right hand, saying he basically controls both.
[00:02:44.978 --> 00:02:45.178]  Okay?
[00:02:47.290 --> 00:02:50.172]  They wanted to contemporarily bring that into the world.
[00:02:50.172 --> 00:03:00.440]  They wanted to abolish the family, have nine-day work weeks, limit the amount of months in the year, totally change the order of things, and overturn reality to blaspheme God.
[00:03:00.440 --> 00:03:02.902]  And they were going to sell people on a utopia.
[00:03:03.662 --> 00:03:07.164]  Under their Luciferian satanic takeover.
[00:03:07.164 --> 00:03:20.652]  But at the top they admitted, and their own documents were seized by the German government and others, and it was confirmed to be accurate, that Adam Weishaupt's Illuminati was actually behind the whole Jacobin situation in the French Revolution that killed several million French people.
[00:03:20.652 --> 00:03:21.593]  And it wasn't just the elites.
[00:03:21.593 --> 00:03:29.377]  It turned out the elites, a lot of them, were running it to get rid of the royal family, have a mass culling, steal property nationwide, take over the empire, and then rebuild
[00:03:29.377 --> 00:03:29.497]  Yeah.
[00:03:51.035 --> 00:03:51.415]  We're good to go.
[00:04:19.130 --> 00:04:27.414]  As the archetypal pseudo-intellectual who thought that he would get the election cancelled because he was worried that the Republicans were going to steal the election.
[00:04:27.414 --> 00:04:28.795]  And so this is going to be a massive bomb.
[00:04:28.795 --> 00:04:31.176]  He's going to detonate inside D.C.
[00:04:31.176 --> 00:04:39.260]  on election day to bring in a civil emergency and trigger the Democrats carrying out larger civil emergencies across the country, a.k.a.
[00:04:39.260 --> 00:04:40.280]  martial law.
[00:04:40.280 --> 00:04:48.204]  We'll be right back to break this down on the other side and hopefully we can all work together to stop it because if you think he's the only one that just got caught, you're not living on the planet.
[00:05:00.569 --> 00:05:07.715]  Nourish a probiotic-friendly environment in your gut with Prebiotic Fiber by InfoWars Life.
[00:05:07.715 --> 00:05:20.064]  Help the good bacteria thrive and support overall digestive health with our specially formulated Prebiotic Fiber, a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[00:05:20.785 --> 00:05:31.857]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients, and even support your immune system.
[00:05:31.857 --> 00:05:38.645]  InfoWars Life's cutting-edge formula only brings you the highest quality, organic, and clinically studied ingredients.
[00:05:39.245 --> 00:05:53.894]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[00:05:53.894 --> 00:05:56.575]  Head to InfoWarsLife.com or call 1-888-253-3139.
[00:06:04.076 --> 00:06:06.781]  Waging war on corruption.
[00:06:06.781 --> 00:06:11.911]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:06:17.074 --> 00:06:17.855]  It's confirmed.
[00:06:17.855 --> 00:06:20.116]  The left is activating their sleeper cells.
[00:06:20.116 --> 00:06:26.220]  They are preparing to stage terror attacks in the next 26 days and it's only meant to escalate from there.
[00:06:26.220 --> 00:06:28.521]  The globalists don't even care if they win the midterms.
[00:06:28.521 --> 00:06:41.689]  They want to create a national emergency to try to drive Trump and the patriots out of the government because they know that we're bringing the country back and the prosperity is the ultimate trump card against the globalists.
[00:06:41.689 --> 00:06:43.950]  So they are now about to make their move.
[00:06:43.950 --> 00:06:44.651]  But thank God,
[00:06:45.171 --> 00:06:52.318]  Trump and the patriots that we do have in the government are aware of this and are stopping these terror attacks before they take place.
[00:06:52.318 --> 00:06:54.820]  The only question is, can we stop them all?
[00:06:54.820 --> 00:06:59.365]  Michelle says that, you know, when they go low, we go up.
[00:06:59.365 --> 00:07:00.266]  No.
[00:07:00.266 --> 00:07:02.388]  When they go low, we kick them.
[00:07:12.153 --> 00:07:16.798]  Ladies and gentlemen, we are facing some very, very grave developments.
