[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[00:29.960 --> 00:41.960]  And we're going to do everything we can to break them all down and get to all of them in the next four hours of this Tuesday, February 19, 2019 edition of the Alex Jones show.
[00:41.960 --> 00:56.960]  Alex will be joining us in the next segment, but let me just lay out the entire schematic for what we're going to be covering today and really how it all is a separate issue, but the same issue.
[00:56.960 --> 01:21.960]  So now you have multiple Democrats coming out and let's say supporting the deep state coup to remove the president with the 25th amendment, which was run by a bunch of unelected bureaucrats, which was then exposed by House and Senate committees and then made public when they released the text messages.
[01:21.960 --> 01:33.960]  And it talks about meeting in McCabe's office doing everything they can to stop the president. McCabe then goes on television, does interviews saying yes, we tried to remove the president with the 25th amendment.
[01:33.960 --> 01:48.960]  We were thinking about that. We did plan on having a wire on Rosenstein when he went and met with the president. Yes, we did spy on the president as well. It all happened. It was all treason. The president knows it.
[01:48.960 --> 02:10.960]  And now in a new form of cover, you know what, the Democrats are saying, oh yeah, let's invoke the 25th amendment. So it used to be, we're not investigating the president to, we're going to remove the president to, we're not going to remove the president to, we should remove the president.
[02:10.960 --> 02:22.960]  And the cycle goes on and on and on. And there's some other stuff floating out there that they try to use to keep this Russian collusion narrative going. It's all a big nothing burger, as admitted by Van Jones.
[02:22.960 --> 02:35.960]  But here's a funny one. Even this is hilarious. This just shows you how the left is totally lost right now. Bush lawyer, the stories in Infowars.com, Bush lawyer calls for Trump to be removed under 25th amendment.
[02:35.960 --> 02:47.960]  So again, we told you they were trying to do this. They denied it. Now they have to come out and admit all of it because they did it illegally. They committed treason. So now they're just trying to commit treason in the open to act like it's no big deal.
[02:47.960 --> 03:08.960]  But Richard Painter, look, did Dick Painter not run for office? I'm pretty sure Dick just ran for office and lost. Go try to find the dumpster fire ad. So Dick Painter, a literal dumpster fire campaign ad, runs as a Democrat, a Bush ethics czar.
[03:08.960 --> 03:24.960]  A President George W. Bush ethics czar is now on the side of the Democrats. What happened to these people? They used to think George Bush had no ethics. But as ethics czar, Dick Painter, apparently he's the guy to listen to you now, a failed politician.
