[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:30.000 --> 00:42.000]  We see the earth from here and I have seen Friday, Saturday and now Sunday. No exaggeration myself.
[00:42.000 --> 00:52.000]  200 helicopters, black helicopters, army helicopters, private helicopters flying all over Austin, Texas.
[00:52.000 --> 00:59.000]  And guess who's here in town? It's the Bilderberg Group. Yeah, that's who they are.
[00:59.000 --> 01:07.000]  The globalists like to meet at Bilderberg once a year for a two-day powwow, but they get a lot of business done at Formula One races.
[01:07.000 --> 01:18.000]  They get a lot of business done at Bohemian Grove and they get a lot of business done at their sub-regional groups, the Royal Institute of International Affairs, things like the Bilderberg Group.
[01:18.000 --> 01:33.000]  Again, our centrally only have about 130 members, but then they'll have things like the CFR over the United States and its counterpart, the Royal Institute of International Affairs in England.
[01:33.000 --> 01:41.000]  And they have similar roundtable groups in each country. But when you have a Formula One race, it is the Sport of Kings.
[01:41.000 --> 01:55.000]  And I was reading the local paper, the big wigs that are here. I was reading, one guy wasn't allowed to rent out a famous cattleman's hotel here in Austin, Texas.
[01:55.000 --> 02:04.000]  He tried for about a year ahead of time to be able to rent it out for the three days of Formula One, so he just bought it so that he could rent it.
[02:04.000 --> 02:09.000]  They said, no, you can't pay double, you can't pay triple, you can't pay any amount. No, and he just bought it.
[02:09.000 --> 02:20.000]  Now, that wouldn't be a problem if most of these guys had made their money writing a book, creating a computer program, making a film, creating an invention.
[02:20.000 --> 02:28.000]  But when you look at who goes to Formula One, the globalist, the new ruling elite, it's fractional reserve, money changing, bankers.
[02:28.000 --> 02:40.000]  And then they get us to pay for it as well. They get us, we the people, to pay, to build the tracks, to build the sports stadiums.
[02:40.000 --> 02:51.000]  And then they get tenure tax exemption. And then they get the Texas State National Guard called up by the governor to condition everybody with troops on the streets.
[02:51.000 --> 03:00.000]  And all that gets paid for, and taxpayers pay for the DPS and the rest of it, and Euro trash crawling up and down.
[03:00.000 --> 03:10.000]  South Congress, you name it, jumping out of their limos, running into the Justin Boots place, grabbing things hand over fist, and I'm paying for it.
[03:10.000 --> 03:13.000]  The ruling class made their money through fraud.
[03:13.000 --> 03:21.000]  I was thinking of Bernie Madoff today, and what a scammer he was, but he was small for I compared a lot of these guys.
[03:21.000 --> 03:29.000]  And lo and behold, not only did his son commit suicide, if you believe that, yeah, with cement shoes, I'm sure.
[03:29.000 --> 03:42.000]  But now the chief accountant who was magically handling all these hundreds of billions of missing dollars, he blew his head off in New Jersey, if you believe that.
