[00:00.000 --> 00:02.000]  Assume, impeach him.
[00:02.000 --> 00:04.000]  Really?
[00:04.000 --> 00:06.000]  Really?
[00:06.000 --> 00:12.000]  For what?
[00:12.000 --> 00:14.000]  I mean, think about that.
[00:14.000 --> 00:16.000]  You're going to use taxpayer money
[00:16.000 --> 00:18.000]  to sue me for doing my job.
[00:18.000 --> 00:20.000]  While you don't do your job.
[00:20.000 --> 00:23.000]  President Obama's questionable sanity
[00:23.000 --> 00:25.000]  is now not just being noticed by
[00:25.000 --> 00:27.000]  mental health professionals.
[00:27.000 --> 00:30.000]  His behavior seems irrational to me.
[00:30.000 --> 00:32.000]  It seems beyond that of
[00:32.000 --> 00:34.000]  just a typical narcissistic,
[00:34.000 --> 00:35.000]  arrogant sort of,
[00:35.000 --> 00:37.000]  I'm a leader of a big country
[00:37.000 --> 00:38.000]  and I feel tyrannical at the moment,
[00:38.000 --> 00:39.000]  kind of attitude.
[00:39.000 --> 00:41.000]  Demonstrating behavior that is
[00:41.000 --> 00:43.000]  not only anti-American,
[00:43.000 --> 00:45.000]  but irrational and erratic
[00:45.000 --> 00:47.000]  and perhaps not exactly
[00:47.000 --> 00:49.000]  what we might want to deem same.
[00:49.000 --> 00:51.000]  Or political activist
[00:51.000 --> 00:53.000]  and former presidential nominee
[00:53.000 --> 00:54.000]  Lyndon LaRouche.
[00:54.000 --> 00:56.000]  If you move this president, Obama,
[00:56.000 --> 00:58.000]  out of office,
[00:58.000 --> 01:01.000]  on the basis of his charge that he's insane,
[01:01.000 --> 01:04.000]  that's under the 25th Amendment Section 4,
[01:04.000 --> 01:07.000]  he qualifies for expulsion from the presidency
[01:07.000 --> 01:09.000]  on the basis of that.
[01:09.000 --> 01:11.000]  We're best-selling author and former
[01:11.000 --> 01:13.000]  U.S. State Department official Steve Pacenek.
[01:13.000 --> 01:15.000]  Obama, the minute he talks about
[01:15.000 --> 01:17.000]  his conspiracy theory or silliness
[01:17.000 --> 01:19.000]  or whatever he wants to say,
[01:19.000 --> 01:21.000]  then what happens is it repercussions
[01:21.000 --> 01:23.000]  back to him and it opens up
[01:23.000 --> 01:26.000]  his own narcissistic vulnerability,
[01:26.000 --> 01:28.000]  which is a fancy way of saying,
[01:28.000 --> 01:31.000]  listen, the more you pump yourself up, stupid,
[01:31.000 --> 01:33.000]  the more you're going to be vulnerable
[01:33.000 --> 01:35.000]  to the American public asking questions
[01:35.000 --> 01:38.000]  of what did you do in Chicago when you were growing up?
[01:38.000 --> 01:40.000]  While you were married, before you were married,
[01:40.000 --> 01:42.000]  before you were educated,
[01:42.000 --> 01:44.000]  what kind of education did you really have?
[01:44.000 --> 01:46.000]  Let's look at really what you did
[01:46.000 --> 01:48.000]  because the more stupid things you say
[01:48.000 --> 01:50.000]  and you do to the American public,
[01:50.000 --> 01:52.000]  the more vulnerable you become
[01:52.000 --> 01:55.000]  and go ask Axelrod, who's not the brightest guy in the world,
[01:55.000 --> 01:58.000]  and ask your own heads of national intelligence
[01:58.000 --> 02:00.000]  who remain there because they get pensions
