[00:00.000 --> 00:02.000]  You've got it
[00:07.360 --> 00:09.360]  Waging war on corruption
[00:09.360 --> 00:29.360]  It's Alex Jones, coming to you live from the front lines of the Info War
[00:29.360 --> 00:34.360]  Welcome my friends, welcome to another live transmission
[00:34.360 --> 00:41.360]  I'm your host Alex Jones, we're here Monday through Friday 11 a.m. to 2 p.m. Central, back Sundays 4 to 6
[00:41.360 --> 00:46.360]  and we attempt and in many cases have great success thanks to you spreading the word
[00:46.360 --> 00:50.360]  in setting brush fires in the minds of men and women everywhere
[00:50.360 --> 00:56.360]  to be able to recognize the difference between liberty and slavery
[00:56.360 --> 01:00.360]  freedom and tyranny
[01:00.360 --> 01:04.360]  controlling your own destiny versus bondage
[01:04.360 --> 01:07.360]  and that's why I'm here
[01:07.360 --> 01:13.360]  we'd already lost a lot of our rights and liberties and basic freedoms and our sovereignty by the time I got on the air
[01:13.360 --> 01:20.360]  right at 17 years ago
[01:20.360 --> 01:26.360]  but today unfortunately
[01:26.360 --> 01:31.360]  the tyranny is of the most virulent organized type
[01:31.360 --> 01:34.360]  and it's because the corrupt ruling elite
[01:34.360 --> 01:39.360]  right at the point that they're taking over the world through financial Ponzi scheme frauds
[01:39.360 --> 01:43.360]  right as they engage in financial fraud based conquest
[01:43.360 --> 01:46.360]  the world is beginning to awaken
[01:46.360 --> 01:50.360]  and that awakening is beginning to accelerate
[01:50.360 --> 01:55.360]  and that is why the social controllers, the social engineers
[01:55.360 --> 02:00.360]  are openly overturning every cannon
[02:00.360 --> 02:06.360]  every bedrock value of freedom not just here in the United States but worldwide
[02:06.360 --> 02:11.360]  and now in Russia, in China, in Saudi Arabia even
[02:11.360 --> 02:17.360]  in other nations they marvel at the police state and use the United States now
[02:17.360 --> 02:24.360]  as an excuse to carry out the horrible repression that many of those countries are engaged in
[02:24.360 --> 02:28.360]  so when we come back from break I'm going to attempt
[02:28.360 --> 02:30.360]  and you know what it doesn't mean I'm always successful at
[02:30.360 --> 02:34.360]  I'm going to attempt to go over
[02:34.360 --> 02:37.360]  the fact that the time for denial is over
[02:37.360 --> 02:39.360]  there's no excuse to live in denial
[02:39.360 --> 02:43.360]  and the time for action is here
[02:43.360 --> 02:46.360]  in every way
[02:46.360 --> 02:52.360]  tyranny with a capital T and all that that word means is here
[02:52.360 --> 02:56.360]  but like judo we can use this assault as
[02:56.360 --> 03:00.360]  a way to really get a lot more people to awaken and take action
[03:00.360 --> 03:04.360]  the system likes to just sell tyranny and corruption and oppression and control
[03:04.360 --> 03:08.360]  with a velvet glove over the iron fist and have people acquiesce
[03:08.360 --> 03:11.360]  they don't like to have to come out
[03:11.360 --> 03:21.360]  with open, brazen, hubris, hutsma-filled, arrogant
[03:21.360 --> 03:25.360]  baseline oppression
[03:25.360 --> 03:31.360]  they're only doing this because their in game is threatened
[03:31.360 --> 03:34.360]  because they are weak
[03:34.360 --> 03:40.360]  we have massive news on now the open admissions of shutdown of the internet as we know it
[03:40.360 --> 03:44.360]  the end of the internet as we know it that's not even my headline
[03:44.360 --> 03:50.360]  that's the type of headlines we see in the Associated Press and MSNBC
[03:50.360 --> 03:52.360]  in the Hill newspaper
[03:52.360 --> 03:54.360]  in fact you guys pull me some of those from Thursday and Friday
[03:54.360 --> 03:57.360]  I want to show viewers on there when we get to those
[03:57.360 --> 03:59.360]  I don't want to just go from memory
[03:59.360 --> 04:01.360]  thank you
[04:01.360 --> 04:05.360]  and headlines like
[04:05.360 --> 04:07.360]  new internet bill
[04:07.360 --> 04:10.360]  free speech kill switch
[04:10.360 --> 04:13.360]  saw that headline out of the Hill
[04:13.360 --> 04:19.360]  all of this is going on in fact I saw a headline in the weekly standard
[04:19.360 --> 04:23.360]  talking about the draconian attack on free speech in the internet
[04:23.360 --> 04:26.360]  and then there's a separate article out today
[04:26.360 --> 04:32.360]  attacking myself and Ron Paul out of the same publication saying we're crazy
[04:32.360 --> 04:36.360]  because we warn of tyranny
[04:36.360 --> 04:39.360]  and we warn of the military being used against the American people
[04:39.360 --> 04:42.360]  even as it's in CBS news and ABC news
[04:42.360 --> 04:46.360]  that the NDAA does affect US citizens
[04:46.360 --> 04:49.360]  and as the end of Posse commentators
[04:49.360 --> 04:54.360]  the weekly standard is saying we're basically crazy and none of this is going on
[04:54.360 --> 04:58.360]  I don't like the tanks assaulting Waco saying this is not an assault
[04:58.360 --> 05:03.360]  a very wealthy US citizen is predicting that in 2011
[05:03.360 --> 05:07.360]  we will witness the most important day in America in more than 50 years
[05:07.360 --> 05:09.360]  he says it will change everything about our lives
[05:09.360 --> 05:12.360]  the way you shop, travel, invest, educate your children
[05:12.360 --> 05:15.360]  and even how you take care of your health and your own family
[05:15.360 --> 05:18.360]  now this man has made some outrageous predictions over the years
[05:18.360 --> 05:20.360]  the crazy part is he's usually right
[05:20.360 --> 05:24.360]  you see he predicted the collapse of GM, Pannie Mae, Freddie Mac
[05:24.360 --> 05:27.360]  and America's biggest mall owner, General Growth Properties
[05:27.360 --> 05:30.360]  in fact Barron's called his work a dire prophecy
[05:30.360 --> 05:33.360]  recently he created a video which you can watch online for free
[05:33.360 --> 05:36.360]  detailing his biggest and most important prediction yet
[05:36.360 --> 05:38.360]  and it's a real eye-opener
[05:38.360 --> 05:39.360]  I can't stress this enough
[05:39.360 --> 05:41.360]  you should at least watch this free video online today
[05:41.360 --> 05:43.360]  he explains everything you need to know
[05:43.360 --> 05:46.360]  including simple steps you can take to protect yourself
[05:46.360 --> 05:50.360]  you can find the video at www.EndOfAmerica3.com
[05:50.360 --> 05:53.360]  that's End of America, the number 3.com
[05:53.360 --> 05:57.360]  watch the free video at www.EndOfAmerica3.com
[05:57.360 --> 06:14.360]  you are listening to an Infowars.com frontline report
[06:14.360 --> 06:28.360]  from deep in the heart of FEMA Region 6, Austin, Texas
[06:28.360 --> 06:34.360]  transmitting worldwide its Alex Jones
[06:34.360 --> 06:38.360]  here we are my friends we're live
[06:38.360 --> 06:42.360]  we'll be here for the next two hours as we are every Sunday afternoon
[06:42.360 --> 06:46.360]  or in the morning or in the middle of the night depending on your time zone
[06:46.360 --> 06:48.360]  where you're living in the world
[06:48.360 --> 06:52.360]  or any ships at sea tuning in to our transmission
[06:52.360 --> 06:56.360]  it is a 406 Central Standard Time
[06:56.360 --> 07:01.360]  I am broadcasting to you from deep in the heart of Texas, Austin
[07:01.360 --> 07:04.360]  as the introduction laid out
[07:04.360 --> 07:11.360]  and it is Sunday the 18th day of December 2011
[07:11.360 --> 07:18.360]  this is a very important broadcast today
[07:18.360 --> 07:21.360]  every broadcast I do the weekday show the Sunday show
[07:21.360 --> 07:23.360]  they're all very important
[07:23.360 --> 07:25.360]  they were important 17 years ago and I started out
[07:25.360 --> 07:28.360]  to try to warn people about globalization
[07:28.360 --> 07:32.360]  and this whole new order takeover system
[07:32.360 --> 07:36.360]  but now classical oppression
[07:36.360 --> 07:40.360]  classical usurpation
[07:40.360 --> 07:43.360]  the fact that our liberties are being usurped
[07:43.360 --> 07:45.360]  taken over, destroyed
[07:45.360 --> 07:47.360]  is undeniable
[07:47.360 --> 07:50.360]  and then you have to ask the question and do the research
[07:50.360 --> 07:56.360]  why is it happening and who is doing it
[07:56.360 --> 08:01.360]  my job is getting a lot easier
[08:01.360 --> 08:06.360]  it'd be basically like if you saw some kids playing on a train track
[08:06.360 --> 08:10.360]  and you walked out to them and said hey there's a train coming
[08:10.360 --> 08:14.360]  at high noon it's a bullet train travels 150 miles an hour
[08:14.360 --> 08:18.360]  you might want to get off the tracks it's really dangerous
[08:18.360 --> 08:21.360]  and they look at the old man it's three minutes to noon
[08:21.360 --> 08:25.360]  and they say I don't see any train mister
[08:25.360 --> 08:28.360]  alright I'm telling you it's gonna come over that hill here
[08:28.360 --> 08:31.360]  in just a few minutes and you'll have to jump out of the way
[08:31.360 --> 08:34.360]  it's moving so quick
[08:34.360 --> 08:37.360]  and a couple minutes later they start to hear a noise off of the distance
[08:37.360 --> 08:43.360]  and then sure enough there is the white light of its train light
[08:43.360 --> 08:46.360]  coming up over that hill going 150 miles an hour
[08:46.360 --> 08:48.360]  and will they jump out of the way of the train
[08:48.360 --> 08:50.360]  that is the question
[08:50.360 --> 08:52.360]  I've been telling you this train's coming
[08:52.360 --> 08:59.360]  and now it's barreling down the tracks right at us
[08:59.360 --> 09:01.360]  right at us
[09:01.360 --> 09:05.360]  you know I told you a decade ago that they would sell us
[09:05.360 --> 09:07.360]  the derivatives they were already selling
[09:07.360 --> 09:09.360]  they'd gotten rid of Glass-Steagall
[09:09.360 --> 09:11.360]  I guess 12 years ago I told you
[09:11.360 --> 09:13.360]  that they would implode the world economy
[09:13.360 --> 09:16.360]  first imploding Europe then Asia then the United States announced
[09:16.360 --> 09:20.360]  a new bank of the world that we would all pay our VAT and carbon taxes to
[09:20.360 --> 09:23.360]  and it wasn't because I had a crystal ball
[09:23.360 --> 09:26.360]  in my basement and I was consulting with Ouija boards
[09:26.360 --> 09:30.360]  no it was because the trilateral commission plan is public
[09:30.360 --> 09:34.360]  the State Department memorandum 200 is public
[09:34.360 --> 09:36.360]  the club of Rome's reports are public
[09:36.360 --> 09:40.360]  these globalists write books bragging to each other
[09:40.360 --> 09:42.360]  about what they're doing to us
[09:42.360 --> 09:44.360]  it's all very funny to them
[09:44.360 --> 09:47.360]  that the average male lives through other males
[09:47.360 --> 09:50.360]  that throw balls around on a field
[09:50.360 --> 09:53.360]  and doesn't actually have any real life themselves
[09:53.360 --> 09:56.360]  and just goes from work home drinks beer watches TV
[09:56.360 --> 09:59.360]  and their children are programmed by the television set
[09:59.360 --> 10:02.360]  their wives are and that is living on this planet today
[10:02.360 --> 10:05.360]  and I'm not judging people that live like that
[10:05.360 --> 10:08.360]  any more than I judge someone who's been lobotomized
[10:08.360 --> 10:12.360]  or put in under shock therapy or run over by a car
[10:12.360 --> 10:15.360]  these are victims of the social engineering
[10:15.360 --> 10:20.360]  and I've read the father of social engineering's books
[10:20.360 --> 10:23.360]  Edward Bernays I've studied Joseph Goebbels
[10:23.360 --> 10:27.360]  I know what they've done
[10:27.360 --> 10:29.360]  I know it's a conscious plan
[10:29.360 --> 10:32.360]  and I sit here saying okay this is what's going to happen next
[10:32.360 --> 10:35.360]  and here's all the documentation
[10:35.360 --> 10:39.360]  oh by the way here's a 1965 Rockefeller Foundation document
[10:39.360 --> 10:42.360]  it's up at info wars.com with links to the National Archives
[10:42.360 --> 10:44.360]  in case you don't believe it
[10:44.360 --> 10:47.360]  where they add sterilence to the vaccines and cancer viruses
[10:47.360 --> 10:51.360]  and their plan was to start reducing fertility
[10:51.360 --> 10:54.360]  and life expectancy and now you can see if that's happened
[10:54.360 --> 10:57.360]  but here's the document people are like you know that's too crazy
[10:57.360 --> 10:59.360]  that guy must be making that up
[10:59.360 --> 11:02.360]  most people at least the past would not even go to the website
[11:02.360 --> 11:05.360]  link it go read it and find out it's true
[11:05.360 --> 11:08.360]  I mean do you have children?
[11:08.360 --> 11:10.360]  are you just going to say it isn't true
[11:10.360 --> 11:12.360]  and line them up and take the vaccines
[11:12.360 --> 11:15.360]  because the government wouldn't be doing that
[11:15.360 --> 11:19.360]  kind of like 14 years ago when a nurse inside
[11:19.360 --> 11:22.360]  a department of defense lab
[11:22.360 --> 11:25.360]  and San Antonio sent me documents that for
[11:25.360 --> 11:28.360]  decades all children in the western world
[11:28.360 --> 11:31.360]  have their blood taken and put in secret databases for eugenics
[11:31.360 --> 11:34.360]  of course you know in the last four years it's national news
[11:34.360 --> 11:36.360]  I got a lot of apologies on that one
[11:36.360 --> 11:38.360]  well I gave you the documents at the time
[11:38.360 --> 11:40.360]  I got death threats over it
[11:40.360 --> 11:43.360]  I've had whistleblowers that give me information
[11:43.360 --> 11:46.360]  that end up dead repeatedly
[11:48.360 --> 11:50.360]  why am I still alive then
[11:50.360 --> 11:52.360]  I'm here awake and conscious
[11:52.360 --> 11:55.360]  and putting my life in God's hands
[11:55.360 --> 11:57.360]  and people are praying for me
[11:57.360 --> 11:59.360]  that's in the spiritual realm
[11:59.360 --> 12:01.360]  but in the temporal realm if they kill me
[12:01.360 --> 12:03.360]  and underlines everything I've said
[12:03.360 --> 12:05.360]  it highlights it in indelible
[12:05.360 --> 12:08.360]  yellow marker highlighter
[12:08.360 --> 12:10.360]  it puts a hundred a thousand
[12:10.360 --> 12:14.360]  exclamation points behind everything I've said
[12:14.360 --> 12:16.360]  but they still may
[12:16.360 --> 12:18.360]  so I'm committed
[12:18.360 --> 12:20.360]  because I know there's no future
[12:20.360 --> 12:22.360]  because I know more importantly
[12:22.360 --> 12:24.360]  that there's a world government run by the fortune 100
[12:24.360 --> 12:26.360]  I know what drives them
[12:26.360 --> 12:28.360]  their end game is not money
[12:28.360 --> 12:30.360]  and power and sex
[12:30.360 --> 12:33.360]  that's what they get the general public to sell out for
[12:35.360 --> 12:38.360]  at the highest levels these are highly
[12:38.360 --> 12:40.360]  dedicated people
[12:40.360 --> 12:42.360]  who are
[12:42.360 --> 12:44.360]  absolutely given to obsessive
[12:44.360 --> 12:46.360]  compulsive
[12:46.360 --> 12:48.360]  control freakism
[12:48.360 --> 12:50.360]  and who want their global
[12:50.360 --> 12:52.360]  takeover to be complete
[12:52.360 --> 12:54.360]  so that's why they want to dumb down the general population
[12:54.360 --> 12:56.360]  ahead of accelerated controlled
[12:56.360 --> 12:58.360]  plagues to forcibly reduce
[12:58.360 --> 13:00.360]  population by 80-90%
[13:00.360 --> 13:02.360]  as the UN club of Rome and others have stated
[13:02.360 --> 13:04.360]  and the weekly standard
[13:04.360 --> 13:06.360]  can come out and attack Ron Paul
[13:06.360 --> 13:08.360]  for coming on my show
[13:08.360 --> 13:10.360]  and talking about CIA drug dealing
[13:10.360 --> 13:12.360]  which has been in congressional reports and confirmed
[13:12.360 --> 13:14.360]  they can criticize him
[13:14.360 --> 13:16.360]  for being in the film Endgame
[13:16.360 --> 13:18.360]  where they say Jones is nuts
[13:18.360 --> 13:20.360]  he says the elite
[13:20.360 --> 13:22.360]  say they can live forever
[13:22.360 --> 13:24.360]  I'm not the crazy one
[13:24.360 --> 13:26.360]  I'm not the top globalist listed
[13:26.360 --> 13:28.360]  in the film with a bibliography
[13:28.360 --> 13:30.360]  at WhatIsTheEndgame.com
[13:30.360 --> 13:32.360]  where they say they're going to do this
[13:32.360 --> 13:34.360]  I'm not saying it's real
[13:34.360 --> 13:36.360]  I'm not saying that
[13:36.360 --> 13:38.360]  Lord Rothschild is going to attain this
[13:38.360 --> 13:40.360]  or Prince Philip
[13:40.360 --> 13:42.360]  or Prince Charles
[13:42.360 --> 13:44.360]  or
[13:44.360 --> 13:46.360]  the others
[13:46.360 --> 13:48.360]  that are in these reports
