[00:00.000 --> 00:15.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:15.000 --> 00:18.000]  Rallying Patriots worldwide.
[00:18.000 --> 00:40.000]  You're listening to the Alex Jones show.
[00:40.000 --> 00:49.000]  This is the Alex Jones show with me, Paul Joseph Watson filling in for Alex Jones on this September 28, 2014 edition.
[00:49.000 --> 00:57.000]  Huge show lined up for you. We've got several YouTube clips, a ton of news stories, many interesting issues to cover.
[00:57.000 --> 01:05.000]  Obviously I'm in Austin, Texas for the first time since 2005, my first time in Austin for nine years now.
[01:05.000 --> 01:14.000]  And one of the big stories that we're going to cover actually sprung out of me simply travelling through the airport and buying a copy of Foreign Affairs,
[01:14.000 --> 01:25.000]  which is right here, which of course is the CFR's publication, which as Hillary Clinton and others have admitted basically runs the State Department of the United States.
[01:25.000 --> 01:40.000]  And this is particularly interesting because they have basically three or four articles, they devote half of the magazine to what they call the American distemper, the land of decay and dysfunction.
[01:40.000 --> 02:00.000]  And the primary article that we're going to cover exemplifies how the elites are in a panic about the populist uprising both in the United States with the Tea Party and in Europe with the UK Independence Party and the numerous other factions across the European Union that are rebelling against the establishment.
[02:00.000 --> 02:14.000]  The key quotes out of the article, which we're going to read through, we're going to analyze, exemplify again how the elite are completely in a blind panic about the populist uprising that goes against the state system,
[02:14.000 --> 02:26.000]  the monopoly system that the globalists are trying to establish both across America and Europe with what we see now in 2016 with Hillary Clinton going up against Rand Paul in all likelihood.
[02:26.000 --> 02:45.000]  And they say directly that they need to quote, co-opt the populist uprising to kind of send this off into a rabbit hole to acknowledge the fact that people have got these concerns about national identity, about the general decline in living standards,
[02:45.000 --> 02:56.000]  and that they need to hijack that feeling of disenfranchisement that is sweeping America and sweeping Europe and send that off into a rabbit hole where it's acknowledged.
[02:56.000 --> 03:11.000]  So it's kind of diffused into elements of political engagement which never really achieves what the UK Independence Party, what the Tea Party in the United States of America are trying to accomplish.
[03:11.000 --> 03:17.000]  So we're going to cover that, that is really a huge issue because the elite are talking about it again.
[03:17.000 --> 03:26.000]  They know that most people don't buy foreign affairs because it's $9.95 to buy, it's a magazine basically, you know, $15, $16 in the US.
[03:26.000 --> 03:39.000]  So the elite are reading this, the normal average working class middle people aren't reading this and yet it's the game plan for what they see across Europe and across America in the next couple of years.
[03:39.000 --> 03:58.000]  We've also got David Cameron coming up, he did a big UN speech a couple of days ago talking about how anyone who questions the official government narrative about 7.7 or about 9.11 is basically a kin is as dangerous as an ISIS terrorist.
[03:58.000 --> 04:07.000]  Amazing clip that we've got coming up, you have to hear what David Cameron said in front of the United Nations just two or three days ago.
[04:07.000 --> 04:24.000]  And again how it ties into how they're characterizing any questioning of the government narrative on ISIS, which as we have documented with the recent spate of beheading videos is extremely suspicious, extremely questionable.
[04:24.000 --> 04:26.000]  They're very concerned about that.
[04:26.000 --> 04:39.000]  So we're going to cover that, we're going to cover the Saudis saying that the true agenda behind the attack on ISIS in Syria in Iraq is about overthrowing Assad regime change in Syria.
[04:39.000 --> 04:44.000]  We've got David Knight in studio to cover some more key issues. This is going to be a great show. Stay tuned.
[04:44.000 --> 04:57.000]  We've got numerous YouTube clips coming up. Your calls come in later. This is the Alex Jones show infowars.com. Stay right there.
[05:14.000 --> 05:24.000]  It was invented during Dr. Group's research on the toxification of our bodies. Many herbal colon cleansers are harsh on the body and contain cheap and potentially dangerous ingredients.
[05:24.000 --> 05:33.000]  Oftentimes full of synthetic fillers, GMOs, additives or worse. Gently start cleaning your body with easy capsules that start working while you sleep.
[05:33.000 --> 05:44.000]  Oxipowder does not require time off work and there's no need for bad taste and concoctions. Instead, oxypowder slowly releases monoatomic oxygen into the intestinal tract and body.
[05:44.000 --> 06:05.000]  To experience the astonishing cleansing power of superoxide and ozonide technology, go to infowarslife.com or infowarsstore.com to get started with oxypowder or call 1-888-253-3139.
[06:05.000 --> 06:29.000]  It is only fitting that a free screen should sound the alarm against those who would destroy treatment. For in its power to deceive and inflame or enlighten and inspire, the motion picture has no equal.
[06:29.000 --> 06:45.000]  This is the Alex Jones Show, the Sunday edition. I'm Paul Joseph Watson, filling in for Alex Jones.
[06:45.000 --> 07:03.000]  Riding shotgun is David Knight with some key stories about the Tokyo eruption, 160 miles west of Tokyo. We had this major volcanic eruption and of course the Hong Kong protest which had been raging over the past couple of days against the imposition of Chinese influence on Hong Kong.
[07:03.000 --> 07:05.000]  David Knight, tell us about what's coming up.
[07:05.000 --> 07:17.000]  We've got a lot of eruptions. We've got freedom eruptions in Hong Kong as well as Catalonia. That's exactly what you were just talking about in the first segment about how foreign affairs is concerned about people waking up.
[07:17.000 --> 07:26.000]  We see the independence movements and the desire for people to have more say so about government, to have more input into what's going to be done in their lives.
[07:26.000 --> 07:37.000]  We see that in Hong Kong, Beijing is saying they want to vet all the political candidates for their elections. So they're saying basically, you can have the elections. We're just going to pick which candidates you can choose from.
[07:37.000 --> 07:51.000]  Now they do that in the United States and the UK, but they're a lot more subtle about it. So when they got into people's faces there, Hong Kong was agreed to be a separate autonomous region, but it looks like they don't have that much autonomy.
[07:51.000 --> 08:02.000]  And we see the same thing happening in Catalonia where people are asking for a referendum. Actually, they have scheduled it even though Spain is saying that's not constitutional. We're not going to allow that.
