[00:00:01.667 --> 00:00:03.728]  It's Wednesday the 19th.
[00:00:03.728 --> 00:00:04.969]  I give you Hillary.
[00:00:04.969 --> 00:00:06.270]  Big Brother.
[00:00:06.270 --> 00:00:07.230]  Mainstream media.
[00:00:07.230 --> 00:00:08.051]  The Nutcracker.
[00:00:08.051 --> 00:00:09.812]  Government cover-ups.
[00:00:09.812 --> 00:00:11.372]  You want answers?
[00:00:11.372 --> 00:00:12.933]  Well, so does he.
[00:00:12.933 --> 00:00:17.135]  He's Alex Jones on the GCN Radio Network.
[00:00:17.135 --> 00:00:21.078]  And now, live from Austin, Texas, Alex Jones.
[00:00:21.078 --> 00:00:22.418]  Hillary the Nutcracker.
[00:00:22.418 --> 00:00:23.599]  Holiday cheer.
[00:00:23.599 --> 00:00:24.800]  And here it is.
[00:00:24.800 --> 00:00:26.521]  The Hillary Clinton Nutcracker.
[00:00:27.361 --> 00:00:32.504]  As you can see on the box, it says it has stainless steel thighs and cracks the toughest nuts.
[00:00:32.504 --> 00:00:35.546]  Is America ready for this nutcracker, it asks.
[00:00:35.546 --> 00:00:39.669]  And you can go to hillarynutcracker.com to find out more.
[00:00:39.669 --> 00:00:42.070]  But it's very interesting.
[00:00:42.070 --> 00:00:45.412]  Pulled it out, you can see it's got the stainless steel thighs right there.
[00:00:45.412 --> 00:00:49.575]  But there's some excellent quotes on the back, which I'll go ahead and read now.
[00:00:49.575 --> 00:00:53.998]  The directions, as President Bush likes to say, you don't have to be a rocket surgeon to use it.
[00:00:54.478 --> 00:01:00.161]  You just place the nut between the legs and squeeze, much like Hillary herself has been known to do.
[00:01:00.161 --> 00:01:05.043]  Heard on the street, I can feel Bill's pain, says Barack Obama.
[00:01:05.043 --> 00:01:10.645]  I guess the battle against the vast right-wing nut conspiracy is still on, that's from Dick Cheney.
[00:01:10.645 --> 00:01:13.827]  Why does Hillary get to have all the fun, says Nancy Pelosi.
[00:01:13.827 --> 00:01:16.968]  Hillary Nutcracker, that's redundant, from John McCain.
[00:01:16.968 --> 00:01:19.809]  I'd be getting nervous if I was one of those nut jobs, Kim Jong-il.
[00:01:21.070 --> 00:01:26.813]  I can feel the squeeze from 50 feet away, says Rudy Giuliani, and no comment from Bill Clinton.
[00:01:26.813 --> 00:01:28.954]  So there you go, the Hillary Nutcracker.
[00:01:28.954 --> 00:01:34.616]  Very interesting piece of Americana, but you know what's different about this one than most others you'll find on the web?
[00:01:34.616 --> 00:01:38.858]  This one actually talks, and it sounds a lot like Hillary.
[00:01:38.858 --> 00:01:41.039]  Just listen.
[00:01:41.039 --> 00:01:43.861]  I'm Hillary Clinton, and I approve this message.
[00:01:43.861 --> 00:01:46.122]  So Hillary, what do you like to do to terrorists?
[00:01:48.388 --> 00:01:50.450]  Let us bomb these places.
[00:01:50.450 --> 00:02:00.359]  Hillary, what do you think about the disclosures that the Pentagon has been giving tons and tons of heavy armor and weaponry to police departments around the country?
[00:02:00.359 --> 00:02:04.022]  Sometimes military action is necessary.
[00:02:04.022 --> 00:02:07.265]  What are your thoughts on Edward Snowden?
[00:02:07.265 --> 00:02:09.527]  Edward Snowden broke our laws.
[00:02:09.527 --> 00:02:12.069]  But what about all this continued NSA surveillance?
[00:02:12.069 --> 00:02:13.611]  Is there anything we can do about that?
[00:02:15.465 --> 00:02:23.409]  I think it would be shocking to most people if the United States stopped gathering information.
[00:02:23.409 --> 00:02:26.610]  That's just not the way the real world works.
[00:02:26.610 --> 00:02:31.492]  Well, Hillary, what does your husband Bill think about NSA surveillance?
[00:02:31.492 --> 00:02:34.073]  Wait, you want me to tell you what my husband thinks?
[00:02:34.073 --> 00:02:36.294]  So you ask my opinion, I will tell you my opinion.
[00:02:36.294 --> 00:02:38.635]  I'm not going to be channeling my husband.
[00:02:38.635 --> 00:02:39.796]  Do you have any jokes?
[00:02:41.912 --> 00:02:47.433]  I will try to preserve my reputation as being somewhat humorless and jokeless by not trying to tell one.
[00:02:47.433 --> 00:02:51.014]  Now, if you're going to be running for president, you're going to have to campaign in the South.
[00:02:51.014 --> 00:02:55.676]  What are you going to be saying to all those people down there below the Mason-Dixon line?
[00:02:55.676 --> 00:02:57.816]  I don't feel no ways tired.
[00:02:57.816 --> 00:03:03.698]  I've come too far from where I started from.
[00:03:03.698 --> 00:03:05.378]  Alright, now I'm going to get serious.
[00:03:05.378 --> 00:03:08.059]  How do you feel about those four Americans that were killed in Benghazi?
[00:03:09.301 --> 00:03:12.103]  What difference at this point does it make?
[00:03:12.103 --> 00:03:13.624]  I thought you would say that.
[00:03:13.624 --> 00:03:17.426]  So why do we give those terrorists the heat-seeking missiles?
[00:03:17.426 --> 00:03:19.007]  It's a constant balancing.
[00:03:19.007 --> 00:03:19.707]  What do we do?
[00:03:19.707 --> 00:03:21.948]  How far do we go?
[00:03:21.948 --> 00:03:25.510]  But isn't arming terrorists bad?
[00:03:25.510 --> 00:03:30.893]  The people we are fighting today, we funded 20 years ago.
[00:03:30.893 --> 00:03:33.935]  Don't you think that's a bit hypocritical?
[00:03:33.935 --> 00:03:35.456]  This is an inherent contradiction.
[00:03:36.383 --> 00:03:38.984]  Now Hillary, what about all the civilian deaths with drones?
[00:03:38.984 --> 00:03:42.106]  Is there anything we can do about that?
[00:03:42.106 --> 00:03:50.751]  The numbers about potential civilian casualties I take with a somewhat big grain of salt.
[00:03:50.751 --> 00:03:57.714]  What do you think about Democrats who've been distancing themselves from Jonathan Gruber's remarks when they were praising him in the past?
[00:03:57.714 --> 00:04:00.636]  What difference at this point does it make?
[00:04:00.636 --> 00:04:03.898]  And what was that you said when you heard Colonel Qaddafi had been killed?
[00:04:05.131 --> 00:04:07.332]  We came, we saw, he died.
[00:04:07.332 --> 00:04:13.676]  Do you have anything else to say to the American people before you run for president?
[00:04:13.676 --> 00:04:17.899]  But we came out of the White House not only dead broke, but in debt.
[00:04:17.899 --> 00:04:23.002]  Well as you can see, the Hillary Nutcracker is certainly full of more than just nuts, she's full of a lot of BS.
[00:04:24.104 --> 00:04:28.267]  But those stainless steel thighs are definitely a force to be reckoned with.
[00:04:28.267 --> 00:04:31.129]  Yeah, we're definitely going to put this one back in the vault where it belongs.
[00:04:31.129 --> 00:04:35.011]  So we hope Hillary doesn't run for president again.
[00:04:35.011 --> 00:04:40.895]  But I hope you enjoyed this little presentation of just looking back at some of the amazing things Hillary Clinton has had to say about certain events in the world.
[00:04:40.895 --> 00:04:43.437]  This is Rob Dew with InfoWars Nightly News.
[00:04:43.437 --> 00:04:47.880]  And if you are watching this on YouTube, please consider becoming a member of PrisonPlanet.tv.
[00:04:47.880 --> 00:04:51.742]  You can now share your username and password with up to 20 people.
[00:04:51.742 --> 00:04:53.584]  Instead of 11, we've now upgraded it to 20.
[00:04:54.205 --> 00:04:55.700]  So be sure you get your membership today!
[00:04:56.864 --> 00:04:58.465]  Alright folks, we're live on this Wednesday.
[00:04:58.465 --> 00:04:59.366]  Stay with us, we'll be right back.
[00:04:59.366 --> 00:05:02.869]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:02.869 --> 00:05:07.152]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:07.152 --> 00:05:08.934]  Can you put two and two together?
[00:05:08.934 --> 00:05:14.258]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds.
[00:05:14.258 --> 00:05:16.800]  It's reasonably priced and fully legal.
[00:05:16.800 --> 00:05:17.941]  But for how long?
[00:05:17.941 --> 00:05:24.587]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:05:24.587 --> 00:05:25.728]  Infidel Body Armor.
[00:05:26.430 --> 00:05:27.404]  Just won't quit.
[00:05:29.031 --> 00:05:33.614]  The average person's life is filled with unexpected challenges.
[00:05:33.614 --> 00:05:40.019]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:05:40.019 --> 00:05:49.425]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:05:49.425 --> 00:05:54.249]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
[00:05:58.888 --> 00:06:00.209]  The experts are clear.
[00:06:00.209 --> 00:06:07.315]  Sunlight, purified water, healthy non-GMO food, and having a good attitude is essential to a healthy immune system.
[00:06:07.315 --> 00:06:13.601]  But I go further with Super Nascent Iodine X2 from Infowarslife.com.
[00:06:13.601 --> 00:06:17.184]  50% stronger than our original and revolutionary Nascent Iodine formula.
[00:06:17.324 --> 00:06:21.527]  Coming from a deep earth crystal source that no other supplier has.
[00:06:21.527 --> 00:06:26.851]  Most other forms of iodine come from seaweed in areas plagued by Fukushima and other contaminants.
[00:06:26.851 --> 00:06:27.872]  Not our iodine.
[00:06:27.872 --> 00:06:34.216]  It comes from over 200 million year old crystal salt deposits and is tested and proven to be completely pure.
[00:06:34.216 --> 00:06:36.238]  Visit InfoWarsLife.com today.
[00:06:36.238 --> 00:06:37.819]  See the informational videos.
[00:06:37.819 --> 00:06:39.780]  Read the information there compiled.
[00:06:39.780 --> 00:06:43.683]  And for a limited time, will you use promo code NOW at checkout.
[00:06:43.783 --> 00:06:49.126]  You get an additional 5% off the entire family of InfoWarsLife.com products.
[00:06:49.126 --> 00:06:54.568]  Secure your Survival Shield X2 today at InfoWarsLife.com or call toll free 888-253-3139.
[00:06:58.823 --> 00:07:04.064]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[00:07:04.064 --> 00:07:10.386]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[00:07:10.386 --> 00:07:17.688]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:07:17.688 --> 00:07:27.590]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[00:07:28.190 --> 00:07:34.354]  Secret 12 is a binary of nutrimedical grade, bioavailable coenzyme forms of B12.
[00:07:34.354 --> 00:07:37.436]  Methylcobalamin, the same kind used in B12 injections.
[00:07:37.436 --> 00:07:39.198]  And adenosylcobalamin.
[00:07:39.198 --> 00:07:42.800]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:07:42.800 --> 00:07:44.681]  No needles, no injections.
[00:07:44.681 --> 00:07:46.322]  Don't take my word for it.
[00:07:46.322 --> 00:07:47.543]  Try it for yourself.
[00:07:47.543 --> 00:07:49.825]  Discover the secret, Secret 12.
[00:07:49.825 --> 00:07:54.988]  Secure your revolutionary Secret 12 formula right now at infowarslife.com or call 888-253-3139.
[00:08:09.535 --> 00:08:11.136]  You want answers?
[00:08:11.136 --> 00:08:12.417]  Well, so does he.
[00:08:12.417 --> 00:08:17.159]  Live, from the Infowars.com studios, it's Alex Jones.
[00:08:24.214 --> 00:08:27.077]  Ladies and gentlemen, we are broadcasting worldwide.
[00:08:27.077 --> 00:08:28.378]  We're live.
[00:08:28.378 --> 00:08:30.920]  It is the 19th day of November 2014.
[00:08:30.920 --> 00:08:36.565]  I don't normally do the classic talk show routine, but sometimes I do.
[00:08:36.565 --> 00:08:38.386]  A few times a year, maybe.
[00:08:40.009 --> 00:08:41.770]  A handful of times.
[00:08:41.770 --> 00:08:49.356]  Because I really myself want to focus in on the new year that's coming up and all the important developments that happened in 2014.
[00:08:49.356 --> 00:08:53.639]  And I want to hear your predictions for 2015.
[00:08:53.639 --> 00:09:00.483]  I don't want to do them the week of Christmas or on the eve of New Year's Eve.
[00:09:00.483 --> 00:09:04.586]  I want to start thinking about it now.
[00:09:04.586 --> 00:09:09.410]  What do you think the most important real developments are versus hype that's out there?
[00:09:10.523 --> 00:09:18.950]  I'd like to hear what you think the big diversionary story of 2014 has been so far, and what you think the big stories of the end of 2014-2015 are going to be.
[00:09:18.950 --> 00:09:22.693]  When I talk about big stories, things that are going to affect us.
[00:09:22.693 --> 00:09:26.896]  Possible expansion of NATO confrontation with Russia.
[00:09:26.896 --> 00:09:32.101]  ISIS, Al Qaeda renamed to confuse the public, striking into new countries, hitting the West.
[00:09:33.055 --> 00:09:39.900]  A race conflict in the United States being turned on high by the Democratic Party and others.
[00:09:39.900 --> 00:09:44.803]  Ferguson verdicts that can spark other chain reactions.
[00:09:44.803 --> 00:09:47.325]  GMO crops getting out of control.
[00:09:47.325 --> 00:09:51.048]  More and more studies coming out that they're obviously hurting humans.
[00:09:52.932 --> 00:09:55.035]  What's the next big shoe to drop?
[00:09:55.035 --> 00:10:05.711]  Will the globalists launch false flags somewhere in the West, like the United States or Europe, and allow ISIS to attack us, or attack us and say that ISIS did it as a pretext?
[00:10:06.829 --> 00:10:10.331]  This morning I saw two Homeland Security federal vehicles.
[00:10:10.331 --> 00:10:13.133]  One of them pulling into a Wendy's I was driving past.
[00:10:13.133 --> 00:10:18.637]  It was a DHS explosives response vehicle.
[00:10:18.637 --> 00:10:25.122]  It was a Dodge truck with a cab on the back pulling into Wendy's.
[00:10:25.122 --> 00:10:29.765]  And then I saw before that a federal police DHS vehicle.
[00:10:30.598 --> 00:10:39.366]  We're going under federalization and it's for imaginary things like just incredibly rare.
[00:10:39.366 --> 00:10:41.348]  Bombs.
[00:10:41.348 --> 00:10:43.229]  Bombing attacks.
[00:10:43.229 --> 00:10:49.455]  The only folks that have really launched real bombing attacks in this country are the mentors of the current president.
[00:10:50.450 --> 00:10:59.996]  Oklahoma City was 100% proven stage false flag to blame the proto-Tea Party, the libertarian conservative movement that was trying to get us out of the UN and things.
[00:10:59.996 --> 00:11:07.520]  And Oklahoma had just passed a resolution six months before to do that, was going for open carry and leading the country in true Americana.
[00:11:07.520 --> 00:11:09.842]  So they got hit by Clinton and his people.
[00:11:10.362 --> 00:11:11.402]  I'm not going to recap that.
[00:11:11.402 --> 00:11:16.605]  I've made a film, been in other films, had the police officers on that saw the bombs.
[00:11:16.605 --> 00:11:27.630]  We have the hotel receipts of the FBI team that was there and said they weren't, that were then seen by witnesses in the building planting the bombs.
[00:11:27.630 --> 00:11:32.692]  We know they were on other false flags like Fast and Furious and got caught with their pants down as well.
[00:11:34.130 --> 00:11:38.432]  So these are the real issues that a politicized FBI has been caught doing.
[00:11:38.432 --> 00:11:52.420]  I'm not even saying it's the whole FBI, because it changes politically depending on who's in control of it, but it's certain cells in the FBI and the CIA and other agencies working with other cells in the Justice Department right out of the White House.
[00:11:52.420 --> 00:11:59.664]  Kind of like we learned there were different cells operating out of the CIA, FBI, with the White House, with the whole Iran-Contra situation.
[00:12:00.764 --> 00:12:04.645]  The whole thing with Nixon and the plumbers and Watergate.
[00:12:04.645 --> 00:12:07.046]  I mean, we know how this works.
[00:12:07.046 --> 00:12:09.406]  So what's the next big shoe to drop?
[00:12:09.406 --> 00:12:17.348]  Obviously, my reporters have been up there for four days in Ferguson, outside Missouri, freezing their butts off.
[00:12:17.348 --> 00:12:21.590]  We have a lot of news coming up today about DHS massing and a lot more.
[00:12:21.590 --> 00:12:22.970]  That'll be at the bottom of the third hour.
[00:12:24.500 --> 00:12:32.202]  We also have, from the Hagman Report, Doug Hagman joining us to get into a host of important issues in the second hour.
[00:12:32.202 --> 00:12:44.106]  But I want to open the phones up throughout this Wednesday edition as we cover a lot of important economic news, you name it, and to take your phone calls.
[00:12:44.106 --> 00:12:51.208]  Here is this story by Paul Joseph Watson that just went up on InfoWars.com.
[00:12:54.392 --> 00:13:03.674]  And it ties into a story from November 6th, going back about two weeks ago, Obama caught ordering press to cover up Ebola.
[00:13:03.674 --> 00:13:09.616]  Pharmacologist reveals, who writes for Forbes, how press has bowed to government demand to keep Americans in the dark.
[00:13:09.616 --> 00:13:16.398]  He was at the official Duke University Ebola response with the head of the CDC.
[00:13:17.398 --> 00:13:27.782]  And David Kroll revealed that they all got together in a meeting and admitted with the AP and others that there was an order, an order from the government to cover up people being disappeared who appeared to have Ebola.
[00:13:27.782 --> 00:13:39.586]  Now, we've had a medical doctor on, Lorenzi out of Missouri, who named the hospitals and the places that people were bleeding out, they believed they had Ebola and they were disappeared and taken out of the records.
[00:13:40.543 --> 00:13:43.465]  That was not ever investigated by the mainstream media.
[00:13:43.465 --> 00:13:44.305]  It went on.
[00:13:44.305 --> 00:13:46.887]  We have other medical doctor sources.
[00:13:46.887 --> 00:13:49.528]  Gucciardi two weeks ago went to Dallas to investigate.
[00:13:49.528 --> 00:13:55.772]  The doctors were all totally scared and believe they're going to get in trouble when this all comes out six months a year down the road.
[00:13:55.772 --> 00:14:00.055]  And the government will hang them out to dry for going along with the cover-ups.
[00:14:00.055 --> 00:14:07.479]  We're talking to heads of hospitals who feel liable for the cover-up.
[00:14:07.479 --> 00:14:08.500]  It's going on.
[00:14:09.859 --> 00:14:30.216]  I was thinking about it this morning when I got up early and saw Paul Watson's article on Infowars.com at like 6.30 this morning, this new article, and I just thought how surreal it is that because the mainstream media is not covering it, a lot of my reporters aren't even covering it.
[00:14:30.216 --> 00:14:31.717]  I mean, it just shows the effect.
[00:14:31.717 --> 00:14:32.658]  I've not been covering it.
[00:14:34.389 --> 00:14:36.552]  I mean, last week I told Gucciardi, I said, write an article about that.
[00:14:36.552 --> 00:14:37.714]  And he goes, yeah, but the doctors are scared.
[00:14:37.714 --> 00:14:39.757]  And I said, don't say the names of the hospitals, just do it.
[00:14:39.757 --> 00:14:41.839]  And he goes, yeah, but it's not in the news.
[00:14:41.839 --> 00:14:44.263]  I know that that's the whole point.
[00:14:44.263 --> 00:14:45.424]  That's why he went to Dallas.
[00:14:45.424 --> 00:14:47.968]  So I'm going to get Anthony, I think, in here tomorrow.
[00:14:49.332 --> 00:14:52.815]  I want to schedule him in here for at least 30 minutes tomorrow.
[00:14:52.815 --> 00:14:54.857]  Let's get that set up right now.
[00:14:54.857 --> 00:15:01.643]  He'll get his notes together, write an article today that goes out tomorrow morning, and we'll just categorize all this because here's Paul Watson's new article.
[00:15:01.643 --> 00:15:05.627]  Now remember, you had multiple people fly in from New York bleeding out.
[00:15:06.644 --> 00:15:09.327]  Out of West Africa, and they're disappeared.
[00:15:09.327 --> 00:15:16.175]  You have somebody dying on a plane, vomiting blood, and before they even check him, they announce he doesn't have Ebola.
[00:15:16.175 --> 00:15:17.616]  You got people dying in Houston.
[00:15:17.616 --> 00:15:20.520]  You got weird deaths in Dallas.
[00:15:20.520 --> 00:15:26.967]  You've got all this weird stuff going on, and the feds show up, and then, no, no, no, that's not what happened here.
[00:15:28.609 --> 00:15:31.251]  Well, here's Paul Watson's latest article.
[00:15:31.251 --> 00:15:36.436]  NYC woman on Ebola watch list dies bleeding from mouth.
[00:15:36.436 --> 00:15:39.519]  Authorities say heart attack.
[00:15:39.519 --> 00:15:41.621]  Did you hear that?
[00:15:41.621 --> 00:15:47.647]  New York City woman on Ebola watch list dies bleeding from mouth.
[00:15:47.647 --> 00:15:49.428]  Authorities say heart attack.
[00:15:50.419 --> 00:15:53.060]  Our suspected Ebola case is being covered up.
[00:15:53.060 --> 00:16:04.062]  A woman who returned from Guyana 18 days ago and was on an Ebola monitoring list dropped dead in a Brooklyn hair salon yesterday after eyewitnesses said she began bleeding from the mouth and nose.
[00:16:04.062 --> 00:16:08.223]  But authorities later asserted the case of death was an apparent heart attack.
[00:16:08.223 --> 00:16:10.344]  Maybe it is.
[00:16:10.344 --> 00:16:15.525]  But it just keeps happening and happening and happening to people on the list.
[00:16:16.653 --> 00:16:29.000]  The fire department in New York activated the special operations and hazmat units after the woman who had traveled to Guyana three weeks ago, according to the sources of the scene, died at aiming professional African hair braiding.
[00:16:30.441 --> 00:16:41.046]  In the Brownsville area, Brooklyn, reports the Daily Mail, despite eyewitnesses reporting that there was blood coming from the woman's face, nose and mouth when authorities claimed she had not displayed any Ebola symptoms.
[00:16:41.046 --> 00:16:43.007]  See, it's also the signs of lying.
[00:16:43.007 --> 00:16:45.368]  Why don't you say the heart attack made her bleed out of the nose and mouth?
[00:16:45.368 --> 00:16:50.810]  No, they just say no blood, but the witnesses say there's blood everywhere, and had in fact died of a heart attack.
[00:16:50.810 --> 00:16:55.132]  The woman, who was in her 40s, is being tested for Ebola, the results of which will be announced later today.
[00:16:56.510 --> 00:16:57.571]  Now let's just stop right there.
[00:16:57.571 --> 00:17:03.256]  In the video, the hazmat crews and all the rest of it, and what happened at the Harris Salon and the eyewitnesses is on Infowars.com.
[00:17:03.256 --> 00:17:05.418]  But just don't believe Infowars.com.
[00:17:05.418 --> 00:17:14.226]  Here's the Forbes article, Liberian traveler at Duke Hospital negative for Ebola.
[00:17:14.226 --> 00:17:16.368]  And you read it and it's buried in the article.
[00:17:16.368 --> 00:17:19.511]  They go, oh yeah, we were told to cover up what appears to be Ebola in the country.
[00:17:19.511 --> 00:17:22.954]  That's the issue, is the order of the cover-up, and why would the media
[00:17:23.945 --> 00:17:24.706]  Go along with that.
[00:17:24.706 --> 00:17:26.428]  That is very newsworthy.
[00:17:26.428 --> 00:17:28.450]  Now, I hope Ebola isn't spreading.
[00:17:28.450 --> 00:17:31.152]  I live here.
[00:17:31.152 --> 00:17:34.035]  I'm not saying it's going to be some huge epidemic or pandemic.
[00:17:34.035 --> 00:17:39.000]  All I know is they're letting people in as the numbers increase in Africa.
[00:17:39.000 --> 00:17:44.887]  And notice how the Ebola story, once this new czar got in control, is known for media cover-ups.
[00:17:44.887 --> 00:17:46.929]  You don't even hear about the escalation of deaths in Africa.
[00:17:47.864 --> 00:17:49.644]  You don't hear about people flying in now.
[00:17:49.644 --> 00:17:52.265]  It's just off the radar.
[00:17:52.265 --> 00:18:08.429]  One one-hundredth of the Ebola news there was, overnight, starting three, four weeks ago, when people got upset and were making it political and saying, control our borders, control the flights coming in, all these other countries banned it, governors said stuff, and the order went out, hey,
[00:18:10.794 --> 00:18:11.574]  There's no Ebola.
[00:18:11.574 --> 00:18:12.394]  We're Ebola-free.
[00:18:12.394 --> 00:18:14.975]  A surgeon just died over the weekend who had Ebola.
[00:18:14.975 --> 00:18:17.076]  But that doesn't matter in the U.S.
[00:18:17.076 --> 00:18:17.536]  Doesn't matter.
[00:18:17.536 --> 00:18:18.736]  There's no Ebola.
[00:18:18.736 --> 00:18:21.297]  And you can keep your doctor if you like your doctor.
[00:18:21.297 --> 00:18:24.698]  And it's going to cut your health care in half to the cost of a phone bill.
[00:18:24.698 --> 00:18:26.879]  And raising the debt limit doesn't raise the debt limit.
[00:18:26.879 --> 00:18:29.080]  And you didn't build your business.
[00:18:29.080 --> 00:18:33.081]  And Obama doesn't know Gruber, even though he knows Gruber and says he's the main architect.
[00:18:33.885 --> 00:18:36.386]  And there are no death panels, even though there are death panels.
[00:18:36.386 --> 00:18:39.247]  And we don't want your guns, even though we want to ban your guns.
[00:18:39.247 --> 00:18:53.191]  I mean, this is a known group of liars, folks, that killed thousands of Mexicans and hundreds of Americans, including at least six police officers, you count the Border Patrol, in shipping guns to Mexico and got caught.
[00:18:53.191 --> 00:18:57.092]  And giving heat-seeking missiles to Al-Qaeda and everything else in Benghazi.
[00:18:57.092 --> 00:18:59.253]  You can't trust anything that comes out of their mouths.
[00:19:00.885 --> 00:19:02.586]  That's all I'm getting at here.
[00:19:02.586 --> 00:19:03.907]  And everybody seems to know that.
[00:19:03.907 --> 00:19:08.229]  It's almost passé that I'm even on air now.
[00:19:08.229 --> 00:19:10.411]  It was so radical years ago to talk like this.
[00:19:10.411 --> 00:19:14.293]  Now it's just like, OK, yeah, there's cancer viruses in the vaccines.
[00:19:14.293 --> 00:19:17.775]  OK, GMO kills lab rats and the honeybees.
[00:19:17.775 --> 00:19:21.458]  OK, well, I want to hear from you what you think the biggest
[00:19:24.082 --> 00:19:27.323]  And the next big shoe to drop is the next big balloon.
[00:19:27.323 --> 00:19:28.564]  What are you most concerned about?
[00:19:28.564 --> 00:19:33.526]  Because by having a debate about it, we can get ready for it, draw attention to it, maybe stop it.
[00:19:33.526 --> 00:19:34.766]  Toll-free number to join us, 800-259-9231.
[00:19:34.766 --> 00:19:34.806]  800-259-9231.
[00:19:43.823 --> 00:19:48.488]  We also have the special report Hillary Clinton talking nutcracker tells all.
[00:19:48.488 --> 00:19:51.872]  It's a real jewel by news director Rob Dew.
[00:19:51.872 --> 00:19:54.795]  I suggest everyone go to InfoWars.com and watch it right now.
[00:19:54.795 --> 00:19:57.778]  We're going to post it on Facebook and Real Alex Jones on Twitter.
[00:19:58.959 --> 00:20:04.562]  This holiday season, give the gift that keeps on giving, an in-home freeze dryer from Harvest Right.
[00:20:04.562 --> 00:20:09.184]  With your very own freeze dryer, you'll be able to freeze dry the food your family loves.
[00:20:09.184 --> 00:20:20.450]  Because we live in uncertain, difficult times, what better way to show your love for your family than to buy them a gift that helps them preserve food they can use now or in 25 years.
[00:20:20.450 --> 00:20:25.232]  Go to HarvestRight.com and find out how you can get your in-home freeze dryer.
[00:20:25.232 --> 00:20:26.573]  Layaway is available.
[00:20:26.573 --> 00:20:28.134]  That's HarvestRight.com.
[00:20:29.042 --> 00:20:29.862]  This is Dan Pilla.
[00:20:29.862 --> 00:20:31.643]  Do you have the IRS money you can't pay?
[00:20:31.643 --> 00:20:33.284]  Are tax debts crippling you?
[00:20:33.284 --> 00:20:36.125]  I've defended people from the IRS for over 30 years.
[00:20:36.125 --> 00:20:38.406]  I've helped thousands and I can help you too.
[00:20:38.406 --> 00:20:42.908]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[00:20:42.908 --> 00:20:46.850]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:20:46.850 --> 00:20:50.632]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:20:50.632 --> 00:20:51.072]  Call 800-34-NO-TAX.
[00:20:51.072 --> 00:20:52.693]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:20:58.297 --> 00:21:01.600]  Cells become toxic, they die early, and aging sets in.
[00:21:01.600 --> 00:21:09.826]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:21:09.826 --> 00:21:15.210]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:21:15.210 --> 00:21:17.731]  You want the best that's out there at the lowest price anywhere?
[00:21:17.731 --> 00:21:19.813]  We now have the synergistic solution.
[00:21:19.813 --> 00:21:24.016]  Secure your DNA force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:21:27.837 --> 00:21:38.381]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[00:21:38.381 --> 00:21:44.823]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:21:44.823 --> 00:21:47.164]  I jump out of bed ready to fight these criminals every day.
[00:21:47.164 --> 00:21:50.245]  I look forward to waking up and taking my super male vitality.
[00:21:50.245 --> 00:21:57.087]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:21:57.367 --> 00:22:00.528]  Americans, prepare for financial ruin.
[00:22:00.528 --> 00:22:04.750]  That is what one of the world's richest men, Donald Trump, said just a few weeks ago.
[00:22:04.750 --> 00:22:06.270]  What are you doing to prepare?
[00:22:06.270 --> 00:22:09.932]  The problems that caused the last financial crisis were never fixed.
[00:22:09.932 --> 00:22:11.512]  In fact, they're even worse now.
[00:22:11.512 --> 00:22:12.953]  The total amount of debt in the U.S.
[00:22:12.953 --> 00:22:16.534]  has grown by more than 57% since September 2008.
[00:22:16.534 --> 00:22:19.435]  The too-big-to-fail banks are much larger
[00:22:19.935 --> 00:22:29.002]  And the massive derivatives bubble is spiraling so far out of control that the only thing left to do is watch the spectacular crash landing that is inevitably coming.
[00:22:29.002 --> 00:22:37.488]  If you're a baby boomer with retirement funds, it's time you consider exiting the Wall Street casino and start a cash-flowing international business of your own.
[00:22:37.488 --> 00:22:43.953]  There may be ways to preserve your wealth, but history has shown that few things can grow your wealth like having your own business.
