[00:00:00.009 --> 00:00:06.016]  I want to touch on a story that was mentioned very briefly during the Alex Jones program today.
[00:00:06.016 --> 00:00:18.450]  I think this is very, very telling, and that is Pat Tillman's parents now coming out and speaking actively against George W. Bush and the military that recruited her son.
[00:00:18.450 --> 00:00:19.311]  He volunteered.
[00:00:20.248 --> 00:00:34.856]  Now, of course, most of you know Pat Tillman was a star in the National Football League, signed up to make millions of dollars with the Arizona Cardinals, and became the poster boy for recruitment in this international war on terrorism.
[00:00:34.856 --> 00:00:38.939]  The poster boy for, quote, patriotism, unquote.
[00:00:38.939 --> 00:00:43.781]  That would be used in the same way, shape, and form as, well, the Patriot Act.
[00:00:43.781 --> 00:00:46.503]  That's what we call double-speak, or news-speak.
[00:00:48.346 --> 00:00:49.126]  Right out of the book 1984.
[00:00:49.126 --> 00:00:59.231]  The former NFL player Pat Tillman was killed roughly just almost a year ago today in Afghanistan.
[00:00:59.231 --> 00:01:06.174]  He was a corporal and an army ranger fighting in Afghanistan apparently looking for Osama Bin Laden.
[00:01:07.774 --> 00:01:20.043]  His family is now lashing out against the Army, saying the military's investigations into Tillman's friendly fire death in Afghanistan last year were a sham, and that Army's efforts to cover up the truth have made it harder for them to deal with this loss.
[00:01:21.864 --> 00:01:37.757]  More than a year after their son was shot several times by fellow Army Rangers in a craggy hillside near the Pakistani border, Tillman's mother and father said in interviews that they believe the military and the government created a heroic tale about how their son died to foster a patriotic response across the country.
[00:01:37.757 --> 00:01:46.344]  They say that the Army's lies about what happened made them suspicious, and that they are certain they'll never get the full story.
[00:01:46.983 --> 00:01:51.784]  They say Pat had very high ideals about the country and that's why he did what he did.
[00:01:51.784 --> 00:01:59.126]  That's why he went out and refused the millions of dollars and joined the army to fight the international war on terrorism.
[00:01:59.126 --> 00:02:00.866]  They say the military let them down.
[00:02:00.866 --> 00:02:02.426]  The administration let them down.
[00:02:02.426 --> 00:02:05.627]  They say it was a sign of disrespect.
[00:02:05.627 --> 00:02:12.628]  The fact that he was the ultimate team player and he watched as his own men killed him is absolutely heartbreaking and tragic.
[00:02:12.628 --> 00:02:15.409]  The fact that they lied about it afterwards was disgusting.
