[00:00.000 --> 00:22.000]  The
[00:22.000 --> 00:28.000]  designed, engineered, demolition of modern free
[00:28.000 --> 00:32.000]  society is here. It is laid out in the
[00:32.000 --> 00:34.000]  United Nations Sustainable Development
[00:34.000 --> 00:43.000]  Agenda at uon.org.
[00:43.000 --> 00:45.000]  And so is the battle plan with the United
[00:45.000 --> 00:47.000]  Nations Bill and Melinda Gates and John
[00:47.000 --> 00:51.000]  Hopkins who run the entire attack. Every
[00:51.000 --> 00:53.000]  word of it all planned out right here in
[00:53.000 --> 00:57.000]  their own words.
[00:57.000 --> 00:59.000]  That was all just back in October and
[00:59.000 --> 01:02.000]  November they were getting it all lined
[01:02.000 --> 01:06.000]  up and they're getting something else all
[01:06.000 --> 01:08.000]  lined up when they believe they're going to
[01:08.000 --> 01:11.000]  take Trump out by assassination or by
[01:11.000 --> 01:14.000]  a stolen election. Then they are going to
[01:14.000 --> 01:17.000]  have their moles still fill the major
[01:17.000 --> 01:22.000]  federal agencies begin to arrest all of
[01:22.000 --> 01:25.000]  the opposition in the military and in the
[01:25.000 --> 01:29.000]  media. And then the martial law that you
[01:29.000 --> 01:32.000]  have been put under will never end. This
[01:32.000 --> 01:34.000]  is the end of America ladies and gentlemen
[01:34.000 --> 01:36.000]  and the communist Chinese takeover and the
[01:36.000 --> 01:39.000]  average American is quite frankly so asleep
[01:39.000 --> 01:43.000]  and so docile and so programmed to submit
[01:43.000 --> 01:47.000]  that looks like the country is over and the
[01:47.000 --> 01:49.000]  leftist and the universities and all the
[01:49.000 --> 01:51.000]  oppression is going to get so nightmarish
[01:51.000 --> 01:57.000]  that it's really sad but that's just the
[01:57.000 --> 02:01.000]  way it is. I mean hell we say that 62
[02:01.000 --> 02:03.000]  million babies weren't humans and killed
[02:03.000 --> 02:05.000]  them. Now he like evicted pedophiles
[02:05.000 --> 02:07.000]  openly with federal funding I have
[02:07.000 --> 02:09.000]  drag Queen story time with your children.
[02:09.000 --> 02:14.000]  So it's just who we are. Now the problem
[02:14.000 --> 02:16.000]  is there is still be a large minority of
[02:16.000 --> 02:18.000]  Americans of every race color and creed
[02:18.000 --> 02:21.000]  aren't going to go along with this but
[02:21.000 --> 02:25.000]  unless there is a giant awakening now and
[02:25.000 --> 02:28.000]  a total understanding of this fraud we
[02:28.000 --> 02:31.000]  don't have a snowball chance at hell. We
[02:31.000 --> 02:33.000]  woke the world up. Globalism was in
[02:33.000 --> 02:35.000]  trouble. Freedom brought prosperity. We
[02:35.000 --> 02:37.000]  were turning the tide. The Chinese spies
[02:37.000 --> 02:39.000]  were being arrested and then the deep
[02:39.000 --> 02:41.000]  state that actually set up the communist
[02:41.000 --> 02:43.000]  Chinese the Rockefeller Foundation who
[02:43.000 --> 02:46.000]  actually ran the whole lockstep program
[02:46.000 --> 02:48.000]  with Bill Melinda Gates. I mentioned
[02:48.000 --> 02:50.000]  public programs to release a bio weapon
[02:50.000 --> 02:52.000]  and bring in martial law. They're
[02:52.000 --> 02:55.000]  openly saying that they're going to
[02:55.000 --> 02:57.000]  forcibly inoculate you and I told you
[02:57.000 --> 02:59.000]  this day one. Bill Melinda Gates have
[02:59.000 --> 03:00.000]  already patented the vaccine for a
[03:00.000 --> 03:02.000]  weaponized chimera COVID-19. It's
[03:02.000 --> 03:04.000]  already ready. They just want to make you
[03:04.000 --> 03:06.000]  beg for it and plead for it and show
[03:06.000 --> 03:08.000]  that it doesn't look super obvious they
[03:08.000 --> 03:10.000]  already have it ready but they actually patented
[03:10.000 --> 03:12.000]  it two years ago. They patented a bunch
[03:12.000 --> 03:14.000]  of other ones last year through different
[03:14.000 --> 03:16.000]  sub companies that they fund. I was
[03:16.000 --> 03:18.000]  reporting this 12 weeks ago. Also,
[03:18.000 --> 03:21.000]  what's left of US intelligence and the
[03:21.000 --> 03:23.000]  Five Eyes desperately now realizing the
[03:23.000 --> 03:26.000]  setup have come out and confirmed it's
[03:26.000 --> 03:28.000]  a bio weapon out of Wuhan a total chimera.
[03:28.000 --> 03:31.000]  AP Reuters all counter struck saying
[03:31.000 --> 03:35.000]  not even countering the report. It's
[03:35.000 --> 03:37.000]  just saying there's conspiracy theorists.
[03:37.000 --> 03:39.000]  They're racist. If you hear someone say
[03:39.000 --> 03:41.000]  it's man-made or China's bad, they're
[03:41.000 --> 03:44.000]  evil. And the nightly news is you know
[03:44.000 --> 03:46.000]  running Chinese communist Lego movie
[03:46.000 --> 03:50.000]  memes saying America's bad except I
[03:50.000 --> 03:52.000]  saw ABC News actually come out and
[03:52.000 --> 03:54.000]  report on the unanimous Five Eyes
[03:54.000 --> 03:57.000]  saying that it was a bio weapon out of
[03:57.000 --> 04:00.000]  the Wuhan lab. Now we have the author of
[04:00.000 --> 04:04.000]  the US law on bio weapons and a guy that
[04:04.000 --> 04:06.000]  prosecutes dictators joining us the
[04:06.000 --> 04:08.000]  start of the next hour. He came out
[04:08.000 --> 04:12.000]  first in February here and said it's
[04:12.000 --> 04:14.000]  a bio weapon out of the Wuhan lab and
[04:14.000 --> 04:17.000]  it's a chimera. Dr. Francis Boyle
[04:17.000 --> 04:19.000]  that's now been confirmed. I don't need
[04:19.000 --> 04:21.000]  to have US intelligence tell me that
