[00:00:00.000 --> 00:00:27.760]  InfoWars, tomorrow's news today.
[00:00:27.760 --> 00:00:33.440]  The Russian Foreign Ministry is claiming that the U.S. and Russia are now in a hot phase
[00:00:33.440 --> 00:00:40.400]  of the war, and implores the U.S. to resume some kind of dialogue, but NATO is not interested
[00:00:40.400 --> 00:00:42.000]  in peace talks.
[00:00:42.000 --> 00:00:48.280]  The U.K. is sending depleted uranium, and the U.S. is continuing its Biolabs program
[00:00:48.280 --> 00:00:49.800]  in Ukraine.
[00:00:49.800 --> 00:00:56.160]  The largest military air exercise in NATO history is scheduled for this summer.
[00:00:56.160 --> 00:01:00.760]  They have to call it an exercise, otherwise NATO would have to admit that they are at
[00:01:00.760 --> 00:01:02.560]  war with Russia.
[00:01:02.560 --> 00:01:08.560]  Starting next month, thousands of NATO troops will create a united front in Europe against
[00:01:08.560 --> 00:01:09.940]  Russia.
[00:01:09.940 --> 00:01:16.400]  The U.S. has been exposed for destroying the Nord Stream 2 pipeline, and America's facade
[00:01:16.400 --> 00:01:19.460]  of a moral high ground is quickly fading.
[00:01:19.460 --> 00:01:23.480]  The Pentagon leaks say that Ukraine is losing the war.
[00:01:23.480 --> 00:01:28.360]  Both sides have threatened the nuclear option, and the Ukrainians have already attacked
[00:01:28.360 --> 00:01:30.320]  a nuclear power plant.
[00:01:30.320 --> 00:01:35.480]  We are one desperate action away from a nuclear war with Russia.
[00:01:35.480 --> 00:01:41.560]  China is now simulating precision strikes on key targets on Taiwan, and the moment they
[00:01:41.560 --> 00:01:45.140]  invade, the U.S. will go to war with China.
[00:01:45.140 --> 00:01:50.880]  The Uniparty and the media have been focusing on China for several weeks now, and U.S. Senator
[00:01:50.880 --> 00:01:55.240]  Lindsey Graham is already prepared to start sending troops.
[00:01:55.240 --> 00:01:59.940]  But the Department of Defense is warning that the U.S. doesn't have enough munitions
[00:01:59.940 --> 00:02:01.280]  to fight China.
[00:02:01.280 --> 00:02:07.560]  The millions of rounds of ammunition that the U.S. has sent to Ukraine has drained stockpiles,
[00:02:07.560 --> 00:02:14.000]  which will take years to replenish, making it an opportune moment for the CCP to invade.
[00:02:14.240 --> 00:02:20.960]  Days after Xi Jinping brokers a peace deal between Iran and Saudi Arabia, rocket attacks
[00:02:20.960 --> 00:02:24.720]  are launched at Israel from multiple locations.
[00:02:24.720 --> 00:02:31.480]  Last week in response, Israel launched attacks against Lebanon, Gaza, and Syrian military
[00:02:31.480 --> 00:02:32.480]  targets.
[00:02:32.480 --> 00:02:38.200]  The Jerusalem Post is calling it a multi-front Middle East war against Israel, and claim
[00:02:38.200 --> 00:02:40.760]  that Iran is behind the attacks.
[00:02:40.760 --> 00:02:44.040]  Israel has been calling up battalions of reservists.
[00:02:44.040 --> 00:02:48.620]  The Iranians are reportedly preparing to attack Israeli ships sailing through the Persian
[00:02:48.620 --> 00:02:51.280]  Gulf and the Arabian Sea.
