[00:00:11.113 --> 00:00:13.374]  He never gives up.
[00:00:13.374 --> 00:00:19.975]  He's Alex Jones, broadcasting from deep in the heart of Texas, worldwide.
[00:00:19.975 --> 00:00:34.978]  And why would I give up when history shows, it's always darkest before the dawn, that freedom ends up prevailing time and time again when good men and women take action.
[00:00:36.658 --> 00:00:48.502]  We've come from 95% of people 20 years ago not knowing the Federal Reserve was private, to the national polls now over 95% want it audited or want it abolished.
[00:00:48.502 --> 00:00:52.944]  Most Americans know that the globalists created ISIS and Al Qaeda.
[00:00:52.944 --> 00:00:58.406]  Most Americans know that there's a private corporate world government, that globalism is a tyrannical system.
[00:00:59.838 --> 00:01:15.867]  We've come from being laughed at now to having a president in the White House, and other populist free marketeers are getting elected across the globe, and the enemy's fighting back, but we're not giving in, we're not giving up, we just got started.
[00:01:15.867 --> 00:01:18.729]  So this is the Great Animating Contest of Liberty.
[00:01:18.729 --> 00:01:20.830]  It is Sunday, the 17th day of September 2017.
[00:01:24.326 --> 00:01:30.311]  We're going to be live here for the next two hours, as we are every Sunday, Lord willing, 4 to 6 p.m.
[00:01:30.311 --> 00:01:31.572]  Central.
[00:01:31.572 --> 00:01:34.554]  Re-aired on stations across the country.
[00:01:34.554 --> 00:01:42.661]  I've been up here for four hours, and I was up all last night, basically.
[00:01:42.661 --> 00:01:49.566]  Went to bed at about 10 o'clock at night, got up at 2 in the morning, and did research right through until I took a nap at about 10 a.m.
[00:01:49.566 --> 00:01:49.967]  this morning.
[00:01:51.363 --> 00:01:53.524]  Because the quickening is accelerating.
[00:01:53.524 --> 00:01:55.525]  The news is also important.
[00:01:55.525 --> 00:01:57.765]  How could you turn away from it?
[00:01:57.765 --> 00:02:07.829]  I mean, I'm bouncing my baby daughter on my knee while I watch video clips and read news as it breaks with reporters live on the ground, not just here in the U.S., but around the world.
[00:02:07.829 --> 00:02:08.129]  Wow!
[00:02:08.129 --> 00:02:13.271]  If you're a TV viewer, you could see this great arrangement of news here.
[00:02:13.271 --> 00:02:17.253]  We're going to cover it all when we come back, and I'm going to try to be as focused as I can.
[00:02:17.253 --> 00:02:18.253]  So thanks for putting up with me.
[00:02:22.418 --> 00:02:30.842]  There is obviously times that try folks souls, ladies and gentlemen, and we are definitely in those right now.
[00:02:30.842 --> 00:02:33.163]  Look at this stack of news.
[00:02:33.163 --> 00:02:33.723]  The U.S.
[00:02:33.723 --> 00:02:38.525]  Ambassador to the U.N., Haley, North Korea will be destroyed, close quote, or the U.S.
[00:02:38.525 --> 00:02:40.226]  has to defend itself.
[00:02:40.226 --> 00:02:43.167]  But the full statement, she made her even more chilling.
[00:02:43.167 --> 00:02:44.128]  We're going to get into all that.
[00:02:45.404 --> 00:02:48.166]  North Korea is secretly building a nuclear submarine.
[00:02:48.166 --> 00:02:56.271]  I'm really worried about them having disasters like their test site caving in and these idiots that can't even build a car being given nuclear reactors by the globalists.
[00:02:56.271 --> 00:03:00.914]  I mean, that's like giving a dirty commie a nuclear reactor.
[00:03:00.914 --> 00:03:08.118]  British Prime Minister Trump has done good for Europe but can be a challenge, yes, being politically correct.
[00:03:08.118 --> 00:03:10.320]  Donald Trump calls Kim Jong-un the rocket man.
[00:03:12.119 --> 00:03:14.361]  Shot a new missile over Japan.
[00:03:14.361 --> 00:03:16.082]  Meanwhile, London.
[00:03:16.082 --> 00:03:18.944]  Soldiers drafted an extra armed police on the streets.
[00:03:18.944 --> 00:03:22.968]  Mays declared martial law for the first time.
[00:03:22.968 --> 00:03:27.911]  But she's going to leave the borders open to Muslims to pour in.
[00:03:27.911 --> 00:03:38.480]  But then have police with machine guns on every corner so they can respond after another jihadi stabs somebody, shoots somebody, runs over somebody, throws acid in somebody's face, and then the BBC can have
[00:03:39.690 --> 00:03:45.197]  Special cosmetic shows on how to deal with an acid attack as they're having like a couple hundred a month now.
[00:03:45.197 --> 00:03:50.945]  They always yell Allah Akbar.
[00:03:50.945 --> 00:03:54.349]  So we've got that report.
[00:03:54.349 --> 00:03:56.232]  Also, Venezuela.
[00:03:57.719 --> 00:04:03.220]  Has fully collapsed and has now added a cherry on top saying they're going to dump the dollar.
[00:04:03.220 --> 00:04:04.640]  So that's now happened.
[00:04:04.640 --> 00:04:06.320]  Dumping the petrodollar.
[00:04:06.320 --> 00:04:08.241]  And then a big report I'm going to get into.
[00:04:08.241 --> 00:04:11.021]  This is up on InfoWars.com.
[00:04:11.021 --> 00:04:15.202]  High-ranking CIA agent blows the whistle on deep state shadow government.
[00:04:15.202 --> 00:04:16.322]  He's working with William Benning.
[00:04:16.322 --> 00:04:20.903]  This is one of the highest level CIA whistleblowers on the criminal deep state.
[00:04:20.903 --> 00:04:23.923]  Now it's controlled by the private shadow government ever.
[00:04:23.923 --> 00:04:26.904]  Hillary Clinton did a book signing in a toilet paper aisle.
[00:04:28.311 --> 00:04:28.931]  I'm not kidding.
[00:04:28.931 --> 00:04:31.292]  We've got the exclusive video from Laura Loomer.
[00:04:31.292 --> 00:04:36.234]  Not just the footage she put out live, but other footage that's coming up in the second hour.
[00:04:36.234 --> 00:04:38.295]  Then the big news.
[00:04:38.295 --> 00:04:41.056]  Trump will pull out of the Paris Climate Change Agreement.
[00:04:41.056 --> 00:04:42.737]  He's come out and said, be clear.
[00:04:42.737 --> 00:04:44.838]  People are lying and saying I'm not pulling out.
[00:04:44.838 --> 00:04:46.159]  I have pulled out.
[00:04:46.159 --> 00:04:48.860]  And he said I'm not going to go along with the DREAM Act.
[00:04:48.860 --> 00:04:50.500]  That's another hoax as well.
[00:04:50.500 --> 00:04:52.101]  So that's coming up straight ahead.
[00:04:52.101 --> 00:04:55.622]  And GOP congressman proposes pardon deal for Julian Assange.
[00:04:55.622 --> 00:04:56.723]  That's just some of what's coming up.
[00:05:00.622 --> 00:05:14.529]  All the perplexities, the confusion and distress in America arise not from objects in their Constitution or Confederation, not from want of honor or virtue, so much as from the downright ignorance of the nature of coin, credit and circulation.
[00:05:14.529 --> 00:05:18.811]  Those are the words of John Adams, the second President of the United States.
[00:05:18.811 --> 00:05:20.772]  Are you ignorant of the private Federal Reserve?
[00:05:21.372 --> 00:05:23.533]  Do you understand the nature of our fiat currency?
[00:05:23.533 --> 00:05:30.697]  Do you understand how a private corporation has the ability to create boom and bust cycles and to profit from it?
[00:05:30.697 --> 00:05:35.440]  What kind of leverage do these people in the Federal Reserve have over the American people?
[00:05:35.440 --> 00:05:39.182]  Or for that matter, what kind of leverage do the Saudis have over our money?
[00:05:39.762 --> 00:05:42.223]  Will you be a slave or will you be free?
[00:05:42.223 --> 00:05:47.226]  Adams also said liberty cannot be preserved without general knowledge among the people.
[00:05:47.226 --> 00:05:48.567]  Join the InfoWars.
[00:05:48.567 --> 00:05:49.868]  Spread the information.
[00:05:49.868 --> 00:05:51.589]  Educate yourself and others.
[00:05:51.589 --> 00:05:53.730]  The truth shall set you free.
[00:05:53.730 --> 00:05:54.650]  InfoWars.com.
[00:05:54.650 --> 00:05:55.431]  I'm David Knight.
[00:06:05.998 --> 00:06:07.920]  The answer to 1984 is 1776.
[00:06:07.920 --> 00:06:23.752]  You're listening to the Alex Jones Show.
[00:06:23.752 --> 00:06:27.935]  The answer is not destroying ourselves.
[00:06:27.935 --> 00:06:31.658]  The answer is working together for a better future.
[00:06:31.658 --> 00:06:33.480]  The answer is space colonization.
[00:06:34.622 --> 00:06:48.190]  The answer is not just knowing the secrets of the atom, but knowing the secrets of biology, and using that technology to direct, in an open, free way, the true destiny of our species.
[00:06:48.190 --> 00:06:50.451]  We have now entered the crossroads.
[00:06:50.451 --> 00:06:52.633]  The Great Fulcrum.
[00:06:52.633 --> 00:06:53.213]  You can feel it?
[00:06:54.147 --> 00:06:55.609]  You can see it.
[00:06:55.609 --> 00:07:04.540]  All the energy, all the focus of our ancestors and their will to survive despite our current decadence and weakness.
[00:07:04.540 --> 00:07:08.925]  Their strength is the wind that fills our sails and we will succeed.
[00:07:21.392 --> 00:07:23.013]  All right, let's get right into the news.
[00:07:23.013 --> 00:07:39.481]  We've got huge North Korea news, martial law news in England, more Islamic attacks, more acid attacks, more stabbings, more bombings to where they just hope we give in and they stop reporting on it as the Islamist mayor of London has said, just get used to it and submit.
[00:07:39.481 --> 00:07:43.423]  High-level CIA agent blows the whistle on deep state shadow government.
[00:07:43.423 --> 00:07:49.727]  He breaks down the architecture of it from the inside exactly as I told you the architecture
[00:07:50.848 --> 00:07:53.470]  Has been established.
[00:07:53.470 --> 00:08:02.195]  One time I was driving around in Westlake and saw the top of a building open up and SAM missiles pop up and then go back in.
[00:08:02.195 --> 00:08:07.218]  I later talked to one of my sources and they said, yeah, that's a special operations base.
[00:08:07.218 --> 00:08:08.639]  He gets into all this though.
[00:08:08.639 --> 00:08:11.621]  It's just crazy.
[00:08:11.621 --> 00:08:18.045]  Don't need to have any secret documents to see SAM missiles coming out of the top of a house.
[00:08:18.045 --> 00:08:19.346]  So that's the type of stuff that's going on.
[00:08:20.151 --> 00:08:21.874]  We're going to get into all of it today.
[00:08:21.874 --> 00:08:24.799]  Trump says he will not pull out of the Paris climate deal.
[00:08:24.799 --> 00:08:26.181]  He's not doing the DACA deal.
[00:08:26.181 --> 00:08:28.965]  We've got all of that information here for you.
[00:08:28.965 --> 00:08:29.867]  Chaos in St.
[00:08:29.867 --> 00:08:30.187]  Louis.
[00:08:30.187 --> 00:08:31.609]  Protesters stormed the mayor's house.
[00:08:32.711 --> 00:08:33.372]  Burn U.S.
[00:08:33.372 --> 00:08:40.258]  flags that are joined by mass gunmen in violent clashes over white cop being cleared of murder for shooting dead black suspect.
[00:08:40.258 --> 00:08:47.584]  You know, I wish some of the young folks and some of the people brainwashed by MTV and Soros would look at the statistics.
[00:08:47.584 --> 00:08:56.592]  You got 3,000 plus black people being shot, over 2,000 of them dying, and 95 plus percent of them were shot by black folks in Chicago alone.
[00:08:58.015 --> 00:09:00.978]  How many people you got shot by cops every year that are black?
[00:09:00.978 --> 00:09:03.140]  It's about 230 on average.
[00:09:03.140 --> 00:09:07.283]  Let's say all of them were unjustified shootings.
[00:09:07.283 --> 00:09:14.490]  Is the issue the tens of thousands of blacks killing each other every year or the couple hundred cops killing black folks?
[00:09:14.490 --> 00:09:16.011]  I mean, I'm just doing numbers here.
[00:09:16.011 --> 00:09:17.452]  51% of blacks are aborted.
[00:09:19.594 --> 00:09:22.197]  Don't hear anything out of the liberal blacks about that.
[00:09:22.197 --> 00:09:25.179]  Millions of black people get killed in their mama's tummy.
[00:09:25.179 --> 00:09:26.781]  We know they were innocent.
[00:09:26.781 --> 00:09:27.962]  Why no discussion of that?
[00:09:28.993 --> 00:09:31.274]  Because it's all about media hype.
[00:09:31.274 --> 00:09:35.197]  That's coming up as Soros tries to foment a race war in this country.
[00:09:35.197 --> 00:09:36.598]  Meanwhile, we've got flashbacks.
[00:09:36.598 --> 00:09:42.001]  Bernie said Medicare for All would bankrupt the U.S., like Venezuela or Cuba.
[00:09:42.001 --> 00:09:43.782]  It would, but now he's all for it.
[00:09:43.782 --> 00:09:46.264]  We're going to juxtapose those for you.
[00:09:46.264 --> 00:09:50.727]  Hillary had a big book signing in Connecticut in the toilet paper aisle.
[00:09:52.159 --> 00:09:56.262]  We're going to have that exclusive HD video for you coming up with Laura Loomer who shot it.
[00:09:56.262 --> 00:09:58.783]  She did it live feed, but we have the HD video she shot.
[00:09:58.783 --> 00:09:59.644]  She gave it to us.
[00:09:59.644 --> 00:10:03.466]  She's going to be joining us coming up in the second hour.
[00:10:03.466 --> 00:10:08.249]  We also have just a bunch of other really, really, really big news.
