[00:00:00.710 --> 00:00:03.692]  Best-selling, written six best-sellers.
[00:00:03.692 --> 00:00:06.614]  He is an economist.
[00:00:06.614 --> 00:00:10.477]  He is, of course, a former prosecutor.
[00:00:10.477 --> 00:00:17.962]  And so he's very well-rounded, and we really appreciate him joining us for the balance of this hour, the next 49 minutes.
[00:00:17.962 --> 00:00:20.884]  Michael Haga, good to have you on the broadcast with us, sir.
[00:00:20.884 --> 00:00:25.768]  Well, I enjoyed, uh, appreciate you asking me, Alex.
[00:00:25.768 --> 00:00:28.130]  Is that a right-wing attack dog out here in the background?
[00:00:29.526 --> 00:00:30.168]  We'll have to.
[00:00:30.168 --> 00:00:31.009]  I'm just joking.
[00:00:31.009 --> 00:00:31.570]  There we go.
[00:00:31.570 --> 00:00:33.113]  You know, I have those too myself.
[00:00:33.113 --> 00:00:33.975]  What type of dog is that?
[00:00:35.126 --> 00:00:37.688]  It's a young Labrador.
[00:00:37.688 --> 00:00:39.249]  I'm at home right now.
[00:00:39.249 --> 00:00:40.951]  I ran home to do this.
[00:00:40.951 --> 00:00:44.334]  Oh, I appreciate you.
[00:00:44.334 --> 00:00:45.595]  Oh no, we're not mad at the barking.
[00:00:45.595 --> 00:00:48.598]  We always have dogs barking in the background here on the studio.
[00:00:48.598 --> 00:00:49.499]  I'm serious.
[00:00:49.499 --> 00:00:53.303]  We got chihuahuas, little creatures.
[00:00:53.303 --> 00:00:59.709]  Michael Hager, tell us, for those who don't know, a little bit about yourself and then launch into what we see developing in some of the latest numbers.
[00:01:00.900 --> 00:01:02.922]  About myself, Alex, you're right.
[00:01:02.922 --> 00:01:08.726]  I've published six books on economics, basically.
[00:01:08.726 --> 00:01:11.648]  Two more coming out pretty shortly here.
[00:01:11.648 --> 00:01:12.568]  One is a novel.
[00:01:12.568 --> 00:01:15.931]  Another one is an economics book.
[00:01:15.931 --> 00:01:22.956]  Gosh, I graduated from Baylor University Law School while I was working on my MBA down there as well.
[00:01:22.956 --> 00:01:27.379]  Prosecuted for a while in Colorado and then went into health care.
[00:01:28.386 --> 00:01:30.588]  And, uh, was with Columbia HCA?
[00:01:30.588 --> 00:01:32.729]  Still am, basically.
[00:01:32.729 --> 00:01:35.991]  So you know all about the, uh, scams with the new Senate leader?
[00:01:35.991 --> 00:01:36.611]  Oh, yeah.
[00:01:36.611 --> 00:01:39.013]  And for those that don't know, they had to, you know, pay a big fine.
[00:01:39.013 --> 00:01:40.054]  That was admitted.
[00:01:40.054 --> 00:01:41.134]  Right.
[00:01:41.134 --> 00:01:44.897]  The Frisk family founded Columbia HCA.
[00:01:44.897 --> 00:01:50.560]  I was their financial administrator, and now it's just HCA.
[00:01:50.560 --> 00:01:52.842]  But, uh, yeah, the whole thing was set up.
[00:01:52.842 --> 00:01:56.244]  Um, I don't want to get too deeply into it, but we will never
[00:01:57.256 --> 00:02:04.899]  See our seniors being given the things they deserve.
[00:02:04.899 --> 00:02:12.382]  Now I heard you today on The Privacy Factor, a great show that comes on before this one, and I heard you talking about, and I've seen this,
[00:02:13.197 --> 00:02:17.839]  The airline's got $25 billion payoff by the government, which they could run for two or three years off of.
[00:02:17.839 --> 00:02:18.299]  Right.
[00:02:18.299 --> 00:02:26.362]  And, you know, with a total loss, they're really using this economy as an excuse to rip people off, to lay off.
