[00:00.000 --> 00:06.000]  In this present crisis, government is not the solution to our problem.
[00:06.000 --> 00:08.000]  Government is the problem.
[00:11.000 --> 00:18.000]  From time to time, we've been tempted to believe that society has become too complex to be managed by self-rule.
[00:18.000 --> 00:26.000]  That government by an elite group is superior to government for, by, and of the people.
[00:26.000 --> 00:32.000]  The Alex Jones Show, because there is a war on for your mind.
[00:36.000 --> 00:46.000]  Thank you for joining us, ladies and gentlemen. We're live worldwide on this Wednesday, the 16th day of August 2017.
[00:46.000 --> 00:49.000]  We're going to be here for the next four hours.
[00:49.000 --> 00:58.000]  Whenever I get really, really upset at the globalist involved in such incredible evil, and it gets me a little bit saddened or depressed to see how they're lying,
[00:58.000 --> 01:04.000]  how they're trying to divide us in the name of unity, when I see how they're trying to kill our economy, when I see how they're trying to deceive us.
[01:04.000 --> 01:08.000]  I then see beautiful, wonderful things happen.
[01:08.000 --> 01:13.000]  Like Heather Hare, the poor young lady that died in Charlottesville last Saturday.
[01:13.000 --> 01:19.000]  Her mother, Susan Brough, and her father at a big memorial service going on right now.
[01:19.000 --> 01:23.000]  And we've backed it up. It's still happening, but we've backed up to the beginning of her statements.
[01:23.000 --> 01:29.000]  We're going to have, we're going to have Heather Hare's father's statements today as well, but they're still live right now.
[01:29.000 --> 01:42.000]  And then later in the hour, I'm going to play the 20 minute press conference excerpts of it, where the media is such clear enemies of America and our recovery and of unity and just frothing liars.
[01:42.000 --> 01:47.000]  And Trump's responses are amongst the most epic I've ever seen when he takes on fake news.
[01:47.000 --> 02:02.000]  But let's go out to break with the first few minutes of just the loving words of Susan Brough, the mother of the young lady who got run over last Saturday in Charlottesville in that nightmare situation that tears the heart out of any parent.
[02:02.000 --> 02:12.000]  Because the fact that only four or five days later, she's able to come out and show so much love and humility really, really touched I know my heart and your hearts as well.
[02:12.000 --> 02:22.000]  So here is this amazing level of love calling for unity and not calling for the media to use her for hate and to use her for further division in America.
[02:22.000 --> 02:24.000]  Here is part of that statement.
[02:24.000 --> 02:37.000]  To spread, I don't want this to die. This is just the beginning of Heather's legacy. This is not the end of Heather's legacy.
[02:37.000 --> 02:47.000]  You need to find in your heart that small spark of accountability. What is there that I can do to make the world a better place?
[02:47.000 --> 02:55.000]  What injustice do I see? And what to turn away? I don't really want to get involved in that. I don't want to speak up.
[02:55.000 --> 03:06.000]  They'll be annoyed with me. My boss might think less of me. I don't care. You poke that finger at yourself like Heather would have done and you make it happen.
[03:06.000 --> 03:14.000]  You take that extra step. You find a way to make a difference in the world.
[03:14.000 --> 03:25.000]  My child had high school education. My child was no saint. She was hard to raise because everything was a negotiation.
[03:25.000 --> 03:34.000]  Not kidding, but you know what? She was a firm believer in whatever she believed.
[03:34.000 --> 03:46.000]  Let's do that. Let's find that spark of conviction. Let's find in ourselves that action. Let's spread this. Let's have the uncomfortable dialogue.
[03:46.000 --> 03:50.000]  It ain't easy sitting down and saying, well, why are you upset?
[03:50.000 --> 04:00.000]  It ain't easy sitting down and going, yeah, well, I think this way and I don't agree with you, but I'm going to respectfully listen to what you have to say.
[04:00.000 --> 04:07.000]  We're not going to sit around and shake hands and go kumbaya, and I'm sorry, it's not all about forgiveness.
[04:07.000 --> 04:13.000]  I know that that's not a popular trend, but the truth is we are going to have our differences.
[04:13.000 --> 04:24.000]  We are going to be angry with each other, but let's channel that anger not into hate, not into violence, not into fear,
[04:24.000 --> 04:30.000]  but let's channel that difference, that anger into right this action.
[04:30.000 --> 04:36.000]  Right now, down the road, there's a blood drive going on in Heather's name.
[04:36.000 --> 04:42.000]  Right now, there are people who are here willing to listen to one another and talk to one another.
[04:42.000 --> 04:52.000]  Last night in New England, they had a peaceful rally in Heather's name to have some difficult dialogues.
[04:52.000 --> 04:54.000]  If you ever want to see...
[04:54.000 --> 04:57.000]  All right, we're going to come back with more of this after the break.
[04:57.000 --> 05:00.000]  The bottom line here is the globalist.
[05:00.000 --> 05:04.000]  Why is the problem, why is the need taking over?
[05:04.000 --> 05:06.000]  What is going on? What has changed?
[05:06.000 --> 05:14.000]  Dr. Group, the new product, Myco ZX supports normal fungal and yeast balance proprietary blend of herbs and enzymes made with high quality ingredients.
[05:14.000 --> 05:21.000]  Yeah, fungus is a growing epidemic, and I've been testing this formula and making changes to this formula for over 10 years.
[05:21.000 --> 05:24.000]  It's available at mforestore.com. We also have free shipping.
[05:24.000 --> 05:26.000]  Order $50 or more and 10% off.
[05:26.000 --> 05:29.000]  We also have auto-ship additionally on top of that.
[05:29.000 --> 05:32.000]  Please, we only have a limited supply of this.
[05:32.000 --> 05:34.000]  I want to get your reviews on here, which you have to say.
[05:34.000 --> 05:35.000]  For me, it's been a crowd.
[05:35.000 --> 05:40.000]  Myco ZX, antifungal, antifungus, anti-yeast, get it today.
[05:40.000 --> 05:42.000]  Limited around, it'll be months until we get more.
[05:42.000 --> 05:46.000]  mforestore.com, foreslives.com, or triple-A-2-5-3-3-1-3-9.
[05:46.000 --> 05:50.000]  I cannot sell something unless it helps somebody.
[05:50.000 --> 05:52.000]  And you can't support an organization that didn't fight harder.
[05:52.000 --> 05:54.000]  Look at the response we're getting.
[05:54.000 --> 05:56.000]  We were changing the world together.
[05:56.000 --> 05:59.000]  You are the mforestore. God bless you all.
[05:59.000 --> 06:04.000]  As most of you already know, I am a voracious consumer of news and information.
