[00:00:00.229 --> 00:00:02.930]  Shot one kill, a Marine Corps Sniper.
[00:00:02.930 --> 00:00:06.031]  He's written a new book with General Wheeler.
[00:00:06.031 --> 00:00:09.152]  Doorway to Hell, Disaster in Somalia.
[00:00:09.152 --> 00:00:11.373]  Excellent book.
[00:00:11.373 --> 00:00:12.974]  He's an expert on the New World Order.
[00:00:12.974 --> 00:00:15.815]  He's a Colonel in Army Intelligence.
[00:00:16.818 --> 00:00:21.803]  Now retired, he was a detective, worked the Oklahoma City case.
[00:00:21.803 --> 00:00:24.386]  I'll tell you, the Globalist carried that baby out.
[00:00:24.386 --> 00:00:30.032]  And he's up to speed and knows the paradigm, and we're honored to have him back on the broadcast today.
[00:00:30.032 --> 00:00:31.594]  Colonel Roberts, good to speak with you.
[00:00:31.594 --> 00:00:33.676]  Always glad to be back on, Alex.
[00:00:34.927 --> 00:00:36.308]  Something might be wrong with your phone.
[00:00:36.308 --> 00:00:38.350]  You might turn the volume down or something.
[00:00:38.350 --> 00:00:39.752]  Yeah, I don't know what's going on there.
[00:00:39.752 --> 00:00:41.153]  Oh, it sounds good now.
[00:00:41.153 --> 00:00:42.854]  Good to have you on, sir.
[00:00:42.854 --> 00:00:44.976]  I had to hit the anti-bug device here.
[00:00:44.976 --> 00:00:45.757]  All right.
[00:00:45.757 --> 00:00:53.664]  Tell us a little bit about yourself and what the New World Order is, how we stop it, and I've got some news articles I want to throw at you and get your take on.
[00:00:53.664 --> 00:00:59.149]  Okay, well, you know, my end of this deal is finding the Achilles heels of what the globalists are doing.
[00:00:59.990 --> 00:01:10.599]  And about myself, I think most people know who I am and can go to my website and find out the rest at www.riflewarrior.com.
[00:01:10.599 --> 00:01:16.603]  Go over there and it tells a little bit about me and my background and some of the things I believe in.
[00:01:16.603 --> 00:01:23.429]  I did 26 years on the Tulsa Police Department, all sorts of different assignments from undercover to flying helicopters to SWAT team.
[00:01:24.442 --> 00:01:41.530]  I was one of the investigators that was assigned to help the FBI in the Oklahoma City bombing case and had a problem with all the lies that I was seeing there and did everything I could to try to expose what was really going on behind the scenes with the Iraqi terrorist connections to the Philippines and all of that.
[00:01:41.530 --> 00:01:43.691]  You almost called him his Racky.
[00:01:43.691 --> 00:01:45.732]  I think that would be a good term for them.
[00:01:47.092 --> 00:01:49.793]  It's one of those Freudian slips after you've been on the road for three days.
[00:01:49.793 --> 00:01:51.914]  It was Rockies, yes.
[00:01:51.914 --> 00:01:53.194]  It was Rockies.
[00:01:53.194 --> 00:01:54.875]  The Mossad Rockies.
[00:01:54.875 --> 00:01:57.655]  We may have coined a new phrase we'll have to investigate here.
[00:01:57.655 --> 00:02:07.218]  But then I had a parallel career after four years in the Marine Corps on active duty, a year of which I was in Vietnam, you know, in the infantry with a sniper rifle.
[00:02:07.218 --> 00:02:12.220]  I did a further 26 years in the National Guard and Army Reserve.
[00:02:12.940 --> 00:02:22.362]  Most of it being an infantry officer, but the last 12, 14 years or so, working in the intelligence area... And your dad worked overseas in some CIA projects.
[00:02:22.362 --> 00:02:23.602]  You grew up around it.
[00:02:23.602 --> 00:02:25.442]  Oh, I grew up in a whole family full of spooks.
[00:02:25.442 --> 00:02:28.263]  I think I'm the only non-spook there.
[00:02:28.263 --> 00:02:34.724]  So I had a lot of assets and resources to help me write some of the books, like the Medusa File and Kill Zone, that other people didn't have access to.
[00:02:34.724 --> 00:02:39.845]  So I was able to do a lot in that area, but it was during this time that I stumbled upon
[00:02:40.705 --> 00:02:48.969]  Over and over, the same names, the same money, the same power, the same agendas that are global socialist in nature, and basically... And let's get it out right now.
[00:02:48.969 --> 00:02:52.690]  George Bush, Bill Clinton, Al Gore, they don't run the New World Order.
[00:02:52.690 --> 00:02:54.171]  Ted Siller heads.
[00:02:54.995 --> 00:02:57.255]  Well, yeah, it goes up a lot higher than their pay grade.
[00:02:57.255 --> 00:03:01.736]  It goes up to guys like Kissinger and then, you know, the Rockefellers and all that bunch, but it goes even above them.
[00:03:01.736 --> 00:03:06.557]  It goes to names we probably don't even know that are the voices behind the voices behind the throne.
[00:03:06.557 --> 00:03:13.599]  Well, I mean, with Crumps, Rothschilds, Sachs-Coburg, Goethe, those type of names.
[00:03:13.599 --> 00:03:18.260]  And you've also got the Mings and Lings and Satchimos and Kachikos in there.
[00:03:18.260 --> 00:03:19.760]  I mean, we have Asians in this thing.
[00:03:19.760 --> 00:03:20.140]  We've got
[00:03:20.960 --> 00:03:40.535]  You know, of course, Russians, European monarchies, big bank players, and so on, on the side of just pure evil, that their thing is the New World Order, the global socialist gig, where what they're doing, and we're seeing it happen in our lifetime, is that they have created a new world status.
[00:03:40.535 --> 00:03:42.356]  Now, the new world status is simply this.
[00:03:42.356 --> 00:03:44.658]  We have the first world, and we have the third world countries.
[00:03:44.658 --> 00:03:46.259]  We knew who the third world countries were.
[00:03:46.259 --> 00:03:47.880]  We knew who the first world countries are.
[00:03:48.180 --> 00:03:54.625]  We're going to all be lowered to second world status, and that's happening where the Federal Reserve pushes right now to lower the dollar.
[00:03:54.625 --> 00:03:55.686]  That's their policy.
[00:03:55.686 --> 00:04:01.690]  Well, it's a multi-faceted attack, and if you plotted this out with military generals, you couldn't have done a better job.
[00:04:01.690 --> 00:04:05.073]  You destroy the borders by two things.
[00:04:05.073 --> 00:04:06.714]  Law, such as MAFTA and GATT.
[00:04:07.234 --> 00:04:09.315]  And at the same time, don't defend them.
[00:04:28.486 --> 00:04:34.791]  Uh, you can catch them red-handed, but you'll never hear about it because it'll get spiked because the media is totally controlled.
[00:04:34.791 --> 00:04:37.112]  Uh, print and electronic media, totally controlled.
[00:04:37.112 --> 00:04:43.437]  And other than shortwave radio and a few newsletters and websites, unless you dig, you're not going to find out what's really going on.
[00:04:43.437 --> 00:04:46.399]  Well, you know, we're now on in Boston, D.C., New York.
[00:04:46.399 --> 00:04:48.860]  Why don't you say hi to folks in D.C., Craig?
[00:04:48.860 --> 00:04:51.362]  Hey, all you guys in D.C., I know you remember me.
[00:04:51.362 --> 00:04:52.283]  I've been there a few times.
[00:04:54.132 --> 00:05:01.435]  What would you say to folks at the Pentagon and in Congress and others that we've read in the Washington Times, morale is the lowest it's ever been.
[00:05:01.435 --> 00:05:02.975]  Why is that, Colonel?
[00:05:02.975 --> 00:05:10.098]  Well, you know, it was real low during the Clinton era for a lot of reasons.
[00:05:10.098 --> 00:05:13.459]  I think morale is up right now over this Iraqi thing.
[00:05:13.459 --> 00:05:16.700]  Well, the general troops, they said, the Washington Times said the Pentagon.
[00:05:17.421 --> 00:05:18.982]  Oh, the morale at the Pentagon.
[00:05:18.982 --> 00:05:25.825]  Well, you have two classes of class entities at the Pentagon.
[00:05:25.825 --> 00:05:33.788]  It's very interesting that you opened that door because my friends at StarRank up there have told me in the past that you have two cliques.
[00:05:33.788 --> 00:05:37.010]  You've got the nationalist clique and you've got the globalist clique.
[00:05:37.570 --> 00:05:53.322]  And the word is pretty well filtered down through the ranks that unless you do a stint on the UN side of the house, the blue hat side, or do a stint with the Council on Foreign Relations or something along that line, then you don't consider getting more than one or two stars.
[00:05:53.322 --> 00:05:55.724]  By the way, now they're showing a lot of generals on TV.
[00:05:55.724 --> 00:05:58.386]  It'll say former general and CFR.
[00:05:58.386 --> 00:06:00.087]  What is the CFR for those who don't know?
[00:06:00.387 --> 00:06:10.820]  Well, the Council on Foreign Relations is the American branch of the Royal Society of International Affairs in London, which is the old roundtable group sponsored by the Bank of England, which is basically the Rothschild family.
[00:06:10.820 --> 00:06:18.150]  They're the international globalists that started here in the 1920s, I think around 1926, and goes back to Edward Mandel House and
[00:06:18.790 --> 00:06:20.072]  We're good to go.
[00:06:41.410 --> 00:06:49.054]  And every time you try to tinker with what they've set up in the Federal Reserve System, you know, the dog's just not going to bark very long.
[00:06:49.054 --> 00:07:01.441]  So basically, the CFR now controls all three branches of our government by putting staff members or putting members of their organization into staff positions, including the Pentagon and including the military ranks, including the service academies.
[00:07:01.441 --> 00:07:05.443]  The White House staff always has between 60 and 80 CFR members.
[00:07:05.443 --> 00:07:07.064]  So when you see General Barry McGaffey,
[00:07:08.312 --> 00:07:15.017]  McGaffrey popped up on the TV screen as a talking head when we go into some country and says, member of the CFR.
[00:07:15.017 --> 00:07:16.618]  They don't even hide it anymore.
[00:07:16.618 --> 00:07:19.440]  They're coming right out and saying, I'm a member of the Council on Foreign Relations.
[00:07:19.440 --> 00:07:22.622]  That's like being a Rhodes Scholar is supposed to be some kind of great deal.
[00:07:22.622 --> 00:07:34.991]  And when you dig behind the scenes, you find out Rhodes Scholars are nothing more than little globalists who are trained show dogs to further the agenda of the Roundtable Group, which is the Royal Society of International Affairs in London.
[00:07:35.638 --> 00:07:41.560]  The same guys that get involved in all kinds of things that stretch everywhere from the streets of Punjab to Bohemian Grove.
[00:07:41.560 --> 00:07:58.645]  For those that don't know, the Globalist called for a totally enslaved country, no borders, children taken by the state at age four, trained in dormitories, an 85% tax rate, troops on the streets, a living Hades.
[00:07:59.710 --> 00:08:06.511]  Well, they have a vision of the future being one that is totally controlled for their own safety and well-being.
[00:08:06.511 --> 00:08:09.172]  And they can't have the masses rise up against them.
[00:08:09.172 --> 00:08:14.253]  So, basically, it's disarm the masses and keep us so busy doing something else.
[00:08:14.253 --> 00:08:23.475]  Was it any surprise when the Aaron Boyd Bush, who's just a puppet like Clinton, is trying to reaffirm the Clinton gun ban, the magazine ban, and wants more gun control?
[00:08:23.955 --> 00:08:25.836]  It didn't surprise me.
[00:08:25.836 --> 00:08:35.221]  See, the only difference between Republicans and Democrats at that level is if the Democrats vote to burn down Washington, the Republicans want to phase it in over a two-week period.
[00:08:36.360 --> 00:08:38.221]  The end result is the same.
[00:08:38.221 --> 00:08:51.209]  Because when you get to that level, as our congressman here found out as a freshman and he replaced Steve Largent and went to Washington, he came back and his eyes were wide because he learned that he didn't really represent us.
[00:08:51.209 --> 00:08:54.791]  He represented the good old boy group in Washington and if he wanted to play along,
[00:08:55.191 --> 00:08:57.233]  Then he would have money for re-election.
[00:08:57.233 --> 00:08:58.534]  He would have perks and pennies.
[00:08:58.534 --> 00:09:00.295]  He would be given, you know, some choice assignments.
[00:09:00.295 --> 00:09:05.879]  If he didn't want to play along, he'd be shoved in a corner and the door slammed on his face and stand a very little chance of being re-elected.
[00:09:05.879 --> 00:09:09.682]  Because, you know, it's like, I think it was Lenin or Stalin won.
[00:09:09.682 --> 00:09:14.125]  As Stalin said, it doesn't matter who votes or how many votes.
[00:09:14.125 --> 00:09:15.266]  It matters who counts the votes.
[00:09:15.866 --> 00:09:17.687]  And these people control the vote counting, too.
[00:09:17.687 --> 00:09:25.092]  So, you know, we get into this kind of a scenario, and we have a deal where Washington is totally out of control of the people, and they do what they want to do.
[00:09:25.092 --> 00:09:31.796]  But Washington is only one tentacle of the beast that stretches all the way to London, to Frankfurt, to Basel, Switzerland, and to Moscow.
[00:09:31.796 --> 00:09:32.896]  Yeah, let's make that clear.
[00:09:32.896 --> 00:09:36.359]  This whole fight between the EU and the US is totally staged.
[00:09:36.359 --> 00:09:38.620]  The shareholders own all our central banks.
[00:09:38.940 --> 00:09:48.606]  They're having America play the part of the bad cop right now, while legitimizing the bloodthirsty UN to the third world as the peacenik, when that couldn't be further from the truth.
[00:09:48.606 --> 00:09:52.609]  And it's all one giant amalgamation.
[00:09:52.609 --> 00:09:55.891]  Now, there's been a lot of news of government-sponsored terrorism coming out.
[00:09:55.891 --> 00:10:00.014]  I've got the London Guardian and the Belfast Telegraph today.
[00:10:00.014 --> 00:10:02.576]  Top double agent Nairé guilty of up to 40 murders.
[00:10:03.852 --> 00:10:17.301]  And it turns out the head of the IRA's intelligence and terror arm was a British agent, and he carried the terror out for the British government as a pretext to have a militarized Northern Ireland.
[00:10:17.301 --> 00:10:20.463]  Now we saw Putin blow up the apartment buildings, that's now admitted fact.
[00:10:20.463 --> 00:10:23.465]  We see what's happened with these other terror attacks.
[00:10:23.465 --> 00:10:28.409]  How important is government-sponsored terror to the globalists to get control of our lives?
[00:10:28.929 --> 00:10:32.032]  Well, it's one of the oldest tricks in the world, you know.
[00:10:32.032 --> 00:10:45.366]  I think this thing goes all the way back into Biblical times, because if you look at the Reichstag fire, it was a means to get the German people behind Hitler, and Hitler to take over and subdue the Communists.
[00:10:45.366 --> 00:10:46.788]  He blamed the whole thing on the Communist Party.
[00:10:47.248 --> 00:10:57.174]  And then of course they staged a bogus Polish Army attack on a German radio station across the border into Germany so that they could attack Poland.
[00:10:57.174 --> 00:11:02.518]  Blame it on, you know, hurt yourself, blame it on the bad guys, use the media to gain control of the minds of the people.
[00:11:02.518 --> 00:11:04.899]  They did the same thing in Oklahoma City.
[00:11:04.899 --> 00:11:05.219]  You know, we
[00:11:06.380 --> 00:11:19.691]  They definitely linked McVeigh and Nichols into these Iraqi Republican guards, down to the names of them, down to enough to arrest them and probably convict them, but the government didn't even want to take the information.
[00:11:19.691 --> 00:11:20.552]  They didn't even want to know about it.
[00:11:20.552 --> 00:11:27.377]  That's because, and in the new film we have the LA Times and the Washington Post from 93, Congress says bringing in Iraqis is dangerous.
[00:11:27.377 --> 00:11:29.699]  These guys were brought in by Bush and Clinton.
[00:11:29.699 --> 00:11:33.102]  They worked for the CIA and had ties back to the 70s and 80s.
[00:11:33.102 --> 00:11:34.043]  They didn't work for Saddam.
[00:11:34.680 --> 00:11:53.770]  Well, they worked for whoever gave them orders, and whoever gave them orders wanted a building in the heartland of America to go down for several reasons, and one of them was to help pass the Omnibus Crime Control Act of 1996, which was basically our, I would call it the Patriot One, and then the others would be the Patriot Two and Three, because it was the predecessor to the other two.
[00:11:53.770 --> 00:11:57.112]  It was the one that had such ridiculous things in it when you read it.
[00:11:57.652 --> 00:12:16.681]  That if three guys got together in the woods deer hunting, and they happened to be in camouflage clothing, it doesn't matter what kind, and have rifles and be standing... You haven't heard in Minnesota and Illinois and places, they're actually raiding deer hunters now and arresting them, saying they're engaged in paramilitary.
[00:12:16.681 --> 00:12:17.642]  Well, that's what this was.
[00:12:17.642 --> 00:12:20.343]  This would designate them as terrorists, undergoing terrorist training.
[00:12:20.931 --> 00:12:26.598]  And also the deal of hiring Hong Kong police officers to serve as national police in the United States.
[00:12:26.598 --> 00:12:33.706]  Oh yeah, and now they've signed the deal for Canadian and Mexican troops to come in during terror attacks and during top off too.
[00:12:33.706 --> 00:12:36.049]  They admit Canadian troops on our soil.
[00:12:36.049 --> 00:12:37.411]  Is that a concern to you?
[00:12:37.731 --> 00:12:38.411]  Oh, absolutely.
[00:12:38.411 --> 00:12:43.794]  Anytime you've got any foreigner in our soil trying to do anything to enforce any kind of law in this country, it should be a great concern.
[00:12:43.794 --> 00:12:45.995]  I mean, the military involvement in law enforcement is bad enough.
[00:12:45.995 --> 00:12:49.337]  We just said they want to get rid of posse comitatus.
[00:12:49.337 --> 00:12:51.398]  Why is that the hallmark of a police state?
[00:12:52.237 --> 00:13:02.061]  Well, you know, that's the one thing that we put in after the Civil War because of things that the Union Army did in the South, to keep the military separate from civil law enforcement.
[00:13:02.061 --> 00:13:04.842]  Because, number one, the military gets heavy-handed.
[00:13:04.842 --> 00:13:08.164]  The military is designed to go places, break things, ruin real estate, and kill people.
[00:13:08.704 --> 00:13:11.045]  It is not designed to go in and deal with communities.
[00:13:11.045 --> 00:13:16.986]  And because of that, you don't want power shifted to the military branch and put at the hands of generals and so on.
[00:13:16.986 --> 00:13:27.928]  Because, you know, you end up with, exactly as you said, a police state, which we did have in 1865, 1866, 1867, until they finally got Kaposi Komatanas to pull a military out and send them west.
[00:13:27.928 --> 00:13:30.489]  I have family raped and killed in East Texas.
[00:13:30.489 --> 00:13:35.490]  We have tombstones of family cemeteries that say, killed by Union soldiers.
[00:13:35.490 --> 00:13:36.330]  Women, children.
[00:13:37.513 --> 00:13:39.395]  And that's what happens when the military gets out of hand.
[00:13:39.395 --> 00:13:42.618]  Our hotel in Teague, Texas was burned to the ground.
[00:13:42.618 --> 00:13:46.201]  And so what they did is they put the shackles on that with posse comatose.
[00:13:46.201 --> 00:13:51.086]  The problem was they wrote it only for the Army because that's all they were worried about at the time.
[00:13:51.086 --> 00:13:53.308]  Now they can use Marines and others.
[00:13:53.308 --> 00:13:56.971]  But they found out they could use Marines, they found out they could use naval personnel, and guess what?
[00:13:56.971 --> 00:14:03.617]  In 1947, when they separated the Air Force off of the Army, they can use Air Force personnel and they don't violate posse comatose.
[00:14:04.511 --> 00:14:07.532]  So they found a way to do an end run around it.
[00:14:07.532 --> 00:14:13.615]  Absolutely, and I've had the former JAG officer on who's now a professor in Chicago, and he said 96 was already gone.
[00:14:13.615 --> 00:14:17.316]  They're now just letting us know it's gone using the terror as an excuse.
[00:14:17.316 --> 00:14:21.318]  Colonel Roberts, I want to talk about this headline here about how America's now a global empire.
[00:14:21.318 --> 00:14:25.140]  Talk about any key issues you want to discuss and take calls.
[00:14:25.140 --> 00:14:26.140]  Please stay with us.
[00:14:26.140 --> 00:14:26.960]  I'm Alex Jones.
[00:14:36.244 --> 00:14:46.974]  Welcome back.
[00:14:46.974 --> 00:14:47.815]  We're moving fast.
[00:14:47.815 --> 00:14:49.336]  We've got Craig into the next hour.
[00:14:49.336 --> 00:14:50.437]  We're going to take your calls.
[00:14:52.265 --> 00:14:57.189]  Folks, you don't want to live under this New World Order, and they've got us all debating Bill Clinton, Al Gore, George Bush.
[00:14:57.189 --> 00:14:59.170]  They're not running anything, folks.
[00:14:59.170 --> 00:15:01.292]  They're puppets, bottom line.
[00:15:01.292 --> 00:15:09.198]  The New World Order agrees on the same agenda when it comes down to the bottom line, that's enslavement of you and your family, and we better cause a real debate in this country.
[00:15:09.198 --> 00:15:10.098]  It's over.
[00:15:10.098 --> 00:15:11.940]  Colonel Roberts, how do we stop this thing?
[00:15:11.940 --> 00:15:15.923]  I mean, it's clear that we stopped their forced inoculation of 11 million people.
[00:15:15.923 --> 00:15:18.565]  The cops, the firemen, the medical workers said, no way, Jose.
[00:15:19.514 --> 00:15:20.294]  That's holding them up.
[00:15:20.294 --> 00:15:24.496]  They didn't get the Kissinger appointment over the Whitewash Commission on 9-1-1.
[00:15:24.496 --> 00:15:28.718]  They're not getting a lot of things they want through education or having victories.
[00:15:28.718 --> 00:15:34.581]  If we weren't doing this and they had their New World Order in 1913, how do we stop the New World Order?
[00:15:34.581 --> 00:15:37.522]  Because the point is, they won't leave us alone.
[00:15:37.522 --> 00:15:41.284]  They're taking our liberty while claiming they're giving Iraqis liberty.
[00:15:41.284 --> 00:15:42.685]  How do we stop this thing?
[00:15:42.685 --> 00:15:46.466]  Well, they've pretty much won the entire rest of the world.
[00:15:46.466 --> 00:15:47.607]  We are the last domino.
[00:15:48.327 --> 00:15:52.929]  And the one thing we cannot do right up front, number one, is give up our Second Amendment rights.
[00:15:52.929 --> 00:15:58.530]  If we do that, if we allow that to occur, then it's a done deal.
[00:15:58.530 --> 00:15:59.411]  We've lost.
[00:15:59.411 --> 00:16:07.033]  Number two, we have to educate ourselves and each other and do our homework and keep up with what's going on and read between the lines of the news and so on.
[00:16:07.413 --> 00:16:14.219]  And have guys like you and me running around, you know, waving the flag and telling everybody what's really going on and explaining it to them and translating what's going on.
[00:16:14.219 --> 00:16:18.402]  And number three, and probably as important as the other two, is take over our school systems again.
[00:16:18.402 --> 00:16:22.826]  Put them back into local control of monitoring from the parents and get them out of the state-controlled hands.
[00:16:23.386 --> 00:16:26.228]  Because if they win the minds of the children, they win.
[00:16:26.228 --> 00:16:29.329]  Because we'll be gone someday.
[00:16:29.329 --> 00:16:37.213]  As an example, I just got back from Pasadena and I spoke at the Southern California Republican Convention Association or something like that.
[00:16:37.213 --> 00:16:39.395]  And they expect about 200 people to show up.
[00:16:39.395 --> 00:16:42.216]  We had about 70 show up for an all-day deal.
[00:16:42.216 --> 00:16:46.278]  I was there, General Parton was there, some other people, some other speakers were there as well.
[00:16:46.278 --> 00:16:47.319]  We spoke for a little over an hour.
[00:16:48.036 --> 00:16:52.563]  And I looked out in that room and there wasn't anybody below the age of 60 in the room.
