[00:00.000 --> 00:02.000]  We've got it
[00:07.500 --> 00:09.500]  Waging war on corruption
[00:09.500 --> 00:33.500]  It's Alex Jones coming to you live from the front lines of the Info War
[00:33.500 --> 00:42.500]  We are live, it is the 25th day of March 2012 on this Sunday edition
[00:42.500 --> 00:46.500]  And we are locked and loaded, ready to go, thank you so much for joining us
[00:46.500 --> 00:50.500]  This is going to be a particularly jam-packed transmission
[00:50.500 --> 00:55.500]  In the second hour, Lindsay Williams will be joining us, hadn't been on in about four or five months
[00:55.500 --> 01:13.500]  He did say that one of his two living sources, one of them has died, can almost leave it there because then I know the two people's names and then I know which one is living but then I almost said the one that is living instead of the one that's dead that I'm allowed to say
[01:13.500 --> 01:28.500]  The point is, he has some inside global resources whose Info's proven in many cases to be very accurate and he said years ago, there's not going to be an Iran attack and he told us four or five months ago, no, now it is on the front burner coming up by the end of 2012
[01:28.500 --> 01:35.500]  And he also said, get ready for your gas prices to go back up, that's now started and much more
[01:35.500 --> 01:48.500]  So we're going to be having Lindsay Williams join us in the second hour and I will get him to just get right to his new information and then open the phones up so he can specifically talk to Lindsay
[01:48.500 --> 01:52.500]  Lindsay's a great guy and he's one of the most popular guests that we have on
[01:52.500 --> 02:01.500]  But he's also one of the guests that makes people tear their hair out because he's always so busy thanking you many, many times and building up the story
[02:01.500 --> 02:06.500]  I don't think he does that on purpose, that's just the way he is, I've been interviewing him for about 14 years
[02:06.500 --> 02:19.500]  I remember 14 years ago interviewing him, he has booked the Energy Non Crisis and since then it has come out that we've got more oil in Alaska than Saudi Arabia has but 80% of it is shipped to Asia
[02:19.500 --> 02:25.500]  20% to Canada and the United States, it's all part of these cartels trying to keep the price up
[02:25.500 --> 02:35.500]  That's why Obama has blocked the pipeline now for six months under pressure, he said okay you can build one part of the southern route but can't connect the other third at the north
[02:35.500 --> 02:45.500]  So that's more of his manipulation, kind of like Obama said now, I'm against this provision where I can secretly arrest or kill US citizens
[02:45.500 --> 02:55.500]  Snatch and grab secret police provision and then it turned out he demanded it be added, those memos are public from the White House to Congress
[02:55.500 --> 03:03.500]  When Congress got the blame they released it and then he said well don't worry I'll veto it so that opposition wouldn't get mounted so that it would pass
[03:03.500 --> 03:10.500]  And then he said I'm not going to sign it and then he did sign it and it's kind of like you know what you're right I'm going to let that pipeline get built
[03:10.500 --> 03:19.500]  One leg at the bottom to make sure his buddy Warren Buffett makes billions and billions on record as Bloomberg and Reuters reported
[03:19.500 --> 03:28.500]  Now that all that oil has to be shipped not to the US but by train from those oil fields in central and eastern Canada and western Canada for that matter
[03:28.500 --> 03:37.500]  To the western coastline to be sent west if you're going that direction or east if you're going the other to Japan to China
[03:37.500 --> 03:47.500]  Because that's the globalist model China gets its cold power plants China gets its oil we don't get peak oil here because they're cutting the supply off
[03:47.500 --> 03:54.500]  So that's all part of this overall program now I haven't even gotten in to the big news yet and we're going to cover when we get back
[03:54.500 --> 04:03.500]  There's lots of little side issues that are interesting living almost a record time with an outside his body bionic heart pump 20 months
[04:03.500 --> 04:11.500]  Cheney 71 was skipped over others because you're not supposed to get a heart transplant even if you're healthier than he is at 71
[04:11.500 --> 04:20.500]  But he got one he's got somebody else's heart at least he has a pulse again for 20 months with that bionic heart no pulse with that heart pump
[04:20.500 --> 04:27.500]  That uses heart as a bag to pump the blood through but at the pump on the outside of his body there he is holding the heart pump
[04:27.500 --> 04:41.500]  He hasn't gotten his heart and I'm surprised it took this long I mean we all know that the head of Apple Steve Jobs and others got there very very quickly got their livers
[04:41.500 --> 05:00.500]  Okay look big MF global news big Trayvon Martin news big UN news tolls for bicycles oh yes it's all coming up straight ahead stay with us
[05:00.500 --> 05:13.500]  Hi folks this is Alex Jones and I want to tell you about the silver lungs generator now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs
[05:13.500 --> 05:29.500]  The respiratory system is the first line of defense for airborne pathogens and viruses the silver lungs generator infuses the respiratory system with your self produced nano silver solutions and also delivers the silver nano particles instantly into the bloodstream
[05:29.500 --> 05:44.500]  With continued legislation threatening the sale of nano silver products you can now produce pure and endless colloidal silver with the silver lungs generator very easy to follow step by step instructions are provided making production fast and simple
[05:44.500 --> 06:03.500]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the silver lungs generator that's www.silverlungs.com
[06:03.500 --> 06:21.500]  You are listening to an info wars dot com frontline report if you are receiving this transmission you are the resistance
[06:21.500 --> 06:31.500]  From deep in the heart of FEMA Region 6 Austin Texas transmitting worldwide it's Alex Jones
[06:31.500 --> 06:46.500]  That's right blasting out to an audience of over a million and a half people on the Sunday show three million a day on the weekday show conservatively 11 a.m. to 2 p.m. Central the websites are info wars dot com and prisonplanet.tv
[06:46.500 --> 07:00.500]  The truth sells the truth is successful Ron Paul is right legalized freedom that's what this broadcast stands for ok here's what's coming up today
[07:00.500 --> 07:10.500]  Corzine was caught lying months ago when he testified I did news reports radio shows and wrote articles about that
[07:10.500 --> 07:36.500]  In December so did Max Kaiser so did the stockbrokers over at zero hedge the head of the Chicago mercantile exchange tens of trillions monthly that goes through that system that was regulating privately for the government
[07:36.500 --> 07:49.500]  The mfglobal and the billions missing said Corzine gave the order and that they talked to the top people the day it happened to wire the billions of dollars to JP Morgan in London under orders
[07:49.500 --> 08:03.500]  That was in Congress months and months ago that this has always been a lie and if you're a new listener saying well why do I care if John Corzine the former head of Goldman Sachs who started his own mfglobal
[08:03.500 --> 08:19.500]  Who was until just a few months ago the chief private advisor to the White House Economic Council who had all of his deputies at the different federal regulatory agencies that were regulating him who actually got part of the money
[08:19.500 --> 08:29.500]  I mean there's only five major regulatory agencies of the stock market in all five it was his former colleagues or minions direct minions over it
[08:29.500 --> 08:46.500]  And he made a 40 to one bet with people's private sequestered accounts and lost it and then the mercantile exchange none of them came in and made the bets good
[08:46.500 --> 08:52.500]  None of them came in and put money back in people's accounts that have been stolen
[08:52.500 --> 09:05.500]  Their private sequestered accounts just like bank accounts unprecedented destroying confidence in the markets farmers all over the US hedge their bets by engaging in the futures market
[09:05.500 --> 09:30.500]  They didn't get their money at last count it's around two billion dollars gone and from day one it was known that John Corzine the CEO in a meeting was told by JPMorgan Chase you will give us the money you owe us we don't care what you do
[09:30.500 --> 09:43.500]  Max Kaiser who told us two years before they imploded Iceland by design that he'd been in meetings with people he used to work with George Soros his son pretty high powered guy invented a lot of the virtual trading systems that are used today
[09:43.500 --> 10:05.500]  The high frequency trading systems that grew out of that he said that it all went to London this is like six months ago and that it went to JPMorgan Chase and that he named the head of the company who called up and said we're going to kill you Corzine
[10:05.500 --> 10:17.500]  If you don't give us that money and by the way folks this is the real mafia at that level not the little you know Italian mafia they tell you about the only organized crime is Italian mafia that's all that exists that's a joke
[10:17.500 --> 10:39.500]  The Italian mafia got a little big for its britches by the fifties sort of muscling in on the wasp mafia the Jewish mafia the Irish mafia and that's why they were brushed aside and that's that's the untold history of course you know Jagger Hoover told you until 1952 it was a conspiracy theory to even say organized crime existed
[10:39.500 --> 10:52.500]  You know the devil's greatest trick was convincing the world he didn't exist well that's certainly the case for the Federal Reserve private banking cartel mafia's that run this globe so I'm going to be getting into that report today
[10:52.500 --> 11:20.500]  Corzine congressional panel finds former MF global CEO ordered JPM fund transfer MF Corzine ordered funds move to JPMorgan memo says Bloomberg I mean when he got up before Congress and as the CEO at the time this happened and said I just knew nothing and
[11:20.500 --> 11:39.500]  and they all went along with it even though it had all come out at the time he'd ordered it the government tracks even thousand dollar transfers they knew about billions and everybody just played along but now lawsuits have begun due process by people wanting their money so it's coming out
[11:39.500 --> 11:51.500]  that's why due process even though the courts are very corrupt and there's not much justice left the remnant of it is holding back all this tyranny because when they spy on us without warrants it's illegal even if the CIA director comes out and says
[11:51.500 --> 12:06.500]  we spy on you through all your new appliances there is no fourth amendment he's trying to break your will and just teach you it's okay by announcing the crime when MF global takes your private money and steals it that was in your private account not even invested
[12:06.500 --> 12:25.500]  accounts people put money into then trade they took money that wasn't even in play and used to they would pay that back they're testing to see if they can get away with taking your money your stocks your money in 401ks bank accounts as is already happening in Europe under
[12:25.500 --> 12:40.500]  occupation they're testing to see if they can do this right now here's Politico memo contradicts Corzine testimony we can play the clips of Corzine going I never knew where it went and then there's the government acting like it doesn't know where it went
[12:40.500 --> 13:00.500]  it was in Forbes a week into it six months ago that it went to JP Morgan but but then oh they're not going to pay it back so let's not discuss where the money went and then the whole media played dumb and now pundits are asking the question does this mean they can steal any money they
[13:00.500 --> 13:12.500]  want any up he probably won't get in trouble folks because he knows where all the bodies are buried you know they've had Treasury Department documents come out in Congress that we've covered where before anything's done in Congress there's
[13:12.500 --> 13:27.500]  letters by Treasury Secretary Geithner telling the the the heads of the banking committees and others you must call these four men first to get permission one of them is Corzine
[13:27.500 --> 13:41.500]  Congress has to get permission from these crooks and that's what they are they're crooks and it's just the emperors new clothes when do we say no when do we realize this is a fraud when do we get some reality here
[13:41.500 --> 13:58.500]  now again I've got articles here from info wars dot com you name it from December 11th of last year four months ago let's go ahead where we let it all out to you again let's go ahead and play a clip of Terrence Duffy the head of the Chicago Mercantile Exchange where he wouldn't lie and
[13:58.500 --> 14:15.500]  admitted that Corzine was the one that wired the money directly contradicting him and and and the media didn't even pick up on this this is four months ago here it is CFTC and CME staff and auditors returned to the firm on Sunday October 30th and
[14:15.500 --> 14:30.500]  were informed by MF global employees that this discrepancy was caused by quote an accounting air our auditors work with the CFTC devoted the rest of the day and night Sunday to find the so-called accounting air no such air was ever found
[14:30.500 --> 14:48.500]  instead at about 2am Monday morning October 31st MF global informed both the CFTC and CME at approximately the same time that the shortfall was real and that customer segregated funds have been transferred out of segregation to the firms broker dealer accounts
