[00:00:03.397 --> 00:00:05.258]  It's Sunday, April 25th.
[00:00:05.258 --> 00:00:06.539]  The year is 2021.
[00:00:06.539 --> 00:00:09.441]  Alex Jones here on this special broadcast.
[00:00:09.441 --> 00:00:31.597]  Ellen Schreuer is about to be taking over for the remainder of the transmission, but I wanted just to up front thank the listeners and all of our affiliates and the crew, the sponsors, everybody else for your support, your prayers, because as negative as things are and as bad as things have been, we've got a lot of data showing us now that the Great Reset has backfired on the globalists.
[00:00:32.441 --> 00:00:36.862]  And their attempt to forcibly inoculate the planet has blown up in their face.
[00:00:36.862 --> 00:00:42.104]  Yes, the United States is the most vaccinated with this poison in the world.
[00:00:42.104 --> 00:00:44.765]  Next to the UK, we're over 15%.
[00:00:44.765 --> 00:00:49.627]  But now it's stopping dead in its tracks because so many people are literally dropping dead.
[00:00:49.627 --> 00:00:54.308]  They're also getting giant herpes-like infections all over their bodies.
[00:00:54.308 --> 00:00:55.669]  Women are becoming sterile.
[00:00:55.669 --> 00:00:58.669]  Women are growing tumors inside their uteruses.
[00:00:58.669 --> 00:01:00.170]  And again, this is all negative and sad.
[00:01:01.212 --> 00:01:11.475]  But they tried to stampede people, and a lot of folks held back and waited, and when they saw such massive carnage, it triggered a huge awakening.
[00:01:11.475 --> 00:01:15.015]  And I'm not just seeing it with the data, I'm seeing it on the street.
[00:01:15.015 --> 00:01:22.657]  A lot of people that were saying I was full of it are apologizing, so there is a lot of really spectacular development happening.
[00:01:22.657 --> 00:01:23.998]  It's very, very sad.
[00:01:23.998 --> 00:01:28.379]  There's a very famous actor in India, the article's on Infowars.com,
[00:01:29.640 --> 00:01:33.162]  He went on national TV and took the shot and said everybody should take it.
[00:01:33.162 --> 00:01:33.982]  It's totally safe.
[00:01:33.982 --> 00:01:36.263]  And that's the Indian government shot.
[00:01:36.263 --> 00:01:37.844]  They banned the Pfizer shot.
[00:01:37.844 --> 00:01:40.945]  He died of a massive heart attack the next day.
[00:01:40.945 --> 00:01:46.167]  Well, these type of vaccines cause inflammation in the brain and in the arteries.
[00:01:46.167 --> 00:01:51.429]  And if you already have close to blocked arteries in your heart, you're going to die, folks.
[00:01:51.429 --> 00:01:51.690]  That's in
[00:01:53.286 --> 00:02:00.612]  The mainline literature, like, don't give a pregnant woman any type of vaccine, much less an mRNA.
[00:02:00.612 --> 00:02:02.694]  So the globalists made their run at us.
[00:02:02.694 --> 00:02:05.336]  They did this as a test to see what we put up with.
[00:02:05.336 --> 00:02:08.438]  The lockdown was very successful up front.
[00:02:08.438 --> 00:02:13.682]  The fraud of the six feet space and, you know, all of that garbage worked for a while.
[00:02:13.682 --> 00:02:16.544]  And it shows that leftists all over the planet have really bought us a line of sinker.
[00:02:16.544 --> 00:02:17.705]  We're far from out of the woods.
[00:02:17.705 --> 00:02:22.069]  But Mark Twain said, a lie goes halfway around the world before truth puts his pants on.
[00:02:23.294 --> 00:02:35.357]  That has happened yet again, because at first they had the jump on us, they had the hysteria, they had the fear, they had the chi-com propaganda, but now it's starting to backfire on them.
[00:02:35.357 --> 00:02:43.539]  And so at first they had us in full collapse to their will, and now opposition formed, and now it's reversing very, very, very quickly.
[00:02:43.539 --> 00:02:46.080]  But it's more important than ever that we drive the point home now.
[00:02:46.778 --> 00:03:12.985]  That we don't wear the mask, that we talk to everybody we know, that we say no, that we say take the mask off our children particularly, it's abusive, it's causing track runners to collapse, have their lungs collapse, it's causing children to get bacterial pneumonia, and it's very important we get on the offense with these governors and people, not just the Santas, but people like the Texas Governor Abbott, to come out and say we were hoaxed, to come out and say we were scammed, because now
[00:03:14.497 --> 00:03:20.001]  The propaganda organ of the globalists, CNN, saying, OK, the finish line is almost here.
[00:03:20.001 --> 00:03:23.283]  Well, I guess we'll go ahead and back off this.
[00:03:23.283 --> 00:03:31.248]  And that's because they want to be the ones that declare the world open again right before they clamp it back down with a new virus, which you better believe is coming.
[00:03:31.248 --> 00:03:42.095]  So we have to get on the total offense, exposing the criminals, exposing the Wuhan lab, exposing Fauci, Bill Gates as the scammers, owning part of the vaccine companies, having conflicts of interest.
[00:03:42.873 --> 00:03:47.374]  We have to remind everybody that these vaccines were never approved around the world and have been banned all over the world.
[00:03:47.374 --> 00:03:50.275]  Think of that victory!
[00:03:50.275 --> 00:03:52.796]  All the vaccines have been banned in different countries.
[00:03:52.796 --> 00:03:54.176]  Some in different countries.
[00:03:54.176 --> 00:04:01.638]  But some of the vaccines have been completely banned in Europe, completely banned in Australia, completely banned in areas of Africa and Latin America.
[00:04:01.638 --> 00:04:02.299]  The U.S.
[00:04:02.299 --> 00:04:06.420]  is the dumping ground for every poison that's out there because, again, we're the main target of this.
[00:04:07.378 --> 00:04:09.781]  We have to keep exposing the Great Reset Agenda.
[00:04:09.781 --> 00:04:12.804]  We have to expose this is only their first big salvo.
[00:04:12.804 --> 00:04:19.090]  But as the battle begins into the future, this is going very, very good compared to what the globalists wanted.
[00:04:19.090 --> 00:04:19.871]  They are in deep trouble.
[00:04:20.931 --> 00:04:22.552]  Their program is in freefall.
[00:04:22.552 --> 00:04:24.212]  Their lie is in freefall.
[00:04:24.212 --> 00:04:25.553]  It was never approved.
[00:04:25.553 --> 00:04:26.633]  It was never authorized.
[00:04:26.633 --> 00:04:29.074]  It was a giant genetic engineering testing.
[00:04:29.074 --> 00:04:33.656]  They couldn't get these things approved before, so they did this giant hoax to shove it on us.
[00:04:33.656 --> 00:04:38.597]  And thanks to InfoWars, and thanks to you, and thanks to God above, we are going to win this fight.
