[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[00:22.120 --> 00:26.200]  world due to lockdown most of the transmission that's actually happening
[00:26.200 --> 00:31.600]  in many countries now is happening in the household at family level in some
[00:31.600 --> 00:36.000]  senses transmission has been taken off the streets and pushed back into family
[00:36.000 --> 00:41.440]  units now we need to go and look in families to find those people who may
[00:41.440 --> 00:48.400]  be sick and remove them and isolate them in a safe and dignified manner
[00:48.400 --> 00:58.840]  it's 1159 radio Free America and this is Uncle Sam with music and the truth
[00:58.840 --> 01:02.760]  until dawn right now I got a few words for some of our brothers and sisters in
[01:02.760 --> 01:07.760]  the occupied zone the chair is against the wall the chair is against the wall
[01:07.760 --> 01:13.680]  John has a long mustache John has a long mustache it's 12 o'clock American
[01:13.680 --> 01:17.520]  another day closer to victory and for all of you out there on or behind the
[01:17.520 --> 01:21.320]  lines this is your song
[01:24.560 --> 01:28.320]  but they took a lot of people away people that they thought we're gonna make
[01:28.320 --> 01:31.680]  trouble for them people that had guns and things they wanted to just took them
[01:31.680 --> 01:36.960]  away where we education camps that's what they call it so part of the gap to
[01:36.960 --> 01:41.040]  break through our kind of private idea that kids belong to their parents or kids
[01:41.040 --> 01:48.040]  belong to their families and recognize the kids belong to whole communities. I have decided we really need camps for adults
[01:48.040 --> 01:56.640]  and we need to have camps that you all run I mean really. All persons of Japanese
[01:56.640 --> 02:00.480]  descent were required to register now they were taken to racetracks and
[02:00.480 --> 02:04.740]  fairgrounds where the army almost overnight had built assembly centers. I'm a
[02:04.740 --> 02:11.240]  song citizen I refuse to recognize you guys. What kind of a situation in the U.S. would you see that happening?
[02:11.240 --> 02:19.000]  I mean we've got a lot of Constitution lists and a lot of people that stockpile weapons. Plus you have a lot of people that are coming out of the military that have the ability and the
[02:19.000 --> 02:26.200]  knowledge to to build IEDs and to defeat law enforcement techniques. These people are
[02:26.200 --> 02:30.480]  radicalized and they don't support the United States and they're disloyal to
[02:30.480 --> 02:35.040]  the United States. It's our right and our obligation to segregate them from the
[02:35.040 --> 02:37.880]  normal community.
[02:41.880 --> 02:49.880]  There's hope in doing here unless not a kid about it we're building a domestic army because the government is afraid of its own citizens.
[02:49.880 --> 02:57.400]  Put your gun down really. Rallying patriots worldwide in defense of human
[02:57.400 --> 03:04.400]  liberty. It's Alex Jones. Are you some kind of a constitutionalist?
[03:04.400 --> 03:13.400]  So these people who hold themselves out to be patriots are not. They're nothing more than domestic terrorists.
[03:13.400 --> 03:30.400]  If you are receiving this transmission you are the resistance.
[03:30.400 --> 03:38.400]  What a four months old baby is caught in the middle of a row between his parents and House New Zealand. He needs life-saving surgery but his
[03:38.400 --> 03:45.400]  parents don't want him to receive blood from those who have been vaccinated and now House New Zealand wants guardianship.
