[00:00.000 --> 00:10.000]  Live from Austin, Texas broadcasting worldwide it's Alex Jones
[00:31.000 --> 00:39.000]  Long Legged Mac Daddy Barack Hussein Obama
[00:39.000 --> 00:46.000]  Ladies and gentlemen we're live already on the second day of February 2014
[00:46.000 --> 00:52.000]  well into the second month of 2014 and you want it you got it's Super Bowl
[00:52.000 --> 01:01.000]  48 coverage we're gonna talk all about Peyton Manning and what a great man he is and how he focuses on winning the game and what a leader he is
[01:01.000 --> 01:11.000]  not on human colonies going into deep space and not on life extension technologies not on knowing how society really works and having a free country
[01:11.000 --> 01:19.000]  man if men got into all the factoids of freedom and business and life we'd have men again who were in charge and running their families and running their lives
[01:19.000 --> 01:30.000]  and we'd have governments that were on short leashes but we don't because men now are experts on all the moves in the mail so popular that is the NFL
[01:30.000 --> 01:37.000]  and look I'll be honest with you I like football as much as the next person
[01:37.000 --> 01:43.000]  the problem is is that it's such a vehicle of propaganda now for the establishment more than ever
[01:43.000 --> 01:55.000]  we have this history of authoritarian regimes from Rome to Nazi Germany right through to North Korea today and using basketball as a control system
[01:55.000 --> 02:06.000]  countrywide that we know it can become hijacked and very very sick so I wanted to be fair today we're gonna have live coverage from East Rutherford
[02:06.000 --> 02:15.000]  or Jacare Jackson and of course Josh Owens are there reporting live they're about to go into the Super Bowl they're gonna be covering it all for us during and after the game tonight
[02:15.000 --> 02:31.000]  and then with Aftermath tomorrow on the weekday transmission but right before the show I came up with the bad column and the good column here of NFL
[02:31.000 --> 02:40.000]  and professional sports in general and in the bad column and I'm gonna to tell these in the next segment
[02:40.000 --> 02:50.000]  NFL sports is parasitic gives fall streams police state promo government becomes the heroes the basic corruption the diversion from reality
[02:50.000 --> 03:03.000]  the historical connection to gladiators and decline bad role models a male soap opera arrested development anti gun pro Obama the NFL messages people only talk about sports nothing else
[03:03.000 --> 03:17.000]  it kills the culture uses suppress real male activities takes over the area of the brain meant for planning and survival that is the the the the bad areas
[03:17.000 --> 03:27.000]  and then we have the good areas here pro manly man no guts no glory work hard you can succeed sports good for kids and adults to play
[03:27.000 --> 03:38.000]  keeping competition alive something the establishment wants to get rid of schools banning dodgeball not letting people be a students
[03:38.000 --> 03:49.000]  and teaches sportsman like conduct how to win how to lose because as the old Aerosmith song says you got to lose before you can know how to win
[03:49.000 --> 03:59.000]  so there's some positive aspects as well we've got all the news breaking on it but don't worry Obama tweeted today a photo of himself throwing a football
[03:59.000 --> 04:10.000]  and he has hogged up Fox television it's on local TV here in all the country with him putting on his propaganda for an hour before the game with Bill O'Reilly
[04:10.000 --> 04:23.000]  so this is the system forcing itself into our lives just like the the the attack choppers and the the gunboats and the TSA and the bomb sniffing dogs
[04:23.000 --> 04:35.000]  oh where the heroes were the government protecting you from the Al Qaeda and Taliban just one big problem they publicly run the Taliban Al Qaeda overseas and then open the door up for him here so they can be heroes
[04:35.000 --> 04:49.000]  so that's all coming up we got a big big lineup for you but don't worry they have men in military uniforms as the defense force of our precious game
[04:49.000 --> 04:58.000]  oh the evil outsiders they might try to attack the precious NFL give me a big fat stinking break
[04:58.000 --> 05:08.000]  introducing pro one all of your filtration in one system portable on the go no more do you have two or three filters to just reduce sodium fluoride
[05:08.000 --> 05:21.000]  you have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosalic acid advanced manufacturing technology combines silver impregnated white ceramic with new aqua medics advanced media
[05:21.000 --> 05:32.000]  a removal of fluoride and other heavy metals all in one filter element it is the only one that does it and out of the gates we have it discounted at 10% off with promo code water
