[00:00:03.860 --> 00:00:05.200]  We're live!
[00:00:05.200 --> 00:00:07.581]  It's Sunday, January 8th.
[00:00:07.581 --> 00:00:15.003]  English historian Peter Heather controversially argued that Rome was ultimately overcome by illegal immigration.
[00:00:15.003 --> 00:00:23.566]  Heather accepted the academic analysis that the Huns on the Pontic Steppe in the late 4th century set these migrations in motion.
[00:00:25.066 --> 00:00:26.067]  Those are catapults!
[00:00:26.067 --> 00:00:36.437]  However, according to Heather, the assumption that the barbarians were then peacefully absorbed into Rome smells more of wishful thinking than likely reality.
[00:00:36.437 --> 00:00:40.541]  Rome had always been an inclusive society that welcomed immigrants.
[00:00:40.541 --> 00:00:46.306]  Immigrants were given employment in the Roman army, but were welcome only if they assimilated.
[00:00:46.306 --> 00:00:48.008]  Of course, Rome still fell.
[00:00:48.368 --> 00:01:02.612]  What makes anyone think that the United States and Europe can absorb violent, non-assimilating immigrants from all over the world, with the result not ultimately collapsing 21st century civilization?
[00:01:02.612 --> 00:01:05.133]  Sie machen Berlin zu Bagdad.
[00:01:05.133 --> 00:01:08.054]  The drug crisis in the United States continues to escalate.
[00:01:08.054 --> 00:01:12.135]  This year, more than 100,000 Americans died due to a drug overdose.
[00:01:12.135 --> 00:01:15.016]  It is now one of the top ten reasons for deaths in America.
[00:01:15.216 --> 00:01:28.462]  Breitbart reported that Texas Attorney General Ken Paxton filed a lawsuit against the Biden administration over its rural change allowing immigrants into the country who will be dependent on welfare.
[00:01:28.462 --> 00:01:39.908]  Federal immigration law has required a public charge determination for immigrants which bars them from staying in the country if they are likely to use welfare programs
[00:01:40.368 --> 00:01:42.791]  Like food stamps, Medicaid or government housing.
[00:01:55.445 --> 00:02:11.210]  Similarly, about 63% of non-citizen households use at least one form of public welfare, while only about 35% of native-born American households are on welfare.
[00:02:11.210 --> 00:02:15.191]  The architects of this collapse know full well what they're doing.
[00:02:15.191 --> 00:02:20.993]  We hear frequently that people are at the center of sustainable development.
[00:02:20.993 --> 00:02:24.954]  And we know that, by definition, people are at the center of populations.
[00:02:26.055 --> 00:02:38.360]  Well, from these two simple observations, it follows that an understanding of population patterns and trends will be essential for the successful implementation of the 2030 Agenda for Sustainable Development.
[00:02:38.360 --> 00:02:39.100]  Let me be clear.
[00:02:39.924 --> 00:02:45.185]  Title 42 or not, the border is not open.
[00:02:45.185 --> 00:02:51.927]  The collapse is right in front of us as Californians flee for Mexico under California Governor Newsom.
[00:02:51.927 --> 00:02:54.388]  Wealthy are leaving California too.
[00:02:54.388 --> 00:03:02.190]  Some fear that mass departures by the state's billionaires and tech companies could reduce local and state tax revenues.
[00:03:02.190 --> 00:03:06.251]  Just one percent of California's top income earners are responsible for
[00:03:06.451 --> 00:03:11.254]  How many American children are going to be burned alive before our elected leaders decide to take action?
[00:03:11.254 --> 00:03:12.114]  The Republicans don't care.
[00:03:12.114 --> 00:03:14.275]  They don't want to stand up to the donor class.
[00:03:14.275 --> 00:03:15.776]  The Democrats sure don't care.
[00:03:15.776 --> 00:03:16.356]  They want new voters.
[00:03:16.356 --> 00:03:16.696]  Big business?
[00:03:16.696 --> 00:03:17.437]  They want cheap labor.
[00:03:33.405 --> 00:03:44.574]  Meanwhile, ICE is confirming that Jose Rosales, who is accused of killing Harris County, Texas, Corporal Charles Galloway, is in the country illegally when he murdered that officer.
[00:03:44.574 --> 00:03:45.875]  Tell us what happened to your brother.
[00:03:45.875 --> 00:03:50.299]  He was murdered in 2018 by an illegal criminal alien.
[00:03:50.299 --> 00:03:54.483]  She was rear-ended by Edwin Mejia, who was 19 years old.
[00:03:55.583 --> 00:03:57.124]  Here illegally.
[00:03:57.124 --> 00:04:03.987]  Margarito Quintero Rosales told authorities he fell asleep at the wheel and his van drifted into the oncoming lane.
[00:04:03.987 --> 00:04:05.507]  He was here illegally.
[00:04:05.507 --> 00:04:16.032]  There's not a day goes by in this country that there isn't at least one American citizen that dies at the hands of someone who's unlawfully present in the United States.
[00:04:16.032 --> 00:04:23.555]  Whether it is an act of homicide, whether it's an act of willful manslaughter, whether it's an OWI on the streets of America,
[00:04:24.375 --> 00:04:34.246]  Hardly anybody has gone through the last 10 years and doesn't at least see that show up in their local newspaper if it doesn't show up in their neighborhood.
[00:04:34.246 --> 00:04:45.418]  The cold reality ignored by the media industrial complex lingers in the shadows of a crumbling America vomiting the United Nations replacement migration directive
[00:04:45.678 --> 00:04:58.624]  Fueled by globalist trillionaire NGOs, kept in motion by runaway government corruption, and rammed down the throats of the American taxpayer in order to usher in a new world order.
[00:04:58.624 --> 00:05:03.666]  Good news and some bad news on multiple fronts.
[00:05:03.666 --> 00:05:07.848]  The good news is vitamin and mineral fusion and DNA Force Plus are still 15% off.
[00:05:09.853 --> 00:05:12.555]  The bad news is they're very close to selling out.
[00:05:12.555 --> 00:05:19.521]  And by Monday of next week, and I'm cutting this ad on January 5th, 2023, we're going to have to go back to full price.
[00:05:19.521 --> 00:05:22.003]  And then about a week after that, they'll be sold out.
[00:05:22.003 --> 00:05:22.784]  So that's good news.
[00:05:22.784 --> 00:05:23.945]  You can still get the products.
[00:05:23.945 --> 00:05:26.347]  It's bad news because they're about to be sold out.
[00:05:27.105 --> 00:05:29.427]  Because they're also some of our best-selling products.
[00:05:29.427 --> 00:05:32.210]  When we don't have them, we can't fund the operation.
[00:05:32.210 --> 00:05:35.212]  So it is a real conundrum, but that's just where we're at.
[00:05:35.212 --> 00:05:38.015]  I want to thank all the listeners for your ongoing support.
[00:05:38.015 --> 00:05:47.744]  But if you want Vitamineral Fusion, it's so incredible for your immune system, your whole body, and DNA Force Plus that helps your telomeres last longer and cleans out your mitochondria and so much more, you can get them both exclusively.
[00:05:48.124 --> 00:05:49.645]  It's Sunday, January 8th.
[00:06:14.992 --> 00:06:16.113]  InfoWars.
[00:06:16.113 --> 00:06:23.237]  Tomorrow's news, today.
[00:06:23.237 --> 00:06:27.339]  You are either with the Republic or against it.
[00:06:27.339 --> 00:06:30.881]  Resistance to tyrants is obedience to God.
[00:06:30.881 --> 00:06:32.983]  It's Alex Jones.
[00:06:36.643 --> 00:06:50.055]  Holding high above my head the eternal torch of liberty, the defense of life and free will, and the worship of the creator of the universe.
[00:06:50.055 --> 00:06:53.278]  Well, we have quite the transmission lined up for you this evening.
[00:06:55.089 --> 00:07:08.917]  I returned yesterday after a very important time spent with family and cogitating and really thinking about what's currently happening and the future that's about to unfold and how we can be part of that future and not just be bystanders and let the new world order run over us.
[00:07:08.917 --> 00:07:12.199]  And I am recharged and ready and back in studio.
[00:07:12.199 --> 00:07:16.341]  I won't just be hosting, obviously, this Sunday show, but the weekday program, 11 a.m.
[00:07:16.341 --> 00:07:16.942]  to 3 p.m.
[00:07:16.942 --> 00:07:23.305]  Central at the demonized, attacked, censored, lied about Fulcrum of Liberty Infowars.com.
[00:07:25.339 --> 00:07:30.041]  All right, let's dive straight into it.
[00:07:30.041 --> 00:07:47.967]  I'm going to get to all the other huge news coming up at the bottom of the hour, but right now let's drill in to the puppet globalist Joe Biden following the UN replacement migration plan that the United Nations developed that Europe's been following and that we've been following for decades.
[00:07:47.967 --> 00:07:51.648]  He touched down about two hours ago in El Paso.
[00:07:51.648 --> 00:07:54.529]  He's scheduled to take off in the next 30 minutes, a touch and go.
[00:07:55.803 --> 00:08:05.189]  And he's wandering around basically claiming that he's serving the supposed broken border and saying it's just fine.
[00:08:05.189 --> 00:08:14.455]  They have openly cleaned out all the illegal alien camps and UN camps and shipped the tent city set up on the other side of the U.S.
[00:08:14.455 --> 00:08:16.476]  border in El Paso out.
[00:08:16.476 --> 00:08:21.159]  So it's quite the Potemkin village or the
[00:08:24.318 --> 00:08:30.761]  Matrix-like deception that we are witnessing right now.
[00:08:30.761 --> 00:08:32.142]  And here are some of the headlines.
[00:08:32.142 --> 00:08:32.622]  Crisis?
[00:08:32.622 --> 00:08:33.862]  What crisis?
[00:08:33.862 --> 00:08:45.628]  El Paso clears out migrant camps ahead of Biden's first trip to the border Sunday as frustrated agents say numbers always fall in January and he might as well have gone to Des Moines.
[00:08:45.628 --> 00:08:48.189]  Meanwhile, Biden's readying to announce his
[00:08:50.700 --> 00:08:53.244]  Relaunched for his 2024 campaign.
[00:08:53.244 --> 00:08:54.466]  Yes, he's that arrogant.
[00:08:54.466 --> 00:09:00.374]  Can't even hardly talk or walk now, but they want a zombie just like Fetterman in office they can control.
