[00:00:26.212 --> 00:00:27.513]  It's Sunday, August 25th.
[00:00:27.513 --> 00:00:29.315]  This is the Alex Jones Show.
[00:00:29.315 --> 00:00:30.696]  Owen Schroer filling in for Alex.
[00:00:30.696 --> 00:00:34.179]  He had a last-minute family emergency to take care of, but no worries.
[00:00:34.179 --> 00:00:43.286]  We've got lots of video clips coming up, some stuff you won't believe, and including a great guest in-studio count, Dankula, excuse me, no, Sargon of Akkad.
[00:00:43.286 --> 00:00:47.149]  Sorry, I literally just got back from vacation less than 12 hours ago, so forgive me.
[00:00:47.149 --> 00:00:48.950]  Let's just go to the Gregory's Cliff.
[00:00:48.950 --> 00:00:49.951]  Nice, nice pitch, Schroer.
[00:00:49.951 --> 00:00:50.712]  Go to the Gregory's Cliff.
[00:00:58.388 --> 00:01:02.692]  Hong Kong protesters wave the American flag in their marches.
[00:01:02.692 --> 00:01:06.455]  Why are you all holding the American flag today for this protest?
[00:01:06.455 --> 00:01:12.240]  It's because the American flag represents freedom, democracy, and liberty.
[00:01:12.240 --> 00:01:16.344]  And we wish to raise the awareness from the American people.
[00:01:16.344 --> 00:01:18.085]  And we wish the U.S.
[00:01:18.085 --> 00:01:24.071]  Congress can pass the Hong Kong Human Rights and Democracy Act as soon as possible.
[00:01:25.566 --> 00:01:35.508]  Saturday's protests in Hong Kong was about standing against Chai Kam facial recognition and the social credit score system.
[00:01:35.508 --> 00:01:39.249]  And they used the Pepe the Frog meme as a symbol of freedom.
[00:01:39.249 --> 00:01:41.870]  What does Pepe the Frog mean to your movement?
[00:01:41.870 --> 00:01:51.952]  Actually, we think that it is a kind of sticker that is well known and it is easy to spread for people to know more about what this protest means and what we are doing now.
[00:01:52.611 --> 00:01:59.182]  Have you heard that in America a lot of the mainstream media and the left are actually saying that this is a racist symbol for some reason?
[00:01:59.574 --> 00:02:16.739]  Yeah, I know this in the recent days, but I think that the creator of the PIP has come out and speak for us that we are not representing the left society, but represent the Hong Kong people.
[00:02:16.739 --> 00:02:18.139]  Yeah, and freedom, I would say, too.
[00:02:18.139 --> 00:02:19.619]  It's almost the exact opposite.
[00:02:19.619 --> 00:02:20.259]  Thank you for talking to me.
[00:02:20.259 --> 00:02:23.740]  Do you have anything else you'd like to say to our audience in America and the world?
[00:02:23.740 --> 00:02:24.981]  Hong Kong people never give up.
[00:02:27.367 --> 00:02:33.112]  After the march officially ended, police in riot gear began clearing the streets.
[00:02:33.112 --> 00:02:35.935]  And many Hong Kongers stayed to provoke them.
[00:03:04.340 --> 00:03:29.790]  The police pushed them in towards a mall.
[00:03:36.109 --> 00:03:44.135]  Where the protesters began spraying the ground with soapy water.
[00:03:44.135 --> 00:03:46.856]  And continued to challenge the police.
[00:03:59.002 --> 00:04:01.344]  Don't blame the police!
[00:04:01.344 --> 00:04:04.986]  Don't blame the police!
[00:04:23.339 --> 00:04:28.121]  They began pulling up sewer grates and made a makeshift barricade on the slippery ground.
[00:04:46.875 --> 00:04:53.523]  Alright ladies and gentlemen, all the incredible footage from our crew in Hong Kong can be found at InfoWars.com.
[00:04:53.523 --> 00:04:55.686]  Dozens of reports being filed and more coming.
[00:04:55.686 --> 00:04:56.287]  We'll be right back.
[00:04:59.309 --> 00:05:04.893]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[00:05:04.893 --> 00:05:05.934]  Alpha Power.
[00:05:05.934 --> 00:05:09.396]  As you age, your body can lose testosterone over time.
[00:05:09.396 --> 00:05:18.303]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:05:18.303 --> 00:05:26.469]  Alpha Power's incredible ingredients can help you boost your sport performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:05:27.069 --> 00:05:32.490]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[00:05:32.490 --> 00:05:39.712]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:05:39.712 --> 00:05:43.393]  Let Alpha Power help bring you to the peak of your optimal health.
[00:05:43.393 --> 00:05:46.454]  Don't fall short on energy in the fight against tyranny.
[00:05:46.454 --> 00:05:50.495]  Show the world what a True Alpha Male looks like today with Alpha Power.
[00:05:50.495 --> 00:05:52.976]  Head to InfoWarsStore.com today.
[00:06:06.901 --> 00:06:08.144]  You found it.
[00:06:08.144 --> 00:06:10.167]  The tip of the spear.
[00:06:10.167 --> 00:06:15.016]  It is the Alex Jones Show with Owen Troyer.
[00:06:26.980 --> 00:06:31.041]  It's Sunday, August 25th, 2019.
[00:06:31.041 --> 00:06:33.321]  This is the Alex Jones Show.
[00:06:33.321 --> 00:06:39.502]  Owen Troyer filling in for Alex today, but we've got a couple of great guests.
[00:06:39.502 --> 00:06:40.702]  They're going to be in studio.
[00:06:40.702 --> 00:06:55.125]  Sargon of Akkad is going to be in studio with me today on the Alex Jones Show, and then also Count Dankula will be in studio with Alex tomorrow, and they will be filing some other videos and reports for your viewing pleasure exclusively
[00:06:55.968 --> 00:07:05.174]  At InfoWars.com and InfoWars.com only because, you know, they've banned us off Twitter and Facebook and YouTube.
[00:07:05.174 --> 00:07:14.360]  And then those accounts that they let post InfoWars stuff still, they just shadow ban them, take away their view counts, make sure nobody can see their stuff.
[00:07:14.360 --> 00:07:16.222]  But, oh, you still have an account.
[00:07:16.222 --> 00:07:18.703]  It's just nobody sees it.
[00:07:18.703 --> 00:07:22.406]  And sure, it all came out via Google whistleblowers.
[00:07:22.406 --> 00:07:25.348]  In fact, many of them have been in studio or on air with us now.
[00:07:26.778 --> 00:07:32.541]  And everything that we reported on going on with the social media and internet censorship has come true.
[00:07:32.541 --> 00:07:56.011]  Now, there's so many developing news stories from Hong Kong and Taiwan and China where we have a crew in Hong Kong, to what's happening with the renaissance in the West, what's happening with the deep state having to expose itself to try to remain in power, and how this shockwave
[00:07:57.748 --> 00:08:07.056]  Of a nationalist renaissance that was the election of Donald Trump has now gone worldwide.
[00:08:07.056 --> 00:08:13.321]  And so everybody's hopping on board this revolution now because finally one man has just been brave enough to embark.
[00:08:13.321 --> 00:08:15.142]  That doesn't mean Trump is perfect.
[00:08:15.142 --> 00:08:21.067]  It means finally a figurehead bucking the system is here.
[00:08:21.067 --> 00:08:26.252]  Finally a figurehead that is so hated by the establishment is here.
[00:08:27.307 --> 00:08:32.929]  And is not willing to back down.
[00:08:32.929 --> 00:08:43.472]  And so that's what's going worldwide with Boris Johnson and the Brexit, with everything happening in Hong Kong and other places.
[00:08:43.472 --> 00:08:47.793]  And we sit here as one of the most censored news organizations in the West.
[00:08:47.793 --> 00:08:48.293]  Why?
[00:08:48.293 --> 00:08:51.774]  Because we told you it was all going to happen.
[00:08:54.793 --> 00:09:01.396]  And so we've got all these crazy videos coming up, but you know, what the mainstream media is doing to President Trump right now is honestly criminal.
[00:09:01.396 --> 00:09:06.139]  And it's reached a point of insanity that we've not yet seen before.
[00:09:06.139 --> 00:09:15.504]  Now, we're going to get into all the Hong Kong news, we've got a lot of developing news stories right here, a ton of video clips to get to, Sargon of Akkad coming up in studio.
[00:09:15.504 --> 00:09:17.325]  But you have a CNN panel
[00:09:20.129 --> 00:09:22.311]  Now they've gone, you know, where do you start?
[00:09:22.311 --> 00:09:24.772]  Well, Trump talks inappropriately about women.
[00:09:24.772 --> 00:09:25.473]  Well, that didn't work.
[00:09:25.473 --> 00:09:26.974]  Okay, let's say he rapes women.
[00:09:26.974 --> 00:09:27.975]  Well, Trump rapes women.
[00:09:27.975 --> 00:09:30.276]  Okay, well, you're already proven liars.
[00:09:30.276 --> 00:09:31.017]  Nobody believes that.
[00:09:31.017 --> 00:09:35.080]  Well, Trump's tax returns are going to bring him down, so they release the tax returns.
[00:09:35.080 --> 00:09:35.740]  Eh, nothing there.
[00:09:35.740 --> 00:09:37.482]  I mean, it just goes on and on.
[00:09:37.482 --> 00:09:38.843]  I mean, name the names.
[00:09:38.843 --> 00:09:40.304]  Manafort would bring down Trump.
[00:09:40.304 --> 00:09:42.966]  He didn't.
[00:09:42.966 --> 00:09:44.286]  Cohen would bring down Trump.
[00:09:44.286 --> 00:09:44.787]  He didn't.
[00:09:44.787 --> 00:09:45.888]  Stormy Daniels.
[00:09:45.888 --> 00:09:46.168]  Nothing.
[00:09:47.694 --> 00:09:53.777]  And then it's, he's a racist, he's a bigot, he's KKK, he's Nazi.
[00:09:53.777 --> 00:09:57.319]  And you think, well, maybe that's about as far as they can go, right?
[00:09:57.319 --> 00:10:03.923]  I mean, calling someone a racist, a Nazi, a KKK leader, I mean, this is about as far as you can go.
[00:10:03.923 --> 00:10:07.705]  Oh no!
[00:10:07.705 --> 00:10:09.406]  Oh no!
[00:10:09.406 --> 00:10:12.808]  CNN has actually gone farther.
[00:10:12.808 --> 00:10:13.689]  You ask, how?
[00:10:15.316 --> 00:10:26.338]  Well here is the clip of CNN now saying that Trump has murdered more people than every communist dictator that is responsible for millions and millions of deaths.
[00:10:26.338 --> 00:10:34.040]  Listen to what CNN, they've now gone beyond racist, beyond Nazi, beyond the pale.
[00:10:34.040 --> 00:10:44.882]  They've totally untethered from any sense of reality and this is a CNN panel saying that Trump is now a mass murderer the likes of every communist dictator that ever lived.
[00:10:47.366 --> 00:10:53.249]  Well, I think that medicalizing politics has three very dire consequences.
[00:10:53.249 --> 00:10:56.910]  The first is that it stigmatizes the mentally ill.
[00:10:56.910 --> 00:11:03.413]  I've known thousands of patients, almost all of them have been well-behaved, well-mannered, good people.
[00:11:03.413 --> 00:11:05.174]  Trump is none of these.
[00:11:05.174 --> 00:11:11.637]  Lumping the mentally ill with Trump is a terrible insult to the mentally ill, and they have enough problems and stigma as it is.
[00:11:12.797 --> 00:11:24.463]  The second issue is that calling Trump crazy hides the fact that we're crazy for having elected him, and even crazier for allowing his crazy policies to persist.
[00:11:24.463 --> 00:11:31.246]  Trump is as destructive a person in this century as Hitler, Stalin, and Mao were in the last century.
[00:11:31.246 --> 00:11:34.508]  He may be responsible for many more million deaths than they were.
[00:11:35.228 --> 00:11:40.311]  He needs to be contained, but he needs to be contained by attacking his policies.
[00:11:40.311 --> 00:11:42.452]  Just pause that shot right there and look at that.
[00:11:42.452 --> 00:11:43.092]  No, no, go back.
[00:11:43.092 --> 00:11:47.235]  Just look at this panel.
[00:11:47.235 --> 00:11:52.898]  Just look at this panel of limp-necked... I mean, this is unbelievable.
[00:11:52.898 --> 00:11:54.779]  I can't believe what I just heard.
[00:11:54.779 --> 00:12:00.922]  This is a CNN guest of Brian Stelter's, Pennywise.
[00:12:00.922 --> 00:12:03.624]  You know, the guy... This is how Brian Stelter gets a guest on air.
[00:12:04.392 --> 00:12:07.975]  Come on the air with me, the popcorn's ready!
[00:12:07.975 --> 00:12:09.897]  You smell the peanuts?
[00:12:09.897 --> 00:12:11.719]  We're all gonna flow!
[00:12:11.719 --> 00:12:14.301]  Just come on Brian Stelter!
[00:12:14.301 --> 00:12:16.604]  Tell him Trump murders millions of people!
[00:12:16.604 --> 00:12:21.068]  I mean, it's like... See, where do they go next?
[00:12:21.068 --> 00:12:22.069]  That's the question everybody asks.
[00:12:23.632 --> 00:12:24.533]  So where do they go next?
[00:12:24.533 --> 00:12:30.277]  Now they're saying Trump is worse than a man who's murdered millions and millions of people.
[00:12:30.277 --> 00:12:32.978]  In fact, they're saying his policies are going to do that now on CNN.
[00:12:32.978 --> 00:12:34.559]  This is CNN.
[00:12:34.559 --> 00:12:35.700]  Who did CNN just hire?
[00:12:35.700 --> 00:12:40.524]  Was it Andrew McCabe, the disgraced FBI agent?
[00:12:40.524 --> 00:12:43.786]  Oh!
[00:12:43.786 --> 00:12:47.468]  This is CNN, Reliable Sources with Brian Stelter.
[00:12:47.468 --> 00:12:48.089]  And don't worry.
[00:12:49.386 --> 00:13:00.951]  All of our fake news is yet to bring down Trump, so we're going to take it to the next level, and we're going to say that Donald Trump has murdered hundreds of millions, and he must be brought into justice.
[00:13:00.951 --> 00:13:02.011]  So, that's what they said.
[00:13:02.011 --> 00:13:04.312]  It starts with mental illness.
[00:13:04.312 --> 00:13:06.033]  Trump is mentally ill.
[00:13:06.033 --> 00:13:07.474]  No, he's not.
[00:13:07.474 --> 00:13:09.655]  You're mentally ill.
[00:13:09.655 --> 00:13:15.437]  If we're going to be... I mean, let's be real, like all jokes aside, if anyone is mentally ill, it's Brian Stelter.
[00:13:20.083 --> 00:13:25.864]  I mean, Donald Trump took a drug test and he was on what?
[00:13:25.864 --> 00:13:28.485]  I think it was like some kidney prescription or something.
[00:13:28.485 --> 00:13:29.325]  He had a couple prescriptions.
[00:13:29.325 --> 00:13:34.446]  I wonder what Brian Stelter takes before he goes on air.
[00:13:34.446 --> 00:13:36.187]  Or Rachel Maddow.
[00:13:36.187 --> 00:13:38.727]  You don't think maybe there's some prescription drugs in there?
[00:13:38.727 --> 00:13:40.128]  Hey, I don't know!
[00:13:40.128 --> 00:13:44.189]  You guys sit on air and say Trump's mentally ill all day and he's responsible for hundreds of millions of people.
[00:13:44.189 --> 00:13:45.889]  I'm starting to think you're mentally ill!
[00:13:50.182 --> 00:13:58.105]  We're going to get to all of the big news and all of the headlines at InfoWars.com coming up here.
[00:13:58.105 --> 00:14:05.667]  So I have been on a vacation for the last week, and I totally check out normally when I do this.
[00:14:05.667 --> 00:14:12.810]  So I'm a little rusty coming on air here, but the good news is the crew brought me some TurboForce.
[00:14:12.810 --> 00:14:13.950]  And this is the real deal.
[00:14:13.950 --> 00:14:15.931]  A lot of people say, oh, you know, oh, it's a gimmick.
