[00:00.000 --> 00:08.680]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08.680 --> 00:12.640]  It's Alex Jones and the GCN Radio Network.
[00:12.640 --> 00:21.160]  We are locked and loaded first live, transmission of 2011.
[00:21.160 --> 00:22.720]  I'm Alex Jones, your host.
[00:22.720 --> 00:24.600]  We're going to be here live for the next two hours.
[00:24.600 --> 00:29.960]  It is the abbreviated Sunday transmission, now doing the show for over three years.
[00:29.960 --> 00:39.880]  From 4 to 6 p.m. Central Standard Time, and of course, we've now been on the air off and on for more than 15 years.
[00:39.880 --> 00:48.880]  Hard to believe, since 1995, and I've been doing radio money through Friday since 1998.
[00:48.880 --> 00:58.480]  So going into our 13th year now of that, of course, weekdays, 11 a.m. to 2 p.m. Central Standard Time.
[00:58.480 --> 01:05.680]  And this will be the year that we launch our daily news TV show and our weekly, highly produced TV show, 2011.
[01:05.680 --> 01:10.960]  Lord willing, hopefully early in 2011, will be the year that we launch that as well.
[01:10.960 --> 01:15.800]  Thank you so much for joining us today.
[01:15.800 --> 01:18.520]  It'll seem like five minutes from now we'll be announcing.
[01:18.520 --> 01:23.480]  It is the first day of 2012, 2012.
[01:23.480 --> 01:26.880]  Thank you for joining us, but here we are.
[01:26.880 --> 01:29.200]  Have the stacks all here in front of me.
[01:29.200 --> 01:34.360]  Big sis photocopies credit cards confiscates Christmas calendars.
[01:34.360 --> 01:42.360]  And we have the video of Homeland Security admitting that they now will randomly take your, not just your ID and your passport,
[01:42.360 --> 01:44.960]  but your credit cards and photocopy those as well.
[01:44.960 --> 01:49.560]  This on the heels of them grabbing people's cell phones and downloading everything on them.
[01:49.560 --> 01:55.360]  Laptops, no judge, no jury, no warrant, total goon force.
[01:55.360 --> 02:02.880]  I did some searching and did confirm that Homeland Security is now digging through general mail domestically and internationally.
[02:02.880 --> 02:08.320]  My mother three, four weeks ago went on a trip to Europe with one of her friends.
[02:08.320 --> 02:20.680]  And while she was over in Europe, I guess for Christmas, they mailed back a, a advent calendar, a Christmas calendar where every day of Christmas has a piece of chocolate in it.
[02:20.680 --> 02:27.440]  And my mother's friend Homeland Security got very, very upset, sent him a letter and then said, you're not allowed to do that.
[02:27.440 --> 02:29.080]  It could be terrorism.
[02:29.080 --> 02:30.560]  Chocolate is very evil.
[02:30.560 --> 02:35.000]  So they know they can set the precedent to just do outrageous things.
[02:35.000 --> 02:38.680]  They can do anything stick their hands down your pants.
[02:38.680 --> 02:39.880]  What's coming next?
[02:39.880 --> 02:42.440]  Well, it will be DNA database thing.
[02:42.440 --> 02:44.800]  And that's already on the books as an executive order.
[02:44.800 --> 02:47.520]  So we're going to be breaking that down today.
[02:47.520 --> 03:09.880]  Also, we learned in what the ninth of December last year, wow, last year, 2010, last year now, take some getting used to that, that the film machete was denied tax breaks in the state of Texas, the race war, Mexican supremacist film by Robert Rodriguez here in Austin.
[03:09.880 --> 03:22.880]  And since then, there's been some aftermath of that and the star machete Danny Trejo making comments about jokingly about wanting to kill the Texas Film Commission.
[03:22.880 --> 03:25.880]  We hope it's a joke that's in the Hollywood reporter.
[03:25.880 --> 03:41.880]  And I wanted to discuss this little bit in a little bit more detail coming up as well and also get into some of the new laws going into play in different states and federally and internationally in 2011.
[03:41.880 --> 03:48.880]  And I also want to open the phones up throughout the two hours specifically with really what we covered Friday.
