[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:12.000]  It's Alex Jones and the GCN Radio Network.
[00:12.000 --> 00:29.000]  We're alive, my friends. Thank you so much for joining us. It is Sunday, the 16th day of the January 2011.
[00:29.000 --> 00:32.000]  We're going to be here for the next two hours.
[00:32.000 --> 00:46.000]  Lindsay Williams, whose predictions have yet begun to come true. He told us two and a half years ago that within six months, oil would go from $60 a barrel to $150, and it did exactly that.
[00:46.000 --> 00:52.000]  He then said it would start dropping when it was still going up and called it, and it began going down.
[00:52.000 --> 01:06.000]  And three months ago on this radio broadcast, Lindsay Williams with his two former oil company, Exact Contacts, one of them formerly the CEO of a big three and the other, the head of operations for Atlantic Richfield.
[01:06.000 --> 01:14.000]  We've now been able to reveal that source's name because he did die of cancer about a month ago, and so now Lindsay can bring out all that information.
[01:14.000 --> 01:35.000]  Lindsay, just three months ago when oil was at, again, $60 or so, a barrel, said that it would be going to between $150 and $200 by the end of 2011, and that you would see that the price is going up immediately, that it would start.
[01:35.000 --> 01:42.000]  And people laughed at him. A lot of folks did, but within a week, it began to go up, and here we are three months later.
[01:42.000 --> 01:51.000]  And the headlines are talking about $100 a barrel. The executives at Shell are talking about $150 a barrel.
[01:51.000 --> 01:59.000]  That is all coming up in the second hour of the broadcast today.
[01:59.000 --> 02:10.000]  I'm not going to spend a lot of time on Jared Lee Loffner, but there have been some very big developments on that front we're going to hit first when we come back from break.
[02:10.000 --> 02:19.000]  Then, just incredible news, I want to get Porter Stansbury of Stansbury and Associates back up as soon as we can because he's called it.
[02:19.000 --> 02:25.000]  Many others have called it economists and researchers, financial analysts.
[02:25.000 --> 02:39.000]  This is out of the French news agency. I have another one out of the Wall Street Journal here who calls currency system product of the past and goes on to say that the days of the dollar being the World Reserve currency are coming to an end.
[02:39.000 --> 02:47.000]  And a lot of people say, well, I don't care. I'm not in the stock market or I don't quote, own dollars. We all own dollars. It's the stock of the nation.
[02:47.000 --> 03:00.000]  And as the dollars devalued, our stock goes down. That's always the case, but when a country is as hollowed out as we are economically, industrial systems have been decimated like they have been.
[03:00.000 --> 03:13.000]  And you destroy the currency. It's been debased by design. We have sowed the wind. We will now reap the world wind and the globalist have been building the paramilitary spy forces up.
[03:13.000 --> 03:22.000]  They've been putting their control grids in place, building their giant prisons everywhere, passing laws to ensnare the average citizen for no crime.
[03:22.000 --> 03:31.000]  They've been preparing for this for a long time. The globalists are an offshore group of corporations and banks. They came in. They took over the U.S.
[03:31.000 --> 03:50.000]  They undermined it. They had us fund their world government. And now they're moving shop to China and the Council on Foreign Relations and others have traitorously and treasonously bragged about that for at least 30 plus years that I've been able to go back and read foreign affairs that comes out every month written by them in their statements,
[03:50.000 --> 04:01.000]  how they planned when Nixon made the deal via the Trial Iteral Commission and CFR. A lot of folks will say the Trial Iteral Commission didn't exist until 74. It existed pre-74.
[04:01.000 --> 04:16.000]  But the issue is that they set up the program to move the base of operations for the world government to China. And now they publicly call it the Chinese century.
[04:16.000 --> 04:26.000]  Because China will kill dissidents and chop out their organs. China will have forced abortions. China will drug the water supply. China will censor the Internet.
[04:26.000 --> 04:38.000]  China will have firing squads. They do have executions in every major city, every week, in sports stadiums, machine gunning people. And the globalists look at that and they go, we are in love with this.
[04:38.000 --> 04:49.000]  As David Rockefeller wrote many times in the New York Times, praising Mao Zedong. And so, America is converting to an authoritarian system.
[04:49.000 --> 05:09.000]  The question is, will we let them? Will we be slaves? Will we go into bondage? It's all coming up. Stay with us.
[05:19.000 --> 05:27.000]  Number 3. In some areas of the country, the power grid is dangerously overloaded. And now, new socialist legislation is only compounding the problem.
[05:27.000 --> 05:34.000]  Number 4. Dangerous weather is always a threat to local grids. Every year, thousands of families lose their power from weather-related onages.
[05:34.000 --> 05:44.000]  Number 5. A solar power generator provides powerful backup insurance and peace of mind. Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[05:44.000 --> 05:59.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com. Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[06:14.000 --> 06:31.000]  Our top news today. Most important piece of information we're going to be covering. The President of China, Hu Jintao, calls currency system product of the past and says that the days of the dollar being the World Reserve currency are now coming to an end.
[06:31.000 --> 06:49.000]  And this has been strategically all agreed upon via the Trilateral Commission and Council on Foreign Relations, who for more than three decades have openly been moving the infrastructure of the United States to China and debasing the infrastructure of the United States.
[06:49.000 --> 07:01.000]  The United States has been used to fund the corporate world government, and now we're going to be basically popped and imploded like a wet paper bag that has served its usefulness.
[07:01.000 --> 07:19.000]  And when we lose the dollar as the World Reserve currency, whatever error was left in our republic's lungs will be sucked out. It'll be basically like an astronaut taking off his spacesuit helmet while doing a spacewalk.
[07:19.000 --> 07:37.000]  It will not be pretty. We are almost completely dependent on the dollar. That's how we can buy cheap Chinese slave goods or cheap goods from Mexico, even though we don't have a lot of industry left in this country, even though we're a service economy.
[07:37.000 --> 07:54.000]  There is still a brisk business in trade via Walmart and Target and other purveyors of fine Chinese products, but we will now pay the piper. We've been deindustrialized, and China is the biggest owner of our debt.
[07:54.000 --> 08:16.000]  And as I covered a few weeks ago, even one of the latest issues of National Geographic had an article talking about Singapore and talking about how great authoritarianism is and how America and the rest of the world want to segue into authoritarianism.
[08:16.000 --> 08:30.000]  The average yuppie, the average professor, the average liberal, the average conservative, if they are a higher level manager than even the McDonald's manager under them, they think that tyranny is cool.
[08:30.000 --> 08:56.000]  Tyranny is tough. Tyranny gets things done. More presence is good. More black uniforms, more cameras, more taxes, more regulations. Because if there's one disease this country has, it's that so many petty little nobodies think they're powerful and big because they imagine in their mind because they sit there nodding their heads with the talking heads on television.
[08:56.000 --> 09:20.000]  They sit there in unison agreeing with what people are regurgitating around the water cooler that they heard on mainline talk radio or watched on Fox News or CNN News, and they kind of get into being subservient and having a fetish for subservience, a fetish for police state.
[09:20.000 --> 09:34.000]  Well, you want it. You're going to get it. And you're going to get the poverty and the enslavement and the humiliation that goes along with it. But there will still be NFL football games.
[09:34.000 --> 09:55.000]  There will still be cheap fast food. There will still be plenty of Prozac and switch malt liquor. And there will be plenty of gladiatorial diversions for you on television and lots of American flags everywhere and lots of people wearing American flag lapel pins.
[09:55.000 --> 10:15.000]  When you see the neocons or mainline liberals doing that on television, that means they support the rendition, the secret arrest, the torture, the endless wars. It's a fascist salute to the flag that they've taken over and turned into their symbol.
