[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:08.000 --> 00:15.000]  It's Alex Jones and the GCN Radio Network.
[00:15.000 --> 00:20.000]  Thank you for joining us, fellow lovers of liberty and human dignity and freedom.
[00:20.000 --> 00:33.000]  It is Sunday 10, 10, 10, the 10th day of the 10th month of the 10th year on this live Sunday transmission.
[00:33.000 --> 00:42.000]  And I have a wide spectrum of vital news and information in front of me here today.
[00:42.000 --> 00:48.000]  One year after Obama wins Nobel Prize, world looks for signs of peace.
[00:48.000 --> 00:50.000]  What a joke.
[00:50.000 --> 01:00.000]  Finance leaders called for IMF role in averting protectionist currency war going on worldwide.
[01:00.000 --> 01:10.000]  We have now seen for the first time the third generation hereditary dictator Kim Jong-un unveiled in North Korea.
[01:10.000 --> 01:17.000]  What an example of how bad big government is and how evil communism is.
[01:17.000 --> 01:19.000]  We're going to be discussing that if I have time today.
[01:19.000 --> 01:26.000]  I also want to read some large excerpts from the speech given March 23, 1775 by Patrick Henry.
[01:26.000 --> 01:31.000]  Give me liberty or give me death and compare that to Kim Jong-il.
[01:31.000 --> 01:37.000]  His father Kim Il-sung and now the grandson Kim Jong-un.
[01:37.000 --> 01:47.000]  And we have some of the demonic photographs of him just seething with petty, petulant, neuro-like, out of control, dehumanizing power.
[01:47.000 --> 01:53.000]  We'll also get into Barack Obama accused of exaggerating terror threat for political gain.
[01:53.000 --> 01:56.000]  London Guarding and other mainstream papers.
[01:56.000 --> 01:58.000]  It's like when I brought it up Friday to Ron Paul.
[01:58.000 --> 02:05.000]  I said clearly they're using these fake terror alerts like Ridge admitted Bush did for political gain.
[02:05.000 --> 02:12.000]  Obama said, yeah, you know, we'll keep you safe from the terrorist.
[02:12.000 --> 02:14.000]  It will just give your rights up to us.
[02:14.000 --> 02:22.000]  But I brought that up to Ron Paul and he said, well, this is just par for the course with what all of these different scallywags are up to.
[02:22.000 --> 02:23.000]  So we'll be going over the economy.
[02:23.000 --> 02:28.000]  Also, Kucinich probes whether FBI informant triggered Kent State massacre.
[02:28.000 --> 02:33.000]  Other headlines say FBI informant fired first shot at Kent State.
[02:33.000 --> 02:36.000]  Boy, that's not a surprise.
[02:36.000 --> 02:41.000]  That's not anything that's really newsworthy for our audience.
[02:41.000 --> 02:48.000]  I mean, nine times out of 10 who stages the terror or who fires the first shot or who dumps over trash cans and sets fire to cars.
[02:48.000 --> 02:51.000]  So the paramilitary police can attack peaceful crowds.
[02:51.000 --> 02:59.000]  It's their own thuggish minions, but there's an investigation going on in Congress that's being kicked off dealing with that.
[02:59.000 --> 03:06.000]  Also, obviously, we've been tracking for the last two years the major political realignment happening in this country.
[03:06.000 --> 03:15.000]  And it's gone from a sure win for the Republicans in the House to it being neck and neck in the Senate that the Republicans will get control.
[03:15.000 --> 03:29.000]  To now, many analysts are saying the Republicans have a good chance of winning a narrow majority, maybe 51-49 in the U.S. Senate.
[03:29.000 --> 03:33.000]  Well, it would be 50-48.
[03:33.000 --> 03:36.000]  I guess there's one independent in the Senate.
[03:36.000 --> 03:39.000]  There's one independent senator in there.
[03:39.000 --> 03:46.000]  So we'll be going over all of those numbers as well today.
[03:46.000 --> 04:04.000]  But I have to just take a deep breath and think about, A, how many people are waking up and how good that news is, but B, just how real and naked this oppressive tyranny that we're facing really is.
[04:04.000 --> 04:07.000]  And the road we're going down.
[04:07.000 --> 04:09.000]  We are bankrupt.
[04:09.000 --> 04:23.000]  If we try to pay back the $1,400 trillion or $1,500 trillion, depending on what estimate you look at, or even the Washington Post estimate of $600 plus trillion to the private banks,
[04:23.000 --> 04:28.000]  it is hundreds of times all the real assets in the world, depending on how you slice it.
[04:28.000 --> 04:41.000]  In some cases, it's thousands of times all the real assets. It is a debt black hole designed to render us down to basically a cross between surfs in Mexico and North Korea.
[04:41.000 --> 04:46.000]  So we'll be covering that first when we get back on the other side.
[04:46.000 --> 04:58.000]  10, 10, 10. The 10th day of October, 2010. I'm Alex Jones. The websites are prisonplanet.tv and infowars.com, jonesreport.com.
[05:16.000 --> 05:26.000]  The long is continually operating with a ton of great food to choose from. It's all fresh and made on a monthly basis, not some old credit food they're selling you like some of the other guys.
[05:26.000 --> 05:36.000]  Try their new evacuation pack, a two week supply of delicious, easy to fix food. It comes with all the equipment you need to prepare it with open talk of a strike on Iran the next three months,
[05:36.000 --> 05:41.000]  the crisis in the Gulf, and possible evacuations. Get yourself and your family ready today.
[05:41.000 --> 05:51.000]  The place to go is eFoodsDirect.com. Go to their website online right now, eFoodsDirect.com forward slash Alex, or call 800-409-5633.
[05:51.000 --> 06:11.000]  Again on the web, eFoodsDirect.com forward slash Alex, or give them a call at 800-409-5633.
[06:11.000 --> 06:23.000]  10th day of October 2010, 10, 10, 10. And we're going to be live here for the next two hours. Thank you so much for spending time with us on this Sunday.
[06:23.000 --> 06:36.000]  And there's a lot of gladiatorial sporting events to watch. There's a lot of movies to watch on television, a lot of alcohol to be basically coiffed down into our collective gullets.
[06:36.000 --> 06:46.000]  A lot of Prozac to take, a lot of Adderall to gobble and pop, and a lot of drugs to be taken.
[06:46.000 --> 06:51.000]  This country uses more drugs than every other industrialized nation combined.
[06:51.000 --> 07:01.000]  But our listeners are tuning in on this Sunday because they understand our society, our civilization, our culture is in deep trouble.
[07:01.000 --> 07:09.000]  And if we don't turn the ship around quickly, the damage is going to be irrevocable.
[07:09.000 --> 07:20.000]  And I've seen the analogy of turning a government and empire around from going headlong into tyranny back towards the North Star of liberty and freedom.
[07:20.000 --> 07:24.000]  It's like turning a big cruise ship around. It takes some time.
[07:24.000 --> 07:32.000]  And there are attempts to turn the ship around and we've turned the ship, you know, maybe 15, 20 degrees.
[07:32.000 --> 07:40.000]  But the establishment is coming in doing everything they can, trying to turn the ship back towards total control.
[07:40.000 --> 07:48.000]  And it's stated by the Ford Foundation, by the Carnegie Endowment, by the United Nations, the Club of Rome, the Rand Corporation.
[07:48.000 --> 07:50.000]  All of them are on record.
[07:50.000 --> 07:57.000]  And we, of course, link to these up at infowars.com and prisonpana.com admitting that they want to post-industrial United States.
[07:57.000 --> 08:05.000]  They want a form of collectivism where the middle class is enslaved and their money is then transferred to the ultra-rich,
[08:05.000 --> 08:19.000]  who then apportion a small amount of chicken feed to further placate and domesticate the giant howling mob of dumbed-down prozac alcoholic sports fans.
[08:19.000 --> 08:24.000]  And that's the danger of democracy as the founders all agree.
[08:24.000 --> 08:27.000]  This is one of the few subjects they all agreed on unanimously.
[08:27.000 --> 08:33.000]  The Second Amendment was one of the others, the right to keep their arms for the defense of your family against criminals and the state,
[08:33.000 --> 08:38.000]  was that democracy is two wolves and a sheep voting on what's for dinner.
[08:38.000 --> 08:41.000]  You've got three votes, two wolves voting, one sheep voting.
[08:41.000 --> 08:44.000]  What do you think is going to be on the dinner table that night?
[08:44.000 --> 08:50.000]  And once the wolves use democracy of, oh, we'll give you free healthcare.
[08:50.000 --> 08:52.000]  Just let the government take over healthcare.
[08:52.000 --> 08:56.000]  Of course, the dumbed-down mass begging for it never gets the free healthcare.
[08:56.000 --> 08:58.000]  And that's now been announced.
[08:58.000 --> 09:01.000]  30 major firms, including McDonald's, are given exemptions.
[09:01.000 --> 09:04.000]  They don't have to, that happened Thursday.
[09:04.000 --> 09:07.000]  USA Today reported they don't have to get any insurance.
[09:07.000 --> 09:15.000]  But 29 million plus other small businesses, what is it, 29.6 million small businesses,
[09:15.000 --> 09:19.000]  doesn't matter if you've got one employee or you're the only person,
[09:19.000 --> 09:23.000]  you are going to have to go get the overpriced healthcare.
[09:23.000 --> 09:29.000]  And of course, as more money gets forcefully dumped into the insurance company scam,
[09:29.000 --> 09:36.000]  it's making the price go up on average around 26% according to the Congressional Budget Office.
[09:36.000 --> 09:38.000]  They're already seeing those numbers.
[09:38.000 --> 09:43.000]  And remember who wrote, and this was even the Wall Street Journal, but buried in the back of it,
[09:43.000 --> 09:49.000]  but it had the head of the healthcare union, lobbying union, the head of the lobbyist group,
[09:49.000 --> 09:58.000]  admitting that the major insurance companies had written the healthcare bill.
[09:58.000 --> 10:05.000]  Socialism, collectivism, written by the elites, written by the billionaire insurance company,
[10:05.000 --> 10:08.000]  they don't have any stockholders and owners.
[10:08.000 --> 10:14.000]  Just like we have over $2 trillion a year in defense corporate welfare,
[10:14.000 --> 10:20.000]  and Congress keeps asking where the now $4 trillion missing under Clinton, Bush, and now Obama.
[10:20.000 --> 10:23.000]  Where's the money? They won't say.
[10:23.000 --> 10:25.000]  Again, corporate welfare.
[10:25.000 --> 10:28.000]  If you take the banker bailout money Bloomberg reported,
[10:28.000 --> 10:34.000]  $30 got spent in the megabanks and in bonuses for banks all over the world,
[10:34.000 --> 10:37.000]  not just in the U.S. with our bailout money, that we have to pay back in taxes,
[10:37.000 --> 10:39.000]  and that also devalues our dollar.
[10:39.000 --> 10:45.000]  For every $30 that got spent on the bailout, $1 went to chicken feet.
[10:45.000 --> 10:49.000]  $1 went to helping people with mortgages.
[10:49.000 --> 10:53.000]  They admit that the banks are lending less, not more.
[10:53.000 --> 10:55.000]  What did I tell you? What did Ron Paul tell you?
[10:55.000 --> 11:00.000]  What did Dr. Paul Craig Roberts former head of the Treasury tell you on this show back in October of last year?
[11:00.000 --> 11:05.000]  They said, you watch banks are going to hoard that money and loan even less,
[11:05.000 --> 11:07.000]  hence shutting the economy down even faster.
[11:07.000 --> 11:09.000]  They wrote the plan.
[11:09.000 --> 11:13.000]  They want to be flush in cash so they can buy things up cheaper.
[11:13.000 --> 11:14.000]  It's simple.
[11:14.000 --> 11:16.000]  A lot of you out there listening have done well in business.
[11:16.000 --> 11:17.000]  You've saved.
[11:17.000 --> 11:19.000]  You've got a lot of assets.
[11:19.000 --> 11:23.000]  You're not part of the elite, but you're worth millions or even hundreds of millions of dollars, many of you.
[11:23.000 --> 11:30.000]  And you're sitting back waiting for the economy to fold before you start buying more real estate, aren't you?
[11:30.000 --> 11:35.000]  Well, that's a microcosm of what the banksters are doing.
[11:35.000 --> 11:41.000]  And people need to understand that Democrats come, Republicans come and go.
[11:41.000 --> 11:51.000]  But at the end of the day, the very same lobbying interest, the very same special interest are in control of both parties.
[11:51.000 --> 11:53.000]  There is a major political realignment.
[11:53.000 --> 12:03.000]  It dwarfs what happened with people being upset by Clinton going after the Second Amendment back in 1993 with the major political upset of 1994.
[12:03.000 --> 12:12.000]  But Newt Genrich, who's a carbon tax-promoting globalist, he came in, the liberal media attacked him so conservatives got fooled by that little shell game
[12:12.000 --> 12:16.000]  and thought, my gosh, Genrich must be great if the media is attacking him.
[12:16.000 --> 12:19.000]  And he totally sold everything out.
[12:19.000 --> 12:23.000]  Same thing with Bush, because they are nothing but frontmen.
[12:23.000 --> 12:31.000]  And now Democrats won't wake up and call for lower taxes, even though it'll jumpstart our economy, every historical reference shows,
