[00:00.000 --> 00:26.560]  Infowars, tomorrow's news, today.
[00:26.560 --> 00:34.760]  Now, ladies and gentlemen, my job tonight is actually really easy, but it's a paradox
[00:34.760 --> 00:38.000]  because it's also extremely difficult.
[00:38.000 --> 00:43.880]  It's really easy because all I have to do is come on here and show you the video that
[00:43.880 --> 00:47.720]  has the establishment, the most afraid right now, show you the video that has the corrupt
[00:47.720 --> 00:53.080]  American media, the corrupt politicians, and big pharma so afraid right now, and that
[00:53.080 --> 01:02.120]  is the recent, most recent Project Veritas series of videos on the Pfizer executive bragging
[01:02.120 --> 01:12.280]  about how they knew COVID-19 came from a lab in Wuhan and insinuating that they, Pfizer,
[01:12.280 --> 01:20.200]  are doing similar, if not the exact same research with monkeys potentially right here in the
[01:20.200 --> 01:23.120]  United States of America.
[01:23.120 --> 01:30.120]  Now, as we predicted, this is barely getting any coverage at all on the mainstream news.
[01:30.120 --> 01:35.320]  In fact, as far as I could tell, and I can't claim that I was watching for the last 72
[01:35.320 --> 01:40.400]  hours, but let's just say I've been keeping a close eye on the cable news networks and
[01:40.400 --> 01:46.760]  the mainstream news, and the only show that covered this, I bet you can take a guess,
[01:46.760 --> 01:50.480]  on cable news was Tucker Carlson.
[01:50.480 --> 01:52.200]  That was it.
[01:52.200 --> 01:58.040]  Nothing else on Fox, and of course, nothing else on Pfizer Newsnet, Pfizer Newsnet 2, Pfizer
[01:58.040 --> 02:05.760]  Newsnet 3, Pfizer Newsnet 4, Pfizer Newsnet 5, Pfizer Newsnet 6, CNN, MSNBC, ABC News,
[02:05.760 --> 02:10.920]  CBS News, NBC News, I think you get the picture.
[02:10.920 --> 02:14.560]  So we'll just play some of the video, pretty easy, right?
[02:14.560 --> 02:21.720]  The hard part is how do we deal with the frustration of this, I mean, the FBI couldn't ask for
[02:21.720 --> 02:22.720]  better evidence.
[02:22.720 --> 02:26.640]  They wish they had effective agents as good as Project Veritas to get criminals admitting
[02:26.640 --> 02:29.240]  their crimes on tape like this.
[02:29.240 --> 02:30.240]  It's a gift.
[02:30.240 --> 02:32.840]  It's unbelievable, and nothing will be done.
[02:32.840 --> 02:34.720]  So how do we work through that frustration?
[02:34.720 --> 02:36.360]  But here's the video.
[02:36.360 --> 02:40.040]  This has big tech, big pharma, and the deep state scared.
[02:40.040 --> 02:42.880]  That's why they're banning it all over the Internet.
[02:42.880 --> 02:47.840]  The only place it's allowed to be on is Twitter, and let's just play some of this clip.
[02:47.840 --> 02:52.400]  Let's play some of the video that has the deep state, big pharma, and big tech shaken
[02:52.400 --> 02:53.400]  to their core.
[02:53.400 --> 02:58.560]  So that's one of the things they're considering, the future, maybe we could create new versions
[02:58.560 --> 03:00.560]  of the vaccines or things like that.
[03:00.560 --> 03:05.560]  Okay, so Pfizer ultimately is thinking about mutating COVID?
[03:05.560 --> 03:08.560]  Well, that is not what we say to the public.
[03:08.560 --> 03:09.560]  No.
[03:09.560 --> 03:13.440]  It's like, it was a fault that came up in a meeting, and we were like, why, why do we
[03:13.440 --> 03:14.440]  not?
[03:14.440 --> 03:15.440]  It was like, we're going to consider that.
[03:15.440 --> 03:16.440]  There will be more discussions.
[03:16.440 --> 03:17.440]  Okay.
[03:17.440 --> 03:18.440]  Exactly, actually.
[03:18.440 --> 03:19.440]  Like, we're like, wait a minute.
[03:19.440 --> 03:21.200]  Like, people won't like that.
[03:21.200 --> 03:22.200]  That's right.
[03:22.200 --> 03:27.240]  It appears that Pfizer is internally discussing the possibility of mutating the COVID virus
[03:27.240 --> 03:31.960]  themselves in order to tailor a vaccine to sell to the public.
[03:31.960 --> 03:37.920]  Listen to Walker describe in detail just how they would conduct such a scientific experiment.
[03:37.920 --> 03:42.920]  So, the way that we're thinking about it, don't tell anyone the story, you got to tell
[03:42.920 --> 03:43.920]  us.
[03:43.920 --> 03:44.920]  You got to tell us.
[03:44.920 --> 03:45.920]  You got to tell us.
[03:45.920 --> 03:46.920]  Okay, right.
[03:46.920 --> 03:53.280]  So, the way our work is like, we put them in the virus, in these monkeys, and then we
[03:53.280 --> 03:57.920]  successively, like, cause them to keep infecting each other, and we pull out serals from them
[03:57.920 --> 03:58.920]  and then we...
[03:58.920 --> 04:04.880]  He's explaining gain of function research, ladies and gentlemen, and this video has been
[04:04.880 --> 04:09.360]  taken down from YouTube, obviously the question would be, if there's anybody interested in
[04:09.360 --> 04:16.720]  doing a real investigation here, who contacted YouTube or who at YouTube made the decision
[04:16.720 --> 04:20.120]  to pull this video down, instead of sharing it with law enforcement.
[04:20.120 --> 04:23.880]  Now, we already have, in fact, it gets buried now.
[04:23.880 --> 04:28.280]  The news cycle is so insane that the Twitter files are just getting buried now, and if
[04:28.280 --> 04:32.600]  it wasn't for Matt Taibbi going and doing Fox News interviews and Elon Musk trying to
[04:32.600 --> 04:36.840]  get attention to this with his Twitter account, there would barely be anybody reading these
[04:36.840 --> 04:42.240]  Twitter files, exposing how the government was using Big Tech to censor Americans.
[04:42.240 --> 04:47.560]  And so, now we need to have an investigation to find out, thanks to the blueprint we've
[04:47.560 --> 04:51.640]  seen with the Twitter files of how the government goes around the First Amendment to use Big
[04:51.640 --> 04:57.600]  Tech to censor you, what happened at YouTube, who ordered YouTube to take down this project
[04:57.600 --> 05:02.000]  Veritas video.
[05:02.000 --> 05:11.000]  Hey, what's up, bone?
[05:11.000 --> 05:12.000]  Hey, McBreen.
[05:12.000 --> 05:13.000]  What's going on, man?
[05:13.000 --> 05:14.000]  I see.
[05:14.000 --> 05:17.280]  Hey, really like that work you did on the AI piece?
[05:17.280 --> 05:18.720]  I'm going to use that on the show today.
[05:18.720 --> 05:19.720]  No, no, I worked hard on that.
[05:19.720 --> 05:20.720]  Yeah.
[05:20.720 --> 05:23.240]  I'm working on another project, so I'm going to be up late again tonight, and I was hoping
[05:23.240 --> 05:25.240]  you had some Brain Force Plus.
[05:25.240 --> 05:28.240]  Oh, um, no.
[05:28.240 --> 05:31.040]  No, nothing, no.
[05:31.040 --> 05:34.040]  What about Brain Force Ultra?
[05:34.040 --> 05:36.040]  Um, no.
[05:36.040 --> 05:38.040]  Hmm, okay.
[05:38.040 --> 05:39.040]  Yeah.
[05:39.040 --> 05:40.040]  Thanks anyway.
[05:40.040 --> 05:41.040]  Yeah.
[05:41.040 --> 05:49.400]  Good luck with that project, though.
[05:49.400 --> 06:08.360]  That's it for this episode of Brain Force Plus and Brain Force Ultra, right now at
[06:08.360 --> 06:20.220]  just a minute and 10 minutes, Bob Casting live from the UN Stronghold, Austin, Texas.
[06:20.220 --> 06:28.480]  You're listening to the Alex Jones Show, and now your host Owen Troyer.
[06:28.480 --> 06:34.480]  An honor and a privilege to spend this Sunday, January 29th, 2023 with you here on the Alex
[06:34.480 --> 06:35.480]  Jones Show.
[06:35.480 --> 06:43.480]  There's a lot of developing news dealing with the situation in Ukraine and now we were concerned
[06:43.480 --> 06:48.680]  the Biden administration would try to use a war with Russia to distract from all of the Biden
[06:48.680 --> 06:55.720]  crime family details coming to light. It looks like they're now just going pedal to the metal
[06:57.240 --> 07:03.480]  where Saturday it was a rumor that the Biden administration it was just oh it was just a
[07:03.480 --> 07:09.160]  rumor oh there were talks about the Biden administration sending fighter jets over to
[07:09.160 --> 07:15.560]  Ukraine and then this morning it was reported as fact that they are indeed having those talks
[07:16.760 --> 07:21.880]  that was reported on Fox News this morning so well it's just a rumor to okay yeah they are
[07:21.880 --> 07:25.640]  having the talk so I guess let me you know the next phase of this right do I have to tell you
[07:25.640 --> 07:31.160]  what comes next oh it's a rumor they may send some fighter jets to Ukraine I mean obviously that's
