[00:00.000 --> 00:19.400]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:42.840]  Now ladies, one of the biggest, ladies and gentlemen, one of the biggest stories this
[00:42.840 --> 00:54.480]  week has been how the Wuhan lab leak theory was actually correct and the mainstream media
[00:54.480 --> 00:59.240]  that told you that was disinformation told you not to share that, not to spread that,
[00:59.240 --> 01:06.560]  censor you, ban you if you did, all the American news outlets, politicians saying no, it did
[01:06.560 --> 01:13.320]  not come from a laboratory and in fact that's racist for you to say that and Trump is a
[01:13.320 --> 01:19.760]  racist for him to say that and of course they were wrong.
[01:19.760 --> 01:21.600]  Now why are they talking about this now?
[01:21.600 --> 01:27.800]  Is it because China is getting involved with Russia going into Ukraine?
[01:27.800 --> 01:32.720]  Is it because Joe Biden and his family have been caught in many of their criminal enterprises
[01:32.720 --> 01:39.880]  laundering money, 10% for the big guy, foreign influence, blackmail bribery, he just sent
[01:39.880 --> 01:46.280]  a guy to jail who exposed it, he didn't hear about that, did you, I've already, I mean
[01:46.280 --> 01:50.240]  you don't know his name, I think it was Galt, I covered it yesterday, I already forgot the
[01:50.240 --> 01:55.960]  guy's name because they're not talking about it 24 seven on the news, but yeah, a guy that
[01:55.960 --> 02:04.280]  showed Biden's potential foreign business dealings being criminal, Biden had him arrested.
[02:04.280 --> 02:10.560]  Isn't that something and that's a theme by the way that we're going to have today because
[02:10.560 --> 02:17.040]  info wars is the canary in the coal mine.
[02:17.040 --> 02:20.160]  So what they do to Alex Jones, what they do to info wars eventually they'll do to everybody
[02:20.160 --> 02:28.840]  else, but that'll be the theme ongoing, but I want to play a clip for you from April 2022
[02:28.840 --> 02:33.520]  from Anne Applebaum, you want to know how propaganda works folks, this is how it works
[02:33.520 --> 02:37.560]  right here, you want to know how the leftist ideology justifies it, this is all right here.
[02:37.560 --> 02:43.080]  Now today, Anne Applebaum is out supporting the war in Ukraine, supporting the war propaganda
[02:43.080 --> 02:47.960]  for the Atlantic, just like she always does, state sponsored, state run propaganda from
[02:47.960 --> 02:52.160]  Anne Applebaum, but if you want to know how it all works, listen to what she said in April
[02:52.160 --> 02:58.080]  2022, after they all told us the Hunter Biden laptop was Russian disinformation, remember
[02:58.080 --> 03:01.920]  that they told you the Hunter Biden laptop was Russian disinformation, same people that
[03:01.920 --> 03:09.000]  told you that COVID-19 did not come out of a Wuhan laboratory, same people that told
[03:09.000 --> 03:13.800]  you that told you Hunter Biden's laptop was disinformation, they lied.
[03:13.800 --> 03:21.680]  And here was Anne Applebaum addressing that lie during a question and answer session.
[03:21.680 --> 03:24.800]  Listen to what she says here, it tells you everything.
[03:24.800 --> 03:29.800]  Let's take a, it's amazing, thank you, thank you for doing this, really appreciate it,
[03:29.800 --> 03:32.920]  I'm Daniel Schmidt, I'm a freshman at the University of Chicago.
