[00:00:00.029 --> 00:00:02.170]  Welcome, ladies and gentlemen.
[00:00:02.170 --> 00:00:03.891]  It is the 10th day of June, 2008.
[00:00:03.891 --> 00:00:08.453]  We're going to be live here for the next four hours.
[00:00:30.040 --> 00:00:35.262]  Joining us in one hour is Dr. Jerome Corsi to discuss what's happening with the economy.
[00:00:35.262 --> 00:00:42.405]  He has a doctorate in economics, breaking down what's happening with oil, with the dollar, with gold, and a lot more.
[00:00:42.405 --> 00:00:54.109]  Continuing with the economic microscope, we will have in the third hour Bob Chapman, international forecaster, joining us for his weekly visit as well.
[00:00:54.109 --> 00:00:58.691]  We'll have open phones while both of those guests are on with us today.
[00:01:00.580 --> 00:01:04.593]  I also, before this hour ends, yesterday I did the first
[00:01:05.205 --> 00:01:09.187]  Two days of the Bilderberg Group meeting or arriving Tuesday, Wednesday.
[00:01:09.187 --> 00:01:14.810]  I got up in my chronological order until Thursday morning and then never got back to it.
[00:01:14.810 --> 00:01:25.196]  I want to kind of recap Tuesday and Wednesday hurriedly and then get into Thursday, Friday, Saturday and Sunday in a chronological order of the basics of what I witnessed.
[00:01:25.196 --> 00:01:29.938]  I want to be clear to all the listeners tuning in that I thank you for your support.
[00:01:29.938 --> 00:01:31.379]  We couldn't do what we do without you.
[00:01:31.379 --> 00:01:33.460]  I thank you for all of your prayers.
[00:01:35.578 --> 00:01:45.041]  I know when we have riled up the power elite, and we've certainly done that, we've gotten more threatening calls, emails, things of that nature.
[00:01:45.041 --> 00:01:52.283]  We're trying to track those down and track down ISPs and file complaints and get the phone company to give us records from these unknown numbers.
[00:01:52.283 --> 00:01:57.164]  But I want to be clear, the Chantilly Marriott
[00:01:58.368 --> 00:02:08.833]  Where they met there in Virginia on the edge of DC is in the middle of a large wooded compound but areas of the conference halls, it's mainly a conference five-star hotel,
[00:02:09.790 --> 00:02:29.108]  Stick out right to the edge of the property line within about 30, not even 30 yards, 25 yards of the road, and getting up on the property line about 20 yards away, we had a giant industrial bullhorn that somebody brought out there, a great guy brought out, and we were blasting them during their conference.
[00:02:29.108 --> 00:02:32.932]  So imagine, I basically, and Luke Rudowsky and others that got on it,
[00:02:33.683 --> 00:02:35.163]  For hour after hour after hour.
[00:02:35.163 --> 00:02:44.266]  I mean, we probably bullhorned them 10 hours a day if you broke it all up from about 8, 9 in the morning until 10 at night when the sound ordinance kicked in and we couldn't bullhorn, which I think is reasonable.
[00:02:44.266 --> 00:02:47.908]  There's some neighborhoods in the area.
[00:02:47.908 --> 00:02:48.788]  It was just incredible.
[00:02:49.677 --> 00:02:51.357]  And I knew what I was doing.
[00:02:51.357 --> 00:02:57.759]  I knew that was the main conference hall because I'd been inside the hotel, and I knew what I was doing when I went ahead and opened up on them.
[00:02:57.759 --> 00:03:06.681]  I mean, I'm loud on a normal bullhorn, but on this gigantic one that's the equivalent of about four regular megaphones, it was shaking the windows.
[00:03:06.681 --> 00:03:16.123]  David Rockefeller, Queen Beatrix, the Queen of Spain, the Defense Secretary, Henry Kissinger, all of them in there, and literally taking over their meeting.
[00:03:16.123 --> 00:03:18.424]  Richard N. Haas came out and stared at us with hatred.
[00:03:19.775 --> 00:03:27.744]  They would have the Secret Service would come over and try to order the police to kick us off of the right-of-way there on the side of the road to make us go across the street.
[00:03:27.744 --> 00:03:28.985]  We refused.
[00:03:28.985 --> 00:03:31.688]  Bilderberg didn't want to make a scene, so they had to give in to us.
[00:03:31.688 --> 00:03:35.653]  And they are very, very mad.
[00:03:35.653 --> 00:03:37.254]  And I knew what I was doing when I did it, but...
[00:03:38.582 --> 00:03:40.364]  Man, I mean, they are angry.
[00:03:40.364 --> 00:03:41.265]  They are upset.
[00:03:41.265 --> 00:03:44.007]  We actually took over the Bilderberg Group meeting.
[00:03:44.007 --> 00:03:47.671]  I hope listeners understand the magnitude of what's happened.
[00:03:47.671 --> 00:03:55.218]  We were bullhorning them from 8 in the morning till 10 at night, night after night, day after day after day after day.
[00:03:55.976 --> 00:04:02.359]  With scores of people getting on the megaphone, going through battery pack after battery pack after battery pack.
[00:04:02.359 --> 00:04:05.160]  All told, there were probably six, seven different megaphones out there.
[00:04:05.160 --> 00:04:09.482]  Two medium-sized ones, a couple of big ones, and one giant jumbo.
[00:04:09.482 --> 00:04:14.045]  And the jumbo was running continually with people on it.
[00:04:14.045 --> 00:04:21.168]  I bullhorned them probably two hours a day myself, if you count all the bullhorning sessions I did for 20, 30 minutes at a time.
[00:04:21.168 --> 00:04:23.409]  Blew out my voice, you can tell it's even more raspy.
[00:04:24.252 --> 00:04:26.033]  You understand what's happened here.
[00:04:26.033 --> 00:04:28.535]  We took over the Bilderberg group meeting.
[00:04:28.535 --> 00:04:30.096]  They are threatening me.
[00:04:30.096 --> 00:04:37.241]  They are calling my wife a dirty tricks and talking about burning down my house and things like that.
[00:04:37.241 --> 00:04:38.842]  It is just amazing.
[00:04:38.842 --> 00:04:43.546]  So, I do think we deserve a little bit of respect out there for what we've done.
[00:04:43.546 --> 00:04:44.706]  Everybody that did it.
[00:04:44.706 --> 00:04:48.169]  But especially me, because my name's on the headline.
[00:04:48.169 --> 00:04:49.670]  I mean, I'm the one they blame.
[00:04:49.670 --> 00:04:52.872]  And I guess I deserve all the blame, Bilderberg.
[00:04:52.872 --> 00:04:53.533]  We'll be right back.
[00:04:53.533 --> 00:04:53.893]  Stay with me.
[00:04:54.508 --> 00:04:55.929]  It is a big idea.
[00:04:55.929 --> 00:04:58.751]  A New World Order.
[00:04:58.751 --> 00:05:03.634]  In the near future, Earth is dominated by a powerful world government.
[00:05:03.634 --> 00:05:06.476]  It's known as the Bilderberg Group.
[00:05:06.476 --> 00:05:09.258]  Could their objective be world domination?
[00:05:09.258 --> 00:05:12.441]  For thousands of years, their dark order grew.
[00:05:12.441 --> 00:05:19.766]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.796 --> 00:05:28.240]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:28.240 --> 00:05:32.102]  You will learn the secret that drives the entire New World Order agenda.
[00:05:32.102 --> 00:05:34.664]  Build America is making great progress toward a world government.
[00:05:34.664 --> 00:05:35.825]  Most people have no idea.
[00:05:35.825 --> 00:05:36.625]  They're not after money.
[00:05:36.625 --> 00:05:37.906]  They have all the money they need.
[00:05:37.906 --> 00:05:38.887]  They're after power.
[00:05:38.887 --> 00:05:40.028]  That's their aphrodisiac.
[00:05:40.028 --> 00:05:48.753]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:05:48.753 --> 00:05:49.514]  Endgame.
[00:05:49.514 --> 00:05:51.555]  Blueprint for global enslaving.
[00:05:51.555 --> 00:05:52.616]  You have been warned.
[00:05:52.756 --> 00:05:52.910]  Yeah.
[00:05:54.022 --> 00:05:59.004]  For centuries, salt products have been known to help people stay well in body, mind, and spirit.
[00:05:59.004 --> 00:06:05.786]  Soleil Wellness is a unique company that scoured the world to find the best salt-based products to help you and your family.
[00:06:05.786 --> 00:06:14.170]  Save easy-to-use, environmentally-friendly products that fit into any lifestyle, decor, and can be used by anyone at any age.
[00:06:14.170 --> 00:06:17.651]  Soleil Wellness has a unique selection of salt-based products.
[00:06:17.651 --> 00:06:23.173]  Not only Himalayan Gourmet Salt and Healy Bath Salts, Soleil's simple natural cleaning products
[00:06:23.513 --> 00:06:29.455]  Ionizing Salt Crystal Lamps, Respiratory Relieving Salt Pipes, Pain Relieving Pillows, and more!
[00:06:29.455 --> 00:06:32.796]  All designed to keep you and your family balanced and well.
[00:06:32.796 --> 00:06:39.098]  Visit Soleil Wellness today, online at natural-salt-lamps.com.
[00:06:39.098 --> 00:06:40.419]  That's natural-salt-lamps.com.
[00:06:40.419 --> 00:06:40.979]  Or call 312-224-2710.
[00:06:40.979 --> 00:06:41.379]  That's 312-224-2710.
[00:06:41.379 --> 00:06:43.680]  Mention GCN Live for a free gift!
[00:06:53.675 --> 00:06:59.682]  Attention GCN listeners, would you like to watch uncensored, unregulated, even banned TV on your computer?
[00:06:59.682 --> 00:07:11.576]  Well now you can watch satellite TV on your PC with an extremely simple hookup that allows computer owners to pick up more channels than any sane person can even watch without paying monthly cable or satellite fees.
[00:07:11.576 --> 00:07:12.377]  Here's the story.
[00:07:12.697 --> 00:07:20.862]  New video feed technology lets anyone with a high-speed internet connection gain instant access to an endless list of underground channels from all over the globe.
[00:07:20.862 --> 00:07:23.704]  And here's the best part, it's 100% legal.
[00:07:23.704 --> 00:07:30.127]  And it works at home, the office, or even in other countries to grab television channels and video feeds at your command.
[00:07:30.127 --> 00:07:34.430]  GCN listeners can use it to watch hundreds of conspiracy videos absolutely free.
[00:07:34.930 --> 00:07:39.273]  Best of all, you could be watching free TV on your PC in five minutes or less.
[00:07:39.273 --> 00:07:40.394]  It's that simple.
[00:07:40.394 --> 00:07:44.017]  Just go to www.orderfreetv.com.
[00:07:44.017 --> 00:07:47.319]  That's www.orderfreetv.com.
[00:07:47.319 --> 00:07:52.903]  To watch unregulated TV on your PC, go to www.orderfreetv.com.
[00:07:58.683 --> 00:08:03.525]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:03.525 --> 00:08:05.106]  You want answers?
[00:08:05.106 --> 00:08:06.007]  Well, so does he.
[00:08:06.007 --> 00:08:10.849]  He's Alex Jones on the GCN Radio Network.
[00:08:10.849 --> 00:08:16.732]  And now, live from Austin, Texas, Alex Jones.
[00:08:16.732 --> 00:08:20.314]  You understand the huge victory we've had in the Info War?
[00:08:23.058 --> 00:08:31.041]  You had world leaders trying to set the agenda on banking, on oil, energy, war, on the cashless society control grid.
[00:08:31.041 --> 00:08:33.482]  Our inside sources have confirmed that.
[00:08:33.482 --> 00:08:40.084]  We are engaging in intelligence gathering against those that are destroying the sovereignty of our country.
[00:08:40.084 --> 00:08:50.547]  We went through hell and back being harassed, being people trying to set us up, people threatening us, people getting visited at their homes by military intelligence, by Marines, by
[00:08:53.004 --> 00:09:02.552]  Diplomatic Security Service, which is Marines in plain clothes, people following us around in clown masks in their cars so we couldn't videotape their faces.
[00:09:02.552 --> 00:09:06.416]  We bullhorned dozens of hours a day.
[00:09:06.416 --> 00:09:15.944]  I mean, it was just massive at weak points where the conference center backed up onto a main road in Chantilly.
[00:09:16.886 --> 00:09:20.228]  We have gone in and taken over the Bilderberg Group meeting.
[00:09:20.228 --> 00:09:27.733]  We have gone in and taken over while they were having their secret conference, where they fill up a meeting hall, where they have big roundtable discussions.
[00:09:27.733 --> 00:09:29.614]  Do you understand what we've done?
[00:09:29.614 --> 00:09:34.637]  A daring info-raid, a daring resistance to these people.
[00:09:34.637 --> 00:09:37.839]  When they were driving out, when they were driving in, they weren't glaring at us.
