[00:00:03.752 --> 00:00:04.893]  He just signed it!
[00:00:04.893 --> 00:00:06.213]  Big Brother.
[00:00:06.213 --> 00:00:07.974]  Mainstream media.
[00:00:07.974 --> 00:00:09.735]  Government cover-ups.
[00:00:09.735 --> 00:00:11.316]  You want answers?
[00:00:11.316 --> 00:00:12.537]  Well, so does he.
[00:00:12.537 --> 00:00:13.478]  Hi, Teresa!
[00:00:13.478 --> 00:00:17.060]  Alex Jones on the GCN Radio Network.
[00:00:17.060 --> 00:00:23.323]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.323 --> 00:00:28.886]  Well, this is a day that will live in infamy.
[00:00:28.886 --> 00:00:29.407]  America,
[00:00:30.930 --> 00:00:32.951]  It goes into complete collectivism.
[00:00:32.951 --> 00:00:39.873]  There is no longer any doubt we are more communist than Russia is today.
[00:00:39.873 --> 00:00:43.273]  They passed it on the 21st in the House of Representatives.
[00:00:43.273 --> 00:00:46.354]  It left the Senate yesterday on the 22nd.
[00:00:46.354 --> 00:00:48.775]  And on this Tuesday, the 23rd day of March 2010,
[00:00:53.948 --> 00:00:57.091]  Obamacare was signed about three minutes ago.
[00:00:57.091 --> 00:00:59.974]  He used ten or more pins.
[00:00:59.974 --> 00:01:08.522]  He would use one pin for part of the B and another pin for the A because these are holy relics.
[00:01:13.168 --> 00:01:20.094]  These are Excaliburs that were plunged into the heart of our constitutional republic.
[00:01:20.094 --> 00:01:31.603]  Okay, I'm going to talk today about what's really in the bill, the key bullet points of the 16 new taxes that are in it, more than 50 draconian police state points,
[00:01:34.155 --> 00:01:43.507]  We're also going to get a perspective in 30 minutes for 30 minutes in the next hour with Mike Adams from an alternative medicine view of what's in the bill.
[00:01:43.507 --> 00:01:45.369]  And of course it goes after that.
[00:01:45.369 --> 00:01:52.318]  The federal government with the IRS as its enforcer is now your doctor with their new comparative care where they decide what you get.
[00:01:53.561 --> 00:01:59.185]  This was written by the insurance companies as a giant wealth redistribution to themselves.
[00:01:59.185 --> 00:02:06.851]  The fools all over television cheering, saying, I'm gonna get free health care now, have no idea what's about to happen.
[00:02:06.851 --> 00:02:14.076]  They're the same idiots a year and a half ago when Obama got elected in November, saying, my car is paid for, I don't have to worry about my house.
[00:02:14.076 --> 00:02:20.520]  Oh, thank you, Mr. President, my life is saved, you're gonna give me everything.
[00:02:20.520 --> 00:02:22.202]  What fools to the slaughter.
[00:02:23.120 --> 00:02:30.061]  But more importantly today, we're going to talk about how we defeat this legislation.
[00:02:30.061 --> 00:02:32.082]  How we repeal it.
[00:02:32.082 --> 00:02:34.442]  How we stop it.
[00:02:34.442 --> 00:02:47.445]  Because if you're counting on the Republican Party to get rid of this, in the Republican Party's current state, its current makeup, its current leadership, don't hold your breath because you're going to die.
[00:02:49.383 --> 00:02:52.124]  Now the globalists know destroying America takes time.
[00:02:52.124 --> 00:02:57.406]  That's why they implement this over the next seven and a half years.
[00:02:57.406 --> 00:03:08.990]  None of it kicks in, well the taxes kick in immediately, but none of the so-called freebies start kicking in and then more draconian control until 2013, 15, and finally 18.
[00:03:08.990 --> 00:03:10.971]  They want to take their time.
[00:03:10.971 --> 00:03:13.972]  They want you to politically forget about this and go back to sleep.
[00:03:16.132 --> 00:03:28.156]  Meanwhile, nationwide, real conservatives, real constitutionalists, running for the House and Senate, are being attacked mercilessly by the Republican Party.
[00:03:28.156 --> 00:03:31.597]  Not just Ron Paul in Texas, with the Republicans running three people against him.
[00:03:31.597 --> 00:03:32.878]  They failed.
[00:03:32.878 --> 00:03:39.400]  But Rand Paul has the neocons, Dick Cheney, all the big publications raising money against him.
[00:03:39.400 --> 00:03:41.621]  AIG is pouring money in
[00:03:42.662 --> 00:03:44.263]  to his competitor's campaign.
[00:03:44.263 --> 00:03:46.224]  Here's the Associated Press today.
[00:03:46.224 --> 00:03:49.226]  Grayson can oversee Senate race.
[00:03:49.226 --> 00:03:52.408]  That's his biggest challenger, the Republican.
[00:03:52.408 --> 00:03:59.452]  He's way ahead of the Democrat, ran way ahead of the Republican as well, but that doesn't matter because hold on to your hat.
[00:03:59.452 --> 00:04:08.097]  Grayson runs the election system in Kentucky and the Republican-run board said this has never been done before but it's now allowed
[00:04:09.349 --> 00:04:16.215]  The person Rand is running against gets to run the election.
[00:04:16.215 --> 00:04:19.978]  That'd be like if you had Al Capone in federal court letting him be the judge.
[00:04:19.978 --> 00:04:23.081]  Secretary of State Trey Grayson can oversee the U.S.
[00:04:23.081 --> 00:04:26.544]  Senate race in Kentucky without any apparent conflict of interest.
[00:04:26.544 --> 00:04:28.366]  A government ethics panel ruled Friday.
[00:04:30.046 --> 00:04:36.572]  He is the chief elections official, guaranteed he's going to give all his cronies in the election department jobs in the U.S.
[00:04:36.572 --> 00:04:37.273]  Senate.
[00:04:37.273 --> 00:04:41.097]  Do you think there's a conflict of interest there?
[00:04:41.097 --> 00:04:44.440]  Well, not according to the Republican Party.
[00:04:44.440 --> 00:04:49.105]  And with people like Grayson, you're going to keep that health care bill.
[00:04:49.105 --> 00:04:52.188]  The Republicans had the House, Senate, and the Presidency for four years.
[00:04:54.209 --> 00:04:56.452]  Did they repeal anything?
[00:04:56.452 --> 00:04:57.033]  Abortion?
[00:04:57.033 --> 00:04:57.633]  Any of it?
[00:04:57.633 --> 00:04:58.494]  No!
[00:04:58.494 --> 00:05:00.257]  And they're not gonna do this either.
[00:05:00.257 --> 00:05:05.563]  One major world crisis away from having a totalitarian type of system.
[00:05:05.563 --> 00:05:08.327]  The main event is the wholesale destruction of the world economy.
[00:05:08.327 --> 00:05:12.612]  The push for every nation on the globe to identify and number all of its citizens.
[00:05:13.633 --> 00:05:18.116]  Friends, I hope that you will order Shadow Government from InfoWars.com.
[00:05:18.116 --> 00:05:19.216]  We also have some specials.
[00:05:19.216 --> 00:05:23.139]  You can get some of our other films half price when you order Shadow Government.
[00:05:23.139 --> 00:05:26.200]  A new level in production quality and in information.
[00:05:26.200 --> 00:05:34.285]  It exposes how a cashless society, surveillance beast grid of total control is being put into place.
[00:05:34.285 --> 00:05:36.146]  This film needs to be seen.
[00:05:36.146 --> 00:05:37.287]  Everybody needs to get it.
[00:05:37.287 --> 00:05:38.467]  So order yours today.
[00:05:38.467 --> 00:05:42.390]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[00:05:43.860 --> 00:05:45.461]  Shadow government, ladies and gentlemen.
[00:05:45.461 --> 00:05:48.082]  Get your copy at InfoWars.com today.
[00:05:48.082 --> 00:05:49.482]  Shadow government.
[00:05:49.482 --> 00:05:51.703]  It gives Big Brother a black eye.
[00:05:51.703 --> 00:06:01.447]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[00:06:01.447 --> 00:06:05.468]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:06:05.468 --> 00:06:08.709]  This is our last chance to not relive history.
[00:06:08.709 --> 00:06:10.110]  As we're finishing off this agenda,
[00:06:11.022 --> 00:06:14.264]  We're pulling the rug from underneath Americans at home.
[00:06:14.264 --> 00:06:19.887]  Tremendous influence on our President and Congress and they really are calling the shots.
[00:06:19.887 --> 00:06:24.929]  I think it's incumbent upon all of us as American citizens to pay attention.
[00:06:24.929 --> 00:06:28.351]  For the Republic identifies the enemies of our nation.
[00:06:28.351 --> 00:06:35.054]  The criminal offshore cartel hell-bent on destroying sovereignty and on its ashes constructing world government.
[00:06:35.194 --> 00:06:37.535]  Tim Geithner, Bernanke, they're arsonists!
[00:06:37.535 --> 00:06:39.116]  They're asking for more matches!
[00:06:39.116 --> 00:06:41.577]  And the Congress is saying, who do we make the check out to?
[00:06:41.577 --> 00:06:43.698]  Today seems like nobody does care.
