[00:00.000 --> 00:09.000]  media. Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN
[00:09.000 --> 00:22.000]  Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:22.000 --> 00:34.000]  Welcome, ladies and gentlemen. It is already the 20th day of May 2008, and we are going straight into a big interview right here at the start of the show.
[00:34.000 --> 00:45.000]  He'll be with us for the next 40 minutes. He is former Minnesota Governor Jesse Ventura, also Hollywood movie star, Navy Seal, and so much more.
[00:45.000 --> 00:57.000]  He's also a best-selling author, former TV host on MSNBC, and he was on with us about a month ago, and it made headlines in hundreds of newspapers, the Associated Press, and National Television.
[00:57.000 --> 01:06.000]  When he came on the show and questioned the official 9-11 story, and I was just talking to him before we went live, and he said, he's got something he wants to complain about.
[01:06.000 --> 01:09.000]  So you'll find out what that is with me right now.
[01:09.000 --> 01:25.000]  Governor Ventura, thank you for coming on with us. Hi, Alex. Great to be here again. I hope I could say that. No, I'm laughing because I guess when you do your show, you automatically make it on Billy Riley's idiot list.
[01:25.000 --> 01:34.000]  I think that's what happens, yes. Now, I'm confused over that, Alex. How come we're not allowed to ask any questions today?
[01:34.000 --> 01:49.000]  Well, this broadcast has about 2 million listeners per show, and then it's all magnified on the web, and they don't like the fact that there is a large alternative radio show with more than 60 affiliates, and that's number one internet show.
[01:49.000 --> 02:07.000]  Maybe it's something like that because I can't believe how I simply asked some questions in the way you're attacked for simply asking questions. Is our country really become that, that you're not even allowed to publicly question the government?
[02:07.000 --> 02:25.000]  You know, I say this, Alex, because in looking back on my 56 years on the planet, the government's lied to me a great deal, and they don't have great credibility with me, so why wouldn't I question them when they tell me something?
[02:25.000 --> 02:38.000]  Oh, I totally agree with you. I mean, how many times have they been caught lying, and isn't it more suspicious, me thinks they protest too much, that they don't want us to ask about Building 7, the firefighters on tape saying the government blew it up?
[02:38.000 --> 02:40.000]  I mean, why aren't we supposed to talk about that?
[02:40.000 --> 02:52.000]  I don't know. You know, one of the most interesting interviews that I've seen now has been William Rodriguez.
[02:52.000 --> 03:07.000]  Absolutely. When I watched the DVD of William Rodriguez, this guy is totally talking from what he remembers. You can clearly see it. He's not making anything up.
[03:07.000 --> 03:13.000]  Well, he was there. The firefighters and police say that he stayed in to get a lot of them out on things that were starting to collapse.
[03:13.000 --> 03:25.000]  No, he's a hero's hero. There's no doubt about it, and when you hear him talk and he tells about what he knows there, how can you not question what went on that day?
[03:25.000 --> 03:35.000]  Well, that was my first question. What do you think of the massive media attack that you have gone through for simply asking a question?
[03:35.000 --> 03:44.000]  Well, I don't think you can address what you actually said on the show, and the majority of Americans and Poles have the same questions. It's all that you're bad to ask those questions.
[03:44.000 --> 04:00.000]  Well, yeah, it's been pretty eye-opening to say the least, but if you do ask a question out there, it's like you're not allowed to today, and that's what really troubles me the most is this attitude.
[04:00.000 --> 04:16.000]  And that reflects the fact that, and here's what I truly believe, I think people have this hidden, almost screen around them in many ways that because they don't want to believe that it could be true,
[04:16.000 --> 04:24.000]  they just put that screen up and won't allow anything to penetrate it to the effect that it might be true.
[04:24.000 --> 04:33.000]  Right, it's a bubble of denial, their little imaginary world, and anything that conflicts with that they say isn't allowed.
[04:33.000 --> 04:50.000]  Yeah, it really is that way, and that to me is what has to come down, is the fact that, you know, and I like to refer a great deal to the movie that was just out with, I'm John Adams, because it was very profound.
[04:50.000 --> 04:54.000]  Governor, stay there, tell us about that after this quick break.
[04:54.000 --> 04:58.000]  It is a big idea, a new world order.
[04:58.000 --> 05:03.000]  In the near future, Earth is dominated by a powerful world government.
[05:03.000 --> 05:09.000]  It's known as the Builder Bird, but their objective being world domination.
