[00:00:23.784 --> 00:00:25.925]  43 days left.
[00:00:25.925 --> 00:00:28.347]  43 until the most historic election.
[00:00:28.347 --> 00:00:32.130]  Undoubtedly hands down in world history.
[00:00:32.130 --> 00:00:34.411]  It's Monday, the 24th day of September 2018.
[00:00:34.411 --> 00:00:38.114]  I'm your host Alex Jones, and this is the InfoWar.
[00:00:38.114 --> 00:00:42.017]  We're going to be here live for the next four hours.
[00:00:42.017 --> 00:00:49.282]  In the War Room with Owen Schroeder and Roger Stone is coming up, ladies and gentlemen.
[00:00:49.282 --> 00:00:52.085]  Rod Rosenstein is on his way to the White House.
[00:00:53.294 --> 00:00:56.337]  Mainstream media says to either be fired or resign.
[00:00:56.337 --> 00:01:03.363]  Well, look, he got caught trying to overthrow the president working with others.
[00:01:03.363 --> 00:01:20.758]  And now because he's no longer useful to the deep state, they are preparing to throw him overboard because Trump has told the entire swamp that if they don't get loyal immediately to the Republic and stop the attempts for the 25th Amendment and for basically martial law in this country,
[00:01:21.658 --> 00:01:34.672]  Even Politico and even McClatchy, in fact we gave them the stack that's in the podcast room from last night, they even called it a nightmare scenario, end of the world scenario, civil emergency.
[00:01:35.612 --> 00:01:41.575]  And that's really the big takeaway, is the Democrats are enjoying their third term of Obama right now in their minds.
[00:01:41.575 --> 00:01:44.296]  They call Hillary the President, all over television.
[00:01:44.296 --> 00:01:53.921]  And they've got their bureaucrats taking orders from Hillary and Obama, and Obama is operating under executive orders that put a civil emergency in place right before he left office.
[00:01:53.921 --> 00:01:56.582]  And that's in all the documents.
[00:01:56.582 --> 00:02:00.564]  That's what's so incredible about all of this.
[00:02:00.564 --> 00:02:03.466]  And so, Mike Adams is joining us in the third hour,
[00:02:04.571 --> 00:02:14.174]  He made the point that under the Constitution, and under executive orders that are already there, that Trump could basically arrest thousands of members of the Deek State who are trying to overthrow the election.
[00:02:14.174 --> 00:02:21.617]  You see, they're the ones that have brought us to the point of civil emergency and saying they want a bigger civil emergency, that they want 25th Amendment.
[00:02:21.617 --> 00:02:22.837]  We don't want martial law.
[00:02:22.837 --> 00:02:25.178]  I don't want martial law.
[00:02:25.178 --> 00:02:30.239]  And I don't want to say I'm going to debate it with Mike, but I'm going to discuss the different angles of it.
[00:02:30.239 --> 00:02:31.560]  But because of the climate,
