[00:15.000 --> 00:18.000]  Infowars. Tomorrow's news. Today.
[00:18.000 --> 00:36.000]  It's Friday, August 5th, 2022. I'm Alex Jones live at studio strap yourselves in.
[00:36.000 --> 00:48.000]  One of the things you've been talking about on your show is your allegation that
[00:48.000 --> 00:54.000]  government officials are aiding in a period of child trafficking and the
[00:54.000 --> 01:14.000]  grouping of children, right?
[01:14.000 --> 01:34.000]  What do you mean like what Jeffrey Epstein did with the cleanse?
[01:34.000 --> 01:40.000]  Love the great meme makers out there defending freedom. Great job. Love you all.
[01:40.000 --> 01:45.000]  Okay, we have the official announcements happening everywhere of shutting off the
[01:45.000 --> 01:51.000]  economy and that cannibalism will now be good. New York Times, Washington Post,
[01:51.000 --> 01:56.000]  Der Spiegel, all of it. They are officially saying, what I told you two years ago,
[01:56.000 --> 02:01.000]  they would start saying, the cannibalism is good. First they tell you to eat bugs,
[02:01.000 --> 02:05.000]  you'll own nothing and have nothing and like it, then eat humans and you ask,
[02:05.000 --> 02:08.000]  why are they doing this? Well, I've read the globalist battle plan.
[02:08.000 --> 02:13.000]  They want total dehumanization in the short documentary film that was just an
[02:13.000 --> 02:18.000]  add-on to in game blueprint for global enslavement in game 1.5.
[02:18.000 --> 02:22.000]  Finally found it. It had been on YouTube, it got deleted, but we finally found a copy
[02:22.000 --> 02:26.000]  of it last week and put it on Band-Aid video. In in game 1.5, we show you the
[02:26.000 --> 02:32.000]  UN documents from the UN that are only available at the library and in that film,
[02:32.000 --> 02:38.000]  Dr. Kaufman got it from the UN library in New York with special permission.
[02:38.000 --> 02:43.000]  He's an academic or was, he's dead now and they said, we're going to get rid of the
[02:43.000 --> 02:47.000]  value of human life, we're going to get rid of beautiful architecture and we're
[02:47.000 --> 02:52.000]  going to bring back human sacrifice and gladiatorial games and even cannibalism.
[02:52.000 --> 02:57.000]  Now you read that, that's the official UN plan, you're like, that sounds crazy.
[02:57.000 --> 03:03.000]  That's from the mid-1960s. Well, baby, we're here. Kill babies after they're born?
[03:03.000 --> 03:08.000]  You bet. We're going to hit that, we're going to hit the huge developments with
[03:08.000 --> 03:12.000]  DeSantis leading the charge, firing and then having the police go to the offices
[03:12.000 --> 03:18.000]  of Soros operatives inside the government so they can't destroy any evidence of
[03:18.000 --> 03:23.000]  them criminally taking orders from the big guy. We've got massive news on the
[03:23.000 --> 03:27.000]  China and Ukraine situation, big developments in Ukraine that nobody's
[03:27.000 --> 03:32.000]  talking about in the West, huge COVID-19 shots, killing people, major academic
[03:32.000 --> 03:36.000]  journals confirming it's causing mass death, which we already knew but this is
[03:36.000 --> 03:40.000]  just more confirmation. We've got a huge broadcast lined up for you today and then
[03:40.000 --> 03:45.000]  Mike Adams in studio, always amazing coming up at the second hour and he's going
[03:45.000 --> 03:50.000]  to also have some big guests on with him because I've got to go back down to this
[03:50.000 --> 03:56.000]  kangaroo court, the rest of it, I'll be here for about an hour and 15 minutes and
[03:56.000 --> 04:00.000]  I'll be back this evening as I did last night shooting special reports and going
[04:00.000 --> 04:04.000]  on the war room with Owen Schreuer, 3 to 6 p.m. I should be in there during the last
[04:04.000 --> 04:15.000]  hour today. I'll host you with Owen. All this news is huge. It's all massive but
[04:15.000 --> 04:25.000]  the discoveries we've made in how this attempt to rig the judiciary system in
[04:25.000 --> 04:35.000]  this country, what we've witnessed is next level, absolutely next level and it's
[04:35.000 --> 04:42.000]  a beta test being run by Soros, literally, to do this all over the country and
[04:42.000 --> 04:46.000]  you're not going to believe what the judge is doing publicly. She's not even hiding
[04:46.000 --> 04:52.000]  it and I believe it's criminal. I believe it's criminal but again this county is
[04:52.000 --> 04:55.000]  run by Soros so they're allowed to commit crimes. We can't even be good people.
[04:55.000 --> 04:57.000]  We'll be right back. Stay with us.
[05:01.000 --> 05:05.000]  The great reset in the war for the world is the book that the government doesn't
[05:05.000 --> 05:10.000]  want you to read that most of the big powerful companies trying to control your
[05:10.000 --> 05:14.000]  life, the big tech companies, they don't want you to read this book. They want to
